[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[00:00:06.293 --> 00:00:09.495]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.697 --> 00:00:16.338]  Big Brother.
[00:00:16.999 --> 00:00:18.020]  Mainstream media.
[00:00:18.761 --> 00:00:19.863]  Government cover-ups.
[00:00:20.524 --> 00:00:21.325]  You want answers?
[00:00:22.106 --> 00:00:23.027]  Well, so does he.
[00:00:23.668 --> 00:00:27.273]  He's Alex Jones on the GCN Radio Network.
[00:00:27.854 --> 00:00:31.920]  And now, live from Austin, Texas, Alex Jones.
[00:00:45.669 --> 00:00:47.351]  Well, here we are, my friends.
[00:00:48.553 --> 00:00:50.175]  The seventh day already.
[00:00:51.468 --> 00:00:51.948]  of April 2014.
[00:00:52.669 --> 00:01:04.216]  We're going to be live here for the next three hours and we have several guests joining us to break down some very important issues.
[00:01:04.256 --> 00:01:06.778]  I'll tell you about those guests coming up in the next segment.
[00:01:07.498 --> 00:01:10.760]  There's a lot of confusion out there and that's the name of the game.
[00:01:10.800 --> 00:01:18.385]  That was the plan about exactly what the Republicans are doing with Obama to quote fix Obamacare.
[00:01:19.105 --> 00:01:36.498]  Well, you fix it by getting rid of the tar baby fraud that is designed to be basically a dictatorial edict to allow the federal government and the private banks that own it and run it to get their hands into anything and everything they want as an open mandate.
[00:01:38.680 --> 00:01:42.243]  Forget mission creep, this is far beyond that.
[00:01:43.965 --> 00:02:00.320]  And that's how they wrote the bill was to be a nation-wrecking machine that gives them unlimited power to take tax money from citizens via levies, that's what it is, a letter of mark piracy and transfer it to the globalists, the same people that own the Federal Reserve.
[00:02:01.181 --> 00:02:03.563]  That's about as federal as Federal Express or Federal Plumbing.
[00:02:05.800 --> 00:02:17.590]  And then, once everything's getting screwed up, they say, oh my gosh, let Obama operate as a dictator, and then we'll go to him and secure things from him to fix it.
[00:02:18.130 --> 00:02:31.821]  And Boehner, the Speaker of the House, is running around saying, we didn't expand Obamacare, as the people that are researching it have documented, with this new agreement with Nero, I mean, Hitler, I mean, dear leader Kim Jong-il II.
[00:02:34.192 --> 00:02:36.734]  We didn't expand it why we got him to fix it.
[00:02:39.116 --> 00:02:40.517]  Team Boehner to Drudge.
[00:02:41.058 --> 00:02:43.139]  We didn't expand Obamacare.
[00:02:43.760 --> 00:02:45.561]  We repealed a piece.
[00:02:46.542 --> 00:02:49.745]  And so that's how this is being spun as they openly set
[00:02:50.834 --> 00:02:53.195]  The President's, in fact print me that article guys, thank you.
[00:02:53.875 --> 00:02:57.056]  As they openly set the precedent to just do whatever they want.
[00:02:57.536 --> 00:02:59.437]  Which is what the heads of the committees want.
[00:02:59.757 --> 00:03:04.999]  They want to be little dictators or ringwraiths under Soran that is Obama.
[00:03:07.720 --> 00:03:12.302]  And they want that precedent set now where they pass monstrosity legislation.
[00:03:13.834 --> 00:03:23.116]  And then as it dawns on the public that it's a giant screw job, the answer is, well, we'll selectively enforce this, we'll selectively enforce that, which is the essence of a tyranny.
[00:03:24.376 --> 00:03:32.437]  Because the whole thing is illegitimate and a fraud, because it's discriminatory, because it's not equally apportioned, it's not equally applied.
[00:03:33.858 --> 00:03:41.359]  I don't care what the blackmailed Supreme Court had to say about, well, the government has the power to tax, not an unlimited power.
[00:03:42.358 --> 00:03:44.859]  And so we're allowed to make you buy this from these companies.
[00:03:47.920 --> 00:03:49.701]  But it's unconstitutional.
[00:03:49.821 --> 00:03:54.943]  It is liquid, 200-proof tyranny on every front, every angle.
[00:03:55.043 --> 00:03:59.905]  It is the motherlode of fraud written by lawyers as a system.
[00:03:59.945 --> 00:04:04.147]  Just like they want to put poison in the food and water to make you sick so you never get out of the medical system.
[00:04:04.807 --> 00:04:10.310]  Not even saying the doctors are bad, it's just on record that this is done to create another system of dependency.
[00:04:10.750 --> 00:04:11.290]  It's slavery.
[00:04:12.682 --> 00:04:22.125]  Obamacare is written to take everything over in the process of imploding the country and consolidating it and making the insiders exempt.
[00:04:22.165 --> 00:04:28.308]  And I know I just keep harping on that, but I told you he would become a dictator to quote, fix certain parts of it.
[00:04:28.628 --> 00:04:31.809]  I told you that the website wouldn't work.
[00:04:32.813 --> 00:04:34.654]  Because I know all their tricks, folks.
[00:04:35.634 --> 00:04:38.195]  It's meant to create a process of, boy, isn't that screwed up?
[00:04:38.555 --> 00:04:39.915]  Well, they're working on fixing it.
[00:04:40.276 --> 00:04:42.976]  You know, the Republicans would just get out of the way, it would work.
[00:04:43.016 --> 00:04:46.498]  The Democrats would just back off, it'd work, when they're all on the same team at the top.
[00:04:49.138 --> 00:04:53.140]  And we have to recognize the criminal program
[00:04:54.511 --> 00:04:59.518]  And get outside of the fake debate to realize what this system is and we're gonna beat it.
