[00:00:00.069 --> 00:00:02.043]  Alex Jones Broadcasting Network.
[00:00:15.134 --> 00:00:19.297]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:19.958 --> 00:00:20.758]  You want answers?
[00:00:21.539 --> 00:00:22.460]  Well, so does he.
[00:00:23.100 --> 00:00:26.723]  He's Alex Jones on the GCN Radio Network.
[00:00:27.283 --> 00:00:31.386]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.992 --> 00:00:44.116]  We've got a head-spinningly jam-packed transmission lined up for you today.
[00:00:47.239 --> 00:01:02.855]  We've got Staff Sergeant Joe Biggs, retired, joining us to talk about the Bo Bergdahl situation, how he goes from a matter of weeks that he's totally mentally ill, no one can talk to him, the press can't talk to him, to, oh, he's back on active duty.
[00:01:02.895 --> 00:01:03.816]  That's just not done.
[00:01:05.492 --> 00:01:14.160]  With a supposed intelligence trove, like an individual held for years by the Taliban, when he was really basically ordered to go give himself up to the group.
[00:01:14.200 --> 00:01:17.903]  And I believe from day one, he is a deep cover infiltrator.
[00:01:18.684 --> 00:01:20.486]  And that's what Biggs thinks as well.
[00:01:20.506 --> 00:01:22.047]  A lot of other people I trust think that.
[00:01:22.488 --> 00:01:27.092]  And now, the fact that the story's a non-issue, the question is, what was the point of the story?
[00:01:28.780 --> 00:01:37.765]  Well the point of the story, we said a month ago and we say it now and the evidence is mounting, was a distraction from the mounting VA scandal.
[00:01:38.285 --> 00:01:46.470]  Just like Red Adair would send in dynamite to blow up an oil fire, you take a big story to extinguish an even bigger one.
[00:01:47.490 --> 00:01:50.072]  Use an explosion to take out an explosion.
[00:01:50.412 --> 00:01:51.753]  The public loves a mystery.
[00:01:52.694 --> 00:01:58.260]  They love a whodunit, is he a traitor, isn't he a traitor, right out of central casting.
[00:01:58.741 --> 00:02:08.292]  But it also had a foreign effect, and we'll discuss that, but it creates the illusion that, again, the West is actually fighting with the Taliban and Al Qaeda.
[00:02:09.909 --> 00:02:16.292]  They are fighting with the grassroots organizations, but not with the main players you see on the nightly news.
[00:02:16.953 --> 00:02:20.214]  And that's been proven in triplicate with ISIS and Al Qaeda and more.
[00:02:20.975 --> 00:02:31.000]  And there's a bunch of mainstream news articles last week we're going to go over where it's just admitted, oh yeah, they really work for the CIA, for British intelligence, for Pakistani intelligence.
[00:02:33.135 --> 00:02:34.855]  And it is truly disgusting.
[00:02:35.715 --> 00:02:42.837]  And they're actually growing a real radical Islamic threat in the West that will be used as a further excuse to bring in social control.
[00:02:43.517 --> 00:02:51.218]  Wayne Madsen, who quite frankly is a bigger whistleblower than Snowden over the years, he's brought out more than Snowden has.
[00:02:51.258 --> 00:02:54.199]  I'm just saying in the past they would ignore whistleblowers.
[00:02:54.979 --> 00:02:56.719]  He's going to be joining us to cover the waterfront.
[00:02:56.739 --> 00:02:57.899]  Hadn't been on in about three or four months.
[00:02:59.259 --> 00:03:02.040]  And then we've also got Syrian girl from Australia
[00:03:03.120 --> 00:03:07.425]  His family was formerly in the ruling party over there before Assad had them kicked out.
[00:03:07.505 --> 00:03:10.588]  So they're actually anti-Assad, but even more anti-Al Qaeda.
[00:03:11.008 --> 00:03:14.372]  Everything she's been saying here the last year and a half has turned out to be accurate.
[00:03:14.772 --> 00:03:16.714]  She's going to be joining us as well.
[00:03:16.795 --> 00:03:19.197]  So all that and more today.
[00:03:20.018 --> 00:03:23.401]  There's also some really interesting comedy relief.
[00:03:24.711 --> 00:03:29.415]  Up on InfoWars.com and DrudgeReport.com is where I found it, CNSNews.com.
[00:03:29.735 --> 00:03:35.379]  White House, we've substantially improved the tranquility of the global community.
[00:03:37.461 --> 00:03:39.783]  I meant to do this for the show and I got busy and didn't do it.
[00:03:40.583 --> 00:03:43.706]  Guys, just search engine, world more unstable than ever.
[00:03:44.668 --> 00:04:06.838]  I mean, they've got British Ministry of Defense reports, Pentagon reports, they've got think tank reports, university reports, but I mean, anybody can look at the world with Ukraine, the Middle East, the dollar in decline, Mexico collapsing, Latin America in depression, the Caribbean in depression, Japan in 20 years of recession, China having hundreds of riots a day, thousands a week.
[00:04:09.659 --> 00:04:12.180]  I mean, the world is more unstable than ever.
[00:04:13.624 --> 00:04:22.314]  And so, we're being told that Obama has created just such wondrous, happy tranquility.
[00:04:24.136 --> 00:04:31.304]  That's why the Pentagon's own report two weeks ago said they're preparing for collapse and total civil unrest and martial law, and the British are as well.
[00:04:33.820 --> 00:04:37.303]  Because Obama has created incredible tranquility.
[00:04:37.444 --> 00:04:39.666]  And again, that's a lie within a lie.
[00:04:39.966 --> 00:04:45.912]  Obama's the front man for the globalists, the technocrats, who are destabilizing the planet by design.
[00:04:45.972 --> 00:04:50.977]  So, it's kind of a lie to even counter him and say, no, you have destabilized things.
[00:04:51.617 --> 00:04:52.798]  Because he's running nothing.
[00:04:53.659 --> 00:05:07.740]  But politically, as a front man, must be politically brought down to discredit their system and to scare the other functionaries of the globalists that they might get in trouble, like Lois Lerner, if they continue their criminal operations.
[00:05:09.076 --> 00:05:13.818]  Man, when I get home from work, all Betty does is watch her reality TV and then she goes to sleep.
[00:05:14.058 --> 00:05:17.159]  I can take her on romantic dates, I get her flowers, you name it.
[00:05:17.399 --> 00:05:19.240]  She's just not the woman I married.
[00:05:19.500 --> 00:05:21.440]  Oh, Ralph, that's just awful.
[00:05:21.660 --> 00:05:23.121]  Does this seem familiar?
[00:05:23.321 --> 00:05:26.362]  Are the honeymoon days of your relationship long gone?
[00:05:26.642 --> 00:05:27.963]  If so, consider this.
[00:05:28.223 --> 00:05:37.146]  The abundance of chemical additives, pesticides, BPA containers, contaminated tap water, and other toxic substances found in our environment.
[00:05:37.506 --> 00:05:43.529]  Experts know our bodies are suffering and being thrown off balance, especially when it comes to your natural systems.
[00:05:43.890 --> 00:05:45.531]  Forget synthetic chemicals.
[00:05:45.931 --> 00:05:53.575]  Super Female Vitality brings forward key herbs specifically chosen for women's biology without the use of phony additives.
[00:05:53.975 --> 00:06:01.384]  Give your bottle of Super Female Vitality today at InfoWarsLife.com, InfoWarsStore.com or call 1-888-253-3139.
[00:06:01.584 --> 00:06:02.625]  InfoWarsLife.com.
