[00:00:00.211 --> 00:00:00.836]  Okay.
[00:00:04.861 --> 00:00:06.181]  Big Brother.
[00:00:06.181 --> 00:00:07.942]  Mainstream media.
[00:00:07.942 --> 00:00:09.703]  Government cover-ups.
[00:00:09.703 --> 00:00:11.283]  You want answers?
[00:00:11.283 --> 00:00:12.824]  Well, so does he.
[00:00:12.824 --> 00:00:17.045]  He's Alex Jones on the GCN Radio Network.
[00:00:17.045 --> 00:00:21.387]  And now, live from Austin, Texas, Alex Jones.
[00:00:21.387 --> 00:00:24.388]  Global stocks drop.
[00:00:24.388 --> 00:00:26.109]  Not just here, but around the world.
[00:00:26.109 --> 00:00:29.670]  Dow's down more than 200 points amid global worries.
[00:00:30.657 --> 00:00:32.439]  We're gonna be breaking that down.
[00:00:32.439 --> 00:00:35.682]  The Attorney General, Eric Holder, one of the most corrupt we've ever seen.
[00:00:35.682 --> 00:00:39.446]  Former Deputy Attorney General, running the cover-up of Oklahoma City.
[00:00:39.446 --> 00:00:43.610]  We even have his emails on that, the cover-up of what really happened there.
[00:00:43.610 --> 00:00:45.212]  He is to step down.
[00:00:46.479 --> 00:00:47.460]  He is now to step down.
[00:00:47.460 --> 00:00:50.123]  Remember a few months ago he was in the hospital.
[00:00:50.123 --> 00:00:55.368]  I think that's basically a cover for the fact that they want to say this is medical.
[00:00:55.368 --> 00:00:57.110]  No, it's about Fast and Furious.
[00:00:57.110 --> 00:01:00.333]  It's about the IRS targeting the Tea Party.
[00:01:00.333 --> 00:01:05.218]  It's about the fact that he's such a discrediting titular head.
[00:01:06.536 --> 00:01:17.987]  That he is now stepping down so they can reshuffle things like they did with Big Sis and put in Jay Johnson that no one can even pronounce his first name properly
[00:01:19.230 --> 00:01:23.893]  De-politicize the police state rollout that is taking place.
[00:01:23.893 --> 00:01:28.676]  So this is more of the rats leaving the sinking ship.
[00:01:28.676 --> 00:01:35.800]  There are just two Obama originals that remain, the Washington Post is reporting.
[00:01:35.800 --> 00:01:38.321]  And then there were two.
[00:01:38.321 --> 00:01:43.705]  That's all that's left in the Messiah's, according to the Democrats, he's the Messiah.
[00:01:43.705 --> 00:01:47.667]  That's all that's left is his original band of merry men and women.
[00:01:49.090 --> 00:01:54.634]  With Holder's resignation, just two Obama originals will remain.
[00:01:54.634 --> 00:01:59.978]  With his announcement today that he's stepping down as Attorney General, only two original cabinet members remain.
[00:02:02.011 --> 00:02:17.707]  Just Education Secretary Arne Duncan, Agriculture Secretary Tom Vilsack, who we hear may also have one foot out the door, have been with Obama since the very beginning in their original roles.
[00:02:17.707 --> 00:02:21.631]  And of course, Holder formally comes from a law firm, a lobbying firm,
[00:02:23.676 --> 00:02:25.698]  That all these politicians go and sign up with.
[00:02:25.698 --> 00:02:30.281]  That's a revolving door with the Justice Department and the FBI.
[00:02:30.281 --> 00:02:36.725]  And then if you're in that law firm or you are a client, it's like a get out of jail free card.
[00:02:36.725 --> 00:02:42.549]  So it's time to cash in and get some $200,000 speeches under his belt.
[00:02:42.549 --> 00:02:45.912]  It's time to cash in and get some security contracts.
[00:02:45.912 --> 00:02:50.135]  Maybe he'll go to be the CEO of a naked body scanner company like Chertoff.
[00:02:51.633 --> 00:03:04.237]  Maybe he'll become the head of a university and cash in on that front with federally funded bodyguards for the rest of his life as he openly lobbies to have you and your family disarmed.
[00:03:04.237 --> 00:03:05.518]  It was the Veritas Project.
[00:03:05.518 --> 00:03:11.239]  James O'Keefe went out to his house there in I guess it was New York where his family was at.
[00:03:16.035 --> 00:03:19.638]  There were armed guards there and a police car parked out front.
[00:03:19.638 --> 00:03:21.680]  Wouldn't it be nice if all of us could have that?
[00:03:21.680 --> 00:03:24.663]  Of course we can't.
[00:03:24.663 --> 00:03:27.005]  Because then who's even going to guard other people's houses?
[00:03:27.005 --> 00:03:31.670]  If the cops are already guarding the cops' houses, then there'll be no people left to actually
[00:03:32.864 --> 00:03:35.605]  Work in the farms and work in the factories.
[00:03:35.605 --> 00:03:40.806]  Of course, there's not many of those left to begin with, so I guess that's part of the overall plan.
[00:03:40.806 --> 00:03:41.826]  Here's the question.
[00:03:41.826 --> 00:03:43.587]  Why is Holder stepping down now?
[00:03:43.587 --> 00:03:50.849]  I think it's part of cashing in, depoliticizing things when all these criminal investigations are coming to a head.
[00:03:50.849 --> 00:04:00.632]  There are a lot of reasons for it, and I want to open the phones up to get your take on that and why you think the Dow Jones Industrial is down 200 points with Apple sinking 3%.
[00:04:03.069 --> 00:04:09.074]  Global Conflicts Fuel Nosedive says USA Today.
[00:04:09.074 --> 00:04:13.038]  We got an email two days ago.
[00:04:13.038 --> 00:04:15.460]  It was brought to my attention yesterday.
[00:04:15.460 --> 00:04:18.443]  We probably need to black this out before I show it.
[00:04:18.443 --> 00:04:21.986]  But it came in at whistleblowers at InfoWars.com.
[00:04:23.496 --> 00:04:29.821]  And so when I open the phones up, I specifically would like to hear from other bank executives or bank managers.
[00:04:29.821 --> 00:04:42.830]  Were you called into this emergency meeting that all of the Chase bank managers were called in an emergency meeting and they said this only happened last time when they had the collapse of the market on 708.
[00:04:45.638 --> 00:04:48.258]  When you're out on the road, the last place you want to be is on the road.
[00:04:48.258 --> 00:04:51.639]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:04:51.639 --> 00:04:52.859]  There's a place down in Tennessee
[00:05:15.171 --> 00:05:25.992]  Well, they make blue diamond gusset jeans They sew pride in every stitch Guarantee you'll love the way they fit
[00:05:37.957 --> 00:05:40.099]  We turn jeans inside out.
[00:05:40.099 --> 00:05:41.900]  Diamond Gusset Jeans.
[00:05:41.900 --> 00:05:44.782]  Made in the USA with unparalleled quality.
[00:05:44.782 --> 00:05:49.024]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:05:49.024 --> 00:05:51.406]  So you can ride all day with confidence.
[00:05:51.406 --> 00:05:54.108]  Order yours at gusset.com.
[00:05:54.108 --> 00:05:55.689]  Diamond Gusset Jeans.
[00:05:55.689 --> 00:05:56.469]  Got it.
[00:05:56.469 --> 00:05:57.330]  Others don't.
[00:05:59.432 --> 00:06:00.953]  Open your eyes.
[00:06:00.953 --> 00:06:04.375]  It's time to give your eyes a powerful nutritional boost.
[00:06:04.375 --> 00:06:10.860]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
[00:06:10.860 --> 00:06:19.225]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[00:06:19.225 --> 00:06:20.266]  Open your eyes.
[00:06:20.606 --> 00:06:35.584]  Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more, Occupower by InfoWars Life is a new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[00:06:36.184 --> 00:06:43.949]  Optimize the natural power of your eyes with the latest addition to the super high quality InfoWars Live formulations, Occupower.
[00:06:43.949 --> 00:06:49.473]  Go to InfoWarsLive.com or InfoWarsStore.com to order Occupower.
[00:06:49.473 --> 00:06:49.953]  Or call 1-888-253-3139.
[00:06:49.953 --> 00:06:50.393]  Occupower.
[00:06:50.393 --> 00:06:51.174]  Open your eyes.
[00:06:58.655 --> 00:07:02.799]  You've heard about the essential qualities of iodine when it comes to your well-being.
[00:07:02.799 --> 00:07:07.343]  And you've read the opinions of top experts regarding this good member of the halogen family.
[00:07:07.343 --> 00:07:13.849]  Still, reports indicate that iodine is absent in sufficient amounts from the daily lives of countless people worldwide.
[00:07:13.849 --> 00:07:17.853]  Now, our extra-strength new nascent iodine formula is here.
[00:07:17.853 --> 00:07:19.514]  Survival Shield X2.
[00:07:19.514 --> 00:07:23.478]  Leading the way into the next generation of super high-quality nascent iodine.
[00:07:23.658 --> 00:07:32.344]  InfoWars Life Survival Shield X2 is derived from 200-plus million-year-old salt solutions found more than 7,000 feet below the Earth's surface.
[00:07:32.344 --> 00:07:40.430]  The result is a unique nascent iodine that is both concentrated and free of unwanted additives, genetically modified ingredients, and completely vegan.
[00:07:40.430 --> 00:07:44.113]  We even pre-screen our Survival Shield X2 iodine for radiation.
[00:07:44.113 --> 00:07:49.897]  Pure, clean, and sourced from deep within the Earth, X2 nascent iodine is available exclusively at
[00:07:50.057 --> 00:07:53.601]  Infowarslife.com, Infowarsstore.com, or call 1-888-253-3139.
[00:07:53.601 --> 00:08:03.233]  Defending the Republic from enemies foreign and domestic, it's Alex Jones!
[00:08:32.406 --> 00:08:37.110]  We're here, my friends, by the grace of God, Monday through Friday, from 11 a.m.
[00:08:37.110 --> 00:08:38.651]  to 2 p.m.
