[00:00:00.229 --> 00:00:00.590]  Call 888-253-3139.
[00:00:19.195 --> 00:00:23.379]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:24.020 --> 00:00:24.821]  You want answers?
[00:00:25.601 --> 00:00:26.502]  Well, so does he.
[00:00:27.163 --> 00:00:30.767]  He's Alex Jones on the GCN Radio Network.
[00:00:31.347 --> 00:00:35.411]  And now, live from Austin, Texas, Alex Jones.
[00:00:39.901 --> 00:00:41.122]  Welcome to the Alex Jones Show.
[00:00:41.162 --> 00:00:42.603]  I'm David Knight filling in for Alex.
[00:00:43.303 --> 00:00:45.264]  We have an exciting program today.
[00:00:45.284 --> 00:00:47.806]  We're going to be talking to Paul Joseph Watson at the bottom of the hour.
[00:00:47.826 --> 00:00:53.349]  We're going to be talking to him about the Ukraine and also about parental rights again in the UK.
[00:00:53.409 --> 00:00:56.471]  They are rolling out what we talked about last week when Paul was on with us.
[00:00:56.992 --> 00:01:03.376]  We talked about a bill in Scotland that was introduced about a year ago, but it was just passed within the last week.
[00:01:04.016 --> 00:01:11.201]  Or so, and what they did was they assigned a government minder to every child at birth.
[00:01:12.182 --> 00:01:20.747]  And the government is going to stay there and monitor those children from birth through 18 years of age, always looking over the shoulder of the parents.
[00:01:20.787 --> 00:01:29.934]  But what's really troubling about this, of course, is that the assumption is that the government has the interests of the child at heart better than the parents do.
[00:01:30.754 --> 00:01:36.316]  That some stranger can do this with several different children better than the parents can.
[00:01:36.336 --> 00:01:37.677]  That they should be making the decisions.
[00:01:37.717 --> 00:01:42.478]  And of course we see this happening not just in the UK, but we see this happening in America in court decisions.
[00:01:43.399 --> 00:01:51.582]  Just the case that happened last week or so in Connecticut where the parents were given two different diagnoses by two different hospitals.
[00:01:52.705 --> 00:02:00.848]  One of them said that her child was sick with a physical problem, the other one said that it was psychological, and they were two very well-known, respected institutions.
[00:02:00.928 --> 00:02:09.410]  One was Tufts, the other was Boston's Children's Hospital, and instead of allowing the parents to make the decision, the judge made the decision, took the children away.
[00:02:09.450 --> 00:02:15.092]  Well, we see that's happening again now, but in London, the story that Paul Joseph Watson just had today in London,
[00:02:15.792 --> 00:02:27.255]  We see the mayor saying that if the children are being radicalized, if maybe they have a philosophy of hate that's being taught to them, then maybe the government should step in and take these children away.
[00:02:28.136 --> 00:02:29.796]  Now, who defines what radical is?
[00:02:29.836 --> 00:02:30.936]  Who defines what hate is?
[00:02:30.976 --> 00:02:36.098]  You might think that these are kind of keywords that he's throwing out there, that this is being aimed at the Muslim community.
[00:02:37.139 --> 00:02:38.940]  at some radical Muslims in the community.
[00:02:39.601 --> 00:02:48.887]  But just remember that in the United States we've had mainstream Christian groups accused of being hate groups because they support traditional marriage.
[00:02:49.707 --> 00:02:58.453]  We've seen the military training against patriots, people who talk about limited government, people who are conservatives, people who are libertarians, identifying them
[00:02:59.113 --> 00:02:59.853]  As dangerous.
[00:02:59.953 --> 00:03:09.036]  And we see people singled out in the United States by the military when they have their scenarios because they're gun owners or because they belong to a political party or voted for someone.
[00:03:09.056 --> 00:03:16.678]  We see that the fusion centers, the Mayak fusion center targeted people who had voted for Ron Paul or people who had voted for Chuck Baldwin.
[00:03:17.058 --> 00:03:20.039]  These are people, if they've got a bumper sticker on their car like that, watch out for them.
[00:03:20.059 --> 00:03:20.759]  They're dangerous people.
[00:03:20.799 --> 00:03:25.501]  So how long is it going to be before they start coming after children of people like that?
[00:03:26.155 --> 00:03:27.517]  So that's one of the stories we're going to be covering.
[00:03:27.997 --> 00:03:31.641]  But, you know, we're going to be talking to Kathleen Willey in the third hour.
[00:03:32.322 --> 00:03:36.326]  And if you don't remember her name, she was one of the women that Bill Clinton came after.
[00:03:36.346 --> 00:03:42.453]  And it was a very interesting time 20 years ago when this was breaking down.
[00:03:42.473 --> 00:03:43.835]  Maybe it was about 15 years ago.
[00:03:44.744 --> 00:03:45.485]  It still matters.
[00:03:46.165 --> 00:03:50.888]  And it doesn't just matter because Hillary Clinton is going to be running for president, most likely.
[00:03:51.088 --> 00:03:53.230]  It matters because character matters.
[00:03:53.390 --> 00:04:08.320]  If we don't want character, if we don't want integrity, if we don't care if our chief executive breaks the law, lies under oath, then what we wind up with is we wind up with a situation where we get a president who lies about weapons of mass destruction next.
