[00:00:19.755 --> 00:00:21.656]  Welcome to the InfoWars Nightly News.
[00:00:21.696 --> 00:00:25.618]  It is Friday, November 7th, 2014, and I'm Leanne McAdoo.
[00:00:25.838 --> 00:00:27.098]  Here are tonight's top stories.
[00:00:29.179 --> 00:00:29.639]  Tonight.
[00:00:31.560 --> 00:00:35.842]  Houston residents are urged to play dead in the event of a home invasion.
[00:00:36.603 --> 00:00:38.643]  And the tale of Bin Laden's death.
[00:00:39.064 --> 00:00:39.844]  Osama Bin Laden!
[00:00:39.864 --> 00:00:41.965]  And he goes, who's asking?
[00:00:42.605 --> 00:00:44.186]  I'm like, the U.S.
[00:00:44.246 --> 00:00:44.966]  of A, mother******.
[00:00:46.487 --> 00:00:46.707]  Bam.
[00:00:47.908 --> 00:00:48.568]  That's next.
[00:00:49.451 --> 00:00:54.801]  Well, former Navy SEAL reveals that he is the man that killed Huffmagic Dragon.
[00:00:55.482 --> 00:00:56.444]  He promises he did.
[00:00:58.871 --> 00:01:07.678]  Well, if you are a member of the draconian EU government there in France today, well, I guess we can say that the stuff has hit the fan.
[00:01:08.278 --> 00:01:08.839]  Literally.
[00:01:09.199 --> 00:01:10.660]  Now, these are French farmers.
[00:01:10.780 --> 00:01:19.707]  They sprayed government buildings in Paris and Toulouse with feces today in protest against environmental regulations and high taxes.
[00:01:20.207 --> 00:01:28.414]  In a show of protest against expressing their anger at collapsing prices, increased environmental regulations, cheap imports and high costs,
[00:01:28.974 --> 00:01:33.335]  Thousands took to the streets dumping pumpkins, potatoes, and carrots.
[00:01:33.715 --> 00:01:40.097]  They burned cars, flung apples, and sprayed feces all over a government building in Toulouse.
[00:01:40.517 --> 00:01:42.158]  This is coming at a zero hedge.
[00:01:42.518 --> 00:01:44.838]  They say the French are not amused.
[00:01:45.279 --> 00:01:57.402]  Farmers protested against the French government's enforcement of a 1991 EU directive which forces farmers to make costly upgrades to infrastructure in order to comply with the regulation that's aimed at curbing
[00:01:57.882 --> 00:02:08.569]  Nitrate pollution, the government's stringent regulations don't apply to foreign competition, and of course this is a factor that is forcing many farmers there out of business.
[00:02:09.209 --> 00:02:22.257]  So of course the French have been struggling under massive economic woes, record unemployment, and now the farmers are fighting back because they're being put out of business so that the country can ship in all of these foreign goods.
[00:02:22.637 --> 00:02:23.578]  So that's a big issue.
[00:02:23.638 --> 00:02:25.700]  You've got to support local by local.
[00:02:26.200 --> 00:02:33.066]  And they just decided they were going to dump all of this manure that they couldn't use right there at the feet of their government.
[00:02:33.426 --> 00:02:41.273]  But an economist has warned that rampant corruption combined with these economic woes are going to spark revolution here in the U.S.
[00:02:41.413 --> 00:02:41.833]  by 2016.
[00:02:42.294 --> 00:02:46.617]  Economist Martin Armstrong writes, that is the magic ingredient.
[00:02:46.918 --> 00:02:50.641]  Turn the economy down and you get civil unrest and revolution.
[00:02:51.041 --> 00:02:52.442]  Now we've reported that the U.S.
[00:02:52.522 --> 00:02:55.163]  Army is preparing for civil unrest in the U.S.
[00:02:55.603 --> 00:02:59.104]  citing a 132 page document entitled U.S.
[00:02:59.224 --> 00:03:12.689]  Army Techniques Publication 339 Civil Disturbances and it outlines how troops may be required to deal with unruly and violent crowds where it is necessary to quell riots and restore public order.
[00:03:13.169 --> 00:03:14.450]  Now these are the kind of riots that
[00:03:14.810 --> 00:03:37.775]  Rocked Ferguson Missouri earlier this year and of course are threatening to reignite should officer Darren Wilson be acquitted and of course those riots just illustrate how quickly things can escalate now the Atlanta Police Department is preparing for unrest of course in the aftermath of the grand jury verdict in the case of officer Darren Wilson that's expected to be announced this weekend
[00:03:38.275 --> 00:03:42.760]  The department is just one of many from across the country that are gearing up for potential disorder.
[00:03:43.200 --> 00:03:51.489]  This should be if Wilson is acquitted of the August 9th killing of 18-year-old Michael Brown, and it's an outcome that is widely expected.
