[00:00:19.497 --> 00:00:21.020]  Welcome to NAMFA Wars Nightly News.
[00:00:21.120 --> 00:00:21.802]  I'm David Knight.
[00:00:21.862 --> 00:00:22.243]  It's July 17, 2014.
[00:00:22.303 --> 00:00:23.165]  Here are our top stories.
[00:00:30.061 --> 00:00:34.824]  The political blame game begins after a flight is shot down in Ukraine.
[00:00:35.884 --> 00:00:43.369]  And President Obama proves that the pen is mightier than the AK-47 as he signs away Second Amendment rights.
[00:00:44.009 --> 00:00:47.271]  That's next on the Info Wars Nightly News.
[00:00:47.951 --> 00:00:49.152]  They're going for broke!
[00:00:49.352 --> 00:00:50.833]  This is it, dumbasses!
[00:00:51.013 --> 00:00:52.974]  There's no more time to screw around!
[00:00:53.254 --> 00:00:55.035]  Get yourselves in gear, police!
[00:00:55.195 --> 00:00:56.256]  Let's serve this system!
[00:00:56.576 --> 00:00:58.137]  Well, war is breaking out everywhere.
[00:00:58.157 --> 00:01:07.623]  We have two stories, one about an airliner that shot down in the Ukraine, and that is being used by many parties to try to push for a broader, more escalated war.
[00:01:08.043 --> 00:01:10.385]  Also, Israel has invaded Gaza.
[00:01:10.405 --> 00:01:14.527]  We're going to cover both of those tonight, but first, the airline in the Ukraine.
[00:01:14.547 --> 00:01:19.631]  The FAA has been warning for quite some time for planes not to fly over that area.
[00:01:20.191 --> 00:01:21.852]  The FAA prohibited U.S.
[00:01:21.952 --> 00:01:28.017]  airlines back on April the 25th from flying over the disputed area where this plane was shot down.
[00:01:28.558 --> 00:01:34.342]  And also, the United Nations warned airlines back in April 3rd to avoid the area.
[00:01:34.382 --> 00:01:36.884]  Nevertheless, they did fly over this area.
[00:01:37.525 --> 00:01:39.687]  295 people have been killed.
[00:01:39.767 --> 00:01:41.268]  No survivors from that plane.
[00:01:41.889 --> 00:01:43.089]  It's a great tragedy.
[00:01:43.590 --> 00:01:44.751]  But the greater tragedy
[00:01:45.131 --> 00:01:49.935]  Would be to allow forces to expand this into a world war.
[00:01:50.356 --> 00:01:56.040]  And we've seen that narrative being used over and over again, just as we saw in Syria a year ago.
[00:01:56.841 --> 00:02:05.368]  Remember that it was just one minor royal figure who was shot that triggered World War One a hundred years ago, approximately.
[00:02:06.149 --> 00:02:12.034]  How much more so could they use the death of 295 people to try to start World War III?
[00:02:12.754 --> 00:02:16.517]  Well the question on everybody's mind now is who shot down the Malaysian airliner?
[00:02:16.997 --> 00:02:26.024]  There is a report that Paul Joseph Watson has put up, very good report, analyzing what at this moment everybody is saying pro and con from both different sides.
[00:02:26.805 --> 00:02:30.368]  We're going to look though more at the press coverage and what the
[00:02:30.948 --> 00:02:34.149]  People in the United States government are using to try to push for war.
[00:02:34.450 --> 00:02:38.191]  How that's being echoed by CNN and others to push for it.
[00:02:38.951 --> 00:02:50.616]  Now the Western press has wasted no time at all in immediately identifying the precise missile that was used and of course identifying pro-Russian forces as being the ones who shot it down.
[00:02:51.157 --> 00:02:59.120]  We see on CNN and here's a story from the Mirror in the UK showing the Buk Russian-built surface-to-air missile launcher.
[00:02:59.580 --> 00:03:11.395]  Now they're saying that the altitude that this took place rules out the 15,000 approximately man-pad surface-to-air missiles that the American government has put in the hands of terrorists worldwide.
[00:03:11.415 --> 00:03:15.821]  So they say it needs to be something other than that, and they're identifying this Buk launcher.
[00:03:16.622 --> 00:03:25.508]  Now, they don't have anything really to go on except for a tweet that was put up momentarily and then taken down supposedly by the rebel forces.
[00:03:25.528 --> 00:03:29.030]  They supposedly tweeted out that they had shot it down and that came down.
[00:03:29.551 --> 00:03:44.041]  That should be suspicious to anybody who's been watching what's been revealed in the last couple of weeks from the Snowden documents showing that the government has an all-out campaign to control public opinion through social media.
[00:03:44.801 --> 00:03:46.962]  But look at where they're coming from with this.
[00:03:47.002 --> 00:03:53.324]  They point out that the rebels had these Buk launchers, that they stole them from the Ukrainian government.
[00:03:54.004 --> 00:03:57.985]  Well, if they stole them from the Ukrainian government, the Ukrainian government still has them.
[00:03:58.205 --> 00:04:00.666]  Look at this article going back to July.
[00:04:01.326 --> 00:04:10.910]  This is the 5th of July and the caption on this picture says, Ukrainian government forces are maneuvering anti-aircraft missile launchers, Buk launchers, as they're being transported.
[00:04:11.010 --> 00:04:11.790]  So they're
[00:04:12.330 --> 00:04:14.351]  The Ukrainian government has it as well.
[00:04:14.771 --> 00:04:17.812]  Then we see a story from about six days earlier.
[00:04:18.212 --> 00:04:29.216]  On June 29th, there was a story that came out of ITAR-TASS news agency, saying that the Donetsk Defense Forces have taken control of an army unit equipped with missile defense systems.
[00:04:29.256 --> 00:04:37.739]  And again, they identified that same Buk missile system, saying, however, that they don't know the number or the condition of the missiles that they have.
[00:04:38.419 --> 00:04:40.961]  Now, this should sound very, very similar.
