[00:00:19.585 --> 00:00:21.566]  Welcome to the Info Wars Nightly News.
[00:00:21.606 --> 00:00:25.829]  It is Tuesday, August 19th, 2014, and I'm Leanne McAdoo.
[00:00:26.589 --> 00:00:30.532]  Well, we have an extended version of the show tonight, so let's get right into it.
[00:00:30.992 --> 00:00:42.419]  Let's take a look at what happened last night at the press conference in Ferguson, Missouri, when Joe Biggs and our writer, who's off camera, Kit Daniels, confronted Police Captain Ron Johnson.
[00:00:43.615 --> 00:00:45.378]  We do not want to lose.
[00:00:57.836 --> 00:01:06.185]  Clearly, Captain Johnson has been trained to ignore questions from real reporters, and you saw he was just pointing out and searching for those journalists who have a corporate affiliation.
[00:01:19.580 --> 00:01:31.284]  As if the First Amendment says anything about press having specific press badges or $50,000 cameras that let everyone know that they are actually the press.
[00:01:31.684 --> 00:01:37.567]  Now Johnson of course failed to address why the police in Missouri had to have paramilitary uniforms.
[00:01:38.787 --> 00:01:42.848]  No other members of the mainstream media pressed him on this issue.
[00:01:43.228 --> 00:01:47.889]  And in fact, they rallied around the beefing up of the police state.
[00:01:48.829 --> 00:02:03.752]  MSNBC host Ed Schultz suggested on his show last night that police like these here in Ferguson, Missouri, they might have to be in this military gear in order to deal with the threat posed by anti-government groups.
[00:02:04.412 --> 00:02:11.479]  But the Department of Homeland Security recently came out with a report saying that the biggest threat to our security is here within our own borders.
[00:02:11.499 --> 00:02:23.472]  There's a lot of anti-government groups that have propped up in this country, hate groups that have propped up in this country, and law enforcement in that respect feels pretty much outgunned and they want to be prepared.
[00:02:23.812 --> 00:02:36.302]  So apparently Schultz thinks that it's perfectly reasonable for the police to have armored vehicles and military weapons against some Americans as long as their political opinions can be skewed as anti-government.
[00:02:36.862 --> 00:02:40.365]  Now this has moved far beyond justice for Mike Brown at this point.
[00:02:40.705 --> 00:02:43.187]  What's happening is the media has moved in
[00:02:43.647 --> 00:02:49.312]  And now they're trying to justify the need for all of this heavy military equipment.
[00:02:49.672 --> 00:02:55.517]  But the question, you know, it was kind of why is our government heavily arming the police to now, why not?
[00:02:55.577 --> 00:03:01.942]  Of course they're going to need these, these equipment to fight against these rioters and these looters and these dangerous people.
[00:03:01.962 --> 00:03:10.329]  A CNN anchor today actually called out for water cannons to be used on the protesters in Ferguson.
[00:03:10.990 --> 00:03:21.776]  Talk to us about what police are saying to you, why they're using this strategy, why the use of tear gas, stun grenades, why not perhaps use water cannon?
[00:03:22.717 --> 00:03:28.120]  At least it's not going to have the same sort of effect, or maybe something that targets this small group.
[00:03:28.220 --> 00:03:33.063]  As you say, this blanket cover of everybody involved, everyone struck by the tear gas.
[00:03:33.303 --> 00:03:44.527]  So viewers of course immediately took to Twitter to point out the historical context behind using water hoses on a predominantly African-American crowd there.
[00:03:45.087 --> 00:03:47.508]  And you can see all those pictures there.
[00:03:47.808 --> 00:03:51.289]  People angrily tweeting out a lot of things there from the 60s when the
[00:03:53.630 --> 00:03:54.251]  Water hoses
[00:04:23.910 --> 00:04:25.813]  First of all, it does not make it okay.
[00:04:26.233 --> 00:04:32.961]  Are water cannons a less lethal form of police abuse against peaceful protesters?
[00:04:33.341 --> 00:04:35.624]  I wonder if this man feels that way.
[00:04:36.004 --> 00:04:37.926]  Dietrich Wagner was blinded.
[00:04:38.627 --> 00:04:50.454]  After he took the full force of a water cannon during an environmental protest, his eyelids were torn, the lenses of his eyes were damaged, and part of his orbital bone was fractured.
[00:04:50.755 --> 00:04:56.098]  This man had his eyeballs ripped out of his face because of the force of the water cannon.
[00:04:56.258 --> 00:05:01.922]  And there at that particular event where they were protesting the cutting down of trees,
[00:05:03.162 --> 00:05:11.506]  116 people were injured when the police turned on these water cannons, and of course they used pepper spray and batons on the crowd as well.
[00:05:11.846 --> 00:05:20.270]  But here we have people saying, oh, the water cannons, whatever, it's fine, the police should use these things against peaceful protesters.
[00:05:20.811 --> 00:05:27.254]  People are protesting in the UK about the rise of tuition, so let's just go ahead and spray them with tear gas.
[00:05:27.594 --> 00:05:29.195]  Why are people saying that this is okay?
