[00:00:00.287 --> 00:00:01.129]  Let's do this!
[00:00:05.017 --> 00:00:06.318]  Big Brother.
[00:00:06.318 --> 00:00:08.079]  Mainstream media.
[00:00:08.079 --> 00:00:09.840]  Government cover-ups.
[00:00:09.840 --> 00:00:11.442]  You want answers?
[00:00:11.442 --> 00:00:12.983]  Well, so does he.
[00:00:12.983 --> 00:00:17.166]  He's Alex Jones on the GCN Radio Network.
[00:00:17.166 --> 00:00:28.214]  And now, live from Austin, Texas, Alex Jones.
[00:00:28.214 --> 00:00:30.695]  We're going to be covering the latest
[00:00:31.836 --> 00:00:53.186]  ...event that will be used like Trayvon Martin to promote racial division in this country, and to make that the only issue, not the globalists that are literally de-industrializing the country and artificially creating a climate of poverty as a tool of social control.
[00:00:53.186 --> 00:01:00.330]  We will get into that today, but there is so much, so many other important stories that we've got to get to.
[00:01:01.368 --> 00:01:28.326]  And yes, now Trayvon Martin's family attorney is to represent the slain Missouri teen and InfoWars.com has discovered tweeted photos taken by citizens in Ferguson, Missouri of looters wearing Remember Trayvon Martin, Rest in Peace Trayvon Martin shirts.
[00:01:28.326 --> 00:01:29.687]  So the answer
[00:01:30.953 --> 00:01:45.539]  When the police questionably shoot an unarmed black teen is not to burn down grocery stores and convenience stores and people's houses and to burn up cars in your own neighborhood.
[00:01:45.539 --> 00:01:52.462]  The answer would be to get politically involved and go after the police department if they've been proven wrong.
[00:01:53.854 --> 00:02:02.680]  But doing stuff like this will only make the relations between the police and the black community that much worse.
[00:02:02.680 --> 00:02:06.443]  And this is just a little forte, a little hors d'oeuvre.
[00:02:08.012 --> 00:02:23.179]  In the future of this nation, especially when the media like MSNBC and the White House only have race baiting and racial politics as their issues.
[00:02:23.179 --> 00:02:26.521]  Because they're not delivering on any other front.
[00:02:26.521 --> 00:02:29.622]  They're not delivering jobs, they're not even delivering bigger welfare checks.
[00:02:29.622 --> 00:02:30.903]  They're just delivering collapse.
[00:02:32.554 --> 00:02:40.891]  And their own people, that have gotten basically raised on welfare across the political spectrum, are getting antsy, are getting restless.
[00:02:40.891 --> 00:02:43.436]  And the answer is, let's just have a war with the police.
[00:02:45.560 --> 00:02:54.743]  Which is only going to then have the police be driven into the arms of the feds, who are really globalist and have been occupied by the New World Order.
[00:02:54.743 --> 00:03:06.588]  They will then federalize the police, create federal command centers, militarize them, and then they will bait and switch and use the paramilitary police on gun owners, returning veterans, Christians, conservatives, libertarians.
[00:03:07.654 --> 00:03:17.878]  There's another photo in Paul Watson's article confirmed by local news to be Bradley fighting vehicles rolling out to be refitted for homeland security.
[00:03:17.878 --> 00:03:25.401]  People saw them rolling through the town last night as things were burning and were cheering the National Guards here.
[00:03:25.401 --> 00:03:28.722]  Obama has sent them because they've been federalized.
[00:03:28.722 --> 00:03:31.984]  No, the governor didn't send them.
[00:03:31.984 --> 00:03:33.924]  The president didn't send them.
[00:03:33.924 --> 00:03:35.365]  The Bradley fighting vehicles
[00:03:37.097 --> 00:03:43.600]  Are being sent for Homeland Security and Northcom for the American people and gun owners.
[00:03:43.600 --> 00:04:02.589]  And Obama told the New York Times over the weekend, in an article published in the New York Times, he did the interview a week ago, and they're reportedly going to put video out later in the interview as well, but it's text right now, that the number one threat to America is conservatives and extremist ideology that is quote, taken over the GOP.
[00:04:04.465 --> 00:04:06.026]  Well, it is true.
[00:04:06.026 --> 00:04:19.012]  The libertarian, reality-based, survival movement is taking over the GOP because the GOP leadership has sold out to the globalists, and so we're kicking these people out.
[00:04:19.012 --> 00:04:20.632]  Not just Eric Cantor.
[00:04:20.632 --> 00:04:22.433]  The march is on.
[00:04:22.433 --> 00:04:23.514]  And so this is the threat.
[00:04:23.514 --> 00:04:26.095]  The Tea Party is the threat to the globalists.
[00:04:26.095 --> 00:04:28.516]  Not that it's perfect, but it is real opposition.
[00:04:29.639 --> 00:04:36.663]  Doesn't want to bankrupt the country, doesn't want to take the guns, doesn't want to open the borders, doesn't want to fund Al-Qaeda.
[00:04:36.663 --> 00:04:41.807]  And so, they are coming after the American people.
[00:04:41.807 --> 00:04:45.749]  That's a Breitbart article, it's not InfoWars.com or PrisonPlanet.com.
[00:04:45.749 --> 00:04:56.856]  I'm glad that Breitbart is finally reporting on one of the New York Times reports that they're preparing for war with people that don't engage in burning down buildings.
[00:04:59.076 --> 00:05:01.558]  This is Scottish John for InfoWars.com.
[00:05:01.558 --> 00:05:08.262]  I know that most of you here in this commercial already know about the New World Order, eugenics, and all the other issues covered here at InfoWars.
[00:05:08.262 --> 00:05:11.044]  The question is, do your friends and family know?
[00:05:11.044 --> 00:05:12.985]  If not, then I want to know why.
[00:05:12.985 --> 00:05:15.287]  Oh, I know it's tough to talk about this with some people.
[00:05:15.287 --> 00:05:19.510]  They might call you names, or they just want to talk about sports, or soap operas.
[00:05:19.770 --> 00:05:20.932]  I say, so what?
[00:05:20.932 --> 00:05:23.135]  There's a battle going on out there right now.
[00:05:23.135 --> 00:05:26.520]  The ammunition is information, and the soldiers are you.
[00:05:26.520 --> 00:05:30.786]  It's time to transform your game from passive listener to active participant.
[00:05:30.786 --> 00:05:35.113]  We from Scotland have had our skin in this game for the greater part of the last thousand years.
[00:05:35.353 --> 00:05:36.614]  And I'm still fighting.
[00:05:36.614 --> 00:05:39.836]  If we don't all stand up right now, we're gonna lose everything.
[00:05:39.836 --> 00:05:41.658]  The Infowar is worldwide.
[00:05:41.658 --> 00:05:45.981]  Tell your friends about Infowars and let them know that Infowars doesn't print bull.
[00:05:45.981 --> 00:05:49.704]  It's real journalism and news backed up by documented fact.
[00:05:49.704 --> 00:05:56.949]  Step up and take your friends and family to Infowars.com, PrisonPlanet.tv and PlanetInfowars.com.
[00:05:56.949 --> 00:05:58.411]  The truth will set them free.
