[00:00:00.009 --> 00:00:00.695]  Alex Jones Show!
[00:00:13.308 --> 00:00:17.471]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:18.151 --> 00:00:18.952]  You want answers?
[00:00:19.732 --> 00:00:20.653]  Well, so does he.
[00:00:21.273 --> 00:00:24.955]  He's Alex Jones on the GCN Radio Network.
[00:00:25.476 --> 00:00:29.558]  And now, live from Austin, Texas, Alex Jones.
[00:00:30.459 --> 00:00:38.104]  The really important news today from the Associated Press, man hospitalized after winning eggnog chugging contest.
[00:00:39.565 --> 00:00:41.946]  Just a couple cups of eggnog makes me want to throw up.
[00:00:42.266 --> 00:00:43.606]  It's so thick, it tastes great.
[00:00:44.346 --> 00:00:47.907]  Can you imagine, though, if our broadcast was just fluff news like that?
[00:00:48.467 --> 00:00:54.868]  It'd probably be pretty entertaining, but nevertheless we won't be discussing any eggnog chugging contest here today.
[00:00:54.888 --> 00:01:01.029]  We will be discussing the serious sociological and economic developments taking place across the world.
[00:01:01.570 --> 00:01:02.990]  ABC News reports after
[00:01:03.710 --> 00:01:14.297]  NYC deaths of police officers, a surge of support for police rocker John Bon Jovi donned a New York Police Department t-shirt on stage.
[00:01:14.357 --> 00:01:18.519]  Well-wishers delivered home-baked cookies by the hundreds to police in Cincinnati.
[00:01:19.080 --> 00:01:25.784]  In Mooresville, North Carolina, police and sheriff's officers were treated by residents to a chili dinner.
[00:01:27.492 --> 00:01:34.837]  At a time when many in the nation's police community feel embattled, Americans in cities and towns across the country are making an effort to express support and gratitude.
[00:01:36.558 --> 00:01:41.661]  And that sounds good on the surface, and overall I think it's good for the public to reach out to police, police reach out to the public.
[00:01:42.882 --> 00:01:45.844]  The social engineers want to set each other's throats in a divide and conquer.
[00:01:47.816 --> 00:02:02.163]  But by Democratic Party, Socialist-financed, basically mind-controlled idiots going out and shooting innocent police in cold blood, it will then cause an us-against-them mentality of just totally joining one side or the other.
[00:02:03.004 --> 00:02:08.507]  And there are massive abuses going on inside governmental systems across the board, not just police.
[00:02:09.567 --> 00:02:11.028]  So it short-circuits the debate
[00:02:12.518 --> 00:02:18.002]  Into just debating police versus citizens instead of everything else going on above that.
[00:02:19.803 --> 00:02:23.385]  And the divide and conquer is playing off quite nicely right now.
[00:02:26.967 --> 00:02:35.653]  They're trying to divide the lines by police and whites on one side and everybody else on the other when this country's already basically majority minority in most areas of the nation.
[00:02:37.205 --> 00:02:46.658]  It needs to be about a culture based on Bill of Rights, Constitution, not what color you are or what all your other beliefs are in my view.
[00:02:46.678 --> 00:02:54.769]  It needs to be first, we agree on free market, we agree on private property, we agree on due process, we agree on not having barbarism.
[00:02:56.650 --> 00:02:58.571]  Like you have in Chicago and New York and D.C.
[00:02:58.591 --> 00:02:59.271]  with the gunman's.
[00:02:59.891 --> 00:03:06.995]  We want to give the individual the best shot at being empowered, and that means letting the individual struggle as well.
[00:03:07.975 --> 00:03:15.999]  Because history has shown diversity makes men, prosperity makes monsters, to quote Victor Hugo, one of my favorite people to quote.
[00:03:17.019 --> 00:03:20.500]  And I'm here to tell you, no army can stop an idea whose time has come.
[00:03:21.241 --> 00:03:23.422]  We've got so much news today.
[00:03:23.442 --> 00:03:25.843]  I saw this report
[00:03:27.236 --> 00:03:34.979]  On Infowars.com yesterday, and I thought, man, this is one of Paul Watson's best reports.
[00:03:36.520 --> 00:03:39.821]  And then sure enough, it was on DrudgeReport.com this morning.
[00:03:40.581 --> 00:03:41.361]  Middle column.
[00:03:42.242 --> 00:03:45.023]  Was FBI wrong on North Korea?
[00:03:45.903 --> 00:03:47.364]  Sony was not just hacked.
[00:03:47.564 --> 00:03:51.465]  This is a company that was essentially nuked from the inside.
[00:03:52.025 --> 00:03:55.847]  CBS News has now been forced to report.
[00:03:57.642 --> 00:03:59.083]  Was the FBI wrong in North Korea?
[00:03:59.123 --> 00:04:01.363]  Of course they were, ladies and gentlemen, on purpose.
[00:04:01.704 --> 00:04:07.926]  It was the FBI originally that came out and said it was an inside job two weeks ago.
[00:04:08.826 --> 00:04:18.470]  Two weeks ago, and Paul Watson has the article in his video report that Drudge is linked to, marketing scam, Sony to show the interview on Christmas Day in theaters.
[00:04:19.810 --> 00:04:23.892]  And I intuitively guessed it'd be Alamo Draft House Nationwide, and boom, I was correct.
[00:04:25.009 --> 00:04:39.132]  Because I know the Alamo is bucking, I know the owner, to try to air it even, and try to demand Sony give it to them, so they were the first to reach out, but... This is a total example of a stage-managed event.
