[00:00:00.450 --> 00:00:03.317]  Coast to Coast, direct from Austin.
[00:00:04.039 --> 00:00:07.267]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.885 --> 00:00:16.525]  Big Brother.
[00:00:17.186 --> 00:00:18.206]  Mainstream media.
[00:00:18.946 --> 00:00:20.067]  Government cover-ups.
[00:00:20.707 --> 00:00:21.507]  You want answers?
[00:00:22.288 --> 00:00:23.188]  Well, so does he.
[00:00:23.828 --> 00:00:27.430]  He's Alex Jones on the GCN Radio Network.
[00:00:28.030 --> 00:00:32.072]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.699 --> 00:00:40.603]  Welcome to the Alex Jones Show on this Friday, the 6th of June, the 70th anniversary of D-Day.
[00:00:41.403 --> 00:00:47.227]  The day that began the end of the war in Europe, where so many people paid the ultimate sacrifice.
[00:00:48.147 --> 00:00:54.031]  We're going to be joined later in the show with Alex Jones, as well as with Anthony Gucciardi and Dr. Group.
[00:00:54.091 --> 00:00:55.092]  We're going to be talking about
[00:00:56.192 --> 00:00:58.533]  Taking control of your individual health.
[00:00:59.073 --> 00:01:00.474]  And why should you do that?
[00:01:00.554 --> 00:01:03.175]  It's not just for your health benefits.
[00:01:03.776 --> 00:01:11.399]  There are many other things that are pulled in here as we're reminded by some of the breaking news today and a couple of stories on InfoWars.
[00:01:11.439 --> 00:01:13.040]  The first one by Paul Joseph Watson.
[00:01:13.080 --> 00:01:19.763]  A new medical law is mandating private conversation with a child before every doctor visit.
[00:01:20.874 --> 00:01:27.342]  You need to take control of your health care because you don't want to be pulled into this metastasizing surveillance state.
[00:01:27.683 --> 00:01:35.452]  Another article out today on InfoWars from John Rappaport, Obama says, Obamacare, watch out, here comes predictive modeling.
[00:01:36.133 --> 00:01:39.257]  They're going to be using all kinds of metadata about
[00:01:39.958 --> 00:01:44.000]  Your medical history to infer things about your private life.
[00:01:44.581 --> 00:01:50.184]  You're going to be under a microscope if you have to participate in this government-run health care system.
[00:01:50.624 --> 00:01:52.966]  But this is very, very egregious.
[00:01:53.006 --> 00:01:59.209]  Not only can they get into your life, they can basically destroy your family if they're going to mandate this.
[00:01:59.249 --> 00:02:06.354]  And this lady who went there was told that there was no way for her to opt out of a private consultation with her 17-year-old daughter.
[00:02:07.174 --> 00:02:09.077]  She was told that that was a new law.
[00:02:09.177 --> 00:02:12.702]  She had no other options, but this is an amazing story.
[00:02:12.722 --> 00:02:13.724]  We're going to go into that.
[00:02:14.264 --> 00:02:18.110]  We also have a breaking story about a shooting in Seattle.
[00:02:19.073 --> 00:02:22.734]  Christian School, it was stopped by one brave person.
[00:02:23.314 --> 00:02:25.015]  This guy did not have a gun.
[00:02:25.455 --> 00:02:26.555]  He had pepper spray.
[00:02:27.055 --> 00:02:29.576]  But he was able to stop the shooting.
