[00:00:00.029 --> 00:00:04.954]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:00:05.094 --> 00:00:07.216]  It comes out to like 1.6 billion rounds.
[00:00:07.336 --> 00:00:12.902]  One thing that has unified Democrats and Republicans, everybody in between, is that we all hated the bank bailout.
[00:00:13.082 --> 00:00:16.285]  Either you are with us, or you are with the terrorists.
[00:00:16.566 --> 00:00:18.427]  Time to choose sides is now.
[00:00:23.717 --> 00:00:27.101]  Ladies and gentlemen, this is an emergency transmission.
[00:00:27.421 --> 00:00:35.169]  The United States government has been taken over by a shadow government, a criminal element that spies on the American people.
[00:00:35.530 --> 00:00:42.377]  It launches false flag terror attacks on its own citizens and it starts illegal and unjust wars for
[00:00:42.777 --> 00:00:54.343]  Well, for resources and imperial control, and they're hell-bent on destroying what's left of our constitutional republic in order to establish a one-world government in its ruins.
[00:00:54.763 --> 00:01:08.810]  Those of you watching our broadcast for the first time tonight, well, I'm sure you've figured out by now that you're not watching the mainstream news media, because the truth will not be televised, at least not by any of the mainstream television news networks,
[00:01:09.130 --> 00:01:09.550]  Thank you.
[00:01:31.459 --> 00:01:36.581]  Tonight, a massive buildup of Russian troops on the Ukrainian border in the last 48 hours.
[00:01:37.001 --> 00:01:39.843]  And is the government hiding suspected Ebola cases from the public?
[00:01:39.943 --> 00:01:44.765]  There have been about a half a dozen patients who have had their blood tested because of concern.
[00:01:44.785 --> 00:01:47.866]  Those particular patients, their stories were not made public.
[00:01:48.146 --> 00:01:50.547]  Then Jesse Ventura sets the record straight.
[00:01:51.307 --> 00:01:54.509]  All that and more on tonight's InfoWars Nightly News.
[00:02:00.131 --> 00:02:14.275]  Well, it looks like Russia is finally preparing for a large-scale invasion of the Ukraine, as there has recently been a massive build-up on the Ukrainian border, where Russia has more than doubled their troop levels.
[00:02:14.555 --> 00:02:17.335]  So, it definitely looks like they are getting ready to rumble.
[00:02:17.435 --> 00:02:27.438]  Yesterday, Vladimir Putin called for an emergency meeting on the United Nations Security Council to resolve the humanitarian crisis in the Ukraine.
[00:02:27.958 --> 00:02:31.522]  Yeah, notice how it's always a humanitarian crisis.
[00:02:32.103 --> 00:02:44.677]  But the untold story behind the crisis is that this is an energy tug-of-war that's being fought between Russia and Western powers and the Ukraine is simply caught up in the middle.
[00:02:45.057 --> 00:02:52.481]  Not to mention the fact that Ukraine is a very important and strategic placemat on the Grand Chess Board.
[00:02:52.842 --> 00:03:00.126]  Now, there is reportedly tens of thousands of people displaced because of the fighting over the last several months.
[00:03:00.706 --> 00:03:16.186]  The Russian Foreign Ministry said the UN and the Red Cross have a readiness plan to deploy a humanitarian mission to the Ukraine, which some consider to be a pretext for an invasion by Russian forces.
[00:03:16.807 --> 00:03:17.348]  Yeah, you think?
[00:03:17.968 --> 00:03:20.590]  I mean, the Russians are battle ready.
[00:03:21.131 --> 00:03:28.097]  They have a large force of infantry, armor, artillery and air defense right there on the Ukrainian border.
[00:03:28.377 --> 00:03:31.119]  And we're talking about 17 battalions.
[00:03:31.520 --> 00:03:33.301]  That's about 20,000 troops.
[00:03:33.761 --> 00:03:39.026]  And to be honest, I don't think the Obama administration is prepared to do anything about it.
[00:03:39.366 --> 00:03:52.015]  After heavy sanctions against Russian politicians and businessmen, and a direct attack on Russia's economy, Vladimir Putin is about to show the world what a Russian response looks like.
[00:03:52.916 --> 00:03:55.158]  So brace yourselves, the Russians are coming.
[00:03:55.458 --> 00:03:59.541]  And this could very well be the build-up to the next great war.
[00:03:59.941 --> 00:04:07.026]  Now, I want to switch gears real quick and talk about the recent Ebola outbreak, because the CDC
[00:04:08.107 --> 00:04:13.628]  Still remain silent on the number of potential Ebola victims inside the United States.
[00:04:14.228 --> 00:04:15.388]  That's a scary thought.
[00:04:15.809 --> 00:04:20.349]  Now I understand that the CDC might not want to start a panic, or would they?
[00:04:20.809 --> 00:04:23.750]  But there is a growing concern that U.S.
[00:04:23.810 --> 00:04:28.531]  hospitals are not prepared to deal with a wider outbreak of the virus.
[00:04:28.791 --> 00:04:33.392]  You may recall yesterday we reported that CNN's Dr. Sanjay Gupta
[00:04:33.972 --> 00:04:46.657]  ...said that health authorities had tested at least six potential Ebola victims, but their stories were not made public, suggesting that the CDC was keeping a lid on that information.
[00:04:47.137 --> 00:05:01.063]  And don't forget that we reported last week that President Barack Obama signed an executive order which allows health care authorities to detain Americans who merely show signs of a respiratory illness.
[00:05:01.463 --> 00:05:15.173]  Meanwhile, the CDC has also outlined measures for dealing with an outbreak which will allow for the quarantine of well persons, so healthy individuals who do not show symptoms of the disease.
[00:05:15.893 --> 00:05:16.133]  Wow.
[00:05:16.934 --> 00:05:20.116]  That, my friends, that sounds like forced vaccinations.
[00:05:20.517 --> 00:05:22.778]  That sounds like internment camps.
[00:05:23.278 --> 00:05:30.824]  And for more on this, we take you now to Leanne McAdoo, who is standing by with a retired sergeant and a bioweapons expert.
[00:05:32.398 --> 00:05:32.998]  Thank you, Darren.
[00:05:33.458 --> 00:05:35.940]  Well, today I'm going to be speaking with Christopher Palo.
[00:05:36.040 --> 00:05:37.821]  He is a retired sergeant.
[00:05:38.161 --> 00:05:45.924]  He spent more than 10 years working as a chemical, biological, radiological, and nuclear specialist in the U.S.
[00:05:46.024 --> 00:05:50.667]  Army, where he worked extensively researching the Ebola virus.
[00:05:51.067 --> 00:05:59.671]  Now, Christopher is going to be speaking with me today specifically about the risks associated with transporting this deadly strain of Ebola into the country.
[00:06:00.091 --> 00:06:01.552]  Christopher, well, welcome to the show.
[00:06:01.892 --> 00:06:13.041]  Now, the CDC specifically cautioned people against flying to these affected regions, but you believe that it's perfectly safe that the State Department has now brought in these infected Americans to the country.
[00:06:13.301 --> 00:06:13.582]  Why?
[00:06:14.743 --> 00:06:18.686]  Because of the level of safety that the CDC actually has.
[00:06:19.426 --> 00:06:24.890]  In each one of the, in the CDC, there are certain levels of labs.
[00:06:24.910 --> 00:06:26.912]  They're called BSLs or biosafety labs.
[00:06:27.352 --> 00:06:28.493]  They range from one through four.
[00:06:29.594 --> 00:06:36.478]  Um, at level four, being the highest, um, basically that's where Ebola and an Ebola patient would go.
[00:06:37.039 --> 00:06:48.485]  You know, in each hospital that a, uh, Ebola patient would go to, especially if it's run by the CDC, has these, these, uh, I guess parameters you could say set up to where it's safe.
[00:06:48.886 --> 00:06:50.767]  They're in a completely, uh, sealed room.
[00:06:51.267 --> 00:06:53.990]  Where it's actually, it's under pressured.
[00:06:54.450 --> 00:07:00.556]  So say for some reason there's a crack in the glass or a hole in the wall, air will actually flow into the room not letting anything out.
[00:07:00.836 --> 00:07:04.960]  And since Ebola is not an airborne agent or a pathogen rather,
[00:07:06.661 --> 00:07:08.604]  There's not a lot of issue with that.
[00:07:08.964 --> 00:07:12.168]  I mean, with Ebola, you treat it like you would a cold or anything like that.
[00:07:12.709 --> 00:07:15.052]  You just stay away from bodily fluids or anything like that.
[00:07:16.033 --> 00:07:25.124]  Any test done on an individual who has Ebola, they either do it in the room there or they triple
[00:07:26.065 --> 00:07:37.093]  Basically, they triple contain the sample in a metal container, and then an airtight plastic bag, and then essentially what's a safe to transport it to another location.
[00:07:37.233 --> 00:07:51.783]  And in this location, there's a lab where it's, again, it's under-pressured, and the people who are working in the lab are in over-pressured suits, meaning that there's more pressure on the inside of the suit than the outside air, so air would flow out, again, not letting the contagion in.
[00:07:52.643 --> 00:07:52.803]  I don't
[00:08:13.815 --> 00:08:14.155]  I'm sorry.
[00:08:35.947 --> 00:08:42.933]  Well, the AP reported that one of these patients was actually walked out of the ambulance and walked right into the hospital.
[00:08:42.953 --> 00:08:46.016]  He wasn't inside one of these special containment tents.
[00:08:46.216 --> 00:08:48.258]  That's not really level four isolation.
[00:08:48.278 --> 00:08:49.018]  Right.
[00:08:49.038 --> 00:08:55.604]  I believe I saw that video of him being actually walked from the ambulance into the hospital.
[00:08:55.644 --> 00:08:58.666]  If you look, he is in a suit, right?
[00:08:58.686 --> 00:09:00.028]  And like I said, it's not airborne.
[00:09:00.828 --> 00:09:01.509]  It comes from
[00:09:03.824 --> 00:09:08.906]  It's like I said, it's bodily fluids, you know, spit, feces, blood, what have you.
[00:09:10.167 --> 00:09:24.053]  And also there is a 2 to 21 day incubation period where it sits there, you don't show any symptoms, you know, so the guy's not going to be hacking up blood and making the actual agent, I'm sorry, not agent, the pathogen aerosolized.
[00:09:24.793 --> 00:09:37.177]  So basically covering him up in a suit where he can't, none of his bodily fluids can get out and transporting him from point A, from the ambulance to the hospital as long as there's, you know, it's perfectly safe as long as there's nobody around him.
[00:09:37.197 --> 00:09:45.200]  What they're going to do with that suit afterwards is they're going to burn it, you know, and they're going to put him in an isolated area and quarantine him for research and treatment.
