[00:00:02.455 --> 00:00:03.395]  According to the U.S.
[00:00:03.455 --> 00:00:06.617]  Border Patrol, the number of children caught entering the U.S.
[00:00:06.677 --> 00:00:12.899]  alone has skyrocketed to more than 47,000 in just the first six months of this year.
[00:00:14.980 --> 00:00:21.262]  With 1,200 immigrants surrendering themselves to Border Patrol agents every single day, the agency is overwhelmed.
[00:00:25.538 --> 00:00:27.379]  So many of them are coming in on buses.
[00:00:27.479 --> 00:00:28.660]  Others are being flown here.
[00:00:28.780 --> 00:00:33.382]  And this facility, this morning, is struggling to figure out what to do with all those children.
[00:00:33.402 --> 00:00:37.245]  These kids are coming from Central America, from Honduras, Guatemala, El Salvador.
[00:00:37.525 --> 00:00:41.307]  They're traveling up through Mexico, into the United States, through Texas.
[00:00:43.615 --> 00:00:50.739]  The federal government is looking at several sites in New York as potential shelters, including a run-down former Walmart building.
[00:00:50.959 --> 00:00:56.121]  They want to house some of these people at the Border Patrol Academy while they're awaiting processing.
[00:00:57.602 --> 00:01:00.023]  The Border Patrol now worried about a virus outbreak.
[00:01:00.384 --> 00:01:05.106]  And sources tell me right now, all that's separating the sick from the healthy, this caution tape.
[00:01:05.146 --> 00:01:06.086]  The Chinese are paying $50,000.
[00:01:06.907 --> 00:01:08.047]  The Indians are paying $10,000 to $20,000.
[00:01:11.590 --> 00:01:13.750]  All the Central Americans, the average is about 7,000.
[00:01:13.910 --> 00:01:19.812]  So it's the cartels pushing these groups across the river to tie up our agents.
[00:01:20.352 --> 00:01:23.152]  Who or what is coming in, we don't know.
[00:01:23.732 --> 00:01:25.333]  And we won't know until something bad happens.
[00:01:26.373 --> 00:01:31.454]  What changed was the fact that we were engaging in this catch-and-release program.
[00:01:32.014 --> 00:01:33.214]  And word spreads fast.
[00:01:33.914 --> 00:01:38.835]  And this crisis that some call a crisis, we have to view as an opportunity.
[00:01:39.778 --> 00:01:41.059]  They are the best that we have.
[00:02:10.250 --> 00:02:15.813]  Welcome to this special July 4th, 2014 edition of the InfoWars Nightly News.
[00:02:16.253 --> 00:02:17.233]  I'm Leanne McAdoo.
[00:02:17.573 --> 00:02:22.656]  Well, today is the day, of course, that we celebrate our Declaration of Independence.
[00:02:23.136 --> 00:02:31.420]  Obviously, originally from the Kingdom of Great Britain, but now we just really like to show our patriotism, how much we love this country, we love our freedom.
[00:02:32.541 --> 00:02:34.742]  238 years of this freedom.
[00:02:34.762 --> 00:02:41.048]  Now, Fourth of July is typically a day marked with patriotic celebrations, people proudly waving their flags.
[00:02:41.448 --> 00:02:47.493]  But it seems these days that the only day that you can proudly wave your American flag is on the Fourth of July.
[00:02:48.133 --> 00:02:54.377]  Currently, we are labeling patriots and veterans as domestic terrorists and racist.
[00:02:54.718 --> 00:02:58.300]  People are actually being called racist if they wave their American flag.
[00:02:58.660 --> 00:03:05.525]  Meanwhile, we have people that are ruling us in absolute lawlessness and setting about to implode this country.
[00:03:06.045 --> 00:03:13.369]  Now, typically what you'll see around this time of year is your elected officials going out and doing their public display of how great America is.
[00:03:13.429 --> 00:03:16.852]  We're a nation of laws, a successful democracy.
[00:03:17.292 --> 00:03:30.880]  Meanwhile, we're in the throes of an immigration crisis and we have a president who says that he's going to bypass Congress altogether once again and use executive action to further his immigration agenda.
[00:03:31.320 --> 00:03:42.588]  Now the President himself, to our knowledge, he hasn't even visited the border or any of these border facilities to see the reality of the crisis that we are seeing with this influx of illegal immigrants.
[00:03:43.088 --> 00:03:51.935]  Our team has visited the border, we've covered it extensively, and what we've witnessed there is total collapse and absolute lawlessness.
[00:03:52.475 --> 00:03:56.078]  Joining me now is Jakari Jackson, Joe Biggs, and John Bowne.
[00:03:56.498 --> 00:04:01.563]  Now guys, looking at the absolute lawlessness of the military bases all over the U.S.
[00:04:01.623 --> 00:04:06.127]  being set up as staging grounds for people who have illegally entered the country.
[00:04:06.607 --> 00:04:11.931]  I mean, President Obama hasn't bothered to go and visit these facilities yet, but you guys were there, you witnessed it firsthand.
[00:04:12.372 --> 00:04:13.132]  Describe what you saw.
[00:04:13.152 --> 00:04:14.974]  I'm not saying a word treasonous.
[00:04:14.994 --> 00:04:17.156]  It's just out of control completely.
[00:04:17.176 --> 00:04:19.037]  Yeah, it's an occupation.
[00:04:19.338 --> 00:04:20.699]  We are under occupation.
[00:04:21.804 --> 00:04:22.545]  That is frightening.
[00:04:22.665 --> 00:04:25.827]  I mean, we've seen all of the footage over the course of the last few weeks.
[00:04:26.287 --> 00:04:29.930]  What do you think about the fact, Joe, that Obama hasn't been to the facility yet?
[00:04:29.970 --> 00:04:31.371]  He sent out some of his minions.
[00:04:31.732 --> 00:04:40.698]  Well, it's funny, the Obama administration is saying that these fences along our border are racist, but if I'm not mistaken, isn't there a fence around the White House?
[00:04:41.299 --> 00:04:42.500]  Oh, yeah.
[00:04:42.560 --> 00:04:44.201]  I mean, isn't that racist?
[00:04:44.221 --> 00:04:45.101]  What are they doing about that?
