[00:00:00.609 --> 00:00:01.770]  Coast to Coast.
[00:00:02.131 --> 00:00:03.492]  Direct from Austin.
[00:00:04.192 --> 00:00:08.296]  You're listening to the Alex Jones Broadcasting Network.
[00:00:11.218 --> 00:00:24.489]  It's always a tough boat because the average person thinks raising the debt ceiling must mean that we're running up our debt.
[00:00:25.129 --> 00:00:28.332]  Raising the debt ceiling, which has been done over a hundred times, does not
[00:00:29.608 --> 00:00:30.869]  Increase our debt.
[00:00:30.889 --> 00:00:33.933]  It does not somehow promote propagacy.
[00:00:34.233 --> 00:00:42.922]  All it does is it says, you gotta pay the bills that you've already racked up, Congress.
[00:00:43.142 --> 00:00:46.946]  You're listening to the Alex Jones Show.
[00:01:02.665 --> 00:01:03.325]  You got a business.
[00:01:03.565 --> 00:01:04.206]  You didn't know that.
[00:01:04.226 --> 00:01:05.386]  Somebody else did that.
[00:01:05.406 --> 00:01:10.008]  A lot of people saying you raise the debt limit, it raises the debt.
[00:01:10.028 --> 00:01:10.549]  No it doesn't.
[00:01:11.349 --> 00:01:12.209]  It doesn't raise the debt at all.
[00:01:12.790 --> 00:01:14.050]  Which means we're going to pay our bills.
[00:01:15.951 --> 00:01:17.112]  Two plus two equals five.
[00:01:19.933 --> 00:01:21.874]  We are live, ladies and gentlemen.
[00:01:21.914 --> 00:01:26.696]  Thank you so much for joining us on this Sunday, Worldwide Edition, the 22nd day.
[00:01:29.068 --> 00:01:31.090]  Already of June 2014.
[00:01:33.152 --> 00:01:35.514]  We just had the longest day of the year yesterday, right?
[00:01:36.094 --> 00:01:37.155]  Longest day of the year.
[00:01:37.235 --> 00:01:37.916]  What do they call that?
[00:01:39.778 --> 00:01:40.719]  The summer solstice.
[00:01:42.060 --> 00:01:44.642]  The longest day of the year yesterday.
[00:01:44.662 --> 00:01:48.386]  And I had a chance to spend that with some of my family.
[00:01:48.406 --> 00:01:48.966]  It was wonderful.
[00:01:48.986 --> 00:01:54.651]  I hope you're having a great time here on this wondrous, beautiful earth with all these amazing creations.
[00:01:55.765 --> 00:02:05.772]  We can transcend the globalists and those that try to shutter the gates of reality and keep our horizons very, very narrow and very, very restricted.
