[00:00:07.022 --> 00:00:07.442]  The law works.
[00:00:07.482 --> 00:00:08.902]  That's why we fought so hard to pass this law, to save
[00:00:36.448 --> 00:00:51.233]  Folks like John Money, to free families from the pervasive fear that one illness... We've been trying to get into this site since October 1st, on and off again.
[00:00:51.253 --> 00:00:53.274]  I have to say, it did work a lot more smoothly this morning.
[00:00:53.314 --> 00:00:57.796]  I got through, I picked my state, I put in all my information, and I got through the whole process in about eight minutes.
[00:00:58.276 --> 00:01:03.278]  And then it said my status was in progress, so I went to refresh it, and I got the error message.
[00:01:03.578 --> 00:01:04.178]  That's a tough start.
[00:01:04.198 --> 00:01:05.960]  That could be the understatement of the year.
[00:01:06.060 --> 00:01:08.021]  It has been a complete disaster.
[00:01:08.101 --> 00:01:09.783]  We don't know how many people have enrolled.
[00:01:09.803 --> 00:01:11.444]  We can't even find anyone who's enrolled.
[00:01:11.464 --> 00:01:14.326]  The Miami Herald is now calling them urban legends.
[00:01:14.526 --> 00:01:16.187]  Hey, do you have that Obamacare?
[00:01:16.788 --> 00:01:17.448]  Obamacare?
[00:01:17.468 --> 00:01:18.569]  What's that?
[00:01:19.310 --> 00:01:19.770]  What's that?
[00:01:19.910 --> 00:01:20.891]  Oh, it's great!
[00:01:21.011 --> 00:01:21.331]  It's great?
[00:01:21.712 --> 00:01:22.172]  It's great!
[00:01:22.492 --> 00:01:24.273]  What is it?
[00:01:24.514 --> 00:01:27.456]  I started signing up last Thursday and I'm almost done.
[00:01:28.016 --> 00:01:29.778]  Maybe we should restart it.
[00:01:34.970 --> 00:01:43.753]  Mr. Park, do you agree that there is a difference between an innocent misstatement of a perceived fact and a deliberate attempt to deceive?
[00:01:45.634 --> 00:01:45.894]  Yes.
[00:01:46.794 --> 00:01:54.377]  So do I. When did you first realize that you couldn't keep your health insurance even if you did like it, period?
[00:01:56.773 --> 00:02:00.014]  So, again, that's kind of a health policy matter.
[00:02:00.034 --> 00:02:02.134]  It's really outside my lane.
[00:02:02.574 --> 00:02:08.375]  You don't know when you first realized that you couldn't keep your health insurance even if you liked it, period?
[00:02:10.336 --> 00:02:11.516]  I don't recall, no.
[00:02:11.696 --> 00:02:15.557]  I'm going to read to you a quote from Secretary Sebelius.
[00:02:16.517 --> 00:02:20.978]  She said, and I'll paraphrase it initially, that she was hurried into producing
[00:02:21.954 --> 00:02:24.916]  A website by October 1st because the law required it.
[00:02:25.316 --> 00:02:26.837]  Now, I'll read you the direct quote.
[00:02:26.957 --> 00:02:30.620]  In an ideal world, there would have been a lot more testing.
[00:02:31.500 --> 00:02:37.284]  We did not have the luxury of that with a law that said it's go time on October 1st.
[00:02:37.764 --> 00:02:43.368]  Mr. Park, I don't know what ideal world she's referring to, so I'm going to stick with the one we're in.
[00:02:44.929 --> 00:02:46.430]  What law was she referencing?
[00:02:46.590 --> 00:02:50.132]  What law required this website to launch on October 1st?
[00:02:52.617 --> 00:02:54.678]  I can't really speak for Secretary Sebelius.
[00:02:55.159 --> 00:02:59.641]  I'm not asking you to speak for her, I'm asking you, what law was she referring to?
[00:02:59.861 --> 00:03:04.743]  Is there a law that required this website to launch on October 1st?
[00:03:06.704 --> 00:03:12.247]  Again, that's a health policy and legal matter that's not really my... It's actually a legal question.
[00:03:12.407 --> 00:03:21.091]  Do you know if there's a law that requires this website to launch on October 1st, or do you know whether it was just an arbitrary date that the Administration settled on?
[00:03:22.339 --> 00:03:23.080]  I actually do not.
[00:03:24.501 --> 00:03:32.246]  Would you find that to be important, whether or not we really had to go October the 1st, given the fact that we weren't ready to go on October the 1st?
[00:03:32.726 --> 00:03:37.109]  Would you find that relevant, whether or not we actually had to launch a substandard product?
[00:03:38.850 --> 00:03:46.175]  Sir, I respectfully am just a technology guy trying to... Don't short yourself.
[00:03:46.435 --> 00:03:47.916]  You're the smartest one in the room.
[00:03:48.176 --> 00:03:51.538]  This is the part of the sign-up that is hidden.
[00:03:52.301 --> 00:03:55.844]  The applicant does not see this, but it is in the source code.
[00:03:56.605 --> 00:04:10.256]  And what that blue highlighted area that's been circled in red says is, you have no reasonable expectation of privacy regarding any communication or data transiting or stored on this information system.
[00:04:11.156 --> 00:04:12.217]  Now, Mr. Camp, Ms.
[00:04:12.257 --> 00:04:15.580]  Campbell and Mr. Slavitt, y'all both said that y'all were HIPAA compliant.
[00:04:16.000 --> 00:04:19.163]  How in the world can this be HIPAA compliant
[00:04:20.240 --> 00:04:32.984]  HIPAA is designed to protect the patient's privacy and this explicitly says in order to continue you have to accept this condition that you have no privacy or no reasonable expectation of privacy.
[00:04:35.925 --> 00:04:39.166]  So sir, that would be a decision made by CMS?
[00:04:41.127 --> 00:04:43.028]  So you're not, this is news to you?
[00:04:43.048 --> 00:04:46.529]  You're the main prime contractor!
[00:04:48.015 --> 00:04:49.296]  You've never seen this before?
[00:04:49.796 --> 00:04:54.519]  Sir, we are one of the prime contractors, yes.
[00:04:54.939 --> 00:04:56.020]  Have you seen this before?
[00:04:56.100 --> 00:04:59.362]  Are you aware this was in the source code?
[00:04:59.582 --> 00:05:01.923]  Are you aware this was in the source code, yes or no?
[00:05:02.143 --> 00:05:02.383]  Yes.
[00:05:02.604 --> 00:05:03.784]  You were aware, okay.
[00:05:04.505 --> 00:05:06.266]  Do you think that's HIPAA compliant?
[00:05:07.547 --> 00:05:08.207]  How can that be?
[00:05:10.834 --> 00:05:12.335]  You know it's not HIPAA compliant.
[00:05:12.635 --> 00:05:13.095]  Admit it.
[00:05:13.495 --> 00:05:14.215]  You're under oath.
[00:05:14.935 --> 00:05:18.457]  Sir, that is CMS's decision to make what?
[00:05:18.697 --> 00:05:19.837]  I asked if you thought that.
[00:05:19.877 --> 00:05:23.338]  You just told Mrs. Blackburn that it was HIPAA compliant.
[00:05:24.319 --> 00:05:26.139]  You know that's not HIPAA compliant.
[00:05:26.879 --> 00:05:28.620]  You admit that you knew it was in there.
[00:05:31.661 --> 00:05:40.284]  It may be their decision to hide it, but you're the company, not you personally, but your company is the company that put this together.
[00:05:41.782 --> 00:05:50.025]  We're telling every American, including all my friends on the Democrat side, and they're huge privacy advocates.
[00:05:50.945 --> 00:05:53.946]  Diane DeGette is co-chairman of the Privacy Caucus with me.
[00:05:54.526 --> 00:06:01.509]  But you're telling every American, if you sign up for this or even attempt to, you have no reasonable expectation of privacy.
[00:06:01.769 --> 00:06:05.350]  That is a direct contradiction to HIPAA, and you know it.
[00:06:07.451 --> 00:06:08.011]  Yes or no?
[00:06:11.568 --> 00:06:18.512]  Once again, CMS has us comply to a set of rules and regulations that they've established under our contract.
[00:06:19.812 --> 00:06:21.493]  And that is a CMS call.
[00:06:21.633 --> 00:06:23.494]  That is not a contractor call.
[00:06:24.134 --> 00:06:28.296]  I mean, all you are is a contractor that spent three or four hundred million dollars?
[00:06:28.977 --> 00:06:29.257]  No.
[00:06:29.297 --> 00:06:35.120]  So it goes to some amorphous cloud and then it comes back from down on high?
[00:06:38.542 --> 00:06:39.242]  Who wrote that?
[00:06:40.450 --> 00:06:42.372]  I am not clear as to who wrote that.
[00:06:46.356 --> 00:06:47.918]  Let me ask it this way.
[00:06:47.958 --> 00:06:55.686]  Do you think that should be a requirement to sign up for Obamacare?
[00:06:55.926 --> 00:06:58.489]  That you give up any reasonable expectation of privacy?
[00:06:59.284 --> 00:07:01.265]  Sir, that is not my jurisdiction.
[00:07:01.305 --> 00:07:01.925]  You're a U.S.
[00:07:01.965 --> 00:07:02.665]  citizen.
[00:07:02.765 --> 00:07:03.565]  One way or the other.
[00:07:03.705 --> 00:07:09.187]  If you're signing up on healthcare.gov, your personal information could be accessed by complete strangers.
[00:07:09.787 --> 00:07:10.948]  It happened to this woman.
[00:07:11.028 --> 00:07:13.529]  She called customer service when she forgot her password.
[00:07:14.009 --> 00:07:20.851]  That's when the representative told her three different people were given access to her account, her address, and her social security number.
[00:07:21.311 --> 00:07:26.973]  What's worse, she was told it would take up to five days to get her personal information offline.
[00:07:27.073 --> 00:07:31.257]  The problem with this whole debate is, y'all won't tell us who made the decisions.
[00:07:31.317 --> 00:07:34.401]  I can tell you I did not design this site.
