[00:00:10.868 --> 00:00:16.770]  It's Paul Joseph Watson with a PrisonPlanet.tv special report earlier today on InfoWars.com.
[00:00:17.130 --> 00:00:27.614]  We had a blockbuster story about how the CDC was secretly detaining and disappearing suspected illegal aliens with illnesses potentially from West Africa.
[00:00:28.354 --> 00:00:36.098]  And we're going to talk to a Border Patrol veteran, 27-year veteran, Zach Taylor, on these bombshell revelations.
[00:00:36.538 --> 00:00:43.081]  Three months ago, four months ago, you gave this interview regarding illegals being apprehended at the border with illnesses.
[00:00:43.141 --> 00:00:49.625]  Just elaborate on what you said in that interview about how authorities there at the border are dealing with these individuals.
[00:00:51.125 --> 00:00:56.048]  Well, the first thing was is that a large number
[00:00:57.638 --> 00:01:02.300]  of these aliens, if not exclusively, were not from Mexico.
[00:01:02.360 --> 00:01:03.701]  They were from Central America.
[00:01:05.181 --> 00:01:07.863]  And a percentage of them were unaccompanied minors.
[00:01:09.043 --> 00:01:11.224]  Those two things were unusual.
[00:01:12.845 --> 00:01:25.971]  And the numbers, it was like an invasion, where the agents suspected they were catching anything from less than 10% of what they saw to as much as 20%
[00:01:27.503 --> 00:01:27.583]  Okay.
[00:01:57.236 --> 00:01:57.617]  I think so.
[00:02:04.931 --> 00:02:08.393]  They were nauseous or vomiting and or had diarrhea.
[00:02:08.793 --> 00:02:14.796]  We've had reports of hundreds of Liberians crossing into the border, many that remain unapprehended.
[00:02:14.836 --> 00:02:29.302]  Do you think it's a concern that some of these surge aliens with these illnesses could be in future maybe potential Ebola victims that we're importing into the United States at risk to the population of America?
[00:02:30.868 --> 00:02:36.069]  It was very difficult to get any information about these people at that time.
[00:02:37.009 --> 00:02:59.535]  But it was at a time when the Ebola outbreak in those three West African countries was burgeoning, and these people either came through or were from West Africa, and were seen in the Rio Grande Valley, and some of them were transported to Nogales.
[00:03:00.805 --> 00:03:04.768]  Well, those people were relieved into the population in America.
[00:03:06.109 --> 00:03:11.073]  A lot of these screening and releases were happening in like 5 to 6 days.
[00:03:12.775 --> 00:03:21.662]  The incubation period between the time a person contracts Ebola until they show symptoms is anywhere from 2 to 21 days.
[00:03:22.863 --> 00:03:29.108]  Well, if they travel from Africa through Mexico to the United States in 5 days, they were held in detention 5 days,
[00:03:30.273 --> 00:03:38.817]  They were essentially halfway through the incubation period until they showed any type of symptoms of having the Ebola virus.
[00:03:39.457 --> 00:03:48.002]  That was a big concern to us, that they weren't held long enough to determine whether or not they were carrying the virus.
[00:03:49.242 --> 00:03:52.364]  And one of the reasons that I went on
[00:03:56.552 --> 00:04:14.137]  Okay, so some of these people that were detained with the illnesses, do you know of any information, you know, towards the fact whether the people detaining them had any protection, whether that be hazmat suits or merely surgical masks?
[00:04:14.177 --> 00:04:18.978]  Were the people who detained these individuals protecting themselves against possible infection?
[00:04:20.379 --> 00:04:44.317]  No, but we have, lacking empirical evidence, we know that Lackland Air Force Base and at other locations, that the private security and the government was threatening the contract workers, the health workers, with criminal prosecution if they divulged any information about the types of illnesses
[00:04:45.134 --> 00:04:52.159]  That these aliens had that were being screened at Lackland Air Force Base in San Antonio.
[00:04:52.579 --> 00:04:55.221]  This of course was back in July and August.
[00:04:55.581 --> 00:05:02.245]  Do you believe that this process in the aftermath of the first Ebola outbreak in the United States is still ongoing?
[00:05:03.946 --> 00:05:04.587]  Why wouldn't it be?
[00:05:06.741 --> 00:05:08.462]  So that's still ongoing at the border.
[00:05:08.843 --> 00:05:18.570]  People with illnesses potentially from West Africa being transported into the United States and the government has a lockdown on the information pertaining to that.
[00:05:18.771 --> 00:05:20.312]  That's an amazing revelation there.
[00:05:21.072 --> 00:05:23.815]  Another comment that you made in the interview which interested me
[00:05:24.335 --> 00:05:36.319]  You said that the spread of Ebola in the West African cities back three, four months ago appeared to suggest that the origins of the virus may have been man-made or that it may have been planted in your words.
[00:05:36.359 --> 00:05:37.500]  Can you elaborate on that?
[00:05:38.600 --> 00:05:38.940]  Yes.
[00:05:40.841 --> 00:05:51.765]  And I had been watching that because this surge was underway and I knew that illegal aliens are opportunists.
[00:05:52.574 --> 00:05:57.116]  And whenever you have a large group of people moving across the border, it encourages other people.
[00:05:57.416 --> 00:06:07.659]  It's kind of a stampede mentality people get that, oh, they see a whole bunch of other people doing it, and they've always wanted to do it, so why don't they join in on the stampede?
[00:06:09.180 --> 00:06:17.223]  And West Africa is not that far from McAllen, Texas, by aircraft.
[00:06:18.980 --> 00:06:26.605]  And so, in talking to people that were working these folks, and seeing the ones that were showing up here, obviously they were from West Africa.
[00:06:27.346 --> 00:06:36.292]  And we hear that the Border Patrol, as early as this past week, or as late as this past week, has been catching people from Africa.
[00:06:36.452 --> 00:06:39.795]  Eritrea, I think, is the one that was mentioned today.
[00:06:41.156 --> 00:06:45.799]  But I'm more concerned about what's not being apprehended.
[00:06:47.077 --> 00:06:58.981]  For instance, the agents for the last three years have been telling us here in this part, Tucson sector, that they estimate they're catching less than 3% of what they know is crossing the border illegally.
[00:07:00.562 --> 00:07:06.384]  Well, if they're catching one or two or three people from West Africa, how many actually cross?
[00:07:08.084 --> 00:07:08.625]  That's amazing.
[00:07:08.645 --> 00:07:15.067]  Yeah, if they caught three, and they're averaging for the last three years 3% of what crosses,
[00:07:15.771 --> 00:07:16.852]  What actually came across?
[00:07:17.492 --> 00:07:18.092]  We don't know.
[00:07:18.312 --> 00:07:21.094]  The CDC refuses to seal the border.
[00:07:21.134 --> 00:07:24.235]  They refuse to block the flights despite all these concerns.
