[00:00:04.966 --> 00:00:06.187]  There is a war.
[00:00:06.627 --> 00:00:07.588]  It's happening now.
[00:00:08.509 --> 00:00:10.351]  It will decide the fate of humanity.
[00:00:10.871 --> 00:00:12.653]  The time to choose sides has come.
[00:00:13.453 --> 00:00:14.914]  We are the resistance.
[00:00:15.375 --> 00:00:22.961]  We are the InfoWars.
[00:00:23.021 --> 00:00:25.023]  Welcome to the InfoWars Nightly News.
[00:00:25.123 --> 00:00:26.384]  I'm your host, Jakar Jackson.
[00:00:26.745 --> 00:00:28.166]  It's October 1st, 2014, and here are our top stories.
[00:00:33.783 --> 00:00:38.325]  Tonight, Patient Zero and the Pentagon's Ebola vaccine.
[00:00:38.645 --> 00:00:43.167]  Will the arrival of Ebola in America result in mass vaccinations?
[00:00:43.567 --> 00:00:50.290]  Plus, as the first American case of Ebola arrives in Dallas, concerns over wide-open U.S.
[00:00:50.350 --> 00:00:51.871]  borders are validated.
[00:00:52.311 --> 00:00:56.713]  All that, plus much more, up next on the InfoWars Nightly News.
[00:01:01.124 --> 00:01:07.108]  In case you haven't heard, there is an international news story about a patient coming from Liberia carrying Ebola.
[00:01:07.168 --> 00:01:09.410]  This patient is now in Dallas, Texas.
[00:01:09.870 --> 00:01:14.974]  What started is this past month, a gentleman boarded a plane from Liberia and we did some checking.
[00:01:15.014 --> 00:01:21.559]  We couldn't find any direct flights from Liberia to Dallas, Texas, which leads us to believe this gentleman stopped at least at one place.
[00:01:21.579 --> 00:01:26.202]  He may not have gotten off a plane, but he at least stopped someplace and encountered some fresh passengers.
[00:01:26.542 --> 00:01:33.284]  But the CDC is telling us that the gentleman cannot possibly transmit the virus if he is feeling well, which he was at the time.
[00:01:33.764 --> 00:01:43.086]  So the story goes, the man came here, he interacted with some friends and family, some school children, which my understanding is these children have now returned to their school systems.
[00:01:43.626 --> 00:01:47.247]  The gentleman goes to the doctor a couple days after falling ill.
[00:01:47.507 --> 00:01:50.308]  They give him antibiotics and send him on his way.
[00:01:50.708 --> 00:01:54.909]  Even though Governor Rick Perry of Texas is telling us that the hospitals here in Texas
[00:01:55.289 --> 00:01:55.649]  I think so.
[00:02:10.976 --> 00:02:18.439]  The man goes back home, maybe he goes to a restaurant, maybe he goes to the grocery store, to the pharmacy to get some additional medication, who knows.
[00:02:18.919 --> 00:02:23.921]  And then he becomes more ill, goes back to the hospital, then it's announced that he does in fact have Ebola.
[00:02:24.261 --> 00:02:24.921]  So what's next?
[00:02:24.981 --> 00:02:26.822]  Well, we have a theory or two.
[00:02:27.262 --> 00:02:30.043]  Patient zero in the Pentagon's Ebola vaccine.
[00:02:30.523 --> 00:02:39.607]  Last week, Defense Secretary Chuck Hagel told the Global Health Security Agenda Summit that the Pentagon had a longstanding research program on infectious disease, including Ebola.
[00:02:40.222 --> 00:02:44.465]  Hagel said the Defense Department will now begin clinical trials for a vaccine candidate.
[00:02:44.785 --> 00:02:51.770]  And just in case you're wondering about the price tag, there's $140 million with Techmira Pharmaceuticals, a Canadian company.
[00:02:52.390 --> 00:02:59.855]  The Pentagon is very concerned about this, as they should be, because we see Europe and other parts of the world putting travel sanctions on parts of West Africa.
[00:03:00.196 --> 00:03:09.302]  So today at the press conference with Governor Rick Perry, InfoWars reporter Joe Biggs asked flat out, are you going to demand, Governor Rick Perry, that Obama put travel sanctions
[00:03:10.263 --> 00:03:17.216]  I haven't the flights from West Africa been stopped from coming into America like Europe and France have done.
[00:03:18.576 --> 00:03:21.518]  That's a question that's really not in my domain.
[00:03:21.618 --> 00:03:26.122]  We did not discuss that specific question.
[00:03:26.843 --> 00:03:35.930]  What we did talk about was that the CDC has the largest stand-up outside of the United States in their history.
[00:03:35.950 --> 00:03:40.093]  I think some 130 CDC personnel that are in Africa now.
[00:03:40.553 --> 00:03:44.777]  Obviously, we have a very large contingent of our military there.
[00:03:45.863 --> 00:04:03.324]  And again, I think this goes to the heart of finding the solution to this issue, both globally and for the United States, and for our participation in that, and the United States' engagement in that, and for us to assist those countries in Africa.
[00:04:04.285 --> 00:04:11.510]  And be sure to stay tuned because after this break we'll have a special report from Joe Biggs detailing in more depth what happened at that press conference here today.
[00:04:12.070 --> 00:04:15.453]  Ebola case in Texas validates concerns over open border.
[00:04:15.793 --> 00:04:23.898]  Now of course we know the gentleman affected with the Ebola came on a plane, but what happens when you have a wide open border like we do here in the United States of America?
[00:04:24.378 --> 00:04:32.724]  As the first American case of Ebola was confirmed in Dallas yesterday, some laid blame on the Obama administration's lax immigration policies for the ease
[00:04:33.084 --> 00:04:33.544]  We're good to go.
[00:04:52.159 --> 00:04:57.683]  They said, hey man, we're so busy changing diapers and heating up bottles, we can't go out there and deal with these situations.
[00:04:57.703 --> 00:05:02.767]  And even if we do find sick people, we really don't have the facilities or the expertise to deal with it.
[00:05:02.807 --> 00:05:04.548]  So it is a very pressing concern.
[00:05:04.868 --> 00:05:07.910]  And it's not just on the boarders, but yeah, what happens when somebody gets on a plane?
[00:05:08.151 --> 00:05:09.792]  The TSA isn't going to stop these guys.
[00:05:09.812 --> 00:05:14.055]  The TSA doesn't know what they're doing to begin with anyway, but what if a sick person comes along?
[00:05:14.335 --> 00:05:14.575]  I think so.
[00:05:35.112 --> 00:05:37.632]  And we need to figure out a way to deal with this before it's too late.
[00:05:37.973 --> 00:05:39.173]  So we'll go out to break with this.
[00:05:39.193 --> 00:05:44.194]  A special report from Alex Jones, breaking down everything you need to know about the Ebola situation.
[00:05:44.554 --> 00:05:50.875]  And then we'll have a special report from Leanne McAdoo, detailing the link between these viruses, these illnesses, and the CIA.
[00:05:51.195 --> 00:06:01.737]  And also David Knight will have a special report, the breakdown, telling you about supervolcanoes and how a site like Yellowstone really doesn't need a seismic event or a seismic situation to actually erupt.
[00:06:01.997 --> 00:06:03.977]  This is the InfoWars Nightly News.
[00:06:07.310 --> 00:06:12.013]  At the CDC, at the Obama Administration level, and at the United Nations level.
[00:06:12.473 --> 00:06:13.834]  We've been saying this for several months.
[00:06:14.214 --> 00:06:27.462]  It is unprecedented to bring dozens and dozens of hot, infected, patient number one, ground zero, Ebola victims
[00:06:28.226 --> 00:06:28.907]  We're good.
[00:06:39.623 --> 00:06:51.251]  It was a Level 4 containment, illegal, and those laws are still in the books, to bring someone with smallpox or Ebola or anything of that nature into the United States.
[00:06:51.811 --> 00:06:52.071]  U.S.
[00:06:52.091 --> 00:07:01.938]  citizens were to be held in quarantine on Navy ships, special medical ships that they have, and other facilities they have in places in Sierra Leone and other areas.
[00:07:02.778 --> 00:07:03.719]  This is unprecedented.
[00:07:03.739 --> 00:07:06.341]  We have top virologists in Bild in Germany.
[00:07:07.302 --> 00:07:09.064]  I think 5 million will get it by December.
[00:07:09.484 --> 00:07:09.945]  The U.N.
[00:07:09.985 --> 00:07:11.866]  says 1.4 million.
[00:07:12.387 --> 00:07:16.070]  Most top virologists say it's beginning to go slightly airborne.
[00:07:16.090 --> 00:07:21.856]  That means it isn't hardy airborne, but it is clearly leaning towards being somewhat airborne.
[00:07:22.959 --> 00:07:26.343]  If that is the case, that's why we're seeing this huge outbreak in Africa.
[00:07:26.684 --> 00:07:29.667]  You've got seven nations now with it over in Africa.
[00:07:30.068 --> 00:07:37.777]  You have got tens of thousands of people a week flying in and out of West Africa, into every major city in the world.
[00:07:38.297 --> 00:07:46.190]  And there should have already been a quarantine on Sierra Leone, and a quarantine on Ghana, and a quarantine on these other countries.
[00:07:46.451 --> 00:07:47.853]  That was standard procedure.
[00:07:48.274 --> 00:07:52.641]  It is a guarantee that you will get Ebola all over the world.
[00:07:53.337 --> 00:07:57.241]  Guaranteed with a 22-day carrier incubation period.
[00:07:57.261 --> 00:08:00.163]  We've talked to top medical doctors on this, so this is not my opinion.
[00:08:00.483 --> 00:08:03.026]  That's why we kept saying this is insane.
[00:08:03.446 --> 00:08:05.488]  There should have been an immediate embargo.
[00:08:06.148 --> 00:08:13.255]  Those countries, Sierra Leone and others, are literally collapsing right now, but they're letting the airports still run.
[00:08:13.975 --> 00:08:18.557]  As middle class and wealthy Africans and Westerners flee the nation.
[00:08:18.697 --> 00:08:22.658]  Then Obama injects 3,300 untrained U.S.
[00:08:23.699 --> 00:08:26.700]  troops into the middle of hell hot zones.
[00:08:27.240 --> 00:08:31.722]  We kept telling people months ago, we got attacked by the mainstream media because they didn't want people to be warmed up front.
[00:08:32.142 --> 00:08:40.465]  This had all the telltale signs of bare minimum allowing a crisis to get out of hand, aiding and abetting it, not letting a good crisis go to waste.
[00:08:41.545 --> 00:08:46.087]  We know there's laboratories in the U.S., England, Africa, and other areas that have souped up Ebola.
[00:08:46.387 --> 00:08:54.350]  We've played frontline pieces, NOVA pieces, admitting airborne Ebola escaped and killed monkeys in another lab in 1989.
[00:08:54.970 --> 00:08:56.090]  See, we're informed.
[00:08:56.811 --> 00:09:03.153]  And the system preys on the American people's ignorance to say, oh, don't listen to Infowars, don't listen to Drudge.
[00:09:04.099 --> 00:09:05.340]  Don't listen to World Net Daily.
[00:09:05.380 --> 00:09:10.223]  Don't listen to those crazy people that actually have top scientists and medical doctors and virologists on.
[00:09:10.603 --> 00:09:16.927]  Oh look, InfoWars is reporting on CDC medical journals two years ago saying Ebola had gone airborne.
[00:09:17.287 --> 00:09:18.027]  We got attacked.
[00:09:18.328 --> 00:09:22.190]  A month later, New York Times admitted they believe it's going airborne with a top virologist.
[00:09:22.630 --> 00:09:23.731]  The issue here is
[00:09:24.542 --> 00:09:24.982]  We're good to go.
[00:09:55.015 --> 00:10:00.420]  Openly saying, well, we're still going to tell the kids to stay home with this guy, but everything's okay.
[00:10:00.721 --> 00:10:11.050]  That entire family, ladies and gentlemen, should be locked up in a quarantine facility watching television and having a nice day so an epidemic doesn't get out of hand.
[00:10:11.391 --> 00:10:20.019]  You get one person giving it to five, they give it to 10, they give it to 20, they give it to 40, they give it to 80, they give it to 100, and you see the numbers going up.
[00:10:20.559 --> 00:10:24.761]  Once you get about 10 or 15 people that have this, it's going to be unstoppable.
[00:10:25.402 --> 00:10:31.905]  And you're going to have tens of thousands, hundreds of thousands, maybe millions, maybe billions of people with Ebola.
[00:10:32.185 --> 00:10:35.747]  And on record, I want it on record that we pointed this out.
[00:10:36.367 --> 00:10:37.488]  It's not hard to point this out.
[00:10:37.508 --> 00:10:38.468]  This is default.
[00:10:38.989 --> 00:10:40.009]  This is default.
[00:10:40.349 --> 00:10:46.893]  That the minute there was a major outbreak, you shut down the aircraft coming in, or you made people sign a form.
[00:10:47.193 --> 00:10:52.675]  That they will go on aircraft that everybody has been quarantined for at least a month once they get off of it.
[00:10:52.755 --> 00:11:05.361]  Instead, we knew the fix was in so they would have plausible deniability a month ago when they started flying all these medical workers in with Ebola and putting them in regular hospitals that aren't even level 2, level 3 containment.
[00:11:05.741 --> 00:11:07.662]  Ladies and gentlemen, that violates federal law.
[00:11:08.002 --> 00:11:09.563]  This is a disaster.
[00:11:09.863 --> 00:11:12.444]  They want to use this to roll out more homeland security.
[00:11:12.724 --> 00:11:13.825]  Do I think this is the end of the world?
[00:11:14.085 --> 00:11:14.265]  No.
[00:11:14.725 --> 00:11:16.406]  I predict that they're going to have phases
[00:11:17.186 --> 00:11:18.506]  Listeners, you've heard this hundreds of times.
[00:11:18.846 --> 00:11:27.828]  Phases of bio-releases, souped-up bio-weapon releases, to train us to go under medical tyranny, to train us to go under forced inoculation.
[00:11:28.688 --> 00:11:42.571]  So when they really release the deadly airborne Ebola or mousepox down the road to wipe out 90% of the population, a la 12 Monkeys, the people will do what they're told, believing that they were protected by the government in the first few big outbreaks.
[00:11:42.611 --> 00:11:45.132]  This is directly, directly,
[00:11:46.045 --> 00:11:47.926]  Out of the globalist script, ladies and gentlemen.
[00:11:48.266 --> 00:11:49.826]  Directly out of V for Vendetta.
[00:11:50.166 --> 00:11:52.907]  This is how you conquer America and conquer the world.
[00:11:53.207 --> 00:11:54.467]  This is how you get the guns.
[00:11:54.787 --> 00:11:56.268]  This is how you bring in the tyranny.
[00:11:56.588 --> 00:11:59.929]  If you bring in terrorists, you... Notice how Texas is under attack.
[00:12:00.269 --> 00:12:02.069]  Everyone's fleeing the rest of the country to come to Texas.
[00:12:02.089 --> 00:12:04.490]  We have lower taxes and are libertarian conservative.
[00:12:04.850 --> 00:12:07.611]  The border is wide open and they've targeted bringing in the buses.
[00:12:08.411 --> 00:12:08.811]  Texas.
[00:12:09.212 --> 00:12:11.653]  They've targeted Texas with all their different programs.
[00:12:11.973 --> 00:12:13.974]  Now Texas is where the Ebola's popping up.
[00:12:14.374 --> 00:12:17.416]  You can just see all of this going on.
[00:12:17.496 --> 00:12:24.020]  Ladies and gentlemen, and now Paul Watson comes to visit the U.S., the first time he's visited me here in nine years, or eight years.
[00:12:24.580 --> 00:12:34.490]  And now you're here in Texas, Paul Watson, 200 miles from Ebola, which they're very calmly saying, oh, yeah, some more of the family probably has it.
[00:12:34.810 --> 00:12:35.691]  It's no big deal.
[00:12:35.871 --> 00:12:37.393]  It's like getting a cold or something.
[00:12:37.853 --> 00:12:39.755]  No, ladies and gentlemen, I'm going to say this very slowly.
[00:12:40.456 --> 00:12:41.937]  The so-called U.S.
[00:12:42.077 --> 00:12:45.460]  government, the same ones that funded al-Qaeda and ISIS,
[00:12:46.423 --> 00:13:02.726]  Have now allowed dozens and dozens of people in with Ebola and did no screening at the airports for people coming in and out of West Africa with scientists saying 1.4 million with computer models are set to get it on the low end.
[00:13:02.746 --> 00:13:05.387]  5 million now on the high end.
[00:13:05.407 --> 00:13:06.787]  That's by December.
[00:13:07.107 --> 00:13:10.408]  We're talking about, we're not talking about when they usually panic when 20 people have Ebola.
[00:13:10.788 --> 00:13:12.729]  I mean, the previous top outbreaks were a couple hundred.
[00:13:13.050 --> 00:13:21.195]  We're talking about countries collapsing right now as people are hanging basically off the aircraft to fly here and our government's going, come on in.
[00:13:21.835 --> 00:13:26.699]  So the bottom line is the government, whatever's behind this, cannot and will not protect you.
[00:13:26.799 --> 00:13:28.200]  You've got to protect yourselves.
[00:13:28.700 --> 00:13:34.264]  And it is so disgusting, like a slow motion automobile accident, to be seeing this unfold right now.
[00:13:34.324 --> 00:13:37.786]  Folks better be hitting their knees and praying to God because
[00:13:38.636 --> 00:14:07.066]  If this Ebola gets out, and if it spreads with our compromised immune systems here in the United States, and all the vaccines that people have been taking, and if it starts mutating with other things that are going on right now, and all the other mystery illnesses sweeping the country of kids that have been vaccinated, you can see with Dr. Pianka, a top eugenicist, saying eight years ago that soon the airborne Ebola is coming and will kill 90%, and 95% standing ovation at the Texas Academy of Sciences with people crying with joy,
[00:14:07.853 --> 00:14:11.215]  Because he projected a huge screen of red skulls on the wall.
[00:14:11.495 --> 00:14:12.455]  This is mainstream news, folks.
[00:14:12.475 --> 00:14:12.796]  Look it up.
[00:14:13.356 --> 00:14:17.698]  The FBI went and talked to him about it, and they began crying in their death cult of victory.
[00:14:17.738 --> 00:14:18.799]  This is a death cult.
[00:14:19.099 --> 00:14:22.441]  They're listening in Austin right now at University of Texas.
[00:14:22.801 --> 00:14:26.783]  They are the most sick people you could ever imagine, and I've been warning you.
[00:14:26.823 --> 00:14:30.865]  My film, Endgame, warns you that they are all over Ebola.
[00:14:31.225 --> 00:14:32.746]  The globalists have been messing with it.
[00:14:33.804 --> 00:14:35.446]  Screwing around with it constantly.
[00:14:35.847 --> 00:14:37.609]  This is one of their main arsenal weapons.
[00:14:37.689 --> 00:14:38.630]  So is mousepox.
[00:14:38.911 --> 00:14:40.333]  Kills 90 plus percent of people.
[00:14:40.933 --> 00:14:43.497]  And again, I don't think this is the big one.
[00:14:44.318 --> 00:14:45.359]  I don't think this is the big one.
[00:14:45.960 --> 00:14:48.403]  But it could be.
[00:14:48.423 --> 00:14:49.825]  I believe it's just a primer.
[00:14:51.519 --> 00:14:57.306]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:14:57.766 --> 00:15:07.477]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:15:07.797 --> 00:15:11.560]  DNA Force is one of the most expensive formulas to produce.
[00:15:12.101 --> 00:15:16.784]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:15:17.165 --> 00:15:23.390]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
[00:15:23.710 --> 00:15:25.992]  You want the best that's out there at the lowest price anywhere?
[00:15:26.652 --> 00:15:29.094]  Well, we're bringing you a total win-win.
[00:15:29.474 --> 00:15:34.979]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the info war.
[00:15:35.419 --> 00:15:42.083]  We have produced a limited run of DNA Force and it will take up to 12 weeks to produce more once we sell out.
[00:15:42.423 --> 00:15:47.206]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:15:47.226 --> 00:15:48.647]  DNA Force from InfoWarsLife.
[00:15:53.169 --> 00:16:00.092]  Celebrate the spirit of freedom and liberty upon which our nation was founded at InfoWarsShop.com.
[00:16:00.152 --> 00:16:03.933]  Molon Lave is ancient Greek for come and take it.
[00:16:03.973 --> 00:16:11.436]  This popular design combines both classic Greek Spartan imagery with modern M16 assault rifles.
[00:16:11.696 --> 00:16:15.638]  Now available in women's tees and proudly made in the USA.
[00:16:15.798 --> 00:16:23.843]  Celebrate the spirit of 1776 with the George Washington brass belt buckle or this incredibly sharp looking 1776 hat.
[00:16:24.063 --> 00:16:25.944]  Badass!
[00:16:26.325 --> 00:16:29.987]  And be sure to check out the new arrivals at Infowars Life.
[00:16:30.287 --> 00:16:39.852]  Where you can prepare your body to perform at peak levels with Survival Shield, Nascent Iodine, Super Male Vitality, and Fluoride Shield.
[00:16:40.233 --> 00:16:41.333]  And wake up, America!
[00:16:41.633 --> 00:16:45.816]  Immune Support Blend is the healthy choice for the gourmet coffee lover.
[00:16:45.896 --> 00:16:52.620]  So get incredibly high-quality, freedom-based products and help fund the revolution at infowarshop.com.
[00:17:04.989 --> 00:17:11.099]  I'm Joe Biggs with InfoWars.com here at the Presbyterian Hospital in Dallas, Texas.
[00:17:11.399 --> 00:17:15.967]  We just got out of the press conference about the Ebola situation happening here.
[00:17:16.267 --> 00:17:17.389]  Governor Perry spoke.
[00:17:17.919 --> 00:17:23.205]  Um, a superintendent, a judge, and a couple other local people that worked at the hospital as well.
[00:17:23.645 --> 00:17:25.687]  Governor Perry didn't have a whole lot to say.
[00:17:25.787 --> 00:17:27.169]  He dodged questions.
[00:17:27.449 --> 00:17:30.412]  He was your typical politician when it came down to things.
[00:17:30.553 --> 00:17:40.203]  There is no place in the world, I would suggest to you, that has better professionals, better ability to address this than in Texas.
[00:17:41.226 --> 00:17:42.507]  We wish it were somewhere else.
[00:17:43.407 --> 00:17:53.972]  I was able to shout out a question, though, and ask, why aren't flights from West Africa into the USA being stopped, like other countries have done, in Europe, France?
[00:17:54.353 --> 00:17:59.555]  Why aren't flights from West Africa being shut down from West Africa into America, like other countries have done?
[00:18:02.256 --> 00:18:03.537]  Repeat the question, please.
[00:18:03.637 --> 00:18:09.080]  Why haven't the flights from West Africa been stopped from coming into America, like Europe and France have done?
[00:18:10.453 --> 00:18:13.435]  That's a question that's really not in my domain.
[00:18:13.615 --> 00:18:23.880]  One of the other interesting things as well though, the superintendent for Dallas got out and spoke and he said that there had been five students who had been in contact with the affected patient.
