[00:00:13.836 --> 00:00:18.438]  Self-proclaimed hood billionaire Rick Ross dropped his seventh studio album today.
[00:00:26.277 --> 00:00:39.009]  Now the Rick Ross of 2014 is a little bit more known for his recent weight loss and fondness for pears, yet he still feels that he's got to keep up this image of being the friendly neighborhood drug dealer.
[00:00:39.629 --> 00:00:40.430]  Why is this?
[00:00:40.750 --> 00:00:46.556]  Does he really think that his fans won't appreciate an album about the miracles of a good juice cleanse?
[00:00:47.016 --> 00:00:49.018]  I eat pears now and shit like that.
[00:00:50.347 --> 00:00:51.768]  Shout out to all the parents.
[00:00:51.908 --> 00:00:52.608]  Of course not.
[00:00:52.929 --> 00:00:55.050]  And that is the hip-hop psy-op.
[00:00:55.450 --> 00:01:02.834]  How else will the establishment prime the youth for a life that leads to prison without selling them on the gangster lifestyle?
[00:01:03.375 --> 00:01:07.237]  The rapper Rick Ross is nothing but a soldier for the New World Order.
[00:01:07.577 --> 00:01:12.860]  He is priming the youth for a life in prison and he's laughing all the way to the bank.
[00:01:13.300 --> 00:01:17.803]  Here is what the real Rick Ross has to say to this name-jacking rapper.
[00:01:18.479 --> 00:01:25.641]  To William Roberts, aka Rick Ross, who's using my name, I'm inviting you in to come with me.
[00:01:26.402 --> 00:01:27.442]  Let's fight this culture.
[00:01:28.142 --> 00:01:31.763]  Let's fight this penitentiary culture that hip-hop's been spreading.
[00:01:32.604 --> 00:01:33.404]  Let's make a difference.
[00:01:34.404 --> 00:01:45.608]  But so many of our friends who look up to you and look up to me are out on the streets thinking that they can go out and sell drugs and parlay that into a record career.
[00:01:47.816 --> 00:02:00.140]  I don't know if you know that they're not gonna make it, but I know that they're gonna wind up in prison with prison sentences three and four times what they should be because this war on drugs is no joke.
[00:02:00.800 --> 00:02:05.862]  I think that that's a false message to be giving people who feel hopeless.
[00:02:06.242 --> 00:02:08.803]  And notice they don't indict the people that are fake and claim all that.
[00:02:09.263 --> 00:02:16.185]  No, no, they want them out there like a lantern fish has that light to get little fish to swim over so they can eat them.
[00:02:16.465 --> 00:02:19.706]  Have you ever thought to yourself, why is this person so popular?
[00:02:19.766 --> 00:02:21.187]  Their music sucks.
[00:02:21.727 --> 00:02:27.209]  Well, we all know that the music industry is a machine, a giant machine.
[00:02:27.229 --> 00:02:33.351]  90% of what Americans read, watch, and listen to is controlled by just six media corporations.
[00:02:33.751 --> 00:02:38.913]  Those media companies own and control all of the channels through which an artist becomes popular.
[00:02:39.293 --> 00:02:45.277]  They own the networks, the radio stations, the award shows, the movie studios, the magazines, the cable channels.
[00:02:45.397 --> 00:02:51.481]  Without any regard to their actual talent, a person can be launched into superstardom overnight.
[00:02:52.022 --> 00:02:53.503]  And here's another shocking truth.
[00:02:53.863 --> 00:02:59.427]  The people who own all of the media are the same people who own all of the private prisons.
[00:02:59.907 --> 00:03:03.329]  The prison industrial complex is a booming industry.
