[00:00:05.607 --> 00:00:06.010]  I'm good.
[00:00:10.242 --> 00:00:16.946]  And finally tonight, here at InfoWars Nightly News, we have some incredibly good news for you.
[00:00:17.627 --> 00:00:21.429]  It was a decade ago that the film Super Seismic came out.
[00:00:21.910 --> 00:00:27.553]  And it changed the way the world, not just the United States, saw fast food.
[00:00:28.154 --> 00:00:31.756]  Because it was a catalyst telling us what we already knew.
[00:00:32.197 --> 00:00:35.299]  That this garbage was full of addictive additives.
[00:00:35.959 --> 00:00:42.727]  And was basically nothing but chemical, biological weapons being deployed against the people of this planet.
[00:00:42.947 --> 00:00:50.816]  The MSG, the GMOs, the aspartame, you name it, linked to all sorts of brain tumors and health problems.
[00:00:51.750 --> 00:00:57.174]  Is now something that most Americans are aware of, and the numbers show it.
[00:00:57.715 --> 00:01:04.480]  And it's a great example of how voting with our dollars, or voting with our decisions, can change the world.
[00:01:04.700 --> 00:01:06.841]  Let's go over some of the news, out today!
[00:01:07.782 --> 00:01:19.985]  McDonald's profits this quarter are down over 30% on sales slumps, and they were down the last few quarters as well, showing basically a collapse is taking place.
[00:01:20.345 --> 00:01:21.525]  But it's not just McDonald's.
[00:01:21.825 --> 00:01:31.727]  The CDC is reporting that Americans are changing the way they eat, trying to avoid fast food, preparing their own meals, and getting healthier and healthier.
[00:01:32.327 --> 00:01:42.930]  That's a story with the headline, Americans Eating Habits Take a Healthier Turn, Study Finds Working Age Adults Consume Fewer Calories and Eat Less Fast Food.
[00:01:43.470 --> 00:01:48.732]  And these headlines don't come to you from places like Infowars.com that have been exposing this for decades.
[00:01:49.032 --> 00:01:53.513]  It comes to you from Forbes and the Wall Street Journal and the New York Times.
[00:01:53.794 --> 00:01:58.555]  There is a collapse, not just in confidence in the government, but in major corporations.
[00:01:58.995 --> 00:02:01.556]  And don't forget who's on the board of McDonald's.
[00:02:02.156 --> 00:02:05.057]  Bill Gates, the eugenicist, and Monsanto.
[00:02:05.597 --> 00:02:15.101]  These are people literally weaponizing food, but the rebellion against GMO and all of these additives has now reached an explosive level.
[00:02:15.881 --> 00:02:27.005]  And it doesn't help McDonald's, one of the biggest heads on this GMO Hydra, that a few months ago they got caught in China with their biggest supplier shipping in
[00:02:27.845 --> 00:02:33.052]  Chickens that have been rotten for 15 days and chemically treating them.
[00:02:33.352 --> 00:02:35.595]  That's why they lobbied to radiate all the meat.
[00:02:35.895 --> 00:02:39.900]  That's why they lobbied to allow things like silicone in their nuggets.
[00:02:40.241 --> 00:02:43.485]  Because they need to feed you something that's basically rotten
[00:02:43.965 --> 00:02:44.045]  So
[00:02:59.394 --> 00:03:03.736]  The entire globalist pyramid of weaponized food will implode.
[00:03:04.196 --> 00:03:11.979]  When Super Size Me came out a decade ago, and then four years ago, films like Fat, Sick and Nearly Dead, the industries attacked them.
[00:03:12.499 --> 00:03:14.520]  But it only added credibility to them.
[00:03:14.840 --> 00:03:15.801]  And that's the good news.
[00:03:16.161 --> 00:03:18.742]  The establishment demonizes alternative media.
[00:03:19.022 --> 00:03:24.284]  They demonize true consumer advocates, like the folks that produce Super Size Me.
[00:03:24.784 --> 00:03:28.626]  They attack that whole system, and it only backfires on them.
[00:03:29.366 --> 00:03:44.206]  And when the nanny state comes in and wants to tax fast food or ban how big a soft drink can be, people reject that as well, knowing that it's government only trying to capitalize on a wave of awakening and to use it as a system of more control.
[00:03:44.747 --> 00:03:46.930]  Michelle Obama doesn't say don't eat GMO.
[00:03:47.190 --> 00:03:51.034]  She doesn't say don't eat aspartame or MSG.
[00:03:51.435 --> 00:03:57.321]  She just says eat basically prison-style food that's deployed down from other major corporations.
[00:03:57.561 --> 00:03:59.283]  So that itself is another scam.
[00:03:59.884 --> 00:04:02.445]  And it's not just films like Super Size Me that have exposed this.
[00:04:02.925 --> 00:04:13.067]  We have interviewed hundreds of guests and had tens of millions of views on YouTube where we break down the secret history of food and how it's been weaponized and what's going on.
[00:04:13.347 --> 00:04:17.048]  And countless others like Dr. Mercola have exposed it as well.
[00:04:17.348 --> 00:04:21.710]  And you have exposed it on your Facebook and your Twitter and to your friends and family.
[00:04:21.890 --> 00:04:22.690]  And we're winning!
[00:04:23.490 --> 00:04:26.694]  Fifteen years ago, you couldn't find organic food on store shelves.
[00:04:27.034 --> 00:04:28.656]  And if you could, it was incredibly expensive.
[00:04:28.917 --> 00:04:37.327]  But as more people began to buy it, more people got into the industry, more quality and more choice came in, and the price is lowering until now.
[00:04:37.607 --> 00:04:41.973]  It's hard to find in major supermarkets stuff that isn't organic.
[00:04:42.293 --> 00:04:46.457]  And of course there's some problems with it and some fraud, but people are now researching that.
[00:04:46.797 --> 00:04:59.408]  This is all part of a process of when people start to care and start to research, it raises the quality of living, it raises the quality in the society, and it's an issue that transcends left and right.
[00:05:00.048 --> 00:05:02.490]  And of course the fact that these grassroots films
[00:05:03.533 --> 00:05:25.984]  could have such a huge effect and change the world shows the power of modern Paul Revere's whether it's in food safety and quality or whether it's in the second amendment or national sovereignty issues or the military saying no to backing Al Qaeda and ISIS against Assad last year we are seeing the conscience of the world really awaken.
[00:05:26.685 --> 00:05:31.027]  Finally though you've got to beware the empire because they're going to strike back
[00:05:31.807 --> 00:05:38.632]  And when I go see a movie or I listen to the radio or watch television, I am seeing McDonald's in what I believe is its death throes.
[00:05:39.272 --> 00:05:40.973]  Come out and say, be a millionaire!
[00:05:41.073 --> 00:05:41.994]  Be a billionaire!
[00:05:42.134 --> 00:05:46.197]  Why, we've got the greatest deal ever.
[00:05:46.617 --> 00:05:48.758]  People in top hats are powerful and cool.
[00:05:49.119 --> 00:05:51.560]  You know, all you poor people that come in to get our food?
[00:05:51.860 --> 00:05:52.461]  Well, guess what?
[00:05:52.561 --> 00:05:53.622]  You could be a millionaire.
[00:05:53.642 --> 00:05:55.183]  Look at all these Hollywood stars.
[00:05:55.543 --> 00:06:00.086]  They're eating McDonald's and, you know, you could make millions in this Monopoly game.
[00:06:00.406 --> 00:06:01.507]  Come get involved.
[00:06:01.807 --> 00:06:11.673]  Well the consumerists and others have broken it down and you have a very very low chance of actually even winning any money and they say basically nobody will ever end up being a millionaire.
[00:06:12.653 --> 00:06:28.823]  So they've gone into what Max Keiser calls the casino gulag model where you've got to go in there and buy their garbage food made up of rotten chicken and GMOs and you name it while Bill Gates gets rich off of it and Monsanto laughs at you
[00:06:30.186 --> 00:06:36.373]  And you're there like a gambler hoping that when you buy this garbage that you've got a chance to win some money.
[00:06:37.426 --> 00:06:54.902]  So it's just like lottery tickets target the poorest people, the most ignorant people, McDonald's is now moving in to targeting the welfare moms and the get-rich-quick people that have absolutely no hope of a future and are now looking to McDonald's as a giant casino in the sky.
[00:06:55.302 --> 00:07:00.547]  This is so dystopic that I don't think the mind of Kurt Vonnegut could have even come up with it.
[00:07:01.207 --> 00:07:05.791]  So the good news is people are leaving these facilities in mass.
[00:07:06.291 --> 00:07:08.293]  We're creating a new, healthier culture.
[00:07:08.953 --> 00:07:11.936]  Government's trying to hijack it with an anti-state, but that's failing.
[00:07:12.416 --> 00:07:16.199]  The bad news is they're weaponizing their agenda.
[00:07:16.379 --> 00:07:21.864]  And as far as I'm concerned, McDonald's is even worse than payday loan operations and loan sharks.
[00:07:21.964 --> 00:07:24.626]  They are the bottom of the barrel.
[00:07:25.026 --> 00:07:34.511]  And so be sure and spread this video to everybody out there, and speak up against McDonald's and others, and tell people that what McDonald's is doing is despicable.
[00:07:34.891 --> 00:07:46.998]  And it's important for people that work inside McDonald's, that is the model of this corporate dictatorship, this scientific dictatorship, this weaponized food and weaponized culture.
[00:07:47.879 --> 00:07:57.670]  That they need to decide which side they're on and not serve this evil and continue to leak information out so we know exactly what is in this so-called food.
[00:07:58.271 --> 00:08:03.457]  Because in my opinion, in my view, stuff in a port-a-potty is better for you than the stuff you get at McDonald's.
[00:08:03.957 --> 00:08:06.739]  All right, well that's the analysis and breakdown tonight.
[00:08:06.939 --> 00:08:08.320]  We're Teleprompter Free News.
[00:08:08.580 --> 00:08:10.982]  We go off real research and real history.
[00:08:11.823 --> 00:08:14.284]  If McDonald's wants to reform itself, that would be great.
[00:08:14.745 --> 00:08:17.947]  But offering grapes, you know, with the Happy Meals isn't going to do it.
[00:08:18.487 --> 00:08:22.430]  Not as long as Bill Gates is at the head of their board.
[00:08:22.750 --> 00:08:27.874]  As long as Monsanto is involved and Bill Gates is involved, they work for Satan as far as I can tell.
[00:08:28.374 --> 00:08:34.723]  Alright, I'm Alex Jones signing off for InfoWars Nightly News, and don't forget, if you're watching this transmission, you are the resistance!
[00:08:44.386 --> 00:08:50.173]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:08:50.634 --> 00:09:00.346]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:09:00.666 --> 00:09:04.427]  DNA Force is one of the most expensive formulas to produce.
[00:09:04.967 --> 00:09:09.648]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:09:10.028 --> 00:09:16.249]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
