[00:00:07.090 --> 00:00:10.513]  Excuse me?
[00:00:10.513 --> 00:00:20.661]  In the councils of government, we must guard against the acquisition of unwarranted influence, whether sought or unsought, by the military-industrial complex.
[00:00:22.765 --> 00:00:25.947]  I hereby declare this to be an unlawful assembly.
[00:00:25.947 --> 00:00:30.110]  I order all those assembled to immediately disperse.
[00:00:30.110 --> 00:00:32.311]  It's a military mission in North St.
[00:00:32.311 --> 00:00:32.952]  Louis.
[00:00:32.952 --> 00:00:40.177]  Heavily armored vehicles are rolling into town and don't be alarmed if you see those over the next seven days rolling through your neighborhood.
[00:00:40.177 --> 00:00:44.980]  If you see military helicopters flying low over Minneapolis, do not be alarmed.
[00:00:44.980 --> 00:00:45.880]  Guns will be taken.
[00:00:45.880 --> 00:00:47.341]  No one will be able to be armed.
[00:00:47.341 --> 00:00:48.342]  We will take all weapons.
[00:00:48.542 --> 00:00:50.924]  Mr. and Mrs. America, turn them all in.
[00:00:50.924 --> 00:00:55.487]  Just really brainwash people into thinking about guns in a vastly different way.
[00:00:55.487 --> 00:00:56.347]  Enough.
[00:00:56.347 --> 00:00:57.148]  Enough.
[00:00:57.148 --> 00:00:58.209]  Enough.
[00:00:58.209 --> 00:00:58.589]  Enough.
[00:00:58.589 --> 00:01:03.152]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:01:03.152 --> 00:01:07.095]  It comes out to like 1.6 billion rounds of ammunition.
[00:01:09.236 --> 00:01:22.583]  So part of it is we have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[00:01:22.583 --> 00:01:26.305]  If you've got a business, you didn't build that.
[00:01:26.305 --> 00:01:27.906]  Somebody else made that happen.
[00:01:28.752 --> 00:01:35.036]  Mercury-containing vaccines may help not harm kids, according to two new studies in the journal Pediatrics.
[00:01:35.036 --> 00:01:39.999]  Blackhawk choppers soaring through the night sky, but this is only a drill.
[00:01:39.999 --> 00:01:44.662]  Heavily armed officers in Watertown search for the suspect, house to house.
[00:01:52.426 --> 00:01:57.431]  It's a joint military training exercise involving local police, also military.
[00:01:57.431 --> 00:01:59.052]  In your apartment!
[00:01:59.052 --> 00:02:00.233]  I am in my apartment, sir.
[00:02:00.233 --> 00:02:01.434]  You're back inside right now!
[00:02:01.434 --> 00:02:02.455]  I am inside.
[00:02:02.455 --> 00:02:04.357]  I have two words for you.
[00:02:04.357 --> 00:02:06.179]  Predator groans.
[00:02:06.179 --> 00:02:07.180]  You will never see it coming.
[00:02:11.232 --> 00:02:14.074]  The dramatic scene played out in front of our cameras.
[00:02:14.074 --> 00:02:23.342]  Parents grabbing their children and running after spending the night hunkering in their houses and then finding themselves face-to-face with the muzzle of a SWAT officer's rifle.
[00:02:23.342 --> 00:02:28.807]  They let them in the area, they told them they could come in, and now they're coming in like they're trespassers, punching and shoving people.
[00:02:28.807 --> 00:02:33.871]  We're not turning our guns in, and we're not running, and we're not backing down!
[00:02:33.871 --> 00:02:35.913]  If you want them, come and take them!
[00:02:37.669 --> 00:02:39.332]  We are on the march.
[00:02:39.332 --> 00:02:42.197]  The Empire is on the run.
[00:02:42.197 --> 00:02:46.705]  Live from the InfoWars.com studios, it's Alex Jones.
[00:03:01.850 --> 00:03:07.215]  The potential for the disastrous rise of misplaced power exists and will persist.
[00:03:07.215 --> 00:03:13.540]  This is the heart of 1776!
[00:03:13.540 --> 00:03:19.805]  Alright folks, we're live broadcasting worldwide on this second day of November 2014.
[00:03:19.805 --> 00:03:22.507]  I'm your host Alex Jones.
[00:03:22.507 --> 00:03:24.388]  PrisonPlanet.tv is the
[00:03:25.874 --> 00:03:33.441]  Infowars Nightly News website, Infowars.com and PrisonPlanet.com are the big news websites.
[00:03:33.441 --> 00:03:35.143]  Wow, there is so much to get into.
[00:03:35.143 --> 00:03:38.927]  I say this every day, but it really is Twilight Zone what's happening.
[00:03:38.927 --> 00:03:43.671]  Ben Stein has come out on Fox News and called Obama the most racist president in history.
[00:03:43.671 --> 00:03:45.453]  And I tend to agree with that because
[00:03:46.534 --> 00:03:51.356]  All the bad things that our founding fathers did was done in their time.
[00:03:51.356 --> 00:03:58.779]  When in Africa and in Asia and in the Middle East, no one was saying slavery was wrong.
[00:03:58.779 --> 00:04:00.979]  Everybody had slaves.
[00:04:00.979 --> 00:04:05.201]  Caste systems in India, caste systems in Japan, call it what you want.
[00:04:05.201 --> 00:04:07.702]  A samurai wanted to test his new knife out on a peasant?
[00:04:07.702 --> 00:04:08.022]  He could.
[00:04:09.642 --> 00:04:16.848]  It was our founding fathers and mothers that said we need to examine this and get rid of it.
[00:04:16.848 --> 00:04:24.233]  It was England that led the world in the abolition of slavery and the abolition of whaling.
[00:04:24.233 --> 00:04:27.336]  I'm not lionizing England, I'm just stating the facts here.
[00:04:27.336 --> 00:04:34.782]  So when we see the controlled corporate media point its finger at our founders and in America and say that we are the fount of racism,
[00:04:35.868 --> 00:04:44.297]  That is being done by people that want to promote it and want to push it as a political diversion from all the real discrimination that's going on big time.
