[00:00:20.051 --> 00:00:22.873]  Welcome to the InfoWars Nightly News live coverage.
[00:00:22.893 --> 00:00:26.496]  This is our pre-election coverage for Obama's midterm elections.
[00:00:27.036 --> 00:00:29.398]  Now, a lot is going to happen this election.
[00:00:29.418 --> 00:00:31.259]  We look to see a turnover in the Senate.
[00:00:31.299 --> 00:00:33.340]  Of course, that's the horse race aspect.
[00:00:33.380 --> 00:00:35.982]  There's going to be many different aspects we're going to cover tonight.
[00:00:36.523 --> 00:00:41.006]  But first, since this is a live broadcast, I want to let you know how you can get in touch with us.
[00:00:41.026 --> 00:00:42.547]  Here's Rob Dew with that information.
[00:00:44.721 --> 00:00:45.402]  Thank you, David.
[00:00:45.842 --> 00:00:48.484]  This is Rob Dew here at InfoWars.com.
[00:00:48.544 --> 00:00:55.209]  I'm over in Studio B. This is our first nightly news studio that we built and actually premiered the first show out of.
[00:00:55.249 --> 00:00:56.250]  It was September 1, 2011.
[00:00:57.291 --> 00:01:08.120]  Back then it was just a small crew of four of us and Alex, and we were able to build a team of reporters and expand and keep expanding with your help at PrisonPlanet.tv, all the members there.
[00:01:08.160 --> 00:01:10.442]  We sure do appreciate all your support.
[00:01:10.762 --> 00:01:14.065]  Now I want to tell you all the ways that you can get in touch with us and watch the show live.
[00:01:15.003 --> 00:01:21.746]  If you go to InfoWars.com, right now on the homepage, we have a button on the top and you'll see an election button.
[00:01:22.487 --> 00:01:26.529]  And if you bring that up right now, guys, you can show the people at home watching that.
[00:01:27.309 --> 00:01:30.211]  And you also see a free live video right underneath.
[00:01:30.871 --> 00:01:31.331]  There it is.
[00:01:31.371 --> 00:01:33.572]  You got the elections and free election coverage.
[00:01:33.612 --> 00:01:37.453]  Now elections will take you to InfoWars.com forward slash election.
[00:01:37.493 --> 00:01:44.895]  There's that button and right underneath it is the free video live video coverage which takes you to InfoWars.com forward slash show.
[00:01:44.935 --> 00:01:46.475]  Let's go to the elections button first.
[00:01:46.495 --> 00:01:49.116]  Let's hit that and it takes you to
[00:01:51.304 --> 00:01:58.632]  Uh, there it is, it looks like we have, it looks like, yeah, and then there's the masthead and it also has some of the election articles that we've been bringing up.
[00:01:59.132 --> 00:02:11.625]  If you click on the top of that, scroll back up guys, to the top, and you hit that Freedom vs. Oppression free live coverage, that takes you also to InfoWars.com forward slash shows, same as the free live coverage, and there you can hit play on that and watch it for free.
[00:02:12.385 --> 00:02:25.180]  We also have on our YouTube channel, it's youtube.com forward slash the Alex Jones Channel, we are also offering a free stream of all the stuff that's going on as well today.
[00:02:25.660 --> 00:02:28.003]  So there's basically three ways you can get to us.
[00:02:28.023 --> 00:02:29.945]  You've got Infowars.com forward slash show.
[00:02:30.145 --> 00:02:33.208]  If you're a member of PrisonPlanet.tv, you can get to us that way.
[00:02:33.869 --> 00:02:34.229]  We're good to go.
[00:02:57.655 --> 00:03:08.438]  And so we want to send us your questions, send us your comments, and really we want to make this as interactive as possible because we really do want to bring the media, the new media, into the 21st century and beyond.
[00:03:08.458 --> 00:03:09.819]  And with your help, we can do that.
[00:03:10.219 --> 00:03:18.922]  And this is really exciting that we can bring you all this stuff live here, all the different studios that we're going to be cutting to, the different panels, all the videos we're going to be playing.
[00:03:19.342 --> 00:03:22.343]  It's all due to your help and your support at PrisonPlanet.tv.
[00:03:22.723 --> 00:03:25.164]  And with that, we're going to go back to David Knight and the rest of the live show.
[00:03:25.184 --> 00:03:26.484]  We're going to be here until 10 o'clock tonight.
[00:03:27.642 --> 00:03:42.031]  That's right, we're going to take a look at the horse race aspect of it, but we're also going to look at the fraud, we're going to look at the political ads, we're going to look at who's behind that, we're going to look at the issues that weren't addressed in this campaign that basically have been ignored by both sides.
[00:03:42.572 --> 00:03:52.078]  This is going to be an historic realignment because of Obama's policies and because of his executive orders, his dictatorial way of handling things.
[00:03:52.478 --> 00:04:06.948]  Now, of course, he and Mary Landrieu will famously tell you that this is just because of sexism and racism, ignoring, of course, the fact that she's been elected three times as a woman, and Obama has been elected and reelected as a black man.
[00:04:06.988 --> 00:04:07.769]  That hasn't changed.
[00:04:08.089 --> 00:04:14.574]  What has changed is people have seen that his policies are making their lives and our lives quite a bit worse.
[00:04:15.074 --> 00:04:16.975]  Now, we do have some interesting news.
[00:04:17.015 --> 00:04:22.479]  We see that ex-Secret Service agent is on the verge of a huge upset, according to his assessment.
[00:04:22.519 --> 00:04:25.041]  This is reported by WND.com.
[00:04:25.061 --> 00:04:26.882]  This is Dan Bongino.
[00:04:26.902 --> 00:04:29.444]  We're going to have some information about him later in the broadcast.
[00:04:29.764 --> 00:04:31.965]  He was a former Secret Service agent for Obama.
[00:04:32.286 --> 00:04:33.727]  Basically, he's had enough.
[00:04:33.767 --> 00:04:37.349]  And he pointed out in the article that he says he does his own social media.
[00:04:37.549 --> 00:04:38.290]  It's his voice.
[00:04:38.690 --> 00:04:39.170]  And he says,
[00:04:45.434 --> 00:04:45.855]  We're good to go.
[00:05:09.176 --> 00:05:15.722]  Very different from what we heard earlier when we just heard Obama say he's got a pen and he's got a phone and he's going to basically do whatever he wants.
[00:05:16.162 --> 00:05:19.645]  That's going to be one of the aspects we're going to talk about tomorrow night with Alex Jones.
[00:05:19.665 --> 00:05:23.949]  We're going to talk about what comes after the election, the consequences for that.
[00:05:24.409 --> 00:05:29.110]  And it's not really clear that it's going to be a... It certainly isn't clear.
[00:05:29.150 --> 00:05:37.513]  We all know the Republicans are largely going to follow along with the policies that the Democrats have had because they've largely got the same corporate masters.
[00:05:37.993 --> 00:05:45.835]  In some ways, we're going to see an acceleration into the kind of one-world government, the kind of corporate elitism that we've seen in the past.
[00:05:46.475 --> 00:05:49.917]  One example, that's going to be, for example, in the Senate Intelligence Committee.
[00:05:49.937 --> 00:06:02.544]  We know that Dianne Feinstein's kind of got a personal feud going now with the NSA over the direct bugging of her Senate staff and the Intelligence Committee as they were looking at the CIA torture report.
[00:06:02.564 --> 00:06:14.071]  So there's been a lot of back and forth on that, but the person who would likely replace her, Richard Burr, has basically said he doesn't ever see a need that the Senate Intelligence Committee would have any public hearings.
[00:06:14.631 --> 00:06:19.673]  So much for transparency, so much about controlling and reining in criminal organizations.
[00:06:20.033 --> 00:06:26.936]  Now we're also going to be talking about fraud and today just an article that just came out about a lone wolf political operative and some corruption.
[00:06:26.956 --> 00:06:32.259]  We have a mail carrier being investigated over allegations of dumping GOP political mailers.
[00:06:32.319 --> 00:06:34.180]  This is out of Madison, Wisconsin.
[00:06:34.480 --> 00:06:39.042]  Basically this guy evidently doesn't like the GOP so he just decided that he would
[00:06:39.502 --> 00:06:41.643]  Dump the mail as a mail carrier.
[00:06:42.123 --> 00:06:45.845]  But of course it's also the bigger guys who are going to be concerned about.
[00:06:46.105 --> 00:06:49.427]  We're going to be taking a look at that when Rob Dew joins us with Darren McBreen.
[00:06:49.447 --> 00:06:56.851]  We're going to be looking at GMO initiatives, at pot initiatives, and the way big money is really throwing its weight around in those areas.
[00:06:56.891 --> 00:07:00.293]  But of course there's other subtle ways that that happens as well.
[00:07:00.973 --> 00:07:08.098]  Now, the Edward Snowden documentary Citizen Four has now hit theaters in the U.S., but only 37.
[00:07:09.239 --> 00:07:13.562]  Not 3,700, but just 37 theaters.
[00:07:13.642 --> 00:07:22.228]  Now, compare that to what Harvey Weinstein did with Zero Dark Thirty, making a hero out of Obama just before the re-election.
[00:07:22.789 --> 00:07:29.374]  They don't want to completely demoralize the base, so they don't want them to see what he's been doing to civil liberties.
[00:07:30.034 --> 00:07:34.397]  Well, one of the ways that we know whether or not we're slaves or not, of course, is the Second Amendment.
[00:07:34.417 --> 00:07:41.040]  And although the Second Amendment gets a lot of attention, it's not necessarily in the way that we would like to see that happen, is it, Shaqari?
[00:07:41.200 --> 00:07:42.261]  That's exactly right, David.
[00:07:42.281 --> 00:07:46.964]  Because one of the things we all know, you know, we're all pro-gun, we all support the right to keep and bear arms.
[00:07:47.384 --> 00:07:56.109]  But, you know, a lot of times you'll go on the streets, you'll talk to people, you have a lively debate, and they'll say, Obama's not trying to ban guns, and you guys are lying, they always try to say that you're a Republican.
[00:07:56.469 --> 00:07:57.850]  Obama didn't take anybody's guns.
[00:07:57.890 --> 00:07:59.131]  Well, it's not for lack of trying.
[00:08:00.532 --> 00:08:07.296]  And we've seen various places around the country, whether it's New York with the SAFE Act, they don't want you to have a certain type of firearm.
[00:08:07.536 --> 00:08:13.239]  But let's look back and think about last year, talking about 2013 and all the things they tried to ban in just that year.
[00:08:13.580 --> 00:08:18.282]  We have the article, Dianne Feinstein's assault weapons ban of 2013.
[00:08:18.843 --> 00:08:29.169]  And just to give you the precursor for what we're going to talk about tonight, we're going to talk about Bill Gates, Michael Bloomberg, all the big billionaire boys club who want to come and take away your firearms, even though they have personal bodyguards and people
[00:08:29.189 --> 00:08:29.629]  We're good to go.
