[00:00:17.768 --> 00:00:20.750]  Well, it's not coming out until March 4th, 2016.
[00:00:22.392 --> 00:00:23.713]  Prometheus 2.
[00:00:24.353 --> 00:00:35.602]  But just like we gave you the first sneak peek before Prometheus 1 came out, we're set to do it here again today at InfoWars.com.
[00:00:36.243 --> 00:00:41.907]  Prometheus itself is just a backdrop to project a larger discussion onto
[00:00:43.088 --> 00:00:43.529]  We're good to go.
[00:01:03.545 --> 00:01:07.787]  Without giving away too much on what is going to be in Prometheus 2.
[00:01:07.907 --> 00:01:11.689]  So, first look at Prometheus 2 here today.
[00:01:11.849 --> 00:01:30.018]  Now, I want to be clear, this breakdown is not an assault on Christianity, which is my faith, but my faith is not the Christianity promoted by the mainline preachers, many of them themselves dogmatically controlled by their administrations and state-run systems to keep the public unaware of what the elite themselves believe.
[00:01:30.618 --> 00:01:32.421]  Which is not necessarily what I believe.
[00:01:33.041 --> 00:01:39.130]  But it's important to understand the governing system of the establishment if we hope to beat them.
[00:01:39.270 --> 00:01:45.458]  Now the elite themselves see themselves becoming the master engineers.
[00:01:45.518 --> 00:01:46.900]  Ray Kurzweil that heads up Google's
[00:01:47.501 --> 00:01:55.548]  A future technology development has said he doesn't believe in God yet, but that he will soon become God, and that those of us that don't accept this will be stepped on.
[00:01:55.928 --> 00:02:02.293]  They're saying it's the end of humanity, they've decided we're garbage, and that they're gonna merge with the machines and become these God-like creatures.
[00:02:02.674 --> 00:02:03.715]  They're now playing the part.
[00:02:04.255 --> 00:02:14.898]  They see Asgard preparing for a new overwrite, not by water, not by fire, but by genetic engineering, aka the Prometheus model.
[00:02:15.378 --> 00:02:17.938]  And then there's also the point of AI technology.
[00:02:18.298 --> 00:02:22.959]  Will it end up being dominant over humans that have been discarded?
[00:02:23.660 --> 00:02:30.201]  Or will it be the super genetic engineering family that becomes dominant?
[00:02:30.561 --> 00:02:33.262]  Now, there are a lot of good things in the fire of Prometheus.
[00:02:33.962 --> 00:02:35.944]  That technology, genetic engineering, could help us.
[00:02:36.464 --> 00:02:39.387]  With frogs and other amphibians, we could grow back limbs.
[00:02:39.748 --> 00:02:40.849]  We could grow back eyes.
[00:02:41.710 --> 00:02:45.673]  We could have brain chips that help us live longer, and not have Parkinson's.
