[00:00:04.946 --> 00:00:06.186]  There is a war.
[00:00:06.627 --> 00:00:07.587]  It's happening now.
[00:00:08.507 --> 00:00:10.348]  It will decide the fate of humanity.
[00:00:10.888 --> 00:00:12.688]  The time to choose sides has come.
[00:00:13.449 --> 00:00:14.909]  We are the resistance.
[00:00:15.349 --> 00:00:17.230]  We are the InfoWars.
[00:00:23.152 --> 00:00:25.192]  Welcome to the InfoWars Nightly News.
[00:00:25.292 --> 00:00:26.653]  I'm your host, Jakari Jackson.
[00:00:26.953 --> 00:00:28.393]  It's September 17th, 2014, and here are our top stories.
[00:00:34.209 --> 00:00:41.696]  Tonight, dozens of children are dead after the UN gives tainted vaccines in rebel-held Syria.
[00:00:42.056 --> 00:00:48.041]  Meanwhile, the polio vaccine cripples close to 48,000 children in India.
[00:00:48.361 --> 00:00:49.743]  Thank you, Bill Gates.
[00:00:50.083 --> 00:00:58.250]  Then, a teenager is in a coma after a cop tasered him into compliance during a routine traffic stop.
[00:00:58.490 --> 00:01:00.132]  Anybody that is physically resistive
[00:01:01.539 --> 00:01:03.621]  That is 17 years of age.
[00:01:04.262 --> 00:01:05.463]  That fits within our policy.
[00:01:05.743 --> 00:01:09.868]  All that plus much more up next on the InfoWars Nightly News.
[00:01:13.513 --> 00:01:14.254]  And welcome back.
[00:01:14.774 --> 00:01:18.698]  The House has approved Obama's Iraq-Syria military strategy.
[00:01:19.138 --> 00:01:24.863]  Now, this is something that has been much contested, because people understand that, you know, you have many rebel groups.
[00:01:25.284 --> 00:01:28.426]  You have the rebel groups who have the affiliations with Al-Qaeda.
[00:01:28.767 --> 00:01:36.334]  You also have other rebel groups, which my understanding, they're few in number, but you do have people that are not pro-Assad, they're not pro-Al-Qaeda, they're just, you know, general rebels.
[00:01:36.374 --> 00:01:39.837]  Like I said, those people are most likely few in number, but they do exist.
[00:01:40.277 --> 00:01:44.842]  And now the people have spoken, so to speak, or I guess trying to speak for the American public.
[00:01:45.383 --> 00:01:59.779]  The House voted today it was 273 to 156 yay for military support of the Syrian rebels, the moderate Syrian rebels as the article calls them, against the Islamic State terrorist organization.
[00:02:00.683 --> 00:02:01.584]  But let's think about this.
[00:02:01.604 --> 00:02:05.347]  Let's think about the history of arming these foreign rebels.
