[00:00:02.174 --> 00:00:03.336]  Coast to coast.
[00:00:03.717 --> 00:00:05.020]  Direct from Austin.
[00:00:05.761 --> 00:00:08.968]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.049 --> 00:00:15.690]  Big Brother.
[00:00:16.351 --> 00:00:17.372]  Mainstream media.
[00:00:18.113 --> 00:00:19.235]  Government cover-ups.
[00:00:19.895 --> 00:00:20.696]  You want answers?
[00:00:21.477 --> 00:00:22.419]  Well, so does he.
[00:00:23.040 --> 00:00:26.644]  He's Alex Jones on the GCN Radio Network.
[00:00:27.205 --> 00:00:31.270]  And now, live from Austin, Texas, Alex Jones.
[00:00:44.944 --> 00:00:46.906]  Ladies and gentlemen, here we are.
[00:00:47.266 --> 00:00:48.267]  Another Monday.
[00:00:48.447 --> 00:00:52.330]  The 17th day already of March 2014.
[00:00:53.111 --> 00:00:54.632]  And here's what I'm going to do today.
[00:00:55.452 --> 00:00:56.393]  We don't have any guests.
[00:00:56.493 --> 00:00:59.976]  I have cleared the slate of guests because I want to take your phone calls.
[00:01:00.537 --> 00:01:01.798]  I want to cover the news.
[00:01:02.762 --> 00:01:09.067]  There is a transference to private corporates, Davos-type interest of the Internet.
[00:01:09.888 --> 00:01:19.915]  We're going to be looking at that today and tying it into the technocracy that these scallywags run and operate and are building in to the technological system.
[00:01:19.935 --> 00:01:26.501]  We're going to look at the huge developments obviously in Europe and the Ukraine and what that means to the Russian, U.S.
[00:01:26.661 --> 00:01:27.782]  and the rest of the world economy.
[00:01:28.442 --> 00:01:34.469]  And we're going to get into a plethora of news that's breaking and that I haven't gotten to yet.
[00:01:34.669 --> 00:01:42.699]  I literally have one of the largest arrays of stacks of news I think I've ever had in all of it.
[00:01:44.065 --> 00:01:45.086]  Is incredibly important.
[00:01:45.126 --> 00:01:54.552]  So what I'm going to do best I can is come back in the next segment and just read some headlines out to give you an idea of what's coming up and then I'm gonna open the phones up.
[00:01:55.132 --> 00:02:00.195]  We took military calls, active duty and retired yesterday on Ukraine.
[00:02:00.235 --> 00:02:01.316]  It was so informative.
[00:02:02.345 --> 00:02:07.989]  People that had been over there in there in the Cold War, folks that live in Ukraine for a decade, people who work there.
[00:02:08.009 --> 00:02:14.072]  One guy called in, he was retired, out of a Naval Intelligence recently, just incredibly informative.
[00:02:14.473 --> 00:02:16.034]  I'm sure a lot of you heard that phone call.
[00:02:16.694 --> 00:02:22.398]  We should probably give YouTube videos like that, names like, you know, Naval Intelligence insider speaks out on Ukraine.
[00:02:22.418 --> 00:02:25.620]  It was just, it's just incredibly informative because
[00:02:26.400 --> 00:02:27.841]  I study this stuff in depth.
[00:02:27.901 --> 00:02:39.724]  You can tell when somebody knows what they're talking about and then takes it to a whole other level of, oh, this is all a war game to put pressure on Russia so they can take Syria, and that's exactly what it is, and then, of course, move on to Iran.
[00:02:39.784 --> 00:02:42.065]  And it's not that I'm some fan of Syria or Iran.
[00:02:42.825 --> 00:02:50.788]  It's just that the globalists are running America and Europe, and it is just a bad situation any way you slice it.
[00:02:51.388 --> 00:02:53.409]  And, you know, the numbers I've got are there are 200,000 trips
[00:02:55.009 --> 00:03:00.030]  On the Russian border with Crimea, 60,000 are already in there.
[00:03:01.070 --> 00:03:06.871]  And you've got one of the largest standing armies, though it's primitive, they have armored vehicles, tanks and artillery.
[00:03:07.291 --> 00:03:13.292]  Close to a million people in the Ukrainian military, but really only a few hundred thousand they can muster up.
[00:03:13.332 --> 00:03:16.533]  But they are massing those near the Crimea.
[00:03:16.953 --> 00:03:18.353]  We heard all these threats last week.
[00:03:18.373 --> 00:03:22.174]  I think the big story is that people like
[00:03:24.130 --> 00:03:36.787]  John Kerry and the Chairman of the Joint Chiefs of Staff, Dempsey, had all sorts of rhetoric about how there might even be military action and you've got McCain running around calling for military action.
[00:03:38.203 --> 00:03:45.665]  And military aid, if the Russians didn't pull out of Crimea, well, Crimea just voted 90 plus percent.
[00:03:45.685 --> 00:03:47.366]  95 plus percent, actually.
[00:03:47.386 --> 00:03:50.227]  The last number I saw with the votes in was 97 percent.
[00:03:50.647 --> 00:03:54.628]  I found that hard to believe, but they had Western exit pollers picking that up.
[00:03:54.648 --> 00:03:57.229]  I mean, that is a massive number.
[00:03:57.429 --> 00:04:05.352]  75 percent ethnic Russian, but still, I guess the Ukrainians in that area do not want to go, those that aren't even Russian, with the EU.
[00:04:06.714 --> 00:04:13.037]  And look, Ukraine's got a lot of serious beefs with Russia, and I'm not painting Russia as angels here, as Ron Paul has said.
[00:04:13.537 --> 00:04:19.919]  It's just the West started this over through the government, and it's trying to start a new Cold War to get rid of national sovereignty.
[00:04:20.379 --> 00:04:30.703]  They're going to use the crisis of a new Cold War with Russia as a police state excuse to militarize the EU via Germany at its heart.
[00:04:31.224 --> 00:04:33.184]  That's why Russia is criticizing Germany right now.
[00:04:33.444 --> 00:04:34.545]  The Russians are not stupid.
[00:04:35.285 --> 00:04:45.523]  They know who's running and quarterbacking this, and it's Deutschland-Uberallis at the heart of Europe, with the same financial interests pulling the strings here in the United States and England.
