[00:00:19.773 --> 00:00:21.895]  Welcome to the Infowars Nightly News.
[00:00:22.056 --> 00:00:22.997]  I'm Darren McBreen.
[00:00:23.157 --> 00:00:24.599]  It is Friday, August 29, 2014.
[00:00:24.739 --> 00:00:26.421]  Here's a quick look at what's coming up.
[00:00:31.650 --> 00:00:41.277]  Tonight, Huxley and Bernays would be proud.
[00:00:41.997 --> 00:00:43.498]  A look at the PSYOP war.
[00:00:44.339 --> 00:00:47.721]  And as the Cold War heats up, Putin issues a warning.
[00:00:48.382 --> 00:00:51.304]  All that and more on tonight's InfoWars Nightly News.
[00:01:01.280 --> 00:01:10.884]  Yesterday, the Washington Post reported that two armored Russian columns have captured the southeastern coastal town of Novozovsk.
[00:01:11.325 --> 00:01:14.106]  That's basically right there on the Russian border.
[00:01:14.426 --> 00:01:22.530]  They're saying that the Ukrainian military has retreated and that the Russians have invaded the Ukraine.
[00:01:22.890 --> 00:01:25.671]  Meanwhile, the New York Times is reporting
[00:01:25.811 --> 00:01:26.291]  That U.S.
[00:01:26.352 --> 00:01:33.278]  officials have photographs of Russian artillery moving into the Ukraine, setting up firing positions.
[00:01:34.279 --> 00:01:41.266]  But before we hit the panic button, let's stop, let's take a deep breath, and take a good look at where all this information is coming from.
[00:01:41.687 --> 00:01:45.731]  Because to be honest, some of this information sounds like a load of BS.
[00:01:46.892 --> 00:01:48.112]  Consider the source.
[00:01:48.473 --> 00:01:50.734]  The New York Times says U.S.
[00:01:50.794 --> 00:01:56.456]  officials showed them satellite images of the invasion, but they won't publish the pictures.
[00:01:56.816 --> 00:01:58.977]  I guess we're supposed to take their word for it.
[00:01:59.277 --> 00:02:11.442]  And keep in mind that this is the same New York Times reporter, Michael Gordon, who along with Judith Miller, they're the ones that wrote all those bogus articles about weapons of mass destruction in Iraq.
[00:02:11.782 --> 00:02:12.262]  Remember that?
[00:02:12.882 --> 00:02:14.783]  Iraq has WMDs.
[00:02:15.003 --> 00:02:18.425]  It's not something we think, it's something we know.
[00:02:19.025 --> 00:02:25.508]  And they had all these fancy graphics showing that Iraq was in possession of mobile bioweapons labs.
[00:02:25.868 --> 00:02:30.731]  Colin Powell, as you might recall, he used the same graphics for his UN address.
[00:02:31.371 --> 00:02:34.373]  Which ultimately led to the Iraq War in 2003.
