[00:00:10.856 --> 00:00:11.656]  I'm Alex Jones.
[00:00:11.716 --> 00:00:15.337]  This is a breaking Ebola news update.
[00:00:16.157 --> 00:00:28.381]  In a moment I'm going to break down some very important developments where the World Health Organization itself is now saying that the incubation period is not just 21 days but can be up to 41 days.
[00:00:29.101 --> 00:00:39.584]  This was announced today as it was also announced that they are releasing dozens and dozens of quarantine Americans who are around patient zero in Dallas
[00:00:40.624 --> 00:00:44.447]  Only after 21 days of observation.
[00:00:45.128 --> 00:00:56.517]  And as more flights come into the United States from West Africa, with people exhibiting signs of Ebola, it's clear that there is an attempt to whitewash and cover up exactly what's happening.
[00:00:56.857 --> 00:01:03.183]  But before we get into that, I want to just point out that InfoWars.com, The Nightly News, and everything we do here,
[00:01:04.335 --> 00:01:06.937]  Is about us trying to find out what's really happening.
[00:01:07.458 --> 00:01:15.124]  Not coming at you with a pre-set agenda or view like the controlled left or controlled right and the state-run media does.
[00:01:15.825 --> 00:01:17.867]  I want to know what's really happening with Ebola.
[00:01:18.327 --> 00:01:24.332]  I want to know if there are things out there that could protect this country and protect my three children just as you do.
[00:01:24.973 --> 00:01:27.234]  We're teleprompter free here ladies and gentlemen.
[00:01:27.995 --> 00:01:34.639]  This is about really doing the analysis, really talking to a wide spectrum of experts and not trusting the system.
[00:01:35.200 --> 00:01:36.180]  And that's the good news.
[00:01:36.200 --> 00:01:38.422]  There are several polls out just this week.
[00:01:38.822 --> 00:01:44.586]  Public confidence in the CDC nosedives CBS News reports in a major poll.
[00:01:45.066 --> 00:01:50.330]  Another story, 64% believe America is out of control.
[00:01:51.050 --> 00:01:55.152]  And yes, ladies and gentlemen, America is getting more and more out of control.
[00:01:55.753 --> 00:02:02.356]  But the good news is, when African leaders come out and say that this Ebola could be weaponized, people really aren't laughing anymore.
[00:02:02.697 --> 00:02:06.159]  In fact, we have an article on Infowars.com that has a BBC video in it.
[00:02:06.659 --> 00:02:17.025]  Secret project created weaponized Ebola in South Africa in the 1980s to be used against blacks to reduce their population.
[00:02:17.705 --> 00:02:34.622]  So the alternative media is now becoming the dominant media, and we go out and source real facts and what's already admitted, and the system calls us conspiracy theorists and attacks us in publications every day, and it has no effect other than boosting our credibility.
[00:02:34.982 --> 00:02:40.047]  The arrogant, dying dinosaur media still thinks that demonizing us is effective.
[00:02:40.588 --> 00:02:41.689]  It's not, ladies and gentlemen.
[00:02:42.346 --> 00:02:49.571]  Alex Jones may sound crazy, but still has 300 million people that have watched him on YouTube.
[00:02:49.891 --> 00:03:00.259]  And that sort of fringe, arch-conservative, deeply, I think, racist strain is being tapped into at crazy profit by people in the media.
[00:03:00.299 --> 00:03:04.181]  Well it is, and I think that the point you just made is the key thing at Crazy Profit.
[00:03:04.221 --> 00:03:06.041]  These folks are getting paid to be racist.
[00:03:06.662 --> 00:03:09.403]  Now shifting to the potentially bad news.
[00:03:09.783 --> 00:03:10.823]  The breaking info.
[00:03:11.023 --> 00:03:11.964]  CNN today.
[00:03:12.524 --> 00:03:14.645]  UN staffer dies of Ebola.
[00:03:15.265 --> 00:03:18.786]  Monitoring ends for 43 in Texas.
[00:03:19.547 --> 00:03:29.391]  43 people who came in contact with Ebola patient Thomas Eric Duncan are now officially cleared after not demonstrating any symptoms during a 21 day monitoring period.
[00:03:30.251 --> 00:03:46.563]  Here's the problem, the UN on its own World Health Organization website and other mainline virology sites state the same fact, say that Ebola can easily live for 41 days in the body and 70 days in the semen in a man's testicles.
[00:03:47.043 --> 00:03:52.407]  So they are releasing people who are around this Ebola patient and he's already infected two nurses.
[00:03:53.410 --> 00:03:57.672]  Who could not exhibit signs for another 21 days?
[00:03:58.192 --> 00:04:02.614]  And this fits into the pattern of bringing in the West African flights when other nations ban it.
[00:04:03.334 --> 00:04:09.117]  When they're putting Ebola patients in regular hospitals and the CDC told one of the nurses
[00:04:09.417 --> 00:04:12.058]  Doesn't matter if you treated an Ebola patient and you've got fever.
[00:04:12.259 --> 00:04:13.539]  Go ahead and fly, honey.
