[00:00:01.078 --> 00:00:03.941]  Coast to Coast, direct from Austin.
[00:00:04.662 --> 00:00:07.865]  You're listening to the Alex Jones Broadcasting Network.
[00:00:19.849 --> 00:00:29.660]  Welcome to the Alex Jones Show.
[00:00:29.720 --> 00:00:31.022]  I'm David Knight here live.
[00:00:31.122 --> 00:00:36.288]  We've got a very important show today because America is really at a crossroads.
[00:00:36.368 --> 00:00:38.410]  A crossroads, I think, of corruption.
[00:00:39.011 --> 00:00:55.658]  Of course, it was probably less than two weeks ago that Alex had Colonel Pete Martino in here, retired Marine Colonel, and he was talking about how the real issue before America that impinges upon all of these other issues, whether it's the police state or the drug war, is really an issue of corruption.
[00:00:56.298 --> 00:01:05.045]  And I think this is really brought to the forefront now here in a story that's breaking here in Austin about the indictment of Governor Perry here.
[00:01:05.145 --> 00:01:07.767]  This is two felony accounts that they're coming at him with.
[00:01:08.167 --> 00:01:13.311]  It was a story of local corruption a year ago and we're going to show those of you who weren't following this.
[00:01:13.331 --> 00:01:23.819]  I think we covered it a little bit just talking about how outrageous it was that we could have the highest law enforcement agent in the county behave this way and refuse to resign.
[00:01:24.660 --> 00:01:40.943]  Strictly because of political reasons, the Democrat Party is supporting her, keeping her in office, even though it reveals some very, very troubling character issues with this district attorney, who is actually in charge of the State Public Integrity Unit.
[00:01:42.113 --> 00:01:43.594]  I don't think so.
[00:01:57.600 --> 00:01:59.561]  going to do that.
[00:01:59.661 --> 00:02:03.502]  We're going to have somebody who actually hasn't damaged their integrity publicly.
[00:02:03.862 --> 00:02:05.643]  We're going to be talking about that in the next segment.
[00:02:05.663 --> 00:02:07.163]  We've got clips of that coming up for you.
[00:02:07.243 --> 00:02:10.084]  Alex Jones is going to be coming up with Max Keiser.
[00:02:10.484 --> 00:02:12.825]  And we've got a lot of breaking news from Ferguson.
[00:02:13.385 --> 00:02:16.087]  We have a lot of new news from last night.
[00:02:16.127 --> 00:02:17.508]  Of course, our crew is still there.
[00:02:17.528 --> 00:02:20.510]  And there were more tear gassings last night.
[00:02:20.570 --> 00:02:27.454]  Of course, there's a difference in the way the mainstream media, especially CNN, is reporting it and the way that it really happened.
[00:02:27.534 --> 00:02:29.936]  And we have people there on the streets.
[00:02:30.056 --> 00:02:31.297]  We have Jakari Jackson.
[00:02:31.977 --> 00:02:35.179]  Joe Biggs and Josh Owens are there on the street reporting this.
[00:02:35.199 --> 00:02:39.983]  So we're going to tell you what really happened, not what the police press report says.
[00:02:40.003 --> 00:02:42.525]  And we're going to take a look at what's going on.
[00:02:42.905 --> 00:02:45.447]  This has become, of course, a very large national story.
[00:02:45.487 --> 00:02:46.488]  It was just last Friday.
[00:02:46.788 --> 00:02:51.731]  More than a thousand people marched in Times Square protesting what was happening in Ferguson.
[00:02:51.751 --> 00:02:57.515]  Because what is happening in Ferguson is something that we're seeing over and over and over again.
[00:02:57.575 --> 00:02:58.856]  The militarization of the police.
[00:02:59.197 --> 00:03:00.738]  Yet we see the feds, especially
[00:03:01.238 --> 00:03:07.704]  Attorney General Eric Holder pretending that this is somehow something that is unique to that particular area.
[00:03:07.804 --> 00:03:16.651]  No, the reason this is a national story is because the militarization of the police is something that's being done by the federal government.
[00:03:17.171 --> 00:03:18.653]  They're changing the rules of engagement.
[00:03:18.733 --> 00:03:21.175]  They're changing the way that they treat the citizens on the street.
[00:03:21.615 --> 00:03:23.297]  They're changing the way that they're equipped.
[00:03:24.008 --> 00:03:27.690]  And they're encouraging them into this kind of confrontational belligerence.
[00:03:27.730 --> 00:03:28.851]  That's coming from the feds.
[00:03:28.891 --> 00:03:36.595]  And so for the federal government to come in and say that they're going to now be the saviors riding in on a white horse is a little bit hypocritical.
[00:03:36.715 --> 00:03:37.796]  It's way hypocritical.
[00:03:37.816 --> 00:03:39.316]  So we're going to be talking about that.
[00:03:39.336 --> 00:03:44.539]  Of course, the governor of Missouri, Governor Nixon, has been on several of the Sunday political talk shows.
[00:03:44.559 --> 00:03:46.180]  We're going to talk about what he's saying.
[00:03:46.400 --> 00:03:49.422]  We're going to look at it from the perspective of eyewitness reports.
[00:03:49.482 --> 00:03:49.902]  We're good to go.
[00:04:20.283 --> 00:04:22.565]  ...coming after peaceful protesters.
[00:04:22.825 --> 00:04:27.409]  They stand down when they see looters, but when they see peaceful protesters, they seem to get aggressive.
[00:04:27.790 --> 00:04:32.955]  The people who stood there protecting their property with firearms were the ones who didn't have their businesses burned down.
[00:04:33.455 --> 00:04:43.264]  And yet we see a court decision coming out of Maryland saying that AR-15s are unusual weapons and we don't need to be allowed to have those.
[00:04:43.945 --> 00:04:56.332]  So we're going to be coming back with more information about that and other court decisions that have surfaced recently about the Second Amendment and how it impinges on your rights to protect yourself, whether it's from looters or an overly aggressive government.
[00:04:56.372 --> 00:04:57.353]  Stay with us, we'll be right back.
[00:05:09.372 --> 00:05:12.873]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:13.013 --> 00:05:16.974]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:17.294 --> 00:05:18.754]  Can you put two and two together?
[00:05:19.074 --> 00:05:26.656]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:05:26.936 --> 00:05:27.776]  But for how long?
[00:05:28.076 --> 00:05:34.337]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:05:34.717 --> 00:05:37.518]  Infidel Body Armor just won't quit.
