[00:00:04.946 --> 00:00:06.167]  There is a war.
[00:00:06.627 --> 00:00:07.648]  It's happening now.
[00:00:08.488 --> 00:00:10.309]  It will decide the fate of humanity.
[00:00:10.870 --> 00:00:12.671]  The time to choose sides has come.
[00:00:13.451 --> 00:00:14.912]  We are the resistance.
[00:00:15.372 --> 00:00:17.153]  We are the InfoWar.
[00:00:23.037 --> 00:00:24.958]  Welcome to the InfoWar's nightly news.
[00:00:25.018 --> 00:00:29.240]  It is Friday, September 19th, 2014, and I'm Leanne McAdoo.
[00:00:29.320 --> 00:00:30.421]  Here's what's coming up tonight.
[00:00:32.843 --> 00:00:33.303]  Tonight,
[00:00:35.083 --> 00:00:38.626]  How New Jersey cops plan to avoid search warrants.
[00:00:39.506 --> 00:00:42.849]  Then, what's the vote for Scottish Independence rigged?
[00:00:43.869 --> 00:00:48.273]  And a nosy neighbor calls the cops for kids playing outside.
[00:00:49.033 --> 00:00:52.516]  That's next on the InfoWars Nightly News.
[00:00:53.476 --> 00:00:57.219]  You people are smoking your own dope, believing your own propaganda.
[00:00:57.259 --> 00:00:58.280]  You're out of control.
[00:01:01.647 --> 00:01:07.995]  Well the world watched intently, waiting to see if Scotland would indeed vote for its independence.
[00:01:08.336 --> 00:01:12.922]  But by a very narrow margin, Scotland voted to remain a part of the UK.
[00:01:13.362 --> 00:01:17.267]  And already we are hearing calls and accusations of vote rigging.
[00:01:17.728 --> 00:01:21.269]  This one first is by the head of Russia's election observation body.
[00:01:21.629 --> 00:01:30.971]  He sensationally accused the British government in Westminster of rigging the Scottish independence vote, asserting that there were more yes votes than no votes.
[00:01:31.251 --> 00:01:33.911]  And this is despite the no campaign claiming victory.
[00:01:34.291 --> 00:01:41.033]  He said that those on the UK side that were campaigning for a no vote resorted to every violation imaginable.
[00:01:41.733 --> 00:01:53.143]  Now, as we were all watching, no doubt Westminster propaganda played a great part in the Scots voting to remain in the UK, but there were also many threats being doled out by the central banks.
[00:01:53.183 --> 00:02:03.651]  They were threatening to raise the interest rate, which of course you have a lot of Scots who are saddled under extreme mortgage debt already, so even a 1% increase in the interest rate
[00:02:04.412 --> 00:02:08.273]  Was enough to shock people into deciding to remain there with the UK.
