[00:00:01.831 --> 00:00:02.992]  Coast to coast.
[00:00:03.373 --> 00:00:04.694]  Direct from Austin.
[00:00:05.435 --> 00:00:08.639]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.761 --> 00:00:15.381]  Big Brother.
[00:00:16.061 --> 00:00:17.102]  Mainstream media.
[00:00:17.822 --> 00:00:18.922]  Government cover-ups.
[00:00:19.562 --> 00:00:20.383]  You want answers?
[00:00:21.163 --> 00:00:22.083]  Well, so does he.
[00:00:22.703 --> 00:00:26.385]  He's Alex Jones, on the GCN Radio Network.
[00:00:26.905 --> 00:00:31.006]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.126 --> 00:00:35.767]  Yeah, but what do you need a semi-automatic weapon for?
[00:00:35.807 --> 00:00:43.930]  The only reason I think you need it is, Pierce, challenge Alex Jones to a boxing match, show up with a semi-automatic that you got legally, and pop him!
[00:00:44.170 --> 00:00:44.891]  I'd love to see that!
[00:00:45.611 --> 00:00:47.572]  In uniform!
[00:00:48.733 --> 00:00:58.059]  Look at these little globalist pimps, these preening sycophantic nobodies, who haven't had an audience worth mentioning in years.
[00:01:01.782 --> 00:01:11.028]  Imploding, sinking into the bygone swamp, like so many other extinct creatures that have been upon the face of this globe.
[00:01:12.998 --> 00:01:15.039]  They are not liberals, and they are not the future.
[00:01:15.139 --> 00:01:16.739]  They are the opposite of Renaissance.
[00:01:17.160 --> 00:01:18.060]  They are the plague.
[00:01:19.300 --> 00:01:24.262]  And Piers Morgan, ladies and gentlemen, for all intents and purposes, has not had a show in about a year.
[00:01:24.943 --> 00:01:28.984]  When Larry King left, it had about a million and a half to two million viewers a night in the U.S.
[00:01:30.125 --> 00:01:31.525]  Piers Morgan some nights had 350,000 viewers.
[00:01:31.545 --> 00:01:32.746]  That was on a low end, high end, half a mil.
[00:01:36.874 --> 00:01:44.746]  When I was on his show, he had 2 million viewers that night, 2.5 million the next night, 2 million the next night, a million and a half the next night, a million, a million, and then down to 500,000.
[00:01:46.348 --> 00:01:50.795]  What you saw him getting a ratings boost for a week or so was an explosion.
[00:01:53.499 --> 00:02:05.426]  An explosion like when a car blows up in a military operation, when a truck's coming down the road and a .50 cal with tracers opens up on its engine and hits the fuel tanks and the truck blows up.
[00:02:05.546 --> 00:02:09.408]  It's not winning when it blows up, throwing troops out of the back on fire.
[00:02:10.569 --> 00:02:12.850]  And engine parts flying into the driver's face, killing them.
