[00:00:07.529 --> 00:00:08.690]  Forget about the NSA.
[00:00:08.990 --> 00:00:13.514]  Your local police department is already spying on you just as much as the federal government.
[00:00:14.014 --> 00:00:28.366]  LA Weekly reports Los Angeles and Southern California police are expanding their use of surveillance technology such as intelligent video analytics, digital biometric identification, and military pedigree software for analyzing and predicting crime.
[00:00:28.766 --> 00:00:35.972]  Information on the identity and movements of millions of Southern California residents is being collected and tracked whether they've committed a crime or not.
[00:00:36.352 --> 00:00:36.612]  L.A.
[00:00:36.712 --> 00:00:37.433]  and most U.S.
[00:00:37.473 --> 00:00:44.239]  cities are enjoying a huge drop in violent crime, so setting up this technology has nothing to do with stopping crime.
[00:00:44.559 --> 00:00:48.983]  It has everything to do with implementing a total surveillance panopticon.
[00:00:49.203 --> 00:00:50.644]  A high-tech control grid.
[00:00:50.944 --> 00:01:01.253]  But much like the article's picture suggests, it's luring readers down one path of this surveillance maze by exposing license plate scanners while avoiding the true culprit, fusion centers.
[00:01:01.593 --> 00:01:08.759]  More than 70 were created across the country in the aftermath of 9-11 to spy on Americans and act as a funnel to the federal government.
[00:01:08.859 --> 00:01:18.767]  While being sold to the public as a vital defense to defeating Al Qaeda, we reported in 2008 how these fusion centers were actually a tool for the implementation of the control grid.
[00:01:18.947 --> 00:01:28.975]  Fusion centers bring together the FBI, DHS, FEMA, CIA, and state and local law enforcement, all of them using a networked system developed by DARPA and the Pentagon.
[00:01:29.215 --> 00:01:42.408]  Fusion Centers have access to records about Americans' locations, financial holdings, associates, relatives, firearms licenses, wage and property records, and government files that include criminal justice information and traffic tickets.
[00:01:42.628 --> 00:01:49.555]  The now-notorious MYAC report identified supporters of Ron Paul, Chuck Baldwin, and Bob Barr as potential terrorists.
[00:01:49.975 --> 00:02:00.141]  Also, patriot groups, constitutionalists, pro-life advocates, and anyone displaying political bumper stickers were labeled as potentially dangerous domestic terrorists.
[00:02:00.481 --> 00:02:06.064]  In response, former DHS Secretary Janet Napolitano issued a defensive clarification saying,
[00:02:14.560 --> 00:02:22.883]  In fact, monitoring the ideology and political beliefs of Americans is precisely the agenda of the DHS and Federalized Fusion Centers.
[00:02:23.403 --> 00:02:31.505]  According to the 2009 Virginia Terrorism Threat Assessment, terrorism is defined as politically motivated violence or threat of violence.
[00:02:31.605 --> 00:02:39.208]  They say each of these groups holds particular values and political goals and thus represents a different type of threat to Virginia and the U.S.
[00:02:39.728 --> 00:02:44.092]  A Florida fusion center surveilled Ron Paul in his campaign for liberty in 2010.
[00:02:44.633 --> 00:02:49.337]  In 2013, an Arkansas fusion center admitted it spies on anti-government groups.
[00:02:49.577 --> 00:02:59.667]  And a Tennessee fusion center put the ACLU on a terror list because the legislative lobbying organization warned schools to ensure holiday celebrations are inclusive.
[00:02:59.847 --> 00:03:03.050]  In other words, these fusion centers aren't meant to thwart Al Qaeda.
[00:03:03.331 --> 00:03:08.116]  They're meant to spy on the American people and anyone holding an anti-government opinion.
[00:03:08.676 --> 00:03:18.006]  Congress has a 9% approval rating, which means 91% of the American people could be potentially on this fusion center watch list.
[00:03:18.266 --> 00:03:28.688]  The ACLU warned back in 2007 that fusion centers posed grave threats to Americans' privacy and civil liberties, and that they needed clear guidelines and independent oversight.
[00:03:28.788 --> 00:03:44.871]  Well, despite violating the constitutional rights of millions of Americans, the government has opted not to inform Congress or the public of serious problems plaguing its fusion centers and broader intelligence efforts, instead allowing them to operate with no privacy guidelines or restrictions.
[00:03:45.359 --> 00:03:49.601]  Last month, a Fusion Center whistleblower leaked audio from inside a board meeting.
[00:03:49.942 --> 00:03:54.304]  There, they were discussing the effect a new piece of legislation could have on operations.
[00:03:54.704 --> 00:04:04.210]  During the Austin Regional Intelligence Center's December 13th meeting, the group's law enforcement expert is heard expressing concerns regarding the newly drafted Michael Morton Act.
[00:04:04.810 --> 00:04:07.151]  That was a call I got this morning from the U.S.
[00:04:07.171 --> 00:04:09.092]  Attorney's Office as far as the DA's office in Houston.
[00:04:09.132 --> 00:04:11.574]  They're thinking the Morton bill means you can't wall off anymore.
[00:04:12.148 --> 00:04:19.074]  Wall-off is a tip provided to law enforcement from information generated within a fusion center or from a confidential informant.
[00:04:19.534 --> 00:04:24.539]  Now, in some cases where probable cause does not exist, police have been known to create it.
[00:04:25.099 --> 00:04:35.048]  For example, law enforcement steals the license plate off a vehicle they know to possess drugs and then pulls the suspected vehicle over for violation of no license plate.
[00:04:35.188 --> 00:04:44.332]  The act of creating probable cause is then concealed from police reports, making it appear the case began with a traffic stop, when it really began with an inside tip.
[00:04:44.592 --> 00:04:45.552]  It goes on all the time.
[00:04:47.653 --> 00:05:00.318]  I'm not going to tell you what I know, but the law clearly says that the only complaint that the defendant could possibly have would be if he did not have probable cause to stop my car for an arrestable offense.
[00:05:00.748 --> 00:05:13.582]  The defendant and his legal team are unable to adequately defend their case because they cannot know to ask to review any potential sources of exculpatory evidence, information that could reveal entrapment, mistakes, or biased witnesses.
[00:05:13.863 --> 00:05:22.252]  Perhaps one of the most interesting questions derived from this leaked Fusion Center audio is who exactly has access to the data besides law enforcement?
[00:05:22.592 --> 00:05:34.136]  Eric's website clearly states that their analytical focus includes multiple law enforcement jurisdictions and private sector businesses responsible for the area's critical infrastructure and key resources.
[00:05:34.276 --> 00:05:50.542]  These include chemical, commercial facilities, communications, critical manufacturing, defense industrial base, emergency services, energy, financial, food and agriculture, healthcare and public information, IT, nuclear reactors, transportation, and water and wastewater systems.
[00:05:50.842 --> 00:05:59.468]  Under this definition, nearly anyone in the private business sector could potentially access Fusion Center reports, including large financial institutions.
[00:05:59.848 --> 00:06:05.872]  StoryLeak reported on Bank of America's secret spying relationships with several federal agencies earlier this year.
[00:06:06.172 --> 00:06:16.199]  A leaked email details a conversation between Bank of America's global corporate security VP, Kim Triplett-Kollerich, the Washington State Patrol, and one other redacted recipient.
[00:06:16.479 --> 00:06:25.162]  Discussing the then-upcoming anonymous Million Mask March at the state's capitol, Kolarik details the bank's superior ability to track political groups.
[00:06:25.462 --> 00:06:31.124]  The email reads, If you find any intel on anarchists or Occupy protesters, please let me know.
