[00:00:00.029 --> 00:00:01.252]  Direct from Austin.
[00:00:02.014 --> 00:00:05.221]  You're listening to the Alex Jones Broadcasting Network.
[00:00:11.877 --> 00:00:16.040]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:16.700 --> 00:00:17.501]  You want answers?
[00:00:18.281 --> 00:00:19.162]  Well, so does he.
[00:00:19.822 --> 00:00:23.465]  He's Alex Jones on the GCN Radio Network.
[00:00:24.025 --> 00:00:28.088]  And now, live from Austin, Texas, Alex Jones.
[00:00:45.678 --> 00:00:47.139]  I've got to get in here earlier.
[00:00:47.760 --> 00:00:49.201]  There is no doubt about that.
[00:00:49.461 --> 00:00:53.905]  I do research at night, obviously, and early in the morning, reading over the news.
[00:00:54.606 --> 00:01:07.156]  I got in here about an hour before broadcast time and began trying to go through the several hundred news articles that we've printed off and scanning the different state-run media propaganda organs.
[00:01:08.077 --> 00:01:14.142]  Literally, I become shell-shocked sometimes right as I begin to go on air.
[00:01:15.666 --> 00:01:27.694]  Because there is so much to cover, so many different angles and things to get into, but I'm going to try my best today to go over all of this information.
[00:01:28.634 --> 00:01:37.060]  And we do have the crew popping in for a final report from California, as Schwarzenegger likes to call it.
[00:01:38.228 --> 00:02:06.695]  At the bottom of the hour, then Dr. Nick Begich is going to be coming on, because I want to talk about the war on reality with electromagnetic radiation, chemical biological manipulation, and the attempt to suppress human consciousness, and how it ties into an article that we've got up on InfoWars.com today, dealing with how the virtual society, or the virtual prison as I call it, is being built around all of us right now.
[00:02:07.702 --> 00:02:09.003]  So that is coming up today.
[00:02:11.184 --> 00:02:16.008]  Obama says that we should just trust me is the quote on the NSA.
[00:02:16.428 --> 00:02:30.818]  He will handle everything after the Congress came out yesterday and said, we're going to let you handle the reform of the criminal operation, which he's helped to expand.
[00:02:32.403 --> 00:02:35.305]  This is the Foxes guarding the hen house.
[00:02:35.945 --> 00:02:37.226]  We're gonna also look at Forex.
[00:02:37.266 --> 00:02:38.807]  Confidence in the dollar wavering.
[00:02:39.408 --> 00:02:40.368]  That's out of Forbes.
[00:02:40.469 --> 00:02:44.471]  Spain's youth unemployment now at unbelievably high levels.
[00:02:45.212 --> 00:02:51.456]  We've got more news coming out about Sarah Palin's brother reporting that his dad was harassed by the IRS.
[00:02:51.536 --> 00:02:52.717]  Oh yeah, they go after your family.
[00:02:53.517 --> 00:02:57.840]  But they're liberals, so... It's okay.
[00:02:58.021 --> 00:02:59.882]  And you're like, yeah, but Bush was in power.
[00:03:01.588 --> 00:03:11.672]  In 2008, when Obama was just coming into power as president-elect, the bureaucracy is anti-conservative.
[00:03:12.793 --> 00:03:20.256]  It doesn't mean Sarah Palin's actually a viable presidential candidate in the terms of the establishment of the population.
[00:03:20.596 --> 00:03:21.837]  I don't think she's an evil person.
[00:03:22.617 --> 00:03:25.878]  I think she's somebody that's pretty smart in a lot of ways, but also manipulatable.
[00:03:27.119 --> 00:03:28.700]  And so they use her as kind of a pawn.
[00:03:29.656 --> 00:03:34.519]  But because Sarah Palin is not consciously a globalist or consciously evil, she would never be president.
[00:03:35.639 --> 00:03:39.942]  And obviously a Sarah Palin would be a lot better than a Barack Obama.
[00:03:40.943 --> 00:03:41.943]  But that's a side issue.
[00:03:42.483 --> 00:03:44.605]  I don't care if she was a Democrat, a Republican.
[00:03:45.205 --> 00:03:50.988]  I don't care if she was a Ku Klux Klan member or a New Black Panther Party member.
[00:03:51.409 --> 00:03:56.652]  She shouldn't be targeted politically by the Infernal Revenue Service.
