[00:00:19.531 --> 00:00:21.152]  Welcome to the Infowars Nightly News.
[00:00:21.252 --> 00:00:23.754]  I'm David Knight, and it's Friday, March 21st, 2014.
[00:00:23.914 --> 00:00:30.939]  Tonight we're going to talk about government surveillance, government murder, and government pedophile rings.
[00:00:30.979 --> 00:00:33.621]  But first, we're going to start at the very top.
[00:00:34.061 --> 00:00:35.022]  Who's in control?
[00:00:35.082 --> 00:00:45.549]  Well, the person who was one of the co-founders of the Occupy Movement is calling on Obama to appoint Eric Schmidt, CEO of Google, as CEO of America.
[00:00:45.569 --> 00:00:45.890]  She says,
[00:00:46.650 --> 00:00:48.992]  Appoint Eric Schmidt as CEO of America.
[00:00:49.032 --> 00:00:51.894]  This is Justine Tunney, who's now a software engineer at Google.
[00:00:51.934 --> 00:00:55.296]  Put up a petition, which currently only has two signatures.
[00:00:55.336 --> 00:00:57.777]  Contrast that to the Occupy petition, which had 195,000.
[00:00:57.897 --> 00:01:00.759]  But she wants to do basically three things.
[00:01:00.819 --> 00:01:02.621]  Retire all government employees of full pensions.
[00:01:03.061 --> 00:01:05.883]  Transfer administrative authority to the tech sector.
[00:01:06.443 --> 00:01:15.250]  At a point, Eric Schmidt, as CEO of America, well actually he's really, I guess you could call him part of the board of directors, but this is what she says.
[00:01:23.976 --> 00:01:25.636]  Well, actually, they're not.
[00:01:25.997 --> 00:01:26.917]  You're their product.
[00:01:27.337 --> 00:01:28.337]  They're selling you.
[00:01:28.697 --> 00:01:32.999]  They're selling your private life, your private details to the highest bidder.
[00:01:33.619 --> 00:01:35.879]  We need to understand how this works.
[00:01:35.959 --> 00:01:51.584]  We've got someone here who founded Occupy, of course, and yet we've seen this in Russia, for example, where Lenin was put on a train with $10 million and sent to start the Communist Revolution by a German central banker, whose brother was starting the Federal Reserve in the U.S.
[00:01:51.604 --> 00:01:52.104]  with J.P.
[00:01:52.144 --> 00:01:52.444]  Morgan.
[00:01:53.064 --> 00:01:53.865]  That's the way they roll.
[00:01:53.925 --> 00:01:58.631]  If they can't take over a movement at the very top, then they're ready to do something else.
[00:01:58.731 --> 00:02:01.034]  And we see this story coming out of Washington's blog.
[00:02:01.314 --> 00:02:01.895]  Did the U.S.
[00:02:01.915 --> 00:02:05.499]  deploy snipers against the peaceful Occupy protesters?
[00:02:06.360 --> 00:02:11.386]  Truthdig reported last year, did the FBI ignore or even abet a plot to assassinate Occupy Houston?
[00:02:11.946 --> 00:02:27.484]  A FOIA request filed by Washington, D.C.-based Partnership for Civil Justice Fund yielded an FBI document that contained knowledge of a plot by an unnamed group or individual to kill leaders of the Houston chapter of the nonviolent Occupy Wall Street movement.
[00:02:28.376 --> 00:02:36.018]  They said they were planning to engage in sniper attacks against protesters in Houston, if deemed necessary.
[00:02:36.658 --> 00:02:43.059]  So, the question is, is this something the FBI was going to do, or did they just ignore it and do nothing about it?
[00:02:43.400 --> 00:02:48.181]  Now, as Andrew Napolitano has pointed out, he pointed out back in 2011, he said over the past 10 years,
[00:02:49.721 --> 00:02:54.743]  There had been 17 plots to kill Americans that had been solved by the FBI, and they all had one thing in common, of course.
[00:02:55.103 --> 00:02:59.785]  They were all planned, plotted, controlled, and carried out by the federal government.
[00:02:59.845 --> 00:03:03.626]  So, if this wasn't carried out, it may be because they didn't need to.
[00:03:03.867 --> 00:03:12.190]  Maybe the Occupy movement, like so many other movements, had someone at the top who was looking after the government or the corporatocracy's interests.
[00:03:13.035 --> 00:03:17.678]  Now we learned today that they actually can pull the trigger and they can get away with it.
[00:03:18.158 --> 00:03:23.542]  We've seen the FBI involved in 150 shooting cases, never convicted once.
[00:03:24.122 --> 00:03:29.446]  And today, the agents who shot Ibrahim Todeshev have been given a clear signal.
[00:03:29.926 --> 00:03:33.208]  FBI agents cleared in fatal shooting of Ibrahim Todeshev.
[00:03:33.569 --> 00:03:42.715]  The FBI and a Florida prosecutor have cleared a Boston FBI agent in the fatal shooting of a friend of Tamerlan Tsarnaev last year in Orlando.
