[00:00:06.488 --> 00:00:07.255]  I'm good.
[00:00:09.229 --> 00:00:11.950]  This is Jakari Jackson for InfoWars.com.
[00:00:12.210 --> 00:00:12.990]  We're here in the St.
[00:00:13.030 --> 00:00:18.132]  Louis area, the areas that have been plagued by riots, protests, and also police brutality.
[00:00:18.392 --> 00:00:25.314]  But I want to bring your attention to something different here tonight, because we've talked about all those things, but let's talk about the lies of the mainstream media.
[00:00:25.595 --> 00:00:28.596]  This has come out on Fox 2 News now.
[00:00:28.916 --> 00:00:33.817]  It says, despite reports SWAT team helped Al Jazeera reporters did not take their equipment.
[00:00:33.917 --> 00:00:37.158]  And this is pretty much parodying a statement of the St.
[00:00:37.218 --> 00:00:38.839]  Charles County Sheriff's Department.
[00:00:39.189 --> 00:00:41.490]  And they said, no, we're not harming these journalists.
[00:00:41.710 --> 00:00:43.071]  We're not looting their equipment.
[00:00:43.351 --> 00:00:43.992]  We're helping them.
[00:00:44.012 --> 00:00:44.872]  Well, I was there.
[00:00:49.495 --> 00:00:53.797]  Infowars.com, the guys are coming in the trucks.
[00:00:54.598 --> 00:00:57.319]  They're coming to flank.
[00:01:00.541 --> 00:01:01.262]  Bobby, you don't have to.
[00:01:01.282 --> 00:01:02.182]  All right.
[00:01:03.783 --> 00:01:05.144]  So, here they come.
[00:01:06.599 --> 00:01:07.940]  They're popping big bangs.
[00:01:08.400 --> 00:01:10.042]  Joe Biggs got shot with a rubber bullet.
[00:01:10.842 --> 00:01:11.843]  Now I'm running down the street.
[00:01:12.644 --> 00:01:13.604]  Man quit shooting at me!
[00:01:16.987 --> 00:01:17.887]  Quit shooting at me!
[00:01:18.488 --> 00:01:19.769]  You see they shooting at us!
[00:01:20.569 --> 00:01:21.030]  You see that?
[00:01:24.656 --> 00:01:33.480]  Because after having multiple gas canisters fired at me, I had to jump in somebody's yard or run through, and lo and behold, I happened to run into Al Jazeera.
[00:01:33.520 --> 00:01:36.741]  There's also a local NBC affiliate out there as well.
[00:01:37.021 --> 00:01:39.302]  And they say they were helping, not harming Al Jazeera.
[00:01:39.483 --> 00:01:41.744]  You take a look at this footage and you tell me what you think.
[00:01:42.164 --> 00:01:43.784]  What's he doing at the news camera?
[00:01:44.025 --> 00:01:44.365]  Look!
