[00:00:19.338 --> 00:00:21.521]  You're watching the InfoWars Nightly News.
[00:00:21.541 --> 00:00:25.265]  It is Tuesday, March 4th, 2014, and I'm Leanne McAdoo.
[00:00:25.365 --> 00:00:26.386]  Here's what's coming up tonight.
[00:00:28.569 --> 00:00:33.815]  Tonight, as the arrogance of Washington set the stage for war.
[00:00:34.936 --> 00:00:38.801]  Then, gun grabbers unite to suppress the First Amendment.
[00:00:39.978 --> 00:00:43.881]  And how much does the CIA really know about drug smuggling?
[00:00:44.401 --> 00:00:47.463]  That's next on the Info Wars Nightly News.
[00:00:48.324 --> 00:00:49.585]  It's like moths to flame.
[00:00:49.665 --> 00:00:51.506]  The worse it is, the more they're for it.
[00:00:51.786 --> 00:00:53.908]  The more degenerate, the more they're for it.
[00:00:54.248 --> 00:00:56.810]  The more absolutely mindless, the more they're for it.
[00:00:58.134 --> 00:01:00.616]  Well, not content with just taking your guns.
[00:01:01.016 --> 00:01:08.281]  Mothers Demand Action and Bloomberg's Mayors Against Illegal Guns now want to ban you from even talking about guns.
[00:01:08.702 --> 00:01:14.666]  They've been pressuring Facebook to further restrict firearm discussions on its various fan pages.
[00:01:15.267 --> 00:01:25.754]  And they also produced a video that was meant to shame Facebook for allowing its members to post pictures of and privately sell guns, which of course is not illegal.
[00:01:26.835 --> 00:01:33.417]  You know, all this is definitely going to lead to an outright censorship of gun topics throughout the social media site.
[00:01:33.897 --> 00:01:38.598]  And of course, Facebook, they've got a long history of censoring pro-liberty statements.
[00:01:38.638 --> 00:01:41.359]  They've banned users who promote basic human freedoms.
[00:01:41.399 --> 00:01:44.720]  They took off the little boy who was at the Monsanto March.
[00:01:45.080 --> 00:01:52.922]  They deactivated the Facebook page of a Pennsylvania gun store after the store owner announced that he was going to raffle off an AR-15.
[00:01:54.162 --> 00:02:01.284]  Facebook suspended at least 20 accounts that were operated by alternative media individuals during a 24-hour period.
[00:02:01.324 --> 00:02:04.705]  They claimed that they violated Facebook policies.
[00:02:05.105 --> 00:02:13.347]  They banned an image that contained a quote by Mahatma Gandhi that was explaining how the British disarmed the population during their rule in India.
[00:02:13.927 --> 00:02:21.549]  And the social media giant even went so far to delete Alex Jones' page over an image of the Gadsden flag in 2010.
[00:02:23.610 --> 00:02:25.992]  So these are just, these are not isolated incidents.
[00:02:26.072 --> 00:02:33.438]  Facebook routinely censors any political post claiming that they violated their statements of rights and responsibilities.
[00:02:33.898 --> 00:02:41.784]  But this is in such violation of everything America stands for, the freedom of speech, the Constitution.
[00:02:42.945 --> 00:02:43.485]  It is time.
[00:02:43.565 --> 00:02:49.849]  If you were, you know, going back and forth of whether or not it was time to delete your Facebook account, now is the time.
[00:02:49.949 --> 00:02:54.051]  I mean, Facebook has led the charge to build this panopticon.
[00:02:54.071 --> 00:03:03.336]  They've been building your facial recognition database and helping the police state and selling your information to the NSA, if not just handing it over to them outright.
[00:03:04.216 --> 00:03:04.896]  It's time to go.
[00:03:05.336 --> 00:03:05.857]  In droves.
[00:03:05.977 --> 00:03:08.958]  And people are already leaving Facebook by the millions.
[00:03:08.998 --> 00:03:10.038]  They're losing the youth.
[00:03:10.398 --> 00:03:25.103]  And that's why Facebook is now, they've bought up a drone company so they can send 11,000 drones to Africa to bring the internet to two-thirds of the world that still can't connect to their little stupid social media account.
[00:03:25.851 --> 00:03:33.299]  But basically Facebook doesn't care about bringing the internet to Africa and the other two-thirds of the world that do not have access to Facebook.
[00:03:33.779 --> 00:03:41.047]  They are trying to get the jump on setting up the infrastructure to go ahead and put the control grid in those areas as well.
[00:03:41.167 --> 00:03:44.831]  Facebook is like the head of the Panopticon at this point.
[00:03:48.789 --> 00:03:56.156]  Not just here in the United States, but all over the world, the statistics are overwhelmingly clear.
[00:03:56.617 --> 00:03:58.879]  More guns means less crime.
[00:03:59.379 --> 00:04:09.809]  That's why the head of Interpol recently came out and said the answer to stopping Muslim extremists and others taking hostages at public places is to arm the general public.
[00:04:10.410 --> 00:04:14.611]  And the numbers show that states that have higher gun ownership have lower crime rates.
[00:04:15.011 --> 00:04:17.272]  While areas like Chicago, New York and D.C.
[00:04:17.752 --> 00:04:22.513]  that have restricted guns or banned guns have the highest crime rates in the country.
[00:04:22.973 --> 00:04:32.975]  Mexico has a total abolition on their citizens owning firearms and they have the highest crime rate in the world and more than 60,000 dead citizens.
[00:04:33.575 --> 00:04:35.796]  The criminals have no trouble getting guns.
[00:04:36.696 --> 00:04:40.799]  The reason the power structure wants to take guns is they want a monopoly of power.
[00:04:41.279 --> 00:04:44.801]  A disarmed population cannot resist an authoritarian government.
[00:04:45.301 --> 00:04:54.327]  Now I know you know that, but for people out there that are new viewers and are anti-gun because they've been believing the propaganda, let me explain something to you.
[00:04:55.444 --> 00:05:01.532]  When they take the right to keep and bear arms, they invariably, throughout history, take all the other rights.
[00:05:02.373 --> 00:05:11.063]  And now Mayor Bloomberg, spending hundreds of millions of his own money in the last five years with his different organizations, like Mayors Against Illegal Guns,
[00:05:12.117 --> 00:05:22.563]  is openly moving with other anti-gun groups and bragging that they're very close to Facebook and others not allowing pro-gun, pro-Second Amendment websites.
[00:05:22.943 --> 00:05:24.144]  This is outrageous.
[00:05:24.544 --> 00:05:26.805]  The story is up on InfoWars.com.
[00:05:27.245 --> 00:05:30.847]  Bloomberg moves to ban pro-gun free speech.
[00:05:31.287 --> 00:05:33.649]  It's up on InfoWars.com right now.
[00:05:34.409 --> 00:05:37.751]  And it's been said the Second Amendment is the amendment that defends all the others.
[00:05:38.172 --> 00:05:38.972]  And I agree with that.
[00:05:39.292 --> 00:05:41.334]  But the First Amendment is its twin.
[00:05:41.454 --> 00:05:44.716]  It's the other amendment that defends all the others as well.
[00:05:44.976 --> 00:05:48.759]  They all defend each other, but nothing like the First and Second Amendment.
[00:05:49.179 --> 00:05:49.760]  Think about it.
[00:05:49.820 --> 00:05:53.382]  Bloomberg openly going out against the First Amendment.
[00:05:53.642 --> 00:05:59.647]  We've seen his counterpart, the governor of New York, saying if you're pro-life or pro-gun, get out of the state.
[00:06:00.407 --> 00:06:02.048]  That's not inclusive.
[00:06:02.108 --> 00:06:03.528]  That's not tolerant.
[00:06:04.709 --> 00:06:08.170]  That is prejudicial against those of us that don't want to be slaves.
[00:06:08.490 --> 00:06:13.052]  Then you look at Cuomo and Bloomberg and Michael Moore and Feinstein and Obama.
[00:06:13.072 --> 00:06:14.073]  They've all got bodyguards.
[00:06:14.373 --> 00:06:15.453]  They go to private schools.
[00:06:15.513 --> 00:06:16.134]  Their children do.
[00:06:16.874 --> 00:06:17.234]  We're good to go.
[00:06:34.059 --> 00:06:34.520]  Outrage!
[00:06:34.540 --> 00:06:35.541]  And I know you're outraged.
