[00:00:07.665 --> 00:00:10.766]  Because it's such a deadly disease, people are scared.
[00:00:11.246 --> 00:00:12.447]  And it's normal to be scared.
[00:00:12.467 --> 00:00:18.048]  In fact, for the healthcare workers who are caring for people with Ebola, we want them to be scared.
[00:00:18.288 --> 00:00:25.371]  We want them to have a healthy respect of the risk of any lapse in infection control procedure.
[00:00:25.411 --> 00:00:31.833]  We want them to channel that fear into being incredibly meticulous about infection control.
[00:00:32.153 --> 00:00:38.735]  That was the head of the CDC driving home the fact that meticulous efforts should be made to control the spread of Ebola.
[00:00:39.115 --> 00:00:44.857]  Now, of course, it seems that a likely scenario would be shutting down any air travel from the Ebola zone.
[00:00:45.257 --> 00:00:51.859]  In fact, the study that was published just last month in a scientific journal predicted that the virus would reach the U.S.
[00:00:52.039 --> 00:00:53.319]  by the end of September.
[00:00:53.640 --> 00:00:58.321]  The scientists warned that the only way to prevent Ebola from spreading internationally
[00:00:58.701 --> 00:01:02.563]  would be to shut down air travel and impose a quarantine.
[00:01:03.023 --> 00:01:10.447]  But in a world where 2 plus 2 equals 5, the CDC says that shutting down any air travel is only going to make things worse.
[00:01:11.247 --> 00:01:24.754]  Now last month, just two weeks before this first confirmed case of Ebola hit the United States, Robert David Steele came on the Alex Jones Show and warned that a staged Ebola false flag terror attack was on the horizon.
[00:01:24.974 --> 00:01:26.455]  They will have another false flag.
[00:01:26.495 --> 00:01:39.679]  In fact, the false flag I'm hearing about is a simulated Ebola attack in which they actually use biochemical weapons that dissipate, but then they pretend that it's Ebola and that it has been brought here by Saudi martyrs.
[00:01:40.280 --> 00:01:40.620]  Okay?
[00:01:40.960 --> 00:01:44.061]  So no, we have not reached the end of the false flag line.
[00:01:44.281 --> 00:02:04.484]  Now, Steele elaborates at his website, if the Ebola virus hits in the USA, it will be either a false flag, biochemical stand-in, volunteers who are already in the USA will be infected by Saudi clinicians, or white virgins who are not known by the USA to be associated in any way with terrorism will be infected in Europe.
[00:02:04.905 --> 00:02:05.845]  Now, U.S.
[00:02:05.905 --> 00:02:13.286]  intelligence sources are reporting that ISIS militants are planning to pose as refugees in order to plant operatives in Europe.
[00:02:13.726 --> 00:02:14.267]  And the U.S.
[00:02:14.307 --> 00:02:22.754]  sources say that the militant organization is afraid of using aircraft due to strict security rules, so they'll use land as an alternative.
[00:02:23.214 --> 00:02:26.297]  The FBI admits that another attack on the U.S.
[00:02:26.577 --> 00:02:27.238]  is imminent.
[00:02:27.618 --> 00:02:32.282]  And they say the Khorasan group could still be working on a plan to attack the U.S.
[00:02:32.502 --> 00:02:36.466]  or its allies, and they are looking to do it very, very soon.
[00:02:36.846 --> 00:02:51.178]  And a Southern Texas Border Patrol agent has confirmed to CBS affiliate Valley Central News that immigrants from Ebola-stricken nations have been apprehended trying to illegally enter the country via the wide-open border.
[00:02:51.957 --> 00:02:55.158]  Not too long ago, we did catch some people, I believe, from Liberia.
[00:02:55.379 --> 00:03:01.421]  Some of our agents did contract scabies and some of the other things that the illegal aliens had.
[00:03:01.961 --> 00:03:04.463]  Luckily, it's not something that's deadly like Ebola.
[00:03:04.603 --> 00:03:10.805]  And of course, the Border Patrol agents are only speaking of those that they have actually caught trying to enter the country illegally.
[00:03:10.865 --> 00:03:14.507]  Who knows how many people will be able to enter the country and won't get caught.
[00:03:15.007 --> 00:03:16.948]  But don't worry about the wide-open border.
[00:03:17.289 --> 00:03:21.792]  Don't even think about shutting down any air travel from Ebola-stricken nations.
[00:03:22.192 --> 00:03:31.018]  No, the CDC only wants health care workers who are already dealing with Ebola patients to use meticulous efforts to make sure that this disease is not spread.
[00:03:31.458 --> 00:03:32.539]  What about the TSA?
[00:03:32.919 --> 00:03:38.823]  Now, we've already spoken a lot about how Ebola has been extensively studied for its use as a bioweapon.
[00:03:39.263 --> 00:03:44.487]  Shouldn't the TSA be doing its job and protecting the nation from a potential terror attack?
