[00:00:19.673 --> 00:00:21.094]  Welcome to the Infowars Nightly News.
[00:00:21.174 --> 00:00:21.774]  I'm David Knight.
[00:00:21.814 --> 00:00:25.655]  It's Monday, August 11th, 2014, and here are our top stories.
[00:00:28.016 --> 00:00:33.699]  Tonight, looters use a police shooting to justify their rioting.
[00:00:34.359 --> 00:00:37.921]  Then, how it's always humanitarian when the U.S.
[00:00:37.981 --> 00:00:38.301]  does it.
[00:00:39.569 --> 00:00:42.550]  And the Alex Jones Back to School Special.
[00:00:43.251 --> 00:00:46.552]  That's next on the Info Wars Nightly News.
[00:00:47.112 --> 00:00:54.195]  Actually we've gotten Common Core stuff that's become national news a few months ago where it said the Constitution isn't for everybody, it's group rights.
[00:00:54.695 --> 00:00:56.196]  So I know they're going in that direction.
[00:00:57.878 --> 00:01:03.222]  Well, after a fatal shooting this weekend in Missouri, there have been riots and some calling for the National Guard.
[00:01:03.282 --> 00:01:05.244]  Paul Joseph Watson reports on Infowars.com.
[00:01:05.704 --> 00:01:10.107]  Rumors that the National Guard had been called to deal with rioting in Ferguson, Missouri, proved to be false.
[00:01:10.588 --> 00:01:19.775]  But many were clamoring for a more serious response as crowds looted stores and engaged in standoffs with police after the fatal shooting of an unarmed teenager on Saturday night.
[00:01:20.335 --> 00:01:26.000]  Now, as the mayor said, we're only hurting ourselves, only hurting our community and hurting our neighbors.
[00:01:26.040 --> 00:01:27.261]  And that's exactly the point.
[00:01:27.901 --> 00:01:38.244]  There's a lot of questions about this shooting, but how does it help anything but reinforce this kind of shoot-first mentality from the police, from the government, when they respond by looting in the neighborhood?
[00:01:38.284 --> 00:01:41.125]  Now, there's a couple of different versions about what happened.
[00:01:41.665 --> 00:01:49.267]  Now, Fox News and the area reported, first of all, from some eyewitnesses, that they were essentially just a couple of teenagers who were walking down the street.
[00:01:49.827 --> 00:01:59.270]  The teens were identified by witnesses as Michael Brown, 18, and a friend, Doran Johnson, said they were just walking down the street when a Ferguson officer drove up and ordered them to the sidewalk.
[00:01:59.830 --> 00:02:04.872]  Johnson said they told him they were just a minute away from their destination and they would soon be out of the street.
[00:02:05.942 --> 00:02:07.624]  Then there was a verbal confrontation.
[00:02:07.664 --> 00:02:09.626]  See, you don't talk back to these guys.
[00:02:09.646 --> 00:02:13.549]  You just do whatever the overseer of the plantation tells you.
[00:02:13.990 --> 00:02:21.216]  At that point, Fox News reports from Crenshaw an eyewitness that said that the officer got out of the car and fired a shot.
[00:02:21.897 --> 00:02:22.818]  Now both teams ran.
[00:02:22.878 --> 00:02:24.160]  She said another shot was fired.
[00:02:24.200 --> 00:02:25.282]  One of them hid behind a car.
[00:02:25.662 --> 00:02:30.769]  Anyway, the guy who was shot was running with his back to the officer with his hands up.
[00:02:31.430 --> 00:02:34.634]  Clearly a case of murder by any rules of engagement.
[00:02:34.654 --> 00:02:38.919]  You don't get to shoot someone when they're not a threat to you, not a threat to the public,
[00:02:39.560 --> 00:02:42.081]  When you're wearing a blue uniform.
[00:02:42.121 --> 00:02:43.521]  That doesn't make it legal.
[00:02:44.021 --> 00:02:51.324]  Now, the videotape that would explain all this, of course, it was taken by Crenshaw, who talked to Fox News, was confiscated by the police.
[00:02:51.744 --> 00:02:57.886]  The police are now saying that it's going to take weeks to see if this teenager was intoxicated or on drugs.
[00:02:57.906 --> 00:02:59.446]  It's going to be a very long investigation.
[00:02:59.486 --> 00:03:01.287]  They say it shouldn't take that long.
[00:03:01.627 --> 00:03:03.388]  We should have a speedy trial.
[00:03:03.788 --> 00:03:05.369]  We should see justice done.
[00:03:05.509 --> 00:03:18.557]  I don't know that that's going to happen, but the police are saying that it was essentially a shoplifting, that when he went to arrest this guy, started to put him in the car, there was a hassle, a tussle, and a shot was fired, and the guy ran, and then he was shot.
[00:03:18.697 --> 00:03:22.239]  Even under that narrative, it doesn't look to me like it's justified.
[00:03:22.779 --> 00:03:28.241]  We should be able to see the information, we should be able to see the videotape, but of course they're going to keep that.
[00:03:28.661 --> 00:03:39.584]  So one of the reasons why, as we look at the anniversary of the 40th resignation of Nixon this last weekend, we see that public trust in the government is down to a record low.
[00:03:39.984 --> 00:03:43.625]  Now this article from outside the Beltway that came out this weekend,
[00:03:44.585 --> 00:03:52.450]  ...said that now there's only 13% of Americans say that they can trust the government to do what is right, always or most of the time.
[00:03:52.490 --> 00:03:57.573]  Now, the interesting thing is, is that the sea change in all of this happened around Watergate.
[00:03:57.653 --> 00:04:07.679]  Prior to that, through the 60s and 70s, the majority of the people always said that government could always be trusted to do the right thing, always or most of the time.
