[00:00:03.300 --> 00:00:04.661]  In 1996, the U.N.
[00:00:04.721 --> 00:00:06.603]  said they would use food as a weapon.
[00:00:07.223 --> 00:00:09.925]  And now they've told us they're going to ban humans eating meat.
[00:00:10.506 --> 00:00:11.446]  But how are they going to do it?
[00:00:12.007 --> 00:00:25.958]  We've now discovered that many modern vaccines and the Moderna and Pfizer shots have a bovine protein in them that then creates an autoimmune response in those that take the shot so that many of them can no longer eat beef.
[00:00:26.718 --> 00:00:29.441]  Ladies and gentlemen, it's in the literature, it's in the documents.
[00:00:29.902 --> 00:00:35.108]  The plan to poison the food supply isn't coming, it's here, by poisoning us to where we're allergic to beef.
[00:00:35.588 --> 00:00:36.469]  And that's just the start.
[00:00:36.750 --> 00:00:39.653]  This is the total weaponization of the food supply.
[00:00:39.973 --> 00:00:41.973]  This is how the globalists are making their move.
[00:00:41.973 --> 00:00:46.973]  [Music]
[00:00:46.973 --> 00:00:54.963]   Okay, last week I did a special report that was part one of getting into the fact that the globalists from all the
[00:00:54.963 --> 00:00:58.973]   research and all the evidence we have are preparing to attack the food supply.
[00:00:59.457 --> 00:01:03.839]  They're already doing it with GMO, they're already doing it with glyphosate, they're already doing it with so many things.
[00:01:04.559 --> 00:01:07.060]  And this is very similar to what happened with glyphosate, we'll talk about that in a moment.
[00:01:07.661 --> 00:01:16.645]  But now they're all over BBC and Associated Press and USA Today saying the next pandemic will come through the food supply.
[00:01:17.492 --> 00:01:20.654]  And it's not safe and we need the UN regulators to take control.
[00:01:20.695 --> 00:01:25.718]  You see them shutting down farms in the Netherlands, shutting down farms in Ireland, and shutting down farms in areas of Asia.
[00:01:26.799 --> 00:01:30.002]  Causing massive upheaval, social unrest, and starvation.
[00:01:30.122 --> 00:01:32.344]  An angrier world that Klaus Schwab talked about.
[00:01:33.154 --> 00:01:33.935]  So this is part two.
[00:01:33.955 --> 00:01:37.919]  We're going to do part three, part four, part five, at least six parts on this.
[00:01:37.939 --> 00:01:43.345]  And we're planning to make a documentary about the enemy's next attack plan.
[00:01:43.445 --> 00:01:49.131]  And it's going to be bigger than just attacking the food supply, but that's going to be a big part of the film that is now in production.
[00:01:49.151 --> 00:01:51.074]  But this info is too powerful and too important.
[00:01:51.094 --> 00:01:52.275]  We've got to get it out now.
[00:01:53.456 --> 00:01:57.220]  There's a tick called the Lone Star Tick that's in many parts of the United States.
[00:01:57.920 --> 00:02:17.825]   And the Lone Star Tick has a protein crystal in it that if it bites you, Can begin to replicate in your body, and your body will then have an autoimmune response to that protein, so that if you ever experience that protein again, in any other type of meat, you will then feel absolutely terrible and have an autoimmune response.
[00:02:17.845 --> 00:02:23.609]  So I can give you a bit stung by a bee, and then you can get an allergy to it, but next time it could make you really sick, could even kill you.
[00:02:24.030 --> 00:02:26.612]  So here's the information we are about to break down.
[00:02:26.652 --> 00:02:28.033]  This is beyond critical.
[00:02:28.272 --> 00:02:31.192]  So they're hyping up, we need to get rid of beef.
[00:02:31.192 --> 00:02:33.393]  They're hyping up, you will soon eat the bugs.
[00:02:33.393 --> 00:02:37.353]   They are saying we've got to stop producing beef because of methane and all these lies.
[00:02:37.353 --> 00:02:42.332]   You know, the sea levels are gonna rise and kill us all like they've been saying for decades that it didn't happen.
[00:02:42.332 --> 00:02:47.393]   And then they come out and say, because of this tick, it turns out a large part of the population
[00:02:47.393 --> 00:02:55.472]   is suddenly not gonna be able to eat beef anymore, particularly because of this chemical that it puts in you
[00:02:55.472 --> 00:02:56.832]  or this prion crystal.
[00:02:56.885 --> 00:02:58.526]  Very similar to mad cow disease.
[00:02:58.566 --> 00:03:02.970]  You remember that showed up in England and had to kill millions of cows and sheep and all the rest of it.
[00:03:03.010 --> 00:03:04.211]  Most of them didn't even have it.
[00:03:04.531 --> 00:03:07.534]  It came from feeding rotten meat to cows and sheep.
[00:03:07.554 --> 00:03:08.575]  They weren't even supposed to eat meat.
[00:03:09.215 --> 00:03:20.405]  Remember, they were taking dead animals, even dead pets, and grinding them up with wheat and corn and turning it into what they call a goo or an ooze, literally, and feeding it to them.
[00:03:21.380 --> 00:03:31.002]  Then the crystals would begin to grow in the guts, because their guts aren't designed to eat meat, and go through the gut wall into the brain, and then it would grow the crystals inside of the brain.
[00:03:31.842 --> 00:03:41.665]  So, I'm going to go over here to the desk with Rob Due that's with me, because he's done even more research on this than I have, and we're going to go over just this one big piece of the puzzle, because guess what?
[00:03:42.265 --> 00:03:43.465]  The tick that bites you?
[00:03:45.487 --> 00:03:57.133]  It puts the same protein in you that they admit is in many of the so-called vaccines, and the CDC even admits that it could be the vaccines that are giving this to people.
[00:03:57.493 --> 00:04:03.076]  Kind of like Reuters and AP admit most polio cases are from Bill Gates and the UN vaccine.
[00:04:03.636 --> 00:04:07.058]  Just like you think glyphosate's a problem.
[00:04:07.078 --> 00:04:20.085]   This is much worse, but remember, They first only sprayed Roundup or Glyphosate on corn crops and on soybeans when they were growing to kill weeds, but usually early on so the corn could get going or the soybeans could get going.
[00:04:20.525 --> 00:04:21.206]  One application.
[00:04:21.726 --> 00:04:32.152]  Then they learned they could spray it on the wheat when it was becoming ripe or ready for harvest in the late summer, early fall, because they would lose a lot of the wheat because of fungal growth.
[00:04:33.012 --> 00:04:37.775]  Well, it turns out that if you spray glyphosate, it also kills fungus, but it was soaking on the wheat.
[00:04:38.195 --> 00:04:46.880]  And as soon as that got approved in the early 2000s, that's when you saw the massive, quote, gluten intolerancy exploding.
[00:04:46.900 --> 00:04:47.460]  People never had it.
