[00:00:00.000 --> 00:00:15.000]  [Music]
[00:00:15.000 --> 00:00:20.000]  InfoWars, the most banned network in the world.
[00:00:20.204 --> 00:00:36.440]  Jack Smith, the former UN prosecutor, whose wife produced the Netflix special about Big Mike or Michelle Obama, has filed 30 plus indictments against President Trump for espionage.
[00:00:37.386 --> 00:00:42.857]  Now they don't allege he was giving the documents to the Russkies or the Chaikoms or the Ukrainians.
[00:00:43.197 --> 00:00:45.462]  That's what Biden and his crackhead son do.
[00:00:46.063 --> 00:00:46.504]  No, no, no, no.
[00:00:47.352 --> 00:00:57.095]  They're just saying he illegally had them because he admitted in front of aides, oh I could have declassified these documents on the Iran attack he was planning, but he didn't.
[00:00:57.655 --> 00:00:58.375]  But he kept them.
[00:00:59.035 --> 00:01:00.395]  Now the law is very clear.
[00:01:00.475 --> 00:01:03.676]  The executive branch is a separate branch of government.
[00:01:04.176 --> 00:01:13.999]  And if the legislative and the judiciary can ever get control of it, well then we don't have three branches of government, we have two branches.
[00:01:14.719 --> 00:01:27.310]  And then as soon as the other two branches are allowed to take down the other branch, they'll take on each other and now we have one branch and we're back to an oligarchy or a dictatorship of one group of people with similar interests.
[00:01:27.350 --> 00:01:33.996]  So they're manipulating the public's understanding of this or hoping that happens.
[00:01:34.356 --> 00:01:49.927]   They're hoping that the American people are so historically and politically illiterate that they don't understand that a president can declassify anything they want to the public, or the president can keep classified information for themselves and decide not to declassify it.
[00:01:50.547 --> 00:02:00.712]  And as long as they don't give it to a foreign power and use that material to hurt their country, it's their prerogative as the commander-in-chief or the former commander-in-chief.
[00:02:01.112 --> 00:02:02.392]  That is extremely clear.
[00:02:03.053 --> 00:02:13.505]   And even if the president gave it to a foreign power, It would then be up to the American people to decide whether or not they were going to re-elect him or whether or not they were going to support an impeachment of him in Congress.
[00:02:14.366 --> 00:02:19.772]   But instead, now for the first time in over 240 years, We see the indictment of a former president.
[00:02:20.113 --> 00:02:21.173]  Why was this never done before?
[00:02:21.713 --> 00:02:26.694]  Because again, it's an attack on the executive branch or the three branches of government itself.
[00:02:27.054 --> 00:02:30.875]  So they hope the public is ignorant and don't understand what's happening here.
[00:02:31.355 --> 00:02:33.176]  Who elected Jack Smith?
[00:02:34.096 --> 00:02:49.052]   Who elected the Justice Department and their rogue agency that they're deciding that the president who we elected And we elected again in 2000, but they stole it to be the guardian of our national security that now, no, no, no, no, no.
[00:02:49.272 --> 00:02:50.753]  Because he kept some of this material.
[00:02:51.134 --> 00:02:52.895]  He's a traitor and we don't trust him.
[00:02:53.795 --> 00:02:56.177]  Can you see how any president can be removed right now?
[00:02:56.797 --> 00:02:59.739]  It turns out Obama has hundreds of times these documents.
[00:02:59.940 --> 00:03:05.123]  It turns out Biden has massive more and he got it while he was vice president, not protected under the constitution.
[00:03:05.363 --> 00:03:09.106]  But see, that's okay because the deep state doesn't target its own.
[00:03:09.446 --> 00:03:10.646]  But think about this in the future.
[00:03:10.907 --> 00:03:25.631]  The idea that a president knows classified things, the fact the president's seen classified documents, the idea that if the president ever talks to anybody else even about what they've seen that's secret, now the deep state, anytime they want, can come persecute, prosecute that president.
[00:03:25.911 --> 00:03:29.632]  This is the bureaucracy becoming the executive branch.
[00:03:30.053 --> 00:03:44.712]   Something Eisenhower warned of in his farewell address on the dangers of the military industrial complex and the technocracy that was controlling it, in 1961. And they have indeed staged a bureaucratic coup.
[00:03:44.712 --> 00:03:50.432]   They have indeed staged a bureaucratic coup against the American people and are spinning it now
[00:03:50.432 --> 00:03:56.734]   that they decide, the National Archives decides when a president's a traitor and when they're not.
[00:03:56.734 --> 00:03:58.234]  And then the UN --
[00:03:58.242 --> 00:04:05.851]  prosecutors like Jack Smith and their wife, of course, making Michelle Obama movies, they decide who's a traitor and who isn't.
[00:04:06.432 --> 00:04:09.435]  This is election meddling, plain and simple.
