[00:00:00.000 --> 00:00:20.500]  [Outro]
[00:00:20.640 --> 00:00:23.881]  Alex Jones here with a Saturday emergency news alert.
[00:00:24.921 --> 00:00:29.302]  The greatest constitutional crisis in US history is now unfolding before our eyes.
[00:00:30.162 --> 00:00:41.884]  President Trump yesterday put out a short press release on his true social site saying that he believes he'll be arrested as early as next Tuesday in only about two and a half days.
[00:00:42.505 --> 00:00:44.465]  I made phone calls to talk to people very close to Trump.
[00:00:45.071 --> 00:00:59.334]  And indeed have confirmed that they've been contacted by the Manhattan DA, a Soros-funded, open, New World Order globalist, and that they are intending as early as Tuesday to issue the indictment and the arrest warrant for President Trump.
[00:00:59.894 --> 00:01:10.476]  He will then travel as early as Tuesday, probably Wednesday or Thursday, to Manhattan with the Secret Service to be placed in handcuffs and maybe even put in jail.
[00:01:11.633 --> 00:01:18.257]  This has never happened in the 240 plus year history of the United States and for a very important reason.
[00:01:18.898 --> 00:01:30.745]  If one of tens of thousands of prosecutors across the United States, remember most of them are now in George Soros' back pocket, want to indict somebody, they can do it.
[00:01:31.086 --> 00:01:32.949]   They can indict A ham sandwich.
[00:01:32.969 --> 00:01:37.693]  Now what's incredible here is that if you look at the statute of limitations federally, it's five years.
[00:01:37.713 --> 00:01:45.239]  Same thing with the state of New York for what they're calling campaign finance fraud because he reportedly paid hush money over $100,000 to Stormy Daniels.
[00:01:45.279 --> 00:01:51.884]  But that happened many, many years ago and it's been over five years since these investigations even started.
[00:01:52.725 --> 00:02:08.222]   Now, it's also very interesting to note, this is even being admitted to on Fox and CNN, that In the city of Manhattan and in the state of New York, they are not even charging people with felonies when it's felony crimes like armed robbery.
[00:02:08.743 --> 00:02:15.031]  But they've escalated campaign finance fraud of this type, that's a misdemeanor in New York, up to a felony.
[00:02:15.131 --> 00:02:17.934]  So they're breaking their own rules to do it.
[00:02:18.968 --> 00:02:20.630]  As we've seen with this weaponized judiciary.
[00:02:20.810 --> 00:02:25.914]  Now John Roberts at Fox News has an excellent quick two-minute report where he lays all this out.
[00:02:26.454 --> 00:02:30.678]  I'm going to play that clip and then come back and give you the rest of the story and the inside intel we've got.
[00:02:30.698 --> 00:02:38.545]  Now we are learning that the Manhattan DA's office has asked for a meeting with law enforcement ahead of a potential Trump indictment.
[00:02:39.025 --> 00:02:41.586]  This is coming to Fox News from a source in the courts.
[00:02:41.666 --> 00:02:53.148]  The meeting, which was requested yesterday and has not been set yet, is to discuss logistics for some time next week, which would mean that they are anticipating an indictment next week.
[00:02:53.548 --> 00:03:00.230]  The same source who's familiar with the planning said they will go over security preparations in and around the courthouse in lower Manhattan.
[00:03:00.330 --> 00:03:06.009]   The Secret Service will take the lead in what they will allow or will not allow.
[00:03:06.009 --> 00:03:11.490]   The source cautioned, mentioning for instance that the decision to handcuff the president,
[00:03:11.490 --> 00:03:13.290]  a former president, or not.
