[00:00:30.319 --> 00:00:31.280]  We are launch.
[00:00:31.440 --> 00:00:32.701]  We are go.
[00:00:33.641 --> 00:00:42.887]  I'm leaving tomorrow night to drive to Dallas to begin the occupation of the private run-for-profit Federal Reserve main bank for a five-state area.
[00:00:43.788 --> 00:00:46.690]  It kicks off officially Friday evening, six o'clock.
[00:00:47.410 --> 00:00:48.030]  In Dallas.
[00:00:48.471 --> 00:00:56.195]  People are going to be camping out there, staying there, focusing on the monopoly capitalists who want to bring collectivism to our society.
[00:00:56.635 --> 00:00:58.156]  People are going to stay there after I leave.
[00:00:58.356 --> 00:01:06.260]  I'm then going to go to Houston on Saturday, San Antonio on Sunday, and then as the people mass in Dallas, I will return.
[00:01:06.940 --> 00:01:07.901]  As MacArthur said.
[00:01:08.342 --> 00:01:10.504]  So this is very, very exciting.
[00:01:10.544 --> 00:01:24.358]  We'll talk about it later in the transmission with a icon of liberty, G. Edward Griffin, author of The Creature from Jekyll Island, who's been fighting the private Federal Reserve banking cartel for close to 50 years.
[00:01:25.039 --> 00:01:29.003]  We're going to be talking to him about how important it is to not just protest
[00:01:29.964 --> 00:01:35.651]  Capitalism, which is the opposite of the globalists, but to actually protest their monopoly system.
[00:01:36.032 --> 00:01:40.477]  That is coming up in the second half of the news tonight, so stay with us.
[00:01:41.238 --> 00:01:44.182]  But first, let's get into the news here.
[00:01:45.956 --> 00:01:52.478]  Well, Daryl Issa, the congressman, has told Eric Holder, admit you knew.
[00:01:52.498 --> 00:02:04.441]  Admit you lied, because now they've got the emails, the witnesses that Holder was running the ATF, the FBI, the DEA, and four other agencies.
[00:02:06.562 --> 00:02:16.726]  In not only ATF ordering gun shops to sell guns, but two ATF agents that were coming in and selling them to Mexican drug cartels.
[00:02:17.187 --> 00:02:20.308]  And we'll give you the rest of the story on that in a moment.
[00:02:20.788 --> 00:02:26.871]  Now a top CBS News reporter says the White House screamed and swore at her
[00:02:27.891 --> 00:02:37.376]  over fast and furious and that they're actually panicking over the fact that this could bring down this mafia White House.
[00:02:37.476 --> 00:02:43.038]  Now, let me give you the rest of the story dealing with this.
[00:02:45.419 --> 00:02:52.463]  Celica Still, who's in federal prison for selling a couple shotguns, he's a former DEA agent, retired school teacher, they set him up.
[00:02:53.866 --> 00:03:16.192]  Six years ago on my show, he told me that Sinaloa was allowed to ship drugs in the United States and that Los Zetas that was trained at Fort Benning, Georgia, Mexican Commandos, were going to have a fake defection to the drug cartels, but really it was a covert secret war against other cartels not laundering their money through the proper Mexican and U.S.
[00:03:16.232 --> 00:03:16.552]  banks.
[00:03:16.973 --> 00:03:18.513]  These YouTube videos are all posted.
[00:03:19.173 --> 00:03:19.873]  People have seen them.
[00:03:19.913 --> 00:03:21.374]  We covered it live on the radio at the time.
[00:03:22.409 --> 00:03:31.802]  And so that's how I knew two and a half years ago when Holder, the Attorney General, started demonizing the Second Amendment, saying we've got to restrict gun ownership because of the problems in Mexico.
[00:03:32.523 --> 00:03:39.912]  I knew from Selly and others that they were already, even before Obama got in office, shipping guns into Mexico.
[00:03:41.863 --> 00:04:07.736]  and drugs back in now in federal court and it's in texas papers reassure some of these articles el paso times houston chronicle it's in the hawaiian papers it's in the chicago tribune here's some of the headlines operation fashion furious is just the tip of the iceberg there's the head of the sonoma cartel number two in command of the head of the u s operation and the feds have now come into court said it's true he worked for us
[00:04:08.576 --> 00:04:10.837]  National security has been declared.
[00:04:11.618 --> 00:04:13.639]  Here it is from over a month ago.
[00:04:13.739 --> 00:04:14.259]  Documents.
[00:04:14.339 --> 00:04:18.121]  Fed allegedly allowed the Sinaloa cartel to move cocaine to the U.S.
[00:04:18.181 --> 00:04:18.921]  for information.
[00:04:19.401 --> 00:04:22.623]  That's now since been confirmed in federal court.
[00:04:22.643 --> 00:04:24.404]  The Feds have declared national security.
[00:04:24.944 --> 00:04:27.486]  So, Sinaloa was hired to knock out competition.
[00:04:27.846 --> 00:04:29.747]  They were laundering their money through the proper banks.
[00:04:30.587 --> 00:04:31.148]  Here's another one.
[00:04:31.188 --> 00:04:35.451]  Taxpayers paid for Fast and Furious plan to arm Sinaloa drug cartel.
