[00:00:21.462 --> 00:00:25.986]  Hey folks, Alex Jones here reporting for InfoWars Nightly News.
[00:00:27.407 --> 00:00:32.271]  Coming up, of course, is Aaron Dykes tonight, sitting in with a lot of key information.
[00:00:33.692 --> 00:00:42.380]  Dealing with Homeland Security, going ahead and moving forward to put up hidden microphones and cameras in street lamps all over the country.
[00:00:43.280 --> 00:00:45.642]  With AI systems recording everybody, that's coming up.
[00:00:46.303 --> 00:00:49.426]  Also, like something out of Idiocracy, they now take your children
[00:00:50.563 --> 00:01:00.371]  If you accidentally drink a milk or eat a sandwich when you're at the grocery store buying groceries, as we've all done, and then forget to pay for it when you're going to the line, your kids are gone.
[00:01:00.411 --> 00:01:00.811]  It's over.
[00:01:01.131 --> 00:01:04.774]  The state is a predatory group that wants to prey upon you.
[00:01:04.794 --> 00:01:11.659]  It's a narcotics trafficking, murdering group of criminals that bring the drugs in and hope you use them so they can throw you in their private prison.
[00:01:11.979 --> 00:01:13.240]  That's how modern slavery works.
[00:01:13.280 --> 00:01:14.501]  But I'm done talking about that.
[00:01:15.022 --> 00:01:17.664]  Here's my big stack of news, okay?
[00:01:18.902 --> 00:01:19.783]  Here's my big stack of news.
[00:01:19.803 --> 00:01:21.465]  We're going to put some of these articles over.
[00:01:21.826 --> 00:01:30.698]  They're reporting that Greece talking about having a referendum on totally selling out their sovereignty to the EU banking cartel could bring down the euro.
[00:01:32.179 --> 00:01:40.846]  That's how the banksters get you into a crisis like our 2008 crisis, and then hold the public hostage for tens of trillions of dollars, or they'll create a depression.
[00:01:41.406 --> 00:01:44.149]  They threatened martial law, war on the streets a few months ago.
[00:01:44.689 --> 00:01:55.618]  Greece, who supposedly owes a hundred billion dollars, which is really mainly derivatives, that Pop Andreyov, the former Goldman Sachs operative, and his finance minister, signed the country onto.
[00:01:57.401 --> 00:02:08.605]  Well, after six months of rioting and the rest of it, and VAT taxes being put in to pay for the austerity, as you know, last week they passed the Euro debt deal, which is 1.4 trillion.
[00:02:09.165 --> 00:02:11.186]  Oh, for 100 billion resos.
[00:02:11.446 --> 00:02:13.367]  No, that's just a way to blame it on the people.
[00:02:14.707 --> 00:02:18.209]  And they're going to leverage it out at least three times to close to $5 trillion.
[00:02:19.369 --> 00:02:27.811]  Which is just money given to the big six mega banks who've openly said they want an undemocratic system now in Europe and austerity.
[00:02:29.431 --> 00:02:31.471]  This is the new dictatorship of the EU.
[00:02:31.651 --> 00:02:33.872]  And all these countries want to have referendums.
[00:02:33.932 --> 00:02:35.912]  Most of the countries have never been able to have referendums.
[00:02:36.192 --> 00:02:37.652]  Their governments just sign them into this.
[00:02:38.232 --> 00:02:43.233]  England was signed into the Euro and now over 80% of the public are demanding it.
[00:02:43.253 --> 00:02:46.434]  David Cameron said two weeks ago, their Prime Minister, he's not going to allow them
[00:02:47.864 --> 00:02:49.725]  to even have a referendum.
[00:02:50.606 --> 00:02:53.107]  So we've got that going on right now.
[00:02:54.148 --> 00:02:55.168]  And here's the big news.
[00:02:55.208 --> 00:03:01.953]  Here's why I'm doing this special report that will air right at the beginning of InfoWars Nightly News this evening.
[00:03:03.053 --> 00:03:13.900]  It's because Zero Hedge was reporting, and I actually went and looked it up, it's in the Athens newspapers, it's true, that Papandreouf is talking about firing the entire Joint Chiefs of Staff of Greece
