[00:00:00.149 --> 00:00:00.730]  We've got it.
[00:00:00.730 --> 00:00:07.254]  The transmission is coming to you.
[00:00:07.254 --> 00:00:11.638]  Waging war on corruption.
[00:00:11.638 --> 00:00:19.984]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:19.984 --> 00:00:24.927]  Alright folks, we've got a key transmission coming up for you.
[00:00:26.405 --> 00:00:33.791]  Here today, it is of course Monday, November 7th, 2011.
[00:00:33.791 --> 00:00:40.357]  So much is happening that just makes my mind spin because we knew it was coming and then you watch it happen.
[00:00:40.357 --> 00:00:46.963]  Italy, too big to fail, too big to save.
[00:00:46.963 --> 00:00:53.508]  And it just goes through the fact here at CNBC that if you think a hundred billion was bad with Greece,
[00:00:54.551 --> 00:01:02.798]  We're talking about close to a trillion bucks in Italy, most of it derivatives the public signed on to, and now they want Americans to pay for part of it.
[00:01:02.798 --> 00:01:04.619]  Your taxes will go up.
[00:01:04.619 --> 00:01:08.863]  You'll be lectured by a bunch of college people that can't get jobs that you need to pay them more money.
[00:01:10.174 --> 00:01:16.920]  And the general public, again, just doesn't have the basic facts down on what we're dealing with here as a society.
[00:01:16.920 --> 00:01:20.263]  They're now talking about Berlusconi stepping down.
[00:01:20.263 --> 00:01:23.286]  It's caused all sorts of problems so far in the market today.
[00:01:23.286 --> 00:01:24.367]  We'll continue to track that.
[00:01:26.744 --> 00:01:30.545]  Italian government borrowing rates hit Euro error high.
[00:01:30.545 --> 00:01:34.147]  Now these countries have been basically maneuvered into bankruptcy.
[00:01:34.147 --> 00:01:37.408]  Now they pay more for the future debts.
[00:01:37.408 --> 00:01:44.771]  But it's set up under fractional reserve banking where you always pay more.
[00:01:44.771 --> 00:01:47.772]  Debt is created just for money to be created.
[00:01:47.772 --> 00:01:51.013]  And then in the final equation, they've convinced you to go into more and more debt.
[00:01:51.013 --> 00:01:51.393]  And guess what?
[00:01:51.393 --> 00:01:52.794]  The debt's going to cost more.
[00:01:52.794 --> 00:01:55.755]  It's going to take even more money to pay off that.
[00:01:58.325 --> 00:02:01.048]  And the taxes go up and up, the society falls apart.
[00:02:01.048 --> 00:02:07.614]  Meanwhile, the average American is being distracted today with a sexual harassment story.
[00:02:07.614 --> 00:02:10.377]  All these women wouldn't go public about Herman Cain.
[00:02:10.377 --> 00:02:13.841]  Well, now Gloria Allred has obviously gotten some woman hyped up enough to do it.
[00:02:14.775 --> 00:02:19.298]  And I mean, I don't know the truth, but I mean, at the end of the day, there's people being killed all over the planet.
[00:02:19.298 --> 00:02:38.268]  Our cancer rates are doubling and tripling, and we're having bioweapons put in our food and water, and the globalists are admittingly, you know, doing this to us, and we're busy worrying about Herman Cain and all the, you know, reported escapades that he might have been involved in.
[00:02:38.268 --> 00:02:38.909]  It's incredible.
[00:02:40.560 --> 00:02:51.630]  Kane accuser from Chicago, she speaks, all red, sought his help with an employment issue, instead offered his idea of a stimulus package.
[00:02:51.630 --> 00:02:57.935]  And then meanwhile, we've got jury reaches verdict in Jacko trial.
[00:02:57.935 --> 00:03:02.500]  And again, I understand folks hear about these stories, they follow them and then it comes out.
[00:03:02.500 --> 00:03:05.062]  But now we see, now we see the accuser.
[00:03:09.332 --> 00:03:11.673]  A reported looker from Chicago.
[00:03:11.673 --> 00:03:18.514]  I was very, very surprised and shocked, she said, in recounting the detail of the aggressive sexual overtures 14 years ago.
[00:03:18.514 --> 00:03:21.675]  Mr. Cain, I implore you, make this right.
[00:03:21.675 --> 00:03:30.316]  Politico first reported last week that the National Restaurant Association settled sexual harassment claims brought by Cain by two women in the 90s.
[00:03:30.316 --> 00:03:35.378]  A third woman told the Associated Press last week she had considered filing a similar complaint.
[00:03:35.378 --> 00:03:36.858]  Tonight on the nightly news,
[00:03:37.618 --> 00:03:44.902]  I'm going to get into the fact that Bill Clinton settled lawsuits for raping women.
[00:03:44.902 --> 00:03:46.483]  And the feminists were defending it.
[00:03:46.483 --> 00:03:53.106]  Look, all of this is just society crumbling.
[00:03:53.106 --> 00:03:58.990]  So it's a big political distraction and it'll actually make him look like a hero to a lot of conservatives that are sick of this stuff.
[00:03:58.990 --> 00:04:02.351]  When we should be looking at Ron Paul who you notice has none of these problems.
[00:04:02.351 --> 00:04:04.713]  Because he's not involved in this kind of stuff.
[00:04:04.713 --> 00:04:05.033]  Alright.
[00:04:06.209 --> 00:04:06.590]  I don't know.
[00:04:22.829 --> 00:04:24.750]  But we couldn't have done all this without you.
[00:04:24.750 --> 00:04:26.990]  And I want to thank all of you that did give.
[00:04:26.990 --> 00:04:34.051]  If you are people of means, that's who should be giving to the number one alternative media outlet confronting the globalists, defending the republic.
[00:04:34.051 --> 00:04:37.952]  I don't want little old ladies and people on fixed budgets to give me a red cent.
[00:04:37.952 --> 00:04:39.853]  Listening and spreading the word is so much.
[00:04:39.853 --> 00:04:40.433]  I love you.
[00:04:40.433 --> 00:04:41.573]  I appreciate you.
[00:04:41.573 --> 00:04:45.494]  But if you do have means, you really should give at infowarsmoneybomb.com.
[00:04:45.494 --> 00:04:46.854]  I mean, who else is working this hard?
[00:04:47.614 --> 00:05:01.784]  Great job of the crew, by the way, and of course, coming up after the show today, we'll see you tonight, 7 o'clock central, InfoWarsNews.com.
[00:05:01.784 --> 00:05:16.214]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:05:17.236 --> 00:05:21.938]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:05:21.938 --> 00:05:34.684]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:05:34.684 --> 00:05:41.968]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:05:42.648 --> 00:05:53.017]  Be sure to watch our new 7 minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:05:53.017 --> 00:05:56.960]  As well, we are always ready to answer any questions you may have.
[00:05:56.960 --> 00:06:00.063]  That's www.SilverLungs.com
[00:06:00.763 --> 00:06:02.364]  Hi, this is Alex Jones.
[00:06:02.364 --> 00:06:08.668]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:06:08.668 --> 00:06:12.691]  So now is the time to express the holiday spirit more than ever.
[00:06:12.691 --> 00:06:16.253]  Consider helping those you love with the most important gift.
[00:06:16.253 --> 00:06:22.277]  A supply of delicious, easy-to-fix, and very storable foods from efoodsdirect.com.
