[00:00:23.021 --> 00:00:27.385]  Welcome to the December 1, 2011 broadcast of the Infowars Nightly News.
[00:00:27.465 --> 00:00:28.886]  I'm Aaron Dyk sitting in.
[00:00:29.287 --> 00:00:34.832]  Now coming up we have there the filmmakers who helped bring you What in the World Are They Spraying?
[00:00:34.872 --> 00:00:38.955]  It's Paul Wittenberger and his cohort Chris Maple.
[00:00:39.276 --> 00:00:40.917]  So we'll speak with them in just a moment.
[00:00:41.137 --> 00:00:47.683]  It's indeed a dark day as the Senate is right now moving quote methodically to pass the
[00:00:48.644 --> 00:00:51.025]  National Defense Authorization Act.
[00:00:51.165 --> 00:01:00.928]  It has just rejected on a vote of 55 to 45 the amendment put forward by Dianne Feinstein to limit the provision for indefinite detention.
[00:01:01.988 --> 00:01:12.871]  Senator Rand Paul also worked to keep that out of this massive defense bill as they continue to supposedly try to cut spending, but of course the consequences are far worse.
[00:01:13.331 --> 00:01:15.973]  We are moving more and more towards martial law.
[00:01:15.993 --> 00:01:21.618]  This is stuff that has been ongoing for decades, particularly under the George W. Bush administration.
[00:01:22.279 --> 00:01:28.164]  There were many moves for indefinite detention and more, all kinds of martial law provisions.
[00:01:28.704 --> 00:01:33.126]  John McCain worked with Carl Levin to introduce this current bill.
[00:01:33.566 --> 00:01:39.268]  He's also introduced bills in the past for indefinite detention, including of American citizens.
[00:01:39.648 --> 00:01:45.371]  The Enemy Belligerent Interrogation Detention and Prosecution Act of 2010, for instance, which
[00:01:46.548 --> 00:01:51.791]  Explicitly named US citizens among those who can be detained intentionally without trial.
[00:01:52.411 --> 00:01:54.672]  It's very unfortunate that it looks like they're going to pass.
[00:01:54.712 --> 00:02:01.276]  Of course, President Obama has said he would veto this bill if it does pass, but that's a little solace because
[00:02:01.776 --> 00:02:08.420]  He's primarily leaning on the overreach of executive powers that presidents have passed the baton on for years.
[00:02:08.841 --> 00:02:24.591]  He's actually defending the executive branch's power to indefinitely detain citizens and make the call, even saying that courts have no place to determine whether or not someone should be kept in custody indefinitely or not, that it's solely an executive branch position.
[00:02:25.512 --> 00:02:33.494]  So anyway, let's go now to some of the Dianne Feinstein clip asking them not to put the indefinite detention of the bill again, an amendment which was rejected.
[00:02:34.394 --> 00:02:37.235]  And this constant push that everything has to be militarized.
[00:02:37.335 --> 00:02:38.515]  They were wrong on Hamdi.
[00:02:38.555 --> 00:02:39.456]  They were wrong on Hamdan.
[00:02:39.496 --> 00:02:39.996]  And it keeps going.
[00:02:40.076 --> 00:02:42.657]  And that it is terrible to protect people's rights.
[00:03:02.521 --> 00:03:04.825]  I don't think that creates a safe country.
[00:03:05.466 --> 00:03:09.392]  This country is special because we have certain values.
[00:03:09.853 --> 00:03:13.598]  And due process of law is one of those values.
[00:03:15.666 --> 00:03:19.108]  Of course, the idea behind this bill also brings U.S.
[00:03:19.208 --> 00:03:30.194]  military troops closer to American soil, allowing them essentially to operate, and of course putting American citizens, potentially anyone, in the crosshairs of military action.
[00:03:30.214 --> 00:03:32.995]  Now I want to read some quotes from Kurt Nimmo's article.
[00:03:32.995 --> 00:03:33.375]  We're good.
[00:03:53.335 --> 00:03:59.780]  Raise serious questions as to who we are in society and what our Constitution seeks to protect.
[00:03:59.840 --> 00:04:01.160]  Of course, that's the whole point.
[00:04:01.461 --> 00:04:10.167]  That's what makes our country different from other ten-pot dictatorships, is things like our Bill of Rights, our individual freedoms, which are not to be infringed upon.
[00:04:10.787 --> 00:04:14.249]  But of course, we have a tyrannical government always moving further along.
[00:04:14.650 --> 00:04:17.992]  And Kurt Nimmo goes on to discuss how, if the bill were to become law,
[00:04:20.033 --> 00:04:30.860]  Not taking into account what Obama may do with the veto, it would allow the state to disappear domestic political enemies the same way dictator Pinochet in Chile eliminated his political opposition.
[00:04:31.261 --> 00:04:40.567]  Military kidnappings, torture, and secret execution are the tactics of thugs in place like Nazi Germany, Stalinist Russia, and Communist China, not the United States.
[00:04:40.927 --> 00:04:41.768]  Of course that's true.
[00:04:42.208 --> 00:04:47.772]  Just for a little reference, I want to cue a clip from an old movie called Army of Shadows about the
[00:04:48.332 --> 00:05:04.956]  French resistance and they had indefinite detention in those times during World War two based on a book written in the middle of the war in 1943 before all the Holocaust revelations and and the moves to Demonize Nazis as though they were the only ones who abused these powers.
[00:05:04.996 --> 00:05:06.637]  But anyway, let's let's cue these clips
[00:05:08.203 --> 00:05:09.624]  So this is a French language film.
[00:05:09.664 --> 00:05:13.227]  Here they've got a guard tower over a classical internment camp.
[00:05:13.888 --> 00:05:16.290]  Something the United States should not transform into.
[00:05:16.691 --> 00:05:20.013]  But in this clip they go on to discuss indefinite detention.
[00:05:22.115 --> 00:05:26.379]  And here we are at the head of this internment camp saying you never know who you're going to take in or how to treat them.
[00:05:26.960 --> 00:05:30.463]  Some have not been convicted or sentenced and stay indefinitely.
[00:05:31.243 --> 00:05:33.265]  Others with terrible records are soon released.
[00:05:34.645 --> 00:05:35.425]  Typical corruption.
[00:05:35.445 --> 00:05:38.586]  It takes senior jobs in local government or even at Vichy.
[00:05:39.306 --> 00:05:41.926]  And they've got here a map of the camps for internment.
[00:05:42.366 --> 00:05:56.949]  And it goes on and some of the members discuss how they were just ordinary businessmen but got caught up in political demonstrations by accident, but were taken to detention centers, held indefinitely, never got a trial, never got an explanation for why they were held.
[00:05:57.509 --> 00:06:01.250]  And this is the kind of thing they're now proposing in the name of the War on Terror.
[00:06:01.670 --> 00:06:05.311]  Which they say is going to go on forever and ever, as long as the Cold War anyway.
[00:06:05.931 --> 00:06:09.472]  And now somehow it's going to involve American citizens as well.
[00:06:09.812 --> 00:06:12.413]  Very dark days, we'll keep an eye on that.
[00:06:12.833 --> 00:06:18.915]  Whatever happens, the fact that they were proposing this and have seriously put it forward is just appalling.
[00:06:19.275 --> 00:06:28.378]  In other news, Paul Watson and Yi Han have reported earlier today on Chinese generals threatening a third world war to protect Iran.
[00:06:29.478 --> 00:06:32.881]  Both China and Russia have made it clear they will veto any U.N.
[00:06:32.941 --> 00:06:40.107]  authorization of military action against Iran in the aftermath of claims that Iran is on the verge of developing a nuclear weapon.
[00:06:41.348 --> 00:06:45.331]  Then that parallels his other article, Chinese government official U.S.
[00:06:45.371 --> 00:06:48.013]  threat to Pakistan is threat to China.
[00:06:49.054 --> 00:06:51.936]  And gets into statements from a top military general.
[00:06:52.676 --> 00:07:01.700]  It says, according to the report, the United States is massing troops on Pakistan's border in an act of aggression that China sees as a direct threat to its close alliance with the country.
[00:07:02.081 --> 00:07:12.606]  In response, China recently sent large numbers of second artillery PLA troops, armed with sophisticated DF-21C and short-range tactical missiles to China's northwest plateau.
[00:07:13.126 --> 00:07:16.928]  Anyway, the point being that all the stuff going on in the Middle East is
[00:07:17.288 --> 00:07:26.931]  Also part of a larger geopolitical ploy for a long endgame struggle with China, Russia and other sectors of the Grand Chess Board.
[00:07:27.371 --> 00:07:30.291]  But that's the kind of madness we're engaged in in foreign policy.
[00:07:30.331 --> 00:07:33.912]  Another reason we should scale everything back a la Ron Paul.
[00:07:34.332 --> 00:07:36.933]  But he of course is not getting the coverage in the debates.
[00:07:36.993 --> 00:07:39.454]  It's people like Newt Gingrich who we're going to cover in a few moments.
[00:07:40.174 --> 00:07:50.303]  Now in other very dark news, ABC News did an expose of foster children and all the mind-altering drugs they are given.
[00:07:50.784 --> 00:07:51.845]  New study shows U.S.
[00:07:51.885 --> 00:07:56.028]  government fails to oversee treatment of foster children with mind-altering drugs.
[00:07:57.045 --> 00:07:58.126]  We have a number of quotes here.
