[00:00:17.662 --> 00:00:18.942]  My name is Ben Livingston.
[00:00:19.703 --> 00:00:25.444]  I'm the first person to ever see the cloud with the intention to call it to do military damage.
[00:00:26.004 --> 00:00:30.146]  I know I can say that and I did it several times before the next person did it.
[00:00:30.646 --> 00:00:32.086]  Tell me what these clouds are we're looking at.
[00:00:32.226 --> 00:00:42.449]  Well, these clouds were located up in the southern part of North Vietnam and we needed to make rain down on the Ho Chi Minh Trail, Highway 1.
[00:00:43.369 --> 00:00:44.950]  But there weren't any real clouds around.
[00:00:46.806 --> 00:01:06.421]  There were a number, this was the end of the monsoon season, but there were a number of these small clouds that barely reached the freezing level and by putting a small amount of silver iodide in there, we got them to collect.
[00:01:07.483 --> 00:01:10.847]  I was only as high as you could get.
[00:01:30.859 --> 00:01:33.921]  I got interested in weather modification when I was a farm boy.
[00:01:34.882 --> 00:01:39.946]  I never could understand why the clouds weren't bigger, had a little more shade, and was chomping at cotton.
[00:01:41.047 --> 00:01:42.528]  So I got in the Navy.
[00:01:43.268 --> 00:01:48.012]  I managed to get into meteorology school, and I think that's really where I learned most of my physics.
[00:01:48.912 --> 00:01:59.841]  I was assigned to the Typhoon Squadron in Guam, where I served for three years as a flight meteorologist and meteorological engineer.
[00:02:00.834 --> 00:02:06.275]  From there, I came back to traditional school at Texas A&I University down in Kingsville.
[00:02:07.255 --> 00:02:14.137]  And from Kingsville, they sent me to the Hurricane Hunter Squadron in Jacksonville, Florida.
[00:02:15.037 --> 00:02:19.898]  That squadron, of course, had just become involved in Project Stormfury.
[00:02:20.518 --> 00:02:28.980]  So when I reported to that duty station as a meteorological engineer, I was immediately designated the
[00:02:30.598 --> 00:02:33.200]  I'm a military member of the Stormfury Advisory Board.
[00:02:34.100 --> 00:02:49.710]  We were doing quite a lot of testing work out over the test range at Chandler Lake, California, where we dropped cloud seeding flares, or silver iodide generators, into clouds or just wherever we wanted to to see what the reaction was.
[00:02:50.651 --> 00:02:59.697]  And it was there when I learned for sure that you could really change a cloud by the amount of silver iodide you put in it and where you put it.
[00:03:00.441 --> 00:03:08.804]  This cloud here, from the time it started raining until it quit, it put out a little over 14 inches of precipitation.
[00:03:09.344 --> 00:03:10.764]  What did that do to the North Vietnamese?
[00:03:11.024 --> 00:03:19.707]  Well, it just washed all the roads out, and there was a bridge attached to a mountain that had bombed and could not get rid of it.
[00:03:20.968 --> 00:03:24.629]  This heavy rain washing down that river took that bridge out.
[00:03:27.030 --> 00:03:28.310]  So you guys finally got it done.
[00:03:29.977 --> 00:03:30.877]  This was on October 13th.
[00:03:30.917 --> 00:03:40.502]  These are cloud seating dispensing units on the side of C-130s.
[00:03:40.582 --> 00:03:48.986]  As you can see, these dispensers held 52 units.
[00:03:50.627 --> 00:03:56.890]  And under here, on this F-4, we had these camouflage, so they looked like they were... Did you fly those?
[00:03:57.030 --> 00:03:57.290]  Yes.
[00:03:57.710 --> 00:03:58.711]  You piloted the F-4?
[00:03:58.731 --> 00:03:58.971]  Yeah.
[00:04:02.930 --> 00:04:05.652]  So you're a jet pilot too, huh?
