[00:00:22.150 --> 00:00:28.152]  Welcome, ladies and gentlemen, to this Friday, December 2nd, 2011 InfoWars Nightly News Broadcast.
[00:00:28.572 --> 00:00:29.393]  I'm Aaron Dykes.
[00:00:29.893 --> 00:00:42.957]  Coming up, we have an exclusive interview with Pepe Escobar, Asia Times writer and geopolitical correspondent, to discuss Syria, Pakistan, what it means for China, Russia, and everything else on the geopolitical map.
[00:00:42.977 --> 00:00:47.199]  We also have exclusive reports from Alex Jones and Darren McBreen.
[00:00:47.519 --> 00:00:50.300]  But first, we have probably more news than I've ever seen
[00:00:50.860 --> 00:00:55.041]  on the plate tonight and unfortunately it seems to go from bad to worse.
[00:00:55.862 --> 00:00:59.743]  Turns out the Goldman Sachs conspiracy theorists were right all along.
[00:01:00.063 --> 00:01:09.566]  That's Madison Rupert's report up on Infowars.com today discussing how all along we've said insiders were getting tips from Hank Paulson.
[00:01:10.186 --> 00:01:22.237]  However, this isn't quite a brand new revelation, given the fact that in October 2009, Andrew Ross Sorkin exposed that Paulson met with the entire Goldman Sachs board in a hotel suite in Moscow in June 2008.
[00:01:23.658 --> 00:01:31.846]  During that meeting, Paulson spoke of the need for government to have the power to wind down trouble firms, offering a preview of his upcoming speech.
[00:01:32.446 --> 00:01:43.949]  That article breaks down this Reuters article, Hank Paulson's Inside Jobs, where today we learn that Goldman's meeting in Moscow was not some kind of aberration.
[00:01:44.329 --> 00:01:58.712]  A few weeks later, in July 28, 2008, all before the crisis began, Paulson met with a who's who of the hedge fund world in headquarters at Eaton Park Capital Management, a fund founded by former Goldman superstar Eric Menditz.
[00:01:59.472 --> 00:02:01.134]  So he was giving insider tips there.
[00:02:01.194 --> 00:02:07.439]  Many have broken down how it looks like there's enough information to criminally indict him and prosecute him.
[00:02:07.919 --> 00:02:11.382]  Meanwhile, we reported on this two years ago.
[00:02:11.482 --> 00:02:18.287]  Have you heard about the $16 trillion bailout the Federal Reserve handed to the too-big-to-fail banks?
[00:02:18.687 --> 00:02:22.390]  Of course, the $700 billion was just a smoke screen for a far greater sum.
[00:02:23.787 --> 00:02:33.570]  As I mentioned in 2009, we as well as Bloomberg reported on the $23.7 trillion in total commitments from the Federal Reserve during the bailout.
[00:02:33.930 --> 00:02:40.313]  Now there's a GAO government report breaking down $16 trillion of that money and where it went.
[00:02:41.033 --> 00:02:44.254]  The banks are, of course, predictable and familiar at this point.
[00:02:44.674 --> 00:03:04.741]  City Group got 2.5 trillion, Morgan Stanley some 2 trillion, Merrill Lynch almost 2 trillion, Bank of America 1.3 trillion, Barclays, Bear Stearns, Goldman Sachs, Royal Bank of Scotland, Deutsche Bank, UBS, JPMorgan Chase, Credit Suisse and all the others are also on the list.
[00:03:05.121 --> 00:03:06.682]  An incredible sum of money.
[00:03:07.062 --> 00:03:14.567]  Given away from taxpayers through our bizarre commitment in the Federal Reserve, if there's ever been a better time to put a spotlight there, it's now.
[00:03:15.047 --> 00:03:26.695]  Former New York Federal Reserve Stooge Geithner and current Treasury Secretary, meanwhile, is accusing opponents of reform of jeopardizing the financial sector's strength, saying he forces
[00:03:27.515 --> 00:03:41.326]  Working against the reform, he said forces working against the reform were blocking appointments to oversight positions, cutting funding, proposing new legislation to repeal parts of the Dodd-Frank law, and trying to slow regulation in the hopes of watering it down.
[00:03:41.846 --> 00:03:45.969]  That's just rearranging chairs on the Titanic, as you can imagine.
[00:03:46.449 --> 00:03:53.055]  Meanwhile, former Goldman Sachs stooge and New Jersey Senator, as well as Governor John Corzine,
[00:03:53.695 --> 00:03:58.339]  The executive of MF Global, at the time it went belly up, has now been subpoenaed.
[00:03:58.719 --> 00:04:10.490]  He will have to appear before a congressional panel and explain his role in that firm's collapse with still more than $1.2 billion in missing customer money.
[00:04:11.110 --> 00:04:12.492]  I wouldn't expect too much though.
[00:04:12.552 --> 00:04:14.754]  Don't hold your breath for true justice there.
[00:04:15.114 --> 00:04:17.016]  But at least he has to speak up for himself.
[00:04:17.116 --> 00:04:19.238]  We've had Gerald Cilente and others on the program.
[00:04:19.878 --> 00:04:21.439]  Other incredible news today.
[00:04:21.759 --> 00:04:25.721]  Wisconsin governor wants to introduce fee to protest.
[00:04:26.141 --> 00:04:31.343]  Exercising First Amendment right will cost $50 per hour per Capitol Police officer.
[00:04:31.383 --> 00:04:32.764]  That's Steve Watson's report.
[00:04:33.204 --> 00:04:41.167]  And they supposedly have some law already on the books in the state where you can be liable for using state facilities.
[00:04:41.588 --> 00:04:44.849]  It goes on to explain how inside the Capitol protests
[00:04:45.209 --> 00:04:49.612]  Groups of four or more will have to apply for a permit 72 hours before and pay.
[00:04:50.172 --> 00:04:57.437]  Protests outside the Capitol, groups of 100 or more would have to pay as well as for damage and cleanup costs.
[00:04:57.497 --> 00:04:58.698]  Kind of a funny quote here.
[00:04:58.878 --> 00:05:04.102]  I'm a little skeptical about charging people to express their First Amendment opinion.
