[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[00:00:15.350 --> 00:00:17.311]  It's now November 4th.
[00:00:17.371 --> 00:00:19.073]  We started of course on November 3rd.
[00:00:19.093 --> 00:00:20.954]  I'm Aaron Dyke sitting in.
[00:00:21.454 --> 00:00:27.518]  Alex will be back in a few hours and we're going to be joined in just a moment by an activist named Dan Dix.
[00:00:27.999 --> 00:00:29.680]  Press for Truth in Canada.
[00:00:29.720 --> 00:00:34.263]  He's done a lot of good work and not only is it 2.43 in the morning.
[00:00:34.303 --> 00:00:35.243]  Yes, I'm a little tired.
[00:00:35.263 --> 00:00:38.926]  I've been editing this Izzerby piece over here in the other room for the past 10 hours.
[00:00:39.426 --> 00:00:41.247]  Trying to get it ready for air later.
[00:00:41.747 --> 00:00:50.190]  Not only is it late in the night if you're still listening out there, and we hope you are, but it is late in the game and it's no unspecific time in history.
[00:00:50.210 --> 00:00:55.012]  I'm going to get more into this later, but for a long time people weren't literate.
[00:00:55.052 --> 00:00:59.714]  Nobody knew what was going on and it's very much what people like Zbigniew Brzezinski have talked about.
[00:01:00.154 --> 00:01:05.416]  This is the time of the global awakening and it's really a big challenge of which direction it's going to go.
[00:01:05.996 --> 00:01:11.522]  So supporting an organization like InfoWars is more than just something in this limited time now.
[00:01:11.702 --> 00:01:15.686]  It's something that you need to do because this is the time in history.
[00:01:15.806 --> 00:01:20.971]  Things are changing now and if we don't influence the way things are going, we'll never have another chance.
[00:01:20.991 --> 00:01:23.113]  So if you believe in the InfoWars mission,
[00:01:24.014 --> 00:01:46.748]  Carry out similar work yourself, donate to us, get the word out, spread the DVDs, and all of that, but we especially need your support here at Infowars.com, through this Moneybomb vehicle and the rest of it, because we need to grow and reach people while we still can, while we have the power of the internet, before they clamp down, and before we enter fully this global society, so we can try to change things.
[00:01:47.588 --> 00:01:48.969]  Do we have Dan now on the line?
[00:01:51.235 --> 00:02:12.143]  Yeah, so Dan Dix is somebody, I first met him back in 2006 in Canada at the Bilderberg meeting, and I know he had done some activism before that, but he spoke on our cameras, ended up in the endgame film, and I know that was one of the events that really helped wake him up, not only to what's going on, but to the need for he himself to take action.
[00:02:12.203 --> 00:02:13.204]  He has definitely been
[00:02:13.744 --> 00:02:14.544]  I can't hear you right now.
[00:02:14.564 --> 00:02:15.145]  Is it coming through?
[00:02:15.165 --> 00:02:15.865]  Oh, you got me now?
[00:02:41.775 --> 00:02:46.097]  Hey Dan, great to have you with us, and what can we talk about here tonight?
[00:02:47.438 --> 00:02:49.038]  Oh, whatever you want to get into, man.
[00:02:49.899 --> 00:02:58.823]  Speaking about meeting you back in 2006, I definitely remember that, being interviewed for Endgame, and that was a very cool experience.
[00:02:59.443 --> 00:03:03.405]  You know, back then, I remember I used to tell a lot of people about you, Aaron.
[00:03:03.845 --> 00:03:08.027]  I would often describe you as the man behind the man.
[00:03:08.907 --> 00:03:14.932]  Because obviously, you know, it's such a big production going on over there, but a lot of times people don't realize.
[00:03:14.992 --> 00:03:24.159]  I mean, Alex is the face of it all, but there's a whole group of people behind him who are integral to the operation and making it all work.
[00:03:24.859 --> 00:03:39.227]  And, um, so I would often refer to you as the man behind the man, and I just want to say it's great now to see you getting out in front, getting on the camera, you got your own YouTube channel, and the web, you know, your Facebook and everything, and getting more active, and, uh, it's awesome!
[00:03:39.348 --> 00:03:39.788]  I'm loving it!
[00:03:40.646 --> 00:03:46.848]  Yeah, it's not even something I really intended to do, but it's what Alex talks about a lot of times, the man who gets into the arena.
[00:03:46.908 --> 00:03:49.168]  That's the Teddy Roosevelt quote, I think.
[00:03:49.628 --> 00:03:57.130]  I remember personally back to the time when I kind of knew instinctively 9-11 was an inside job, but I was real depressed about it for a long time.
[00:03:57.170 --> 00:04:01.371]  I saw so many people taking the bait, and I didn't know what I could do about it myself.
[00:04:01.431 --> 00:04:03.812]  I didn't understand our power to transform
[00:04:04.592 --> 00:04:06.513]  Really, everyone's reaction to that kind of stuff.
[00:04:06.533 --> 00:04:17.296]  We've won so many victories on that, and just me personally getting into the battle has transformed so many things in my own life, but also helped me reach other people, turning on other people.
[00:04:17.356 --> 00:04:18.797]  I know you've done the same thing, Dan.
[00:04:20.188 --> 00:04:23.132]  Yeah man, that's really what it's all about.
[00:04:23.753 --> 00:04:27.497]  You gotta just dive in head first and take this kind of thing head on.
[00:04:28.458 --> 00:04:34.947]  When people are wanting to get active and wanting to get involved in this movement, that's really all it takes.
[00:04:35.447 --> 00:04:39.449]  I mean, anybody can take this up and do it themselves.
[00:04:39.909 --> 00:04:41.170]  Especially nowadays.
[00:04:41.270 --> 00:04:43.631]  I mean, a YouTube channel is free.
[00:04:43.691 --> 00:04:45.311]  A WordPress blog is free.
[00:04:45.932 --> 00:04:49.993]  You already pretty much probably have a camera in your pocket with your cell phone.
[00:04:50.533 --> 00:04:55.876]  So it's really just a matter of taking that first initial step and doing it.
[00:04:56.476 --> 00:04:57.036]  Like I did in 2006.
[00:04:58.957 --> 00:05:08.622]  I had went to a lot of events before that, but that was pretty much the first time I brought a camera with me, and that's what gave me... I had the bug ever since then.
[00:05:08.682 --> 00:05:13.404]  I've had the itch to continue to want to do it ever since then, and that's really what it takes, man.
[00:05:13.444 --> 00:05:20.067]  It's just diving in headfirst and taking a stab at it, and, you know, anybody can do this, and that's the encouraging thing about it all.
[00:05:21.021 --> 00:05:21.601]  That's what I mean.
[00:05:21.641 --> 00:05:25.324]  The information has come to be not only free, but priceless.
[00:05:25.364 --> 00:05:28.206]  This is the time we can use that information to transform things.
[00:05:28.646 --> 00:05:37.752]  Hundreds, thousands, whatever years ago, not only could people not read, but even if you could read, you couldn't afford a book, basically, unless you were in the priest class or the royalty.
[00:05:38.412 --> 00:05:42.535]  Now we have all these tools at our fingertips, and if we don't use them, well, what's the point anyway?
[00:05:43.615 --> 00:05:44.937]  Yeah, yeah, absolutely.
[00:05:44.998 --> 00:05:55.196]  I mean, there's no doubt technology is a double-edged sword, and the internet right now, I mean, we can essentially, in certain ways, use the system
[00:05:56.886 --> 00:06:19.700]  That's the beautiful thing about the times that we're living in now, and we have to take full advantage of it now as we can, because, you know, it's tough to say how much longer it's going to continue like this, because I believe the establishment realizes that this movement is getting absolutely huge, and they're might going to try to figure out a way to stifle our efforts.
[00:06:19.800 --> 00:06:21.201]  So, right now,
[00:06:21.741 --> 00:06:28.931]  It's the perfect time to get active and if you haven't taken that initial step, that first step, I would say do it.
[00:06:28.991 --> 00:06:30.252]  Just go for it, man.
[00:06:30.272 --> 00:06:37.262]  Get a YouTube channel, start a website, start putting yourself out there and just expose.
[00:06:38.142 --> 00:06:42.464]  And raise awareness about issues that you feel people need to hear about.
[00:06:42.884 --> 00:06:44.205]  And that's where it's at.
[00:06:44.265 --> 00:06:48.286]  And then, you know, as they often say, down the rabbit hole you'll go.
[00:06:49.087 --> 00:06:51.027]  And hopefully you'll just continue to work.
[00:06:51.087 --> 00:06:54.669]  So, it's a great time to be involved in the fight against the New World Order.
[00:06:55.251 --> 00:06:58.993]  Absolutely, and obviously it's not about knowing everything when you first get out there.
[00:06:59.013 --> 00:07:02.875]  It's about getting out there and doing it and beginning to grasp what's going on.
[00:07:03.296 --> 00:07:06.237]  But at the same time, we have stuff like the Occupy Wall Street movement.
[00:07:06.257 --> 00:07:11.360]  A lot of the righteous anger from the masses, the 99%, as they like to call it, really the 99.999%.
[00:07:11.480 --> 00:07:13.901]  I think it's about a million to one ratio of the true elites.
[00:07:17.343 --> 00:07:24.986]  But the point is, many of them, as well-meaning as they may be, are not sophisticated enough to even understand how the Federal Reserve affects our lives.
