[00:00:02.685 --> 00:00:04.587]  Waging war on corruption.
[00:00:05.067 --> 00:00:07.929]  Alex Jones on the GCN Radio Network.
[00:00:14.414 --> 00:00:15.075]  Big Brother.
[00:00:15.716 --> 00:00:16.756]  Mainstream media.
[00:00:17.497 --> 00:00:18.638]  Government cover-ups.
[00:00:18.658 --> 00:00:20.079]  You want answers?
[00:00:20.840 --> 00:00:21.820]  Well, so does he.
[00:00:22.381 --> 00:00:26.024]  He's Alex Jones on the GCN Radio Network.
[00:00:26.564 --> 00:00:30.647]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.750 --> 00:00:37.912]  Okay, folks, big show lined up for you today, obviously.
[00:00:38.912 --> 00:00:43.215]  Here we are, Wednesday, the 28th day of December 2011.
[00:00:44.055 --> 00:00:46.596]  And you want him, you've got him.
[00:00:46.636 --> 00:00:52.340]  Lindsey Williams is going to be on with us in the third hour with his former oil company exec source.
[00:00:52.400 --> 00:00:54.441]  Much of what he's predicted has come true.
[00:00:54.461 --> 00:00:57.963]  Some of it hasn't, as the Globalist, according to his source, have changed their plans.
[00:00:58.563 --> 00:01:03.326]  But basically, pretty much everything his source is putting out now is just there for the world to see.
[00:01:04.726 --> 00:01:11.130]  And we'll be getting Lindsey Williams on to discuss all of this with us in the third hour today and to take your calls.
[00:01:12.231 --> 00:01:13.412]  Dr. Busby...
[00:01:14.485 --> 00:01:15.346]  He is going to be joining us.
[00:01:15.366 --> 00:01:19.389]  He's one of the foremost experts on radiation.
[00:01:19.409 --> 00:01:25.555]  He's a British scientist known for his reports about the negative health effects of very low-dose radiation.
[00:01:26.215 --> 00:01:33.562]  Busby is the Director of Green Audit Environmental Consultancy Agency Scientific Advisor for the Low-Level Radiation Campaign, which was set up in 1995.
[00:01:35.043 --> 00:01:43.067]  He's a professor at the University of Ulster, and of course he also has advised the BBC, the EU, and other major groups and organizations.
[00:01:43.667 --> 00:01:49.971]  And he gave us really accurate information the first few weeks of Fukushima that turned out to be absolutely accurate.
[00:01:49.991 --> 00:01:51.952]  That was pretty shocking at the time.
[00:01:51.972 --> 00:02:03.798]  So we'll get about a 45-minute update on Fukushima and just that ongoing disaster with Dr. Busby, Christopher Busby, coming up in part of the second hour today.
[00:02:05.526 --> 00:02:23.125]  Now I ended up covering something last night on the news because a listener mentioned it and it reminded me of a big hit piece in CBS News and other publications and TV programs last week where the system gets very upset when I touch upon a certain area.
[00:02:24.059 --> 00:02:26.340]  Because it hits at the core of what they're doing.
[00:02:26.940 --> 00:02:29.261]  Changing the human species as we know it.
[00:02:30.002 --> 00:02:34.504]  Genetic, chemical, biological manipulation is going on on record.
[00:02:35.344 --> 00:02:49.051]  The world eugenics dictatorship, that's in control of almost every nation, for now 40 years, it'll be 40 years in a few months, has been taking blood from all children at birth and saying it's for a blood test, when it really goes in a eugenics database.
[00:02:49.671 --> 00:02:52.933]  I told you that 15 years ago, it was declassified four years ago.
[00:02:53.851 --> 00:02:57.053]  That's just to give you an example of what's really going on.
[00:02:57.614 --> 00:03:01.036]  And what's really going on is there's a huge secret global system.
[00:03:01.657 --> 00:03:05.980]  The documents we have from it are voluminous, but imagine what we don't know.
[00:03:07.121 --> 00:03:19.270]  And so, I thought I would get into the chemical, biological, radiological, genetic manipulation going on, the DNA damage happening to humans.
[00:03:20.939 --> 00:03:22.260]  This is the real world.
[00:03:22.901 --> 00:03:31.527]  We're down here with American Idol and Dancing with the Stars and X Factor and the NFL and celebrities and all the rest of it.
[00:03:31.807 --> 00:03:35.250]  Meanwhile, the scientific dictators could care less about all that.
[00:03:35.290 --> 00:03:38.952]  That's just stimuli, tribal manipulation they use to control us.
[00:03:39.493 --> 00:03:47.499]  And they try to steer art and literature and information and entertainment so that it never points in the direction of reality.
[00:03:49.557 --> 00:03:59.260]  Nevertheless, some of their own people do like to throw it in our face from time to time, like Aldous Huxley, who wrote in 1932 basically what they've now achieved.
[00:03:59.900 --> 00:04:12.404]  Girls going into puberty at age 5, men not going into puberty until 15, feminized, breast cancer off the charts, other cancers directly linked to bisphenol A, but that's only one chemical.
[00:04:13.244 --> 00:04:15.345]  So I thought I'd spend some more time on this today.
[00:04:16.285 --> 00:04:18.486]  Coming up at the bottom of the hour,
[00:04:19.548 --> 00:04:20.489]  I will get into that.
[00:04:21.290 --> 00:04:26.314]  And before that, I will get into all of the news.
[00:04:27.155 --> 00:04:29.017]  Here's some of the key news coming up.
[00:04:29.818 --> 00:04:34.682]  Iran promises to close down oil route if sanctions imposed.
[00:04:34.722 --> 00:04:37.325]  That's at Infowars.com.
[00:04:37.965 --> 00:04:44.392]  For the second time in two days, Iran is threatening to shut down the Strait of Hormuz if new sanctions are imposed in response to its nuclear program.
[00:04:44.972 --> 00:04:50.837]  Vice President of Iran threatened Tuesday to close down the strait and cut off oil exports.
[00:04:50.877 --> 00:04:53.860]  The West imposes sanctions on the country's oil shipments.
[00:04:53.900 --> 00:04:56.642]  So they say, you cut us off, we cut you off.
[00:04:56.662 --> 00:04:58.864]  Because they import around half their oil.
[00:04:59.845 --> 00:05:02.707]  Or around half their refined gasoline.
[00:05:02.747 --> 00:05:04.328]  They have plenty of oil, at least in other refineries.
[00:05:05.289 --> 00:05:08.212]  So we'll be breaking all of that down on the other side.
[00:05:10.928 --> 00:05:14.572]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:05:14.952 --> 00:05:17.955]  This is our last chance to not relive history.
[00:05:18.195 --> 00:05:22.979]  As we're finishing off this agenda, we're pulling the rug from underneath Americans at home.
[00:05:23.000 --> 00:05:29.225]  We have tremendous influence on our President and Congress, and they really are calling the shots.
