[00:00:23.413 --> 00:00:30.157]  Welcome ladies and gentlemen to this Friday, October 14, 2011 edition of the InfoWars Nightly News.
[00:00:30.177 --> 00:00:33.800]  I'm Aaron Dyke sitting in for Alex while he's out on assignment.
[00:00:33.820 --> 00:00:37.502]  You heard him today on the radio and he'll be back next week as well.
[00:00:38.183 --> 00:00:44.307]  Coming up on the broadcast we have activist Rick Warden who's been occupying the Dallas Federal Reserve for the past week.
[00:00:44.867 --> 00:00:51.754]  Then later, we'll speak with Tony Casso, who successfully lobbied Pinellas County, Florida, to remove fluoride.
[00:00:52.334 --> 00:01:00.181]  After that, we'll speak with Laura Presley, Ph.D., a fluoride-free Austin, on tactics to remove fluoride from your local water supply.
[00:01:00.802 --> 00:01:10.149]  Tonight in the news, we have more updates on the manufactured terror plot, the alleged assassination plot against the Saudi ambassador.
[00:01:10.570 --> 00:01:15.253]  Paul Watson writes, the assassination plot was pushed by a DEA informant.
[00:01:15.594 --> 00:01:19.256]  The suspect, our Bob Schur, thought he was involved in a drug deal.
[00:01:19.717 --> 00:01:25.221]  This was tied, allegedly, to the Iranian government as well as Mexican drug cartels.
[00:01:25.341 --> 00:01:28.804]  According to Attorney General Eric Holder, himself under fire,
[00:01:29.184 --> 00:01:29.685]  We're good to go.
[00:01:50.603 --> 00:01:51.083]  Dubious.
[00:01:51.564 --> 00:01:56.648]  FBI insider, Obama administration likely manufactured dubious terror plot.
[00:01:57.028 --> 00:02:07.697]  Now you heard on the program today Lieutenant Colonel Anthony Schaffer saying he spoke to an FBI insider who said there was no files linking this plot anywhere inside the Department of Justice.
[00:02:08.077 --> 00:02:11.941]  Files that it was most likely just cooked up for political purposes.
[00:02:12.461 --> 00:02:18.046]  You also have Robert Bayer, intelligence official known for the movie Syriana.
[00:02:18.407 --> 00:02:35.163]  He wrote a column in Time saying the Iranian plot is nothing more than a bad Hollywood script, that it doesn't match the character of Iran's extremely professional killers, despite the fact they tried to link this Iranian-American used car salesman to the elite Qud Force from Iran.
[00:02:36.749 --> 00:02:41.995]  Columnist Saman Mohammadi says it's more like a Bollywood script than a Hollywood script.
[00:02:42.476 --> 00:02:55.531]  Then you have Ray McGovern, longtime CIA official and former presidential briefer, saying Petraeus' CIA fueled the bad intelligence, allegedly linking the suspect to Iran.
[00:02:56.212 --> 00:03:20.470]  saying basically there was no intelligence and that the only hard evidence were recordings of him talking about using a car selling a car which they claim was a code word for the assassination plot all bogus stuff but of course you have republican congressman peter king and others saying this was an act of war just gearing up for action in the middle east with iran let's hope that doesn't happen meanwhile
[00:03:21.010 --> 00:03:23.351]  There's more in the gun walker scandal.
[00:03:23.831 --> 00:03:32.834]  Even as Attorney General Eric Holder is about to be subpoenaed to testify, there's the grenade walking scandal within the gun walker scandal.
[00:03:32.874 --> 00:03:33.775]  I believe we have a clip.
[00:03:34.315 --> 00:03:41.617]  CBS News reports that there's a new twist in the government's gun walking scandal involving an even more dangerous weapon, grenades.
[00:03:42.058 --> 00:03:45.359]  And it goes on to explain how the suspect who shipped
[00:03:45.859 --> 00:03:52.567]  Hundreds and then later thousands of grenade parts to Mexican drug cartels was repeatedly stopped but not prosecuted.
[00:03:53.068 --> 00:04:03.240]  One ATF agent even told investigators he literally begged to prosecute the suspect Kingery and keep him in custody, but he was ordered to let Kingery go.
[00:04:03.933 --> 00:04:11.277]  In January 2010, ATF had Kingery under surveillance after he bought about 50 grenade bodies and headed to Mexico.
[00:04:11.717 --> 00:04:14.579]  But they say prosecutors wouldn't agree to make a case.
[00:04:14.879 --> 00:04:18.201]  Six months later, Kingery allegedly got caught leaving the U.S.
[00:04:18.241 --> 00:04:22.503]  for Mexico with 114 disassembled grenades and a tire.
[00:04:23.003 --> 00:04:30.848]  One ATF agent told investigators he literally begged prosecutors to keep Kingery in custody this time, but was again ordered to let Kingery go.
[00:04:31.567 --> 00:04:38.088]  So again, deliberate interference from officials at the Department of Justice, the ATF, and others.
[00:04:38.628 --> 00:04:48.250]  Now, Obama and even President Calderón out of Mexico have been on this meme of illegal weapons being shipped to drug cartels since at least August 2009.
[00:04:49.170 --> 00:04:57.572]  Then, our investigators dug up clips from even earlier in the year 2009, talking about the gun-running, gun-walking scandal.
[00:04:58.951 --> 00:05:14.756]  I heard on the news about this story that Fast and Furious, where allegedly guns were being run into Mexico and ATF knew about it but didn't apprehend those who had sent it.
[00:05:15.196 --> 00:05:19.238]  Eric Holder, the Attorney General, has been very clear that he knew nothing about this.
[00:05:19.598 --> 00:05:25.200]  We've assigned an IG, Inspector General, to investigate it.
[00:05:25.780 --> 00:05:30.968]  When did you first know about the program, officially I believe called Fast and Furious?
[00:05:31.649 --> 00:05:32.991]  To the best of your knowledge, what date?
[00:05:34.112 --> 00:05:38.579]  I'm not sure of the exact date, but I probably heard about Fast and Furious for the first time over the last few weeks.
[00:05:39.878 --> 00:05:46.161]  So there's Holder originally saying he only knew about the program maybe a few weeks ago, a nebulous non-specific term.
[00:05:46.602 --> 00:05:50.964]  He's been asked to revise his testimony and admit that he knew about it long before.
[00:05:51.344 --> 00:06:00.029]  Now we have a clip coming up of David Ogden, the former Deputy Attorney General, talking about the gun walking project much, much earlier.
[00:06:00.109 --> 00:06:01.770]  And there's no way Eric Holder didn't know.
[00:06:03.083 --> 00:06:23.272]  DOJ's Bureau of Alcohol, Tobacco, Firearms, and Explosives is increasing its efforts by adding 37 new employees in three new offices, using $10 million in Recovery Act funds, and redeploying 100 personnel to the southwest border in the next 45 days to fortify its Project Gunrunner, which is aimed at disrupting arms trafficking between the United States and Mexico.
[00:06:24.744 --> 00:06:40.102]  ATF is doubling its presence in Mexico itself from five to nine personnel working with the Mexicans specifically to facilitate gun tracing activity which targets the illegal weapons and their sources in the United States.
[00:06:42.537 --> 00:06:48.123]  There they are, admittedly using your tax money to ship guns down there just to set up the Second Amendment.
[00:06:48.403 --> 00:07:00.356]  Keep in mind that back in March 30th of 2011, Obama met with Jim and Sarah Brady of the Brady Center and commented that he was working under the radar to attack the Second Amendment.
[00:07:00.777 --> 00:07:03.960]  So now we see it in action and we're going to continue as this
[00:07:04.807 --> 00:07:07.449]  We're going to continue to watch as this scandal unfolds.
[00:07:07.809 --> 00:07:12.752]  Eric Holder certainly under heat, but I would imagine this goes much deeper as well.
[00:07:15.276 --> 00:07:25.947]  In other news, the Occupy Wall Street and other Occupy movements across the country have met new resistance as police in various locations have tried to get protesters to move.
[00:07:26.268 --> 00:07:29.952]  That effort failed in New York, even though there were several arrests.
[00:07:30.372 --> 00:07:33.615]  In Denver, they arrested 24 people, I believe.
[00:07:34.056 --> 00:07:35.738]  We have a clip here from that now.
[00:07:37.511 --> 00:07:51.140]  We're back live here at Broadway and Colfax, the Occupy Denver protest.
[00:07:51.160 --> 00:07:55.262]  Let me give you a live look right now and update you on where police are at this point.
[00:07:55.282 --> 00:08:03.067]  They've managed to push protesters out of the street at Broadway, and now police are lining the curb here, keeping things under control.
[00:08:03.607 --> 00:08:09.113]  Ashal, in fact, as you're speaking, we're watching another arrest being made right now from Skyfox.
[00:08:09.133 --> 00:08:15.300]  So, this situation clearly still unfolding a lot of tension and, you know, Ashal mentioned we're seeing this across the country.
[00:08:16.069 --> 00:08:18.932]  Now all these Occupy protesters are a very diverse group.
[00:08:19.012 --> 00:08:21.634]  I don't know who these individuals were who were arrested.
[00:08:22.034 --> 00:08:25.838]  They really imply that they're blocking the street, but I haven't seen any evidence of that.
[00:08:26.218 --> 00:08:32.104]  Whatever you think of them though, they certainly have a right to protest and be heard, even if it is a prolonged protest.
[00:08:32.144 --> 00:08:36.488]  So police should really use caution in trying to break up what's going on there because
[00:08:37.048 --> 00:08:40.551]  These are people trying to speak for everyone, whether or not they do represent them.
[00:08:41.412 --> 00:08:50.281]  In other angles of the same Occupy Wall Street movement, Michael Chossudovsky has written about Occupy Wall Street and the American Autumn.
[00:08:50.461 --> 00:08:52.063]  Is this a colored revolution?
[00:08:52.443 --> 00:08:53.164]  We know there's been
[00:08:53.664 --> 00:09:05.106]  Really the same steering groups behind a number of the color revolutions, first in Serbia, then later the whole Arab Spring thing you saw that started in Egypt and Tahrir Square and moved on to other countries.
[00:09:05.926 --> 00:09:18.329]  Now, there's been a lot of talk and investigation and analysis behind that of the foundation groups and even the State Department supporting, sponsoring, and kind of pushing forward the groups that would steer these.
[00:09:18.409 --> 00:09:22.890]  So is that going on here in the Occupy Wall Street movement?
[00:09:23.470 --> 00:09:24.171]  A good question.
[00:09:24.972 --> 00:09:35.282]  And for more on the Occupy Movement, we turn now to Rick Worden, who has been occupying the Dallas Federal Reserve for a week now, ever since Alex did a rally there last week.
[00:09:35.702 --> 00:09:41.008]  Rick, thank you for joining us, and give us an update, please, on the Occupy Movement there in Dallas.
[00:09:42.208 --> 00:09:53.576]  We have a handful of strong lovers of liberty who are committed to being at the Occupy the Fed Dallas as often as they can.
[00:09:54.097 --> 00:09:57.899]  So we have successfully maintained an occupation.
[00:09:58.880 --> 00:10:03.142]  Saturday night, the rally was on Friday, October the 7th.
[00:10:03.743 --> 00:10:07.384]  Saturday night, October the 8th, it was a downpour.
[00:10:07.584 --> 00:10:08.425]  A gusher came.
[00:10:08.485 --> 00:10:09.686]  It rained all night long.
[00:10:10.126 --> 00:10:12.727]  It was really nasty and rained most of the day Sunday.
[00:10:13.227 --> 00:10:16.709]  So that really put a damper on our occupation.
[00:10:17.189 --> 00:10:24.233]  But we are there holding it and we are going to continue to occupy the Fed here in Dallas.
[00:10:25.256 --> 00:10:33.185]  Now they continue to have fairly large Occupy various cities across the country as part of the other part of that movement.
[00:10:33.525 --> 00:10:40.433]  The Federal Reserve Movement doesn't have the numbers, but I assure you that presence sends a big message to the authorities in those buildings.
[00:10:41.354 --> 00:10:44.036]  We know Richard Fisher last week was talking about
[00:10:44.837 --> 00:10:52.519]  How he sympathizes with the Occupy protesters, how he's trying to help them with jobs, you know, just on the heels of Alex bringing a lot of people to that rally.
[00:10:52.799 --> 00:10:55.960]  Now this week he says the Fed's already done all they can do to help with jobs.
[00:10:56.680 --> 00:11:02.422]  So it continues to be up to protesters like you to spotlight the problems the Federal Reserve is causing systematically.
[00:11:03.749 --> 00:11:04.349]  That's correct.
[00:11:04.389 --> 00:11:05.270]  And what are you going to do?
[00:11:05.330 --> 00:11:06.751]  We're just having fun with it.
[00:11:07.151 --> 00:11:16.116]  We would like for Richard W. Fisher to just come on down and be the next contestant on the Occupy the Fed Dallas program.
[00:11:16.136 --> 00:11:25.382]  We'll get it on video and give him an opportunity to answer openly and honestly some questions for, you know, those people that don't have jobs.
[00:11:26.584 --> 00:11:26.844]  Sure.
[00:11:27.325 --> 00:11:35.372]  Now, you mentioned before when we were talking, getting ready for this interview, how many of the Occupy Dallas protesters have very similar frames of mind.
[00:11:35.732 --> 00:11:40.517]  There's different groups within that group, but many of them have already marched to the Fed.
[00:11:40.557 --> 00:11:48.184]  They did so a week ago, even ahead of Alex's rally, and they continue to be part of the subset movement, Occupy the Federal Reserve.
[00:11:49.724 --> 00:11:50.624]  That is correct.
[00:11:51.025 --> 00:11:55.187]  They won my heart over for sure on their first march.
[00:11:55.267 --> 00:11:57.788]  They met at JFK Plaza.
[00:11:58.248 --> 00:12:01.190]  So you know that's a shock to the system right there.
[00:12:01.210 --> 00:12:03.431]  You know what I mean?
[00:12:03.451 --> 00:12:08.533]  And then their first march was to the Federal Reserve Building in Dallas.
[00:12:09.034 --> 00:12:11.495]  They said their numbers were 1,000 to 1,500.
[00:12:12.335 --> 00:12:14.156]  There should be videos on YouTube.
[00:12:14.576 --> 00:12:19.479]  So they gave a straight shock to the system and went straight for the throat of the beast.
[00:12:20.639 --> 00:12:33.124]  Yeah, now we know the larger Occupy movement, there's been factions on the left trying to co-opt what's going on, but we know many of the people on the ground have their own views.
[00:12:33.144 --> 00:12:38.426]  Do you have any indicators as to what direction the larger Occupy movement is headed?
[00:12:39.787 --> 00:12:41.008]  Well, yes.
[00:12:41.368 --> 00:13:07.598]  We watched the video last night with Judge Napolitano where it's a letter or a message to Occupy Wall Street where he basically compares the Tea Party and he did a good job recognizing Ron Paul as the originator of the Tea Party and how the Love Revolution had an official Tea Party with Ron Paul present in his district in Lake Jackson.
[00:13:08.498 --> 00:13:23.403]  And so he recognized that and showed how it had been co-opted, compared that to the Occupy movement, and I think sent a real message to the people that do have the same spirit that we have that are in this movement.
[00:13:24.335 --> 00:13:24.855]  Sure, yeah.
[00:13:25.035 --> 00:13:32.917]  At the higher levels of the hierarchy, we've seen people as high up as Al Gore endorsing, you know, an Arab Spring type movement in the U.S.
[00:13:33.277 --> 00:13:43.639]  We know they want to take a lot of that energy and fuel Obama or whoever might be leading the Democratic Party by next year, but there's so much else going on on that movement.
[00:13:43.999 --> 00:13:50.240]  I think it's just very encouraging that they continue to have a presence in cities all across the states, including Dallas.
[00:13:51.241 --> 00:13:56.226]  Now, what did you think of the rallies themselves for Occupy the Federal Reserve that took place last week?
[00:13:56.666 --> 00:13:58.889]  Alex kicked it off in Dallas.
[00:13:59.329 --> 00:14:01.051]  There was one in San Antonio, Houston.
[00:14:01.071 --> 00:14:03.434]  They've been in other cities across the U.S.
[00:14:03.494 --> 00:14:08.779]  as well, notably Boston, where there was thousands of people protesting outside.
[00:14:08.819 --> 00:14:11.262]  What kind of signal do you think that sends to the system, Rick?
[00:14:12.732 --> 00:14:16.457]  It's obviously a wonderful shock to the system.
[00:14:17.098 --> 00:14:18.460]  We know who we're dealing with.
[00:14:18.500 --> 00:14:19.882]  We're dealing with crooks.
[00:14:20.122 --> 00:14:26.130]  We're dealing with people that just do not know the concept of being honest and open and fair.
[00:14:28.732 --> 00:14:38.955]  You know, they've obviously done a fine job of establishing their programs in this society today, but people are waking up.
[00:14:39.035 --> 00:14:56.420]  That is obvious, and when you do the types of things that we are doing, occupying the Fed around the nation, yes, what to expect from it, I don't really know, but I know that right now, today, we have the attention of the people that we need.
[00:14:57.324 --> 00:14:57.484]  Mm-hmm.
[00:14:58.124 --> 00:15:06.409]  And we know police across the country in New York City and Denver have begun to move many of the Occupy protesters away from the places they've been.
[00:15:06.429 --> 00:15:08.690]  There have been a few arrests across the country.
[00:15:08.750 --> 00:15:16.254]  You told me before they plan to relocate the Occupy Dallas movement coming up on Sunday, I believe you said.
[00:15:16.635 --> 00:15:20.917]  Has there been any interference at all at the actual Federal Reserve, which of course is private property?
[00:15:22.401 --> 00:15:23.202]  No there hasn't.
[00:15:24.063 --> 00:15:28.549]  They've been peaceful and we're appreciative for that.
[00:15:29.210 --> 00:15:35.278]  We have not asked for their assistance on any of our demonstrations and we're good with that.
[00:15:35.439 --> 00:15:36.180]  They're good with that.
[00:15:36.220 --> 00:15:36.880]  Everything's good.
[00:15:37.601 --> 00:15:41.163]  What happens as this movement continues to grow, we'll see then.
[00:15:41.223 --> 00:15:48.266]  But I trust that the movement is a right movement and we have right on our side.
[00:15:48.626 --> 00:15:58.690]  So we have every reason to be courageous and bold and confident that we're accomplishing wonderful things that are going to be very beneficial.
[00:15:59.190 --> 00:16:02.131]  Now there's been some Ron Paul protests going on in Dallas as well.
[00:16:02.491 --> 00:16:03.512]  Could you tell us about that, Rick?
[00:16:04.571 --> 00:16:09.673]  Thank you, first off, to Dallas for Ron Paul, the Ron Paul Meetup group.
[00:16:09.993 --> 00:16:14.775]  They've been very warm to the Occupy the Fed Dallas movement.
[00:16:15.155 --> 00:16:18.616]  I'd like to see more of them out here, but, you know, that's just how it is.
[00:16:18.716 --> 00:16:24.158]  Everybody has jobs and busy lives, so I'm thankful for every person that comes.
[00:16:24.538 --> 00:16:29.040]  And I do strongly believe that the Ron Paul supporters are on their way.
[00:16:29.360 --> 00:16:31.401]  They're just, I think everybody right now is
[00:16:31.601 --> 00:16:38.883]  We've been waiting for a week to see what's actually going to happen with this movement and see what's going to happen with the Occupy movement.
[00:16:39.263 --> 00:16:48.186]  And I think now, thankfully to you Aaron and Alex Jones and y'all getting the word out that we are actually there.
[00:16:48.306 --> 00:16:52.487]  We have feet on the ground here in Dallas and so people are coming.
[00:16:52.567 --> 00:16:54.868]  I know they are and we look forward to seeing y'all here.
[00:16:55.248 --> 00:16:55.769]  Exactly.
[00:16:55.929 --> 00:17:08.560]  And your continued occupation of the Dallas Federal Reserve really puts a spotlight on the true root cause of the systematic economic problems that we face that all these movements are trying to address in one way or another.
[00:17:08.580 --> 00:17:11.102]  And of course we need more people to come down there.
[00:17:11.422 --> 00:17:14.805]  The Ron Paul factions have been protesting the Federal Reserve since at least 2007.
[00:17:16.246 --> 00:17:18.048]  I think that too sends a great signal.
