[00:00:10.478 --> 00:00:14.460]  Today in the studio we talked to Stuart Rose, the founder of Oath Keepers.
[00:00:14.900 --> 00:00:21.302]  So one part, one answer, is to teach the military and police what is really constitutional and what's not.
[00:00:21.562 --> 00:00:22.603]  Get them to stand down.
[00:00:22.863 --> 00:00:24.804]  The other side of it is we have to stand up.
[00:00:25.144 --> 00:00:30.166]  Michael Bolden joined us in studio to discuss the organization he founded, the Tenth Amendment Center.
[00:00:30.626 --> 00:00:44.114]  So, nullification, which is the idea of doing anything with our states on a state legislature or even jury nullification to render a particular federal law null and void or unenforceable in a state, that's our duty.
[00:00:44.655 --> 00:00:47.957]  Also in studio today is Brandon Smith, writer and activist.
[00:00:48.197 --> 00:00:52.879]  We discussed real-life solutions to help people survive today's unfolding economic crisis.
[00:00:53.420 --> 00:00:55.401]  We need to attack the problem on multiple levels.
[00:00:55.941 --> 00:00:59.944]  We need to go after the Federal Reserve at the federal level.
[00:01:00.805 --> 00:01:14.743]  We also need to institute 10th Amendment legislation at the state level, and we also need to pursue private barter, private commerce to protect ourselves at the local level.
[00:01:25.043 --> 00:01:35.205]  Hello friends, Alex Jones here coming to you from our new studios here in Austin, Texas, and I'm excited here in our inaugural first show to have Stuart Rhodes, the founder of Oath Keepers.
[00:01:35.705 --> 00:01:37.526]  Stuart's a really amazing guy.
[00:01:37.546 --> 00:01:44.587]  He's, of course, a former Army paratrooper and he's a graduate of Yale Law School, a constitutional lawyer.
[00:01:44.867 --> 00:01:53.249]  He also worked for several years in Congressman Ron Paul's office, but I think the most important thing he's done is found Oath Keepers all across the United States
[00:01:53.869 --> 00:02:04.814]  They've educated hundreds and hundreds of thousands of military and millions of veterans, both currently serving and former military, who've now gotten out of the military.
[00:02:05.454 --> 00:02:10.797]  And it's been said by many historians that tyranny is going to come to your door in a uniform.
[00:02:11.656 --> 00:02:30.397]  And if we look at what happened in Eastern Europe or what happened in Eastern Germany with the fall of the Berlin Wall and before that with some of the resistance movements, time and time again it was either the military and the police that oppressed the people or that stood down and allowed liberty to basically win the day.
[00:02:31.118 --> 00:02:43.677]  And anybody who studied history or even has any basic common sense knows that we're losing our basic liberties in this country and that an organized despotic system of autocratic control is being established.
[00:02:44.042 --> 00:03:10.691]  And so for the next 25 minutes or so, we're going to be talking to Stuart Rose, the founder of Oath Keepers, and while he was here in Austin, part of a speaking tour he's involved in, he brought a few of his associates, Brandon Smith, who's working on alternative grassroots currency systems, or BARTR, and also Michael Bolden, Tenth Amendment Center, really defining what is Tenth Amendment nullification, not the demonization we've seen from George Soros and the
[00:03:11.111 --> 00:03:12.432]  I mean, there's so much we can talk about.
[00:03:12.452 --> 00:03:13.393]  Why do we need Oath Keepers?
[00:03:13.413 --> 00:03:15.514]  What are the 10 orders you will not follow?
[00:03:15.534 --> 00:03:16.855]  Why did you found this organization?
[00:03:36.084 --> 00:03:43.092]  Well, the critical thing is, as you said a minute ago, tyranny can either come in the uniform or it can die by the uniform.
[00:03:43.412 --> 00:03:54.985]  If a military stands down, just simply says no, withdraws their support, as was done in 1989 in East Germany, the tyrant, no matter how bloodthirsty they are, cannot do it without them.
[00:03:55.285 --> 00:03:56.046]  In that situation,
[00:03:56.346 --> 00:03:59.108]  There was an order to suppress peaceful protests.
[00:03:59.488 --> 00:04:03.892]  The commander of the military refused to do so and ordered his men to stand down.
[00:04:04.232 --> 00:04:05.753]  And two days later, the wall fell.
[00:04:06.033 --> 00:04:14.719]  In fact, we have a video interview on our website with a former East German lieutenant colonel, who's now a Texas Oath Keeper, who was there when the wall fell.
[00:04:14.979 --> 00:04:20.704]  And he describes very vividly how they just simply stayed on base, and that was it.
[00:04:20.904 --> 00:04:22.605]  The Stasi secret police, after that,
[00:04:22.885 --> 00:04:23.545]  We're good to go.
[00:04:38.092 --> 00:04:39.713]  And we saw the same thing just happen in Tunisia.
[00:04:39.953 --> 00:04:43.515]  You had the dictator there order the military to fire on the people.
[00:04:43.755 --> 00:04:48.398]  When the military refused and stood down, the dictator in Tunisia was forced to flee the country.
[00:04:48.598 --> 00:04:49.839]  They could not do it without them.
[00:04:50.119 --> 00:04:54.402]  So that's the first part of our mission, is to reach the current serving, remind them of their oath.
[00:04:54.442 --> 00:04:58.164]  In this country, we have something they didn't even have in East Germany.
[00:04:58.484 --> 00:05:00.005]  We have an oath to the Constitution.
[00:05:00.365 --> 00:05:07.309]  We have a very clear set of rules of shall nots in our Bill of Rights that they're supposed to be protecting and refusing to violate.
[00:05:07.329 --> 00:05:15.874]  That's why we have our Declaration of Orders We Will Not Obey as really just a restatement of the Bill of Rights of things that they should have learned in school long ago.
[00:05:15.894 --> 00:05:18.176]  But we were never taught these things in school.
[00:05:18.496 --> 00:05:24.300]  They intentionally dumb us down in public schools and don't teach us our own heritage and our own Constitution.
[00:05:24.360 --> 00:05:25.720]  So we're going to fix that.
[00:05:25.760 --> 00:05:28.202]  We're going to go teach the troops what they already should know.
[00:05:28.422 --> 00:05:29.743]  They already have the courage and honor.
[00:05:30.143 --> 00:05:32.103]  If they have the knowledge, then they'll do the right thing.
[00:05:32.544 --> 00:05:38.045]  Now, in the couple years that you guys have been active, you've had a huge effect.
[00:05:38.425 --> 00:05:43.926]  And I've seen it on the street, I've witnessed it with my own syndicated radio show, but also when I've traveled around the country.
[00:05:44.406 --> 00:05:52.928]  But the big indicator of the fact that you've hit a nerve, and really the weak spot on the belly of the dragon, is that the
[00:05:54.008 --> 00:06:05.511]  Federal government, the Southern Poverty Law Center, the ADL, the George Soros type groups, Rachel Maddow, they have gone absolutely ballistic with you guys.
[00:06:06.576 --> 00:06:13.860]  All you're saying is, police, military, read the Bill of Rights, read the Constitution, study what this country was founded on.
[00:06:14.621 --> 00:06:28.469]  I know that even until just the last decade, there were large courses taught when my grandfathers were in the military, all about the President isn't a dictator, Congress declares war, you are not to follow an order that violates law.
[00:06:28.749 --> 00:06:32.311]  I mean, because coming out of World War II, we'd just seen Nuremberg.
[00:06:32.751 --> 00:06:44.997]  Where thousands of these Nazis got up and were shaking in fear, saying, we were ordered to arrest people, we were ordered to take property, we were ordered to take people away, to work them to death and to shoot them in the back of the head.
[00:06:45.657 --> 00:06:52.020]  And that common law understanding came to the fore again, that just following orders doesn't cut it.
[00:06:52.520 --> 00:06:57.643]  I mean, if I tell one of my employees, go down to the corner liquor store with this .357 Magnum and rob them,
[00:06:58.283 --> 00:06:59.464]  And then the cops catch him.
[00:06:59.484 --> 00:07:02.985]  They don't say, well, my boss told me to come, you know, rob this liquor store.
[00:07:03.866 --> 00:07:04.786]  It just doesn't work.
[00:07:04.846 --> 00:07:09.149]  And there are a lot of people that join the military for the right reasons.
[00:07:09.349 --> 00:07:10.189]  That's the vast majority.
[00:07:10.229 --> 00:07:15.352]  But clearly, some people join it because they have these visions of, you know, being a tough guy involved in combat.
[00:07:15.712 --> 00:07:20.576]  And it seems like the system tries to go in and pick out some of those more sociopathic types.
[00:07:20.856 --> 00:07:22.418]  The same thing happens in law enforcement.
[00:07:22.778 --> 00:07:31.145]  But looking at the numbers, the vast majority of Ron Paul's presidential donations from the military, the vast majority were to him.
[00:07:31.705 --> 00:07:32.626]  And I've talked to the military.
[00:07:32.666 --> 00:07:33.486]  I've talked to police.
[00:07:33.807 --> 00:07:36.449]  By and large, they're some of the best people in America.
[00:07:36.889 --> 00:07:40.532]  And I think that you've basically found the Achilles heel of the system, Stuart.
[00:07:40.752 --> 00:07:43.995]  So let's talk more about what's happening in America.
[00:07:44.255 --> 00:08:07.096]  that illustrates from your constitutional law perspective and as a veteran that illustrates historically that tyranny isn't down the street or over the hill it's knocking on our door and now is the time for the American people to reach out to the police and military and now is the time for the police and the military to make a decision historically to look at the facts and decide which side of history they're going to be on.
[00:08:07.739 --> 00:08:07.999]  That's right.
[00:08:08.019 --> 00:08:17.882]  Well, relentlessly since World War II, especially, but even long before that, has been the creation of an infrastructure of totalitarianism in the United States.
[00:08:18.202 --> 00:08:19.402]  And people say, well, that's ridiculous.
[00:08:19.622 --> 00:08:25.484]  Well, look at the claim power of the President to intern any American citizen as an unlawful enemy combatant.
[00:08:25.844 --> 00:08:34.826]  No indictment, no grand jury indictment, no jury trial, just whisked away to a brig and then tried before a kangaroo court of officers selected by the President.
[00:08:35.266 --> 00:08:36.967]  FDR claimed this long before him.
[00:08:37.387 --> 00:08:38.527]  Lincoln claimed this power.
[00:08:38.787 --> 00:08:40.768]  Supreme Court rule was unconstitutional.
[00:08:40.928 --> 00:08:42.788]  But FDR tried to do it again.
[00:08:42.808 --> 00:08:56.832]  And that Supreme Court, the New Deal Supreme Court, rubber-stamped his claimed authority to bring the international laws of war home to the United States and apply the international laws of war, which you would use on a foreign enemy, and apply to the American people.
[00:08:57.072 --> 00:08:57.672]  That's the claim.
[00:08:58.072 --> 00:09:04.057]  And Bush grabbed the same claim power and expanded it even more in the nebulous war against terrorism.
[00:09:04.337 --> 00:09:09.501]  If he says you are an enemy, then he could detain you and try you by military tribunal.
[00:09:09.661 --> 00:09:10.402]  That was his claim.
[00:09:10.862 --> 00:09:14.204]  The Supreme Court, unfortunately, rubber-stamped that in the Homney decision.
[00:09:14.445 --> 00:09:17.427]  And then you had Obama come in, and he went even a step further.
[00:09:17.447 --> 00:09:21.510]  You're not even going to get detained or even tried by military tribunal.
[00:09:21.730 --> 00:09:24.813]  He'll just have you assassinated, have you executed.
[00:09:26.584 --> 00:09:27.244]  Including U.S.
[00:09:27.284 --> 00:09:27.685]  citizens?
[00:09:48.201 --> 00:09:55.324]  As though we were like occupied Japan, or occupied Germany, or as though you were in Iraq, you're Afghani, on the battlefields of Afghanistan or Iraq.
[00:09:55.544 --> 00:10:00.046]  They're saying they can use the same power there, here at home in the United States.
[00:10:00.086 --> 00:10:14.393]  Well, we'll talk about this more later, because I want you to continue, but earlier you were on my syndicated radio broadcast, and we were going over the Associated Press article with Bernard Von Nuthaus, 13 years issuing his own
[00:10:14.773 --> 00:10:17.174]  competing private currency, totally legal.
[00:10:17.494 --> 00:10:18.454]  You actually have the U.S.
[00:10:18.494 --> 00:10:19.634]  Code right there in front of you.
[00:10:20.355 --> 00:10:29.217]  They convicted him with a kangaroo federal jury of counterfeiting, and then the prosecutors said, this is a great victory.
[00:10:29.237 --> 00:10:38.840]  We're going to infiltrate these groups as if people are hiding, and we're going to stop these domestic terrorists who are competing with the Federal Reserve.
