[00:00:21.272 --> 00:00:32.863]  It is August 19th, 2011, and this is a InfoWars.com breaking news report on this Friday evening.
[00:00:34.545 --> 00:00:44.214]  I was contacted a little over a month ago by Robert Morrow, a Princeton graduate, three-time delegate for the Republican Party in the state of Texas.
[00:00:45.703 --> 00:00:58.369]  A month ago or so, and he said, listen, I've got a lot of contacts, a lot of witnesses, people that have been involved in different type of sexual escapades with Rick Perry.
[00:00:59.310 --> 00:01:12.076]  And I didn't call him back, but I started doing my research, I'd heard the name, I'd met him before, and it turns out that most of the libertarian and conservative activists that I know vouch for Robert, that he's a stand-up guy and they've known him for many, many years.
[00:01:13.056 --> 00:01:16.337]  Still, I don't get into sexual issues.
[00:01:16.898 --> 00:01:32.683]  I'm going after Rick Perry for being Al Gore's former chief of staff in Texas in his presidential campaign in 88, or supporting all sorts of amnesty moves for illegal aliens, or forced inoculations for little girls, or NAFTA superhighways.
[00:01:33.224 --> 00:01:35.965]  And I said, look, I'm not going to break this information.
[00:01:36.505 --> 00:01:39.106]  Well then, lo and behold, he put a full-page ad
[00:01:40.086 --> 00:01:43.449]  In the Austin Chronicle that has now gotten national attention.
[00:01:43.590 --> 00:01:46.352]  Thousands of newspapers are reporting on this.
[00:01:46.693 --> 00:01:50.036]  Have you ever had sex with Rick Perry?
[00:01:50.776 --> 00:01:52.478]  And he has his phone number, his email.
[00:01:54.108 --> 00:01:54.809]  All right, let's go.
[00:02:14.628 --> 00:02:17.589]  They're trying to say this is some type of Ron Paul dirty trick.
[00:02:17.629 --> 00:02:22.951]  Well, Ron Paul came out today on Fox News and said, no, this is all just silly.
[00:02:23.551 --> 00:02:41.958]  So to sort all of this out, we are joined by Robert Morrow, the man of the hour, to tell us about himself and why he's running this ad and what evidence he has that indeed Rick Perry is gallivanting around, being a hypocrite, telling us that he has all these Christian values.
[00:02:42.019 --> 00:02:42.719]  I should add,
[00:02:43.459 --> 00:02:51.221]  That it's also coming out in newspapers across the country that Rick Perry is an investor in a chain of porno movie outlets.
[00:02:52.061 --> 00:02:56.962]  That's all over mainstream news and the religious right is running an attack ad against him for that.
[00:02:57.602 --> 00:03:09.225]  And I did confirm in the Texas Ethics Commission filings that Rick Perry reportedly did go in Florida to a male drag queen
[00:03:10.725 --> 00:03:12.367]  We're good to go.
[00:03:27.062 --> 00:03:30.064]  Well, Alex, I'm a local political activist here in Texas.
[00:03:30.184 --> 00:03:33.866]  I'm a three-time delegate to the Texas State Republican Convention 2006, 2008, and 2010.
[00:03:33.906 --> 00:03:35.607]  I have voted for Rick Perry in the past, 1998, 2002, 2006.
[00:03:35.687 --> 00:03:40.270]  What it boils down to is this, is that Rick Perry is a man who campaigns on Christian values
[00:03:49.696 --> 00:03:52.338]  He uses Bible buzzwords for political gain.
[00:03:53.019 --> 00:04:00.104]  He appears on stage in Houston with all these preachers, extremist preachers, yet he's living a double life.
[00:04:00.344 --> 00:04:07.590]  And the reason I know that, Alex, is because Rick Perry, his enabling entourage, and I like the same women.
[00:04:10.438 --> 00:04:28.204]  Well, that's quite a charge, and again, I'm going to be honest with you, Robert, you wouldn't even be here right now if a lot of people I know vouched for you and said you're a stand-up guy, they've known you for many, many years, some of them a decade, people I've known for over a decade.
[00:04:30.069 --> 00:04:31.790]  And I'm not saying, oh, you're lucky to be here.
[00:04:31.830 --> 00:04:36.931]  I'm saying I wouldn't have you here if a lot of people that I know and trust say, well, you're a stand-up guy.
[00:04:36.951 --> 00:04:38.172]  So that means two things are happening.
[00:04:38.912 --> 00:04:44.094]  Either all these people that are telling you this information are lying to you or they're telling the truth.
[00:04:44.634 --> 00:04:46.515]  And either way, this is dangerous.
[00:04:46.575 --> 00:04:50.176]  So let's get into the allegations.
[00:04:51.232 --> 00:04:51.693]  Okay.
[00:04:52.794 --> 00:04:56.538]  The reason they're credible is because there are multiple allegations.
[00:04:57.379 --> 00:04:58.841]  I met a stripper a couple years ago.
[00:04:58.861 --> 00:05:06.470]  She said, I was working on stage at a club and a man comes up to me and he says, here's $500.
[00:05:06.530 --> 00:05:09.653]  That's just for starters, you know, come with me.
[00:05:10.274 --> 00:05:10.514]  I think so.
[00:05:27.807 --> 00:05:31.269]  It was about a couple of years ago before the 2010 gubernatorial race.
[00:05:31.850 --> 00:05:39.074]  She said that she and Rick Perry started fooling around and she was trying to give him a Monica Lewinsky.
[00:05:39.154 --> 00:05:40.655]  I think it was oral sex.
[00:05:40.715 --> 00:05:41.136]  I think.
[00:05:41.756 --> 00:05:45.939]  And her words to me were, I think he was too coked up to get it up.
[00:05:46.479 --> 00:05:46.799]  Okay?
[00:05:47.640 --> 00:05:55.205]  After they had been playing around for a while and it was time for her to go, Rick Perry paid her an outrageous sum of money, well into the four digits.
[00:05:56.365 --> 00:05:57.466]  Rick Perry is not a rich man.
[00:05:57.486 --> 00:05:58.726]  He's only worth $1 or $2 million.
[00:05:58.766 --> 00:06:02.928]  That's not a lot of money compared to who he runs around with.
[00:06:03.509 --> 00:06:11.173]  It makes me think that Rick Perry is taking bribes and illegal gifts from his entourage to fund his extracurricular activities.
[00:06:11.333 --> 00:06:12.213]  And that was just one lady.
[00:06:12.813 --> 00:06:13.774]  Well, that's one source.
[00:06:14.174 --> 00:06:21.018]  Before you went public with all of this and contacted me a month ago, you say you were contacted by high-end escorts as well.
[00:06:23.074 --> 00:06:49.185]  I know other women in town, strippers, young hotties, some escorts, and another lady, this is what blew me away, when I heard from another lady, who's had direct dealings with Rick Perry's entourage, and she told me, that this man told her, that when Rick Perry goes on the road, he gets the quote, young hotties, hence I use the phrase young hotties in my ad, and he told her, he says that they take these young women,
[00:06:50.105 --> 00:06:56.830]  And they go back to Rick Perry's hotel room and they're literally having orgies and group sex in the hotel room.
[00:06:57.610 --> 00:07:05.456]  Perhaps like maybe Rick Perry is having sex with a woman on a sofa and his friend is having sex with another young hottie on a bed.
[00:07:05.936 --> 00:07:06.536]  So that was two.
[00:07:06.576 --> 00:07:10.359]  Now the second person who told me this is very credible.
[00:07:12.040 --> 00:07:12.921]  She's educated.
[00:07:13.241 --> 00:07:15.843]  She knows her way around the world politically here in Austin.
[00:07:16.544 --> 00:07:21.327]  She's not some sort of, you know, 17-year-old runaway on drugs or something.
[00:07:21.367 --> 00:07:23.969]  She's somebody who runs with the elite of Austin, Texas.
[00:07:24.530 --> 00:07:26.611]  So that was the second source on that.
[00:07:27.432 --> 00:07:29.375]  So after I heard that, I said it's confirmed.
[00:07:29.395 --> 00:07:32.259]  You know, Rick Perry is obviously being flagrantly adulterous.
