[00:00:22.096 --> 00:00:27.679]  Good evening and welcome to this Wednesday, December 7, 2011 edition of the InfoWars Nightly News.
[00:00:28.100 --> 00:00:28.780]  I'm Aaron Dykes.
[00:00:28.820 --> 00:00:34.204]  Coming up later in the program, Alex did an exclusive interview with Austin Police Chief Art Acevedo.
[00:00:34.524 --> 00:00:38.086]  You probably saw him on the show today, but you didn't see this, so stay tuned.
[00:00:38.346 --> 00:00:46.473]  Of course, it is the 70th anniversary of the Pearl Harbor attack, the false flag that was ubiquitously known around the world before 9-11.
[00:00:47.174 --> 00:00:51.458]  That, of course, among other things, led to World War II, U.S.
[00:00:51.538 --> 00:00:54.701]  entry into anyway, as well as Japanese internment camps.
[00:00:55.121 --> 00:00:57.003]  Now in the modern day, in the age of
[00:00:58.343 --> 00:01:01.084]  9-11, we have more detention camp news.
[00:01:01.564 --> 00:01:04.024]  Developments there from Paul Joseph Watson.
[00:01:04.044 --> 00:01:08.165]  Detention camp order follows preparations for civil unrest.
[00:01:08.625 --> 00:01:24.028]  Of course, we reported last night that KBR is subcontracting to outfit its emergency environment centers and we detailed that in Kurt Nemo's article, but Paul points out how they've been preparing for civil unrest since at least 2008.
[00:01:24.088 --> 00:01:24.568]  In the open,
[00:01:26.681 --> 00:01:30.724]  KBR, of course, had the contract in 2006 to build the camps.
[00:01:31.105 --> 00:01:31.525]  Now U.S.
[00:01:31.565 --> 00:01:42.574]  authorities are preparing for such eventualities on home soil, with major police departments like the NYPD staging mobilization exercises to train police to prepare for civil disorder in the United States.
[00:01:43.095 --> 00:01:45.076]  And there's been lots of other stuff as well.
[00:01:45.717 --> 00:01:48.059]  The Army Times reporting that there would be some 400,000 troops
[00:01:49.660 --> 00:01:50.720]  on homeland soil.
[00:01:50.880 --> 00:01:55.821]  Other plans announced in 2008 to station some 20,000 troops inside the U.S.
[00:01:55.841 --> 00:01:58.042]  for domestic security, U.S.
[00:01:58.122 --> 00:02:03.663]  Army War College orders preparing for civil unrest, and a whole lot more.
[00:02:04.323 --> 00:02:08.004]  Of course, there's bills like the National Emergency Centers Act, H.R.
[00:02:08.024 --> 00:02:14.505]  645, that Alex has covered at length, establishing the chain of command for these
[00:02:15.387 --> 00:02:44.294]  Detention centers putting it all under the Homeland Security Department and why not of course things are only going to get worse economically and that is the direction we're headed there among other things Obama is reiterating his call for a national police force which would be a civilian police to match the size and power of our armed forces in the words of his 2009 statement which would all be a quote stability police and
[00:02:44.634 --> 00:02:47.275]  The conditions of economic unrest we have that clip now.
[00:03:04.761 --> 00:03:18.433]  The new website deceptively masquerades as a federal agency, but in reality is a recruiting tool building a separate, completely private army outside of government that takes orders directly from Obama's controllers.
[00:03:18.913 --> 00:03:25.539]  Barack Obama has refused to rescind Presidential Decision Directive 51, signed by George W. Bush.
[00:03:25.960 --> 00:03:31.745]  The directive plainly states that the President is a dictator and that Congress is ceremonial.
[00:03:32.898 --> 00:03:40.043]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set.
[00:03:40.843 --> 00:03:47.908]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:03:50.043 --> 00:03:54.406]  Of course, this has nothing to do with Barack Obama, the president, love him or hate him or whatever.
[00:03:54.726 --> 00:04:03.692]  This has to do with continued executive overreach that's been going on at least since the Civil War, but it's been especially troublesome with the last four or five presidents.
[00:04:04.293 --> 00:04:15.200]  And you see what happens under Rex 84 and other continuity of government plans, all these secret detention plans, you know, contingencies for emergencies of whatever kind,
[00:04:15.800 --> 00:04:22.283]  All under the executive branch and all these agencies, including FEMA and Homeland Security, all very dangerous.
[00:04:22.663 --> 00:04:26.964]  Now, if you weren't paying attention last night, Curt Nemo and Alex Jones broke an exclusive.
[00:04:27.285 --> 00:04:38.449]  We got documents from inside Kellogg Brown Root, the Halliburton subsidiary, and they are now contracting services for the FEMA camps they've been building openly since at least 2006.
[00:04:39.989 --> 00:04:41.150]  Now they're activating them.
[00:04:41.670 --> 00:04:51.579]  By staffing them with everything from temporary fencing and barricades to laundry and medical services, power generation, refuse collection, catering, and a whole lot more.
[00:04:51.659 --> 00:05:02.048]  And they've broken it into five regions, as you see there on the map, which would mesh nicely with the ten governor regions and the Homeland Security ten regions.
[00:05:02.709 --> 00:05:04.671]  Two regions per group, I would imagine.
[00:05:05.171 --> 00:05:25.656]  Now, meanwhile, Gingrich, if you're wondering what kind of candidate he will be, Kurt Nemos drug out a speech he gave for C-SPAN's book review in 2008, where he, among other things, advocated splitting the FBI into two factions and allowing at least one of those factions to openly violate the Fourth Amendment.
[00:05:25.696 --> 00:05:29.337]  It's not enough that they set people up as patsies and call it terrorism.
[00:05:29.797 --> 00:05:42.043]  But even more troubling, Gingrich said at least twice in this clip, I don't know if we have it here, maybe they could tell me, that the government should occasionally allow a terror attack in order to remind the people there's still a war on terror.
[00:05:42.083 --> 00:05:43.524]  Let's go to that clip now, we do have it.
[00:05:43.964 --> 00:05:46.585]  Why have we not been hit by it since 9-11, which is a good question.
[00:05:46.625 --> 00:05:48.166]  My first answer is I honestly don't know.
[00:05:50.565 --> 00:06:14.639]  I would have expected another attack and I particularly thought, I was very very worried and talked to the administration when we had the sniper attacks because the sniper attacks were psychologically so frightening to the average person because of their randomness that I thought, I was amazed that the bad guys didn't figure out how to send 10 or 12 sniper teams.
[00:06:15.499 --> 00:06:24.306]  I think there are a couple things, though, that we tend not... This is, by the way, one of the great tragedies of the Bush administration.
[00:06:25.947 --> 00:06:34.294]  The more successful they've been at intercepting and stopping bad guys, the less proof there is that we're in danger.
[00:06:35.955 --> 00:06:42.260]  And therefore, the better they've done at making sure there isn't an attack, the easier it is to say, well, there was never going to be an attack anyway.
[00:06:44.025 --> 00:06:52.392]  Just disgusting, and the tragedy is they continue to milk more government power out of unfortunate events, which, well, you know who's behind them.
[00:06:52.952 --> 00:06:53.753]  Just disgusting.
[00:06:54.073 --> 00:06:57.936]  Of course, he also says, torture's good, waterboarding's acceptable, not torture.
[00:06:58.296 --> 00:06:59.677]  We have that article here.
[00:06:59.797 --> 00:07:06.343]  In addition to advocating constitutional relevism, Gingrich recently stated he doesn't consider the practice of waterboarding to be torture.
[00:07:07.123 --> 00:07:09.045]  And that was during the Fox News debate.
[00:07:21.957 --> 00:07:22.798]  I don't think so.
[00:07:48.092 --> 00:07:51.234]  All the data and internal emails and so forth and so on.
[00:07:51.834 --> 00:08:10.883]  However, Teresa Dolan, former Director of Administration for the Governor's Office, told Reuters that Romney's efforts to control or wipe out records from his governorship were unprecedented and that in her 23 years as aide to successive governors, no one had ever inquired about or expressed the desire to purchase their computer hard drives before Romney's tenure.
[00:08:10.903 --> 00:08:13.244]  They're saying it's not illegal, but it is strange.
[00:08:13.684 --> 00:08:19.466]  Of course, there wasn't as much of a computer age prior to Romney, but still, what is he hiding?
[00:08:19.586 --> 00:08:22.647]  I guess, potentially a Climategate type scandal.
[00:08:22.687 --> 00:08:24.528]  Look what happened when those emails came out.
[00:08:25.288 --> 00:08:37.772]  In lighter news, Herman Cain, we didn't cover this before, so we're covering it now, in his speech where he quit the race for the presidency, maybe still a vice presidential candidate, we don't know, quoted Pokemon.
[00:08:38.172 --> 00:08:39.573]  Why does he do something like that?
[00:08:39.653 --> 00:08:41.194]  To try to be cool with the people.
[00:08:41.254 --> 00:08:43.735]  All these candidates want to relate to ordinary people.
[00:08:44.156 --> 00:08:50.420]  While ordinary people have no clue what's going on behind these puppet figures inside the real government.
[00:08:50.560 --> 00:08:51.240]  Let's play this now.
[00:08:53.281 --> 00:08:54.282]  Let me leave you with this.
[00:08:57.084 --> 00:09:02.247]  And I believe these words came from the Pokemon movie.
[00:09:03.107 --> 00:09:04.248]  Life can be a challenge.
[00:09:04.328 --> 00:09:05.649]  Life can seem impossible.
[00:09:06.787 --> 00:09:12.154]  It's never easy when there's so much on the line.
[00:09:13.876 --> 00:09:18.522]  But you and I can make a difference.
[00:09:22.166 --> 00:09:25.491]  Life can be a challenge.
[00:09:26.749 --> 00:09:38.451]  Life can seem impossible It's never easy When so much is on the line
[00:09:41.209 --> 00:09:48.237]  Well, Herman Cain, federal head of the Kansas City branch of the Federal Reserve, a very powerful branch in his district there.
[00:09:48.577 --> 00:09:49.578]  He can have all the fun.
[00:09:49.738 --> 00:09:53.863]  Alex, too, has drawn from Japanimation in the past.
[00:09:53.903 --> 00:09:54.584]  Let's check that out.
[00:09:54.604 --> 00:10:00.930]  I refuse to go along with this, and I've seen through all of your lies, Barack Obama, you wicked, wicked devil!
[00:10:21.365 --> 00:10:27.008]  Yeah, yeah, so it's funny to pay attention to the occasional gaffes that some of these candidates and other public figures make.
[00:10:27.408 --> 00:10:30.130]  What worries me more, though, is the things that aren't a gaffe.
[00:10:30.170 --> 00:10:38.514]  Like Al Gore's statement to Bob Woodward, it was in The Hill today, that the public knows less than 1% of what happened during the Clinton administration.
[00:10:38.594 --> 00:10:41.716]  Less than 1% of what went on behind closed doors.
[00:10:41.856 --> 00:10:44.137]  All the secret, corrupt, inside deals.
[00:10:44.577 --> 00:10:48.438]  And all the rest of it, trading secrets to China, everything.
[00:10:48.498 --> 00:10:56.481]  It's just disgusting what really happens in this government, and yet the public is focused on pop culture issues and pop culture candidates.
[00:10:56.801 --> 00:10:57.942]  It just makes me sick.
[00:10:58.402 --> 00:11:01.163]  In other news, a mystery company is buying up U.S.
[00:11:01.203 --> 00:11:02.423]  gun manufacturers.
[00:11:02.723 --> 00:11:13.207]  In recent years, many top-selling brands, including the 195-year-old Remington Arms, as well as Bushmaster Firearms and DPMS, leading makers of military-style semi-autos,
[00:11:13.567 --> 00:11:16.529]  ...have quietly passed into the hands of a single private company.
[00:11:16.769 --> 00:11:21.532]  It's called the Freedom Group, and it is the most powerful and mysterious force of the U.S.
[00:11:21.853 --> 00:11:23.534]  commercial gun industry today.
[00:11:24.094 --> 00:11:26.376]  Is it freedom for one company to own it all?
[00:11:26.496 --> 00:11:26.936]  I don't know.
[00:11:27.717 --> 00:11:33.120]  People have speculated in the past that Soros, among others, may have been behind this group in an attempt to buy out U.S.
[00:11:33.160 --> 00:11:36.462]  gun companies and ultimately dismantle the industry.
[00:11:37.063 --> 00:11:41.386]  He's apparently not behind it, but a hedge fund, Wall Street-type
[00:11:41.966 --> 00:11:43.347]  We're good to go.
[00:12:05.104 --> 00:12:10.329]  This business about the old ladies getting strip search is only expanding into a bigger story.
[00:12:10.409 --> 00:12:19.256]  We must keep an eye on this outrageous agency who's put so-called security, Benjamin Franklin, warned that you can't have security when you give up liberty.
[00:12:19.637 --> 00:12:31.407]  This agency has put security ahead of even dignity, again subjecting people we should be protecting, the most vulnerable old people, to the worst abuses of these searches
[00:12:31.707 --> 00:12:33.349]  TSA has never stopped one terrorist.
[00:12:33.369 --> 00:12:34.750]  They haven't done anything for us.
