[00:00:00.109 --> 00:00:00.990]  Well, so does he.
[00:00:01.650 --> 00:00:05.334]  He's Alex Jones on the GCN Radio Network.
[00:00:05.854 --> 00:00:09.898]  And now, live from Austin, Texas, Alex Jones.
[00:00:12.626 --> 00:00:14.787]  Welcome, ladies and gentlemen.
[00:00:14.987 --> 00:00:20.429]  It's the Alex Jones Show live on this Friday, March 25th, 2011.
[00:00:21.050 --> 00:00:23.891]  I'll be your fill-in host for the first half of this show today.
[00:00:23.951 --> 00:00:29.213]  My name's Paul Joseph Watson, editor and writer for PrisonPlanet.com.
[00:00:29.833 --> 00:00:33.315]  And in the second half of the show, your host will be none other than...
[00:00:33.815 --> 00:00:38.578]  The Health Ranger, Mike Adams, so be sure not to miss that.
[00:00:39.038 --> 00:00:42.600]  Of course, we're streaming live at PrisonPlanet.tv.
[00:00:43.381 --> 00:00:45.402]  We'll be taking your calls at the bottom of the hour.
[00:00:46.343 --> 00:00:57.549]  And in the next hour, I'll be talking to Dr. Christopher Busby, who is a preeminent nuclear and radiation expert about the deepening crisis in Fukushima.
[00:00:58.310 --> 00:01:01.492]  And that's where we'll start our news coverage today.
[00:01:02.412 --> 00:01:12.686]  Because for the past week the mass media has been obsessing about the death of Elizabeth Taylor and a myriad of other distractions.
[00:01:13.387 --> 00:01:17.312]  Of course the attack on Libya has taken centre stage, we'll discuss that
[00:01:17.312 --> 00:01:17.913]  I'll get to that later.
[00:01:18.813 --> 00:01:38.452]  But there's been a kind of stupefied mass apathy cultivated by the establishment media as part of this bizarre campaign to convince the global population that the Fukushima crisis is all but over, when in fact it's deepening day by day.
[00:01:39.873 --> 00:01:56.157]  Now, according to the new scientists and the Austrian Central Institute for Meteorology and Geodynamics in Vienna, radiation levels being spewed by Fukushima now rival those emitted by the Chernobyl disaster.
[00:01:56.297 --> 00:02:00.718]  And of course, the catastrophe shows no sign of coming to an end.
[00:02:00.778 --> 00:02:02.238]  It rumbles on day after day.
[00:02:03.496 --> 00:02:04.636]  And of course the news today.
[00:02:04.957 --> 00:02:08.438]  Reactor core may be breached at damaged Fukushima plant.
[00:02:08.998 --> 00:02:09.939]  Bloomberg News.
[00:02:10.459 --> 00:02:18.102]  Japan's nuclear regulator said one reactor core at the quake-damaged Fukushima power plant may be cracked and leaking radiation.
[00:02:18.562 --> 00:02:23.744]  Quote, it's very possible that there has been some kind of leak at the number three reactor.
[00:02:24.124 --> 00:02:31.267]  Hidehiko Nishima, a spokesman at the Japan Nuclear and Industrial Safety Agency said in Tokyo today.
[00:02:31.727 --> 00:02:42.591]  While radioactive water at the unit most likely escaped from the reactor core, it also could have originated from spent fuel pools stored atop the reactor, he said.
[00:02:43.232 --> 00:02:55.697]  And so what the mainstream media is reticent to report is the fact that reactor number three, which is the one that was hit, you'll remember, by that massive fireball explosion we saw on March 14th.
[00:02:57.446 --> 00:03:07.004]  Is the reactor that contains the deadly MOX plutonium uranium mix that is in none of the other reactors there at the site.
[00:03:09.232 --> 00:03:17.578]  Your Geiger counters and your EPA radiation detectors are just not gonna pick up this mix of plutonium and uranium.
[00:03:18.018 --> 00:03:22.462]  And this is what we'll be talking to Chris Busby about later in the show.
[00:03:22.662 --> 00:03:30.868]  It's the most deadly form of radiation and it's also invisible to all these detectors that they're using to tell us that everything's gonna be okay.
[00:03:32.441 --> 00:03:35.042]  Now, I wrote an article about this yesterday, which you can read.
[00:03:35.722 --> 00:03:40.524]  Plutonium is the most deadly radioactive isotope known to man.
[00:03:41.465 --> 00:03:47.607]  And indeed, MOX is two million times more deadly than normal enriched uranium.
[00:03:48.567 --> 00:03:50.728]  The half-life of plutonium-239 is 24,000 years.
[00:03:55.430 --> 00:04:03.926]  And just a few milligrams of P239 escaping in a smoke plume can contaminate soil for tens of thousands of years.
[00:04:05.769 --> 00:04:07.613]  Now, this stuff...
[00:04:08.979 --> 00:04:14.162]  You know, if this stuff leaks out in significant dosages, you can forget about your potassium iodide.
[00:04:15.143 --> 00:04:33.334]  It's a different monster altogether, but I'm sure again that the EPA and the CDC will continue to tell Americans that everything's fine and that there's nothing to worry about, just as the children who splashed about in the yellow rain puddles in the days after Chernobyl were told the same thing in
[00:04:34.435 --> 00:04:41.263]  Ukraine, Belarus and surrounding countries will be back to cover the deepening Fukushima crisis on the Alex Jones Show after the break.
[00:04:41.283 --> 00:04:41.964]  Stay tuned!
[00:04:50.276 --> 00:04:53.897]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:04:54.277 --> 00:04:57.298]  This is our last chance to not relive history.
[00:04:57.518 --> 00:05:02.299]  As we're finishing off this agenda, that we're pulling the rug from underneath the Americans at home.
[00:05:02.319 --> 00:05:08.581]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:05:08.721 --> 00:05:10.942]  I think it's incumbent upon all of us
[00:05:11.502 --> 00:05:11.762]  Tim Geithner?
[00:05:11.802 --> 00:05:12.042]  Bernanke?
[00:05:12.062 --> 00:05:12.483]  They're arsonists!
[00:05:12.503 --> 00:05:13.223]  They're asking for more matches!
[00:05:13.243 --> 00:05:14.704]  And the Congress is saying, who do we make the check out to?
[00:05:30.393 --> 00:05:37.319]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the Republic.
[00:05:37.679 --> 00:05:46.787]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:05:48.817 --> 00:05:53.040]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:05:53.360 --> 00:05:53.961]  Number 1.
[00:05:54.281 --> 00:05:57.423]  New climate legislation could easily double or triple your electric bill.
[00:05:57.704 --> 00:05:58.264]  Number 2.
[00:05:58.564 --> 00:06:03.108]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:06:03.448 --> 00:06:03.908]  It's true.
[00:06:04.188 --> 00:06:08.752]  Total government control of electricity in the name of smart grid technology is coming.
[00:06:09.072 --> 00:06:09.612]  Number 3.
[00:06:09.893 --> 00:06:13.175]  In some areas of the country, the power grid is dangerously overloaded.
[00:06:13.475 --> 00:06:17.178]  And now, new socialist legislation is only compounding the problem.
[00:06:17.378 --> 00:06:17.919]  Number 4.
[00:06:18.179 --> 00:06:20.542]  Dangerous weather is always a threat to local grids.
[00:06:20.942 --> 00:06:24.326]  Every year, thousands of families lose their power from weather-related outages.
[00:06:24.626 --> 00:06:24.826]  Number 5.
[00:06:25.407 --> 00:06:29.331]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:06:29.552 --> 00:06:34.317]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:06:34.597 --> 00:06:38.623]  You can get more information at www.mysolarbackup.com.
[00:06:38.783 --> 00:06:40.325]  That's mysolarbackup.com.
[00:06:40.565 --> 00:06:42.648]  Remember, the government doesn't own the sun.
[00:06:42.828 --> 00:06:45.152]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:48.718 --> 00:06:56.561]  A very wealthy US citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:06:56.841 --> 00:06:59.122]  He says it will change everything about our lives.
[00:06:59.382 --> 00:07:04.584]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:07:04.764 --> 00:07:07.545]  Now this man has made some outrageous predictions over the years.
[00:07:07.805 --> 00:07:09.866]  The crazy part is, he's usually right.
[00:07:10.126 --> 00:07:16.068]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:07:16.368 --> 00:07:19.569]  In fact, Barron's called his work a dire prophecy.
[00:07:19.749 --> 00:07:25.270]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:07:25.530 --> 00:07:26.831]  And it's a real eye-opener.
[00:07:27.171 --> 00:07:28.331]  I can't stress this enough.
[00:07:28.471 --> 00:07:30.972]  You should at least watch this free video online today.
[00:07:31.152 --> 00:07:35.198]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:07:35.358 --> 00:07:39.864]  You can find the video at www.EndOfAmerica3.com.
[00:07:39.984 --> 00:07:42.448]  That's End of America, the number 3.com.
[00:07:42.588 --> 00:07:45.572]  Watch the free video at www.EndOfAmerica3.com.
[00:07:45.592 --> 00:07:46.213]  That's EndOfAmerica3.com.
[00:07:53.834 --> 00:07:58.040]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:07:58.681 --> 00:07:59.482]  You want answers?
[00:08:00.263 --> 00:08:01.265]  Well, so does he.
[00:08:01.805 --> 00:08:05.431]  He's Alex Jones on the GCN Radio Network.
[00:08:06.012 --> 00:08:10.077]  And now, live from Austin, Texas, Alex Jones.
[00:08:12.475 --> 00:08:18.638]  It's Paul Joseph Watson filling in for Alex Jones today on this Friday, March 25th edition.
[00:08:19.478 --> 00:08:23.300]  Apple rejects iPhone 4 radiation metering app.
[00:08:23.960 --> 00:08:33.665]  Citing a lack of interest, Apple has rejected an app that allows users to see a meter showing how much radiation is being given off by their iPhone in real time.
[00:08:33.805 --> 00:08:38.127]  The app, previously praised by Apple for its clever engineering and creative design,
[00:08:38.807 --> 00:08:42.350]  Is reported to have been rejected by Steve Jobs himself.
[00:08:42.850 --> 00:08:51.556]  Israeli developer Torkon admitted the app, submitted the app on multiple occasions to the App Store, only to have repeated denials.
[00:08:51.616 --> 00:08:57.860]  An email from Steve Jobs gave a short two-word explanation as to why the app wouldn't see approval.
[00:08:58.261 --> 00:08:59.902]  Quote, no interest.
[00:09:00.622 --> 00:09:05.847]  Oh, okay, so potassium iodide is completely sold out, exhausted, you can't buy it anywhere.
[00:09:06.467 --> 00:09:09.810]  Geiger counters, can't buy them anywhere, they're sold out.
[00:09:10.351 --> 00:09:16.376]  But now Steve Jobs is telling us that there's, quote, no interest in an iPhone app that purports to measure radiation.
[00:09:16.837 --> 00:09:19.959]  So again, the message is clear, everything is under control.
[00:09:20.780 --> 00:09:29.187]  And now US health authorities are actually encouraging people not to take potassium iodide even in weaker doses.
[00:09:29.888 --> 00:09:34.252]  And even as the Fukushima radiation continues to be spewed out of the planet.
[00:09:34.792 --> 00:09:48.144]  So, 25 years after they told us Chernobyl was harmless, remember the Russians didn't even admit to it until two days later when engineers in Sweden measured the radiation.
[00:09:50.891 --> 00:09:55.335]  And we've been told that, you know, it's of no concern.
[00:09:55.755 --> 00:09:59.058]  Don't take your potassium iodide, don't get your Geiger counters.
[00:09:59.918 --> 00:10:11.307]  And yet, in Europe, since Chernobyl 25 years ago, we've had nearly a million cancer deaths in Europe attributed to the disaster, according to the latest studies.
