[00:00:01.914 --> 00:00:03.076]  Coast to coast.
[00:00:03.436 --> 00:00:04.838]  Direct from Austin.
[00:00:05.499 --> 00:00:08.803]  You're listening to the Alex Jones Broadcasting Network.
[00:00:09.083 --> 00:00:11.566]  We've got it.
[00:00:11.586 --> 00:00:14.290]  This transmission is coming to you.
[00:00:18.104 --> 00:00:20.185]  Waging War on Corruption.
[00:00:22.465 --> 00:00:37.570]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:40.832 --> 00:00:44.673]  Welcome my friends, welcome to another live transmission.
[00:00:46.229 --> 00:00:47.349]  I'm your host, Alex Jones.
[00:00:47.429 --> 00:00:49.190]  We're here Monday through Friday, 11 a.m.
[00:00:49.210 --> 00:00:49.790]  to 2 p.m.
[00:00:49.830 --> 00:00:52.011]  Central, back Sundays, 4 to 6.
[00:00:52.831 --> 00:01:13.997]  And we attempt, and in many cases have great success, thanks to you spreading the word, in setting brush fires in the minds of men and women everywhere to be able to recognize the difference between liberty and slavery, freedom and tyranny, controlling your own destiny versus bondage.
[00:01:15.350 --> 00:01:16.270]  And that's why I'm here.
[00:01:18.031 --> 00:01:25.993]  We'd already lost a lot of our rights and liberties and basic freedoms and our sovereignty by the time I got on the air, right at 17 years ago.
[00:01:31.935 --> 00:01:40.638]  But today, unfortunately, the tyranny is of the most virulent, organized type.
[00:01:41.704 --> 00:02:05.083]  And it's because the corrupt ruling elite, right at the point that they're taking over the world through financial Ponzi scheme frauds, right as they engage in financial fraud-based conquest, the world is beginning to awaken, and that awakening is beginning to accelerate, and that is why the social controllers, the social engineers,
[00:02:06.724 --> 00:02:17.128]  Are openly overturning every canon, every bedrock value of freedom, not just here in the United States, but worldwide.
[00:02:17.908 --> 00:02:35.235]  And now in Russia, in China, in Saudi Arabia even, in other nations, they marvel at the police state and use the United States now as an excuse to carry out the horrible repression that many of those countries are engaged in.
[00:02:37.321 --> 00:02:48.111]  So when we come back from break, I'm going to attempt, and you know what, it doesn't mean I'm always successful at, I'm going to attempt to go over the fact that the time for denial is over.
[00:02:48.151 --> 00:02:49.472]  There's no excuse to live in denial.
[00:02:50.713 --> 00:02:52.735]  And the time for action is here.
[00:02:54.677 --> 00:02:55.498]  In every way.
[00:02:57.680 --> 00:03:01.063]  Tyranny with a capital T and all that that word means is here.
[00:03:03.308 --> 00:03:10.852]  But, like judo, we can use this assault as a way to really get a lot more people to awaken and take action.
[00:03:11.253 --> 00:03:19.418]  The system likes to just sell tyranny and corruption and oppression and control with a velvet glove over the iron fist and have people acquiesce.
[00:03:19.478 --> 00:03:28.623]  They don't like to have to come out with open, brazen, hubris, chutzpah-filled, arrogant
[00:03:33.100 --> 00:03:35.361]  Baseline oppression.
[00:03:36.502 --> 00:03:42.486]  They're only doing this because their endgame is threatened.
[00:03:42.866 --> 00:03:44.207]  Because they are weak.
[00:03:45.148 --> 00:03:46.749]  We have massive news on
[00:03:47.859 --> 00:03:51.361]  Now the open admissions of shutdown of the Internet as we know it.
[00:03:51.961 --> 00:03:53.201]  The end of the Internet as we know it.
[00:03:53.241 --> 00:03:55.482]  That's not even my headline.
[00:03:56.183 --> 00:04:02.826]  That's the type of headlines we see in the Associated Press, in MSNBC, in the Hill newspaper.
[00:04:02.846 --> 00:04:05.567]  In fact, will you guys pull me some of those from Thursday and Friday?
[00:04:05.647 --> 00:04:08.008]  I want to show viewers on air when we get to those.
[00:04:08.348 --> 00:04:09.449]  I don't want to just go from memory.
[00:04:10.549 --> 00:04:10.909]  Thank you.
[00:04:12.950 --> 00:04:14.711]  And, you know, headlines like
[00:04:16.508 --> 00:04:17.689]  New internet bill.
[00:04:18.649 --> 00:04:20.210]  Free speech kill switch.
[00:04:21.331 --> 00:04:23.312]  Saw that headline out of the hill.
[00:04:24.253 --> 00:04:26.434]  All of this is going on.
[00:04:26.454 --> 00:04:33.799]  In fact, I saw a headline in the Weekly Standard talking about the draconian attack on free speech and the internet.
[00:04:34.219 --> 00:04:45.787]  And then there's a separate article out today attacking myself and Ron Paul out of the same publication saying we're crazy because we weren't of tyranny.
[00:04:47.059 --> 00:04:50.163]  And we warn of the military being used against the American people.
[00:04:50.683 --> 00:04:56.470]  Even as it's in CBS News and ABC News that the NDAA does affect U.S.
[00:04:56.510 --> 00:05:04.640]  citizens and is the end of posse comitatus, the Weekly Standard is saying we're basically crazy and none of this is going on.
[00:05:06.124 --> 00:05:09.446]  Kinda like the tanks assaulting Waco saying, this is not an assault.
[00:05:10.047 --> 00:05:11.168]  A very wealthy U.S.
[00:05:11.188 --> 00:05:17.872]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:05:18.132 --> 00:05:20.414]  He says it will change everything about our lives.
[00:05:20.674 --> 00:05:23.236]  The way you shop, travel, invest, educate your children.
[00:05:23.436 --> 00:05:25.858]  And even how you take care of your health and your own family.
[00:05:26.058 --> 00:05:28.840]  Now, this man has made some outrageous predictions over the years.
[00:05:29.100 --> 00:05:31.202]  The crazy part is, he's usually right.
[00:05:31.422 --> 00:05:37.347]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:05:37.667 --> 00:05:40.869]  In fact, Barron's called his work a dire prophecy.
[00:05:41.049 --> 00:05:46.574]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:05:46.834 --> 00:05:48.135]  And it's a real eye-opener.
[00:05:48.475 --> 00:05:49.636]  I can't stress this enough.
[00:05:49.776 --> 00:05:52.298]  You should at least watch this free video online today.
[00:05:52.438 --> 00:05:56.479]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:05:56.639 --> 00:06:01.140]  You can find the video at www.endofamerica3.com.
[00:06:01.260 --> 00:06:03.721]  That's End of America, the number 3.com.
[00:06:03.861 --> 00:06:07.562]  Watch the free video at www.endofamerica3.com.
[00:06:07.722 --> 00:06:09.463]  That's endofamerica3.com.
[00:06:13.944 --> 00:06:17.905]  You are listening to an InfoWars.com Frontline Report.
[00:06:20.513 --> 00:06:24.834]  If you are receiving this transmission, you are the resistance.
[00:06:32.036 --> 00:06:40.678]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:45.794 --> 00:06:47.054]  Here we are, my friends.
[00:06:47.674 --> 00:06:48.295]  We're live.
[00:06:48.315 --> 00:07:02.277]  We'll be here for the next two hours, as we are every Sunday afternoon, or in the morning, or in the middle of the night, depending on your time zone, where you're living in the world, or any ships at sea tuning in to our transmission.
[00:07:03.118 --> 00:07:06.138]  It is 4.06 Central Standard Time.
[00:07:06.158 --> 00:07:14.020]  I am broadcasting to you from deep in the heart of Texas, Austin, as the introduction laid out.
[00:07:15.197 --> 00:07:19.198]  And it is Sunday, the 18th day of December, 2011.
[00:07:19.798 --> 00:07:28.620]  This is a very important broadcast today.
[00:07:29.280 --> 00:07:32.721]  Every broadcast I do, the weekday show, the Sunday show, they're all very important.
[00:07:33.681 --> 00:07:41.443]  They were important 17 years ago when I started out to try to warn people about globalization and this whole New World Order takeover system.
[00:07:43.823 --> 00:07:57.896]  But now, classical oppression, classical usurpation, the fact that our liberties are being usurped, taken over, destroyed, is undeniable.
[00:07:58.356 --> 00:08:03.701]  And then you have to ask the question and do the research, why is it happening and who is doing it?
[00:08:07.785 --> 00:08:10.007]  My job is getting a lot easier.
[00:08:12.952 --> 00:08:21.637]  It'd be basically like if you saw some kids playing on a train track, and you walked out to them and said, hey, there's a train coming at high noon.
[00:08:21.677 --> 00:08:24.179]  It's a bullet train, travels 150 miles an hour.
[00:08:25.440 --> 00:08:27.841]  You might want to get off the tracks, it's really dangerous.
