[00:00:03.924 --> 00:00:04.685]  I don't know.
[00:00:14.241 --> 00:00:14.601]  We're good to go.
[00:00:39.701 --> 00:00:39.781]  Yeah.
[00:00:55.762 --> 00:00:56.683]  Welcome, my friends.
[00:00:56.843 --> 00:00:58.064]  It is Sunday.
[00:00:58.904 --> 00:01:01.086]  That is Sunday, October 2nd, 2011.
[00:01:01.846 --> 00:01:05.889]  I'm Alex Jones joining you live from the road.
[00:01:05.909 --> 00:01:18.737]  We are going to have the regularly scheduled broadcast Sunday show that will be a best-of retransmission, also with some segments from Friday's InfoWars Nightly News.
[00:01:19.678 --> 00:01:22.420]  That will be on four to six today.
[00:01:22.820 --> 00:01:25.482]  But the information I've got for you is so important.
[00:01:26.203 --> 00:01:32.536]  That I am joining you from literally South Texas on the side of the highway.
[00:01:33.755 --> 00:01:40.278]  I'm sick and tired of the TSA sticking their hands down people's pants, grabbing on my genitals.
[00:01:40.358 --> 00:01:42.739]  I'm not going to let them molest my wife or children.
[00:01:43.159 --> 00:01:54.384]  So I've gotten an RV so that I can travel around the country and speak at different affiliates that we have and have local events because listeners have been requesting it and, quite frankly, demanding it.
[00:01:54.684 --> 00:01:58.446]  So this is our second maiden trial of the RV.
[00:01:59.987 --> 00:02:09.556]  Uh, and the onboard broadcasting system that we're going to be using probably about every two months or perhaps even more.
[00:02:10.056 --> 00:02:12.298]  I'm going to be out on the road live.
[00:02:12.959 --> 00:02:19.765]  And again, I'll go to local affiliates, do my show there or on the road and then speak in different towns and cities each evening.
[00:02:20.606 --> 00:02:26.529]  And I plan for these to be basically week-long trips every two months where I go to different parts of the country.
[00:02:27.169 --> 00:02:35.314]  The East Coast, the South, the Southwest, the North, the Northwest.
[00:02:35.334 --> 00:02:46.599]  We're going to go all over the United States and speak out against the globalists and meet with fellow Infowarriors and lovers of liberty all across the country.
[00:02:47.580 --> 00:02:47.720]  Now,
[00:02:49.110 --> 00:02:55.473]  This morning, at about 8 a.m., I decided to do this special transmission today at 2 o'clock.
[00:02:56.354 --> 00:02:56.714]  Central.
[00:02:57.214 --> 00:03:09.461]  And I called Erin Dykes, I called her IT people, I called Rob Jacobson, I called Paul Watson, and they all came in on Sunday so that we could bring you this information.
[00:03:09.821 --> 00:03:18.106]  The article that Paul Watson has written that is at InfoWars.com, PrisonPlanet.com, dealing with the Wall Street
[00:03:19.146 --> 00:03:35.721]  Occupation and what's really behind it Aaron Dykes and his posting he's in there at the office right now and our IT people right now in the studio bringing you this information and a lot of times I come on air months and months and months
[00:03:36.937 --> 00:03:59.599]  ahead of something big happening and predicted but then other times uh... big events begin to unfold and i sit back for a few weeks and don't really give you my take on it because i'm busy uh... really letting the information stew in my own mind and really studying uh... the situation before i
[00:04:00.820 --> 00:04:07.188]  Voice my, not opinion, but my well-researched view on something.
[00:04:08.490 --> 00:04:10.593]  And that's what I'm going to tell you here right now.
[00:04:11.154 --> 00:04:17.001]  Now, this is a very sophisticated, nuanced position because it's reality-based.
[00:04:17.805 --> 00:04:28.209]  And if I don't address it properly, it will actually play into the left-right controlled opposition paradigm that the globalists are pushing.
[00:04:28.669 --> 00:04:32.390]  So I want to be very, very clear about this.
[00:04:34.011 --> 00:04:36.692]  Wall Street has hijacked our republic.
[00:04:37.597 --> 00:04:39.940]  Wall Street is the opposite of free market.
[00:04:40.361 --> 00:04:45.928]  Wall Street, as it is today, is the opposite of what you would call true capitalism.
[00:04:46.068 --> 00:04:48.732]  It is crony capitalism or crony fascism.
[00:04:49.213 --> 00:04:51.816]  Insider monopoly capitalism.
[00:04:52.617 --> 00:04:56.500]  Which seeks to create communism and socialism in their own documents.
[00:04:56.540 --> 00:04:57.861]  Carl Quigley wrote about it, of course.
[00:04:58.321 --> 00:05:07.128]  People from the outside, like Gary Allen, whose son now runs Politico, was able to break it down and none dare call it a conspiracy back in the early 1970s.
[00:05:07.868 --> 00:05:11.711]  And of course, his book just basically mirrors what's admitted by Carl Quigley and others.
[00:05:12.012 --> 00:05:18.977]  But without getting too academic here with you today, I want you to listen to me very, very, very carefully.
[00:05:20.725 --> 00:05:26.286]  There are a lot of good people involved in this Occupy Wall Street movement.
[00:05:27.586 --> 00:05:30.247]  Wall Street is the problem.
[00:05:31.927 --> 00:05:37.268]  But it's a sophisticated problem, and the globalists have camouflaged themselves well.
[00:05:37.848 --> 00:05:42.389]  But if you do the research, it's ridiculous how they stick out like a sore thumb.
[00:05:42.409 --> 00:05:47.430]  It's like one of those hidden image paintings that you look at, and you don't see it.
[00:05:47.770 --> 00:05:50.030]  And once you see it, you can't believe you didn't see it before.
[00:05:51.618 --> 00:05:52.559]  So here's what's happening.
[00:05:53.220 --> 00:06:00.267]  In the last two weeks since this Occupy Wall Street thing has begun, we've interviewed Luke Radowsky on the ground, we've interviewed other activists that have been there.
[00:06:00.748 --> 00:06:05.413]  The police have been out of control, beating up peaceful protesters, arresting media people.
[00:06:06.013 --> 00:06:06.714]  It's been terrible.
[00:06:07.555 --> 00:06:12.396]  But you have to ask yourself, who is organizing the Occupy Wall Street movement?
[00:06:12.996 --> 00:06:25.799]  And of all the different groups that are there taking part in it, the libertarian groups, the conservative groups, the liberal groups, the socialist groups, the communist groups, that whole spectrum, in the Fedders, Ron Paul supporters, you name it.
[00:06:26.759 --> 00:06:30.880]  Of that entire spectrum of people, who originally organized it?
[00:06:33.465 --> 00:06:37.829]  And, B, who is the mainstream corporate whore media giving attention to?
[00:06:39.030 --> 00:06:41.411]  And then you'll understand what the goal of this is.
[00:06:41.431 --> 00:06:42.632]  Okay?
[00:06:42.913 --> 00:06:55.282]  But first, let me state our executive summary of this, and then I will go through the evidence of it, and we're gonna have more articles out tomorrow.
[00:06:55.683 --> 00:06:56.984]  I've been researching it for two weeks.
[00:06:57.104 --> 00:06:59.586]  I can now definitively tell you what this is.
[00:07:01.030 --> 00:07:07.214]  George Soros-linked and White House-linked groups, and known White House and Democratic Party operatives.
[00:07:08.035 --> 00:07:25.886]  And I watched these videos last night, I watched them this morning, and really confirmed that what Webster Tarpley said on my show Wednesday on InfoWars Nightly News, when he went through the fact that, look at the slogans, look at the groups, this is clearly a fake George Soros-ian kind of color revolution.
[00:07:26.326 --> 00:07:32.190]  The globalists create revolutions to counter themselves so they control the opposition.
[00:07:32.231 --> 00:07:36.534]  Now, I remember two weeks ago seeing the George Soros White House connections.
[00:07:37.134 --> 00:07:38.275]  But still I wasn't sure.
[00:07:38.735 --> 00:07:43.299]  Then you see the police attacking them, which is designed to make them martyrs.
[00:07:44.980 --> 00:07:48.883]  And of course there's other diverse groups there and just grassroots people there.
[00:07:49.003 --> 00:07:51.445]  So you can't color it with one brush.
[00:07:52.085 --> 00:07:55.388]  The point is, though, that
[00:07:56.713 --> 00:08:15.563]  The mainstream media, the New York Times, the Washington Post, the New York Daily News, CNN, all of them are giving this massive attention when they don't give in the Fed attention going after the real heart of the problem, the real top of the pyramid.
[00:08:16.263 --> 00:08:17.084]  So that's happening.
[00:08:19.198 --> 00:08:20.319]  So we've got that going on.
[00:08:20.800 --> 00:08:30.970]  The media is giving them attention, and they're giving attention to, and now it's happening in LA, Chicago, Boston, all over the country, we're seeing the Occupy Wall Street movement.
[00:08:31.430 --> 00:08:32.792]  And we'll go over their demands in a moment.
[00:08:34.642 --> 00:08:44.264]  They're all scripted with a Democratic Party type operative up front who says mindless slogans who were then mindlessly repeated by the crowd.
[00:08:44.324 --> 00:08:49.545]  So this is right out of Central Casting, right out of the Democratic Party, right out of George Soros.
[00:08:49.625 --> 00:08:50.846]  And we've done the research.
[00:08:51.206 --> 00:08:52.306]  It's all linked to those groups.
[00:08:52.366 --> 00:08:56.467]  We've got articles up at InfoWars.com and PrisonPundit.com breaking that down.
[00:08:56.847 --> 00:08:57.507]  More tomorrow.
[00:08:58.727 --> 00:09:00.528]  So why is the establishment doing this?
[00:09:01.718 --> 00:09:02.039]  Why?
[00:09:02.239 --> 00:09:07.187]  Because they know that the country has woken up to the private Federal Reserve hijacking the nation.
[00:09:07.587 --> 00:09:13.296]  We've woken up to the planned austerity to raise our taxes, cut our benefits, steal our Social Security.
[00:09:14.807 --> 00:09:22.970]  Unfunded mandates to the states, and then take that money and pay it to Wall Street through the banker bailouts, which are direct taxes to them.
[00:09:23.310 --> 00:09:25.090]  We see the same thing happening in Europe right now.
[00:09:25.411 --> 00:09:33.373]  Taxes going up, benefits going down, the public signed on to hundreds and hundreds of trillions of derivatives that the banks created.
[00:09:33.713 --> 00:09:35.314]  So it is the global banking cartel.
[00:09:36.897 --> 00:09:38.818]  And they know there's giant opposition to it.
[00:09:39.519 --> 00:09:45.822]  So just like they know the Arabs are about to rebel against Western dictators and other things, six months ago, the West knew that.
[00:09:46.382 --> 00:09:49.924]  They had all their Google actuaries and spy grids picking up the chatter.
[00:09:50.204 --> 00:09:51.565]  They could predict mass movements.
[00:09:51.865 --> 00:09:53.226]  They knew what derivatives prices.
[00:09:55.167 --> 00:10:00.390]  You know, imploding and all this happening and dollar devaluation globally that was driving up commodity prices.
[00:10:00.710 --> 00:10:13.157]  They knew people were being pushed to the edge of rioting, so they went in and triggered their color revolution operatives, just like George Soros and the Pentagon and the State Department have done all over Eastern Europe, and in Georgia, and have tried to do in Iran.
[00:10:13.538 --> 00:10:14.498]  That's all on record.
[00:10:14.518 --> 00:10:22.723]  They bragged they financed all of this, from Libya to Syria to the successes of places like Egypt.
[00:10:23.795 --> 00:10:25.196]  So now this is coming here.
[00:10:25.276 --> 00:10:40.369]  The banksters can't just come in and take over society and implode society and get the lion's share of tax money paid to them with the derivatives that they've mixed into the rest of our societal pension funds and systems and social security systems.
[00:10:41.050 --> 00:10:42.651]  They've got to lead the opposition.
[00:10:42.992 --> 00:10:44.153]  So what do they have happen?
[00:10:45.057 --> 00:10:46.118]  I've talked about this a lot.
[00:10:46.438 --> 00:10:49.300]  I mean, people are tuning in saying, well, a lot of this, Alex, we already knew and heard.
[00:10:49.600 --> 00:10:52.282]  I know, but now it's totally clear we're going to the next phase.
[00:10:52.322 --> 00:10:54.323]  So stay with me, and I'll sum it all up.
[00:10:54.343 --> 00:11:06.031]  But you know I don't just give little simple boilerplate chants like the George Soros people or Rush Limbaugh does on the right, all working for the same global interest to keep you on their left-right plantation.
[00:11:08.891 --> 00:11:14.358]  We have seen a total and complete mass buildup to what's happening now.
[00:11:15.519 --> 00:11:21.928]  And we've seen the Federal Reserve in the last three and a half years surveilling Ron Paul when he gives in the Fed speeches outside the Fed in
[00:11:23.396 --> 00:11:23.756]  Houston.
[00:11:24.657 --> 00:11:27.438]  The same day I was there with Ron Paul's brother, Wayne Paul.
[00:11:27.758 --> 00:11:31.839]  It's in the Obama deception, giving a speech in Dallas at the Fed.
[00:11:32.520 --> 00:11:34.901]  And it later got leaked and was confirmed that the U.S.
[00:11:35.061 --> 00:11:39.182]  Army was at all the in the Fed events, surveilling us as, quote, terrorists.
[00:11:39.802 --> 00:11:41.263]  And telling the military that we were terrorists.
[00:11:41.303 --> 00:11:45.685]  But good people inside the military knew what was happening and leaked the information, saying it was unconstitutional.
[00:11:46.912 --> 00:11:50.614]  That they were there surveilling us and had been told that we were basically bad people being demonized.
[00:11:51.335 --> 00:11:52.876]  It came out, of course, three weeks ago.
[00:11:52.996 --> 00:11:53.996]  We broke the news.
[00:11:54.517 --> 00:12:05.203]  Now it was in the New York Times and other publications over the weekend and Forbes that the Federal Reserve is, quote, surveilling everyone in real time with NSA-type technology on the web.
[00:12:05.583 --> 00:12:09.806]  Every comment, every blog comment, to whether you're a friend or foe of the Federal Reserve.
[00:12:10.206 --> 00:12:12.647]  This is the illegitimate government that's hijacked things.
[00:12:13.047 --> 00:12:26.932]  This is the oligarchy, the finance capitalists who are the opposite of free market, the admitted monopoly men, the John D. Rockefeller folks that said 100 years ago plus, 110 years ago or so, that competition was a sin.
[00:12:27.413 --> 00:12:30.954]  He said that in a newspaper in 1901, so exactly 110 years ago.
[00:12:32.967 --> 00:12:34.288]  These are the people.
[00:12:34.348 --> 00:12:37.330]  See, it confuses the grassroots socialists and liberals.
[00:12:37.370 --> 00:12:40.011]  They think rich guys are bad, take their money, we'll all get wealth.
[00:12:40.372 --> 00:12:41.913]  You could take all the wealth in the U.S.
[00:12:41.953 --> 00:12:42.733]  that isn't offshore.
[00:12:42.993 --> 00:12:43.874]  It's two trillion bucks.
[00:12:43.894 --> 00:12:45.555]  It wouldn't run the country for one year.
[00:12:47.338 --> 00:12:55.802]  They've got Warren Buffett out on every TV show I've seen for six months, ABC, CNN, saying, I don't pay taxes, that's wrong.
[00:12:56.422 --> 00:12:57.463]  Raise my taxes.
[00:12:58.243 --> 00:13:05.287]  What you don't know is, he openly gets the banker bailouts through the Bank of America that he owns part of, and of course, Wells Fargo.
[00:13:06.387 --> 00:13:15.231]  He helped, 12 years ago, on record, along with Bill Clinton and others, and Republican leadership, get rid of Glass-Steagall, and write the legislation.
[00:13:15.611 --> 00:13:16.492]  Listen to me carefully.
[00:13:17.865 --> 00:13:23.689]  And write the legislation exempting them from taxes offshore.
[00:13:24.189 --> 00:13:25.710]  That's why he pays zero percent.
[00:13:25.991 --> 00:13:26.651]  Or Google pays 2.4.
[00:13:27.792 --> 00:13:30.654]  Or all these other Wal-Mart overseas pays zero.
[00:13:31.174 --> 00:13:33.456]  Or General Electric pays zero.
[00:13:33.816 --> 00:13:34.616]  They're exempt.
[00:13:34.717 --> 00:13:41.601]  Then they come in and have the Democratic Party and their operatives and Obama get up and say, hey, 99 percent, you know,
[00:13:44.201 --> 00:13:46.942]  Isn't getting all this wealth, so raise taxes.
[00:13:47.522 --> 00:13:55.165]  That's the elite sicking the poor people on the middle class that actually buy things and do things and keep the economy going to get rid of it.
[00:13:55.545 --> 00:13:59.726]  Saying $125,000 a year individually, raise your taxes, you're rich.
[00:14:00.787 --> 00:14:03.568]  Husband and wife married, quarter million, $150,000 combined.
[00:14:07.344 --> 00:14:09.646]  Boom, you're gonna have your taxes raised.
[00:14:09.666 --> 00:14:24.897]  You know, when you actually look at what Obama and his boss, Warren Buffett, who campaigned for him and gave him all that money, they're openly pushing, just like in Europe, to raise taxes on the middle class to pay it offshore into the global central banks.
[00:14:25.397 --> 00:14:34.524]  And then they have a big gaggle of simple-minded protesters out there in the streets, running around, calling for socialism.
[00:14:34.644 --> 00:14:36.005]  I saw clips this weekend
[00:14:37.600 --> 00:14:40.108]  ...of Michael Moore being questioned by Luke Radowski.
[00:14:40.148 --> 00:14:41.532]  It's up at InfoWars.com.
[00:14:42.074 --> 00:14:44.662]  Kurt Neumeier wrote an article about it, titled...
[00:14:46.624 --> 00:14:51.566]  Michael Moore hearts, or I love, hearts the Federal Reserve.
[00:14:52.146 --> 00:14:54.666]  See, the Federal Reserve knows the public isn't sophisticated.
[00:14:55.367 --> 00:15:07.050]  And so they simply sick the giant mob of socialists and people that are worth $200 million like Michael Moore on regular people, making $50,000, $60,000, $70,000, $100,000, $200,000 a year.
[00:15:07.090 --> 00:15:09.091]  By the way, they've all had their taxes raised one way or the other.
[00:15:14.349 --> 00:15:17.473]  And so let me just simplify all of this right now.
[00:15:17.513 --> 00:15:19.015]  This is the part that needs to get out to everybody.
[00:15:19.656 --> 00:15:32.051]  This is the elite using class warfare to sick the underclass who's confused on what's left of the globalist, ultra-richest, hereditary enemy, the middle class that doesn't want to be under a monopoly system.
[00:15:33.212 --> 00:15:42.239]  And so they know there's a revolution brewing in this country, and the globalists are masters at co-opting and misdirecting it against their enemy, and that's the middle class.
[00:15:42.720 --> 00:15:52.287]  And when they're done with it, just like in Europe and everywhere else, if they have their way, they're going to raise taxes, state and federal, and bring in a VAT and a sales tax.
[00:15:52.307 --> 00:15:58.592]  They've got Neil Bortz and the former Federal Reserve head in Kansas City, the second most powerful position.
[00:15:58.612 --> 00:16:00.533]  It's New York Fed head, then Kansas City head.
[00:16:01.514 --> 00:16:05.036]  Siena City is the number two Federal Reserve Post.
[00:16:05.376 --> 00:16:15.540]  And of course they have Neil Bortz and his boss up there, Herman Cain from the Federal Reserve, pushing new sales taxes, VAT, on top of the income tax.
[00:16:15.560 --> 00:16:16.541]  They're not going to get rid of that.
[00:16:17.421 --> 00:16:18.622]  Bill O'Reilly's pushing it.
[00:16:19.602 --> 00:16:26.705]  I've got videos of Glenn Beck on O'Reilly and his own show saying VAT, sales tax, this is conservative now.
[00:16:26.965 --> 00:16:27.926]  Pay our fair share!
[00:16:29.324 --> 00:16:43.778]  All the corporate welfare, the tens of trillions to foreign banks, the $2 trillion overall in defense spending, $1.1 trillion in the public budget, $800 plus trillion in the supplemental, you're right at $1.9 or right at $2 trillion, counting some of the other black budget stuff.
[00:16:45.253 --> 00:16:46.674]  This is what we're talking about.
[00:16:46.954 --> 00:16:50.237]  And if we don't get this information out to people, they're going to win.
[00:16:50.257 --> 00:17:01.006]  They're going to take all the energy generated by their corruption, and their enraging of the public, and spin it around, and further raise taxes, and further bankrupt this country.
[00:17:01.287 --> 00:17:02.748]  Just like their carbon taxes would do.
[00:17:03.048 --> 00:17:09.634]  They're only selectively enforced against small and medium-sized companies, and that insider globalist corporations are exempt from.
[00:17:11.158 --> 00:17:29.721]  So I can say unequivocally that the groups in Occupy Wall Street, the groups that started it, the groups that are running it, the groups that are dominating it, the groups that are hissing at and pushing away in the fetters and Ron Paul types that are showing up at these events, they are Barack Obama, Democratic Party arm.
[00:17:30.941 --> 00:17:36.582]  Then the Republicans will play the part of opposing them, thus claiming Wall Street are the good guys when they're not.
[00:17:37.183 --> 00:17:39.523]  So they'll say, look at these communists, see Wall Street's good.
[00:17:40.745 --> 00:17:45.272]  Well, Wall Street are the ultimate communists taking our tax money through bailouts and being too big to fail.
[00:17:45.612 --> 00:17:51.881]  And then creating derivatives garbage and then threatening to bankrupt the entire system if we don't pay tens of trillions into them.
[00:17:52.222 --> 00:17:55.546]  So you've got all these well-meaning people out on the street
[00:17:56.803 --> 00:18:09.493]  You've got all these well-meaning people out there, all over the country now, and when we had in the Fed demonstrations with 300, 400, 500, 1,000, depending on the events, some had over 2,000 of them, no media coverage to speak of.
[00:18:09.693 --> 00:18:10.434]  Almost none.
[00:18:11.840 --> 00:18:12.520]  The U.S.
[00:18:12.680 --> 00:18:18.742]  Army surveilling us, pointing out this is who's imploding the economy, this is who's behind the bailouts.
[00:18:19.103 --> 00:18:20.183]  It's only going to get worse.
[00:18:20.243 --> 00:18:21.363]  Watch the Obama deception.
[00:18:21.383 --> 00:18:22.184]  It's free online.
[00:18:22.504 --> 00:18:23.204]  We cover it all.
[00:18:23.244 --> 00:18:25.765]  We predict in a few years it'll only get worse.
[00:18:26.125 --> 00:18:30.067]  They will announce the Bank of the World over the North America and over the Euro.
[00:18:30.307 --> 00:18:34.308]  They will raise all these taxes and have it paid into the bankers and it won't fix anything.
[00:18:34.708 --> 00:18:37.029]  And they will sic the mob on the middle class.
[00:18:37.529 --> 00:18:38.750]  It's all the Obama deception.
[00:18:38.790 --> 00:18:39.490]  Follow the Republic.
[00:18:40.745 --> 00:18:42.046]  We're now here at this point.
[00:18:42.687 --> 00:18:44.569]  I watched the Wall Street Group.
[00:18:44.970 --> 00:18:47.192]  I wanted to see if it was totally Sorosian run.
[00:18:47.232 --> 00:18:48.253]  I knew those elements were there.
[00:18:49.355 --> 00:18:50.756]  Now it's clear they created it.
[00:18:51.076 --> 00:18:52.218]  They've given it attention.
[00:18:52.478 --> 00:18:58.345]  They're calling it now in the Globalist publications, London Telegraph, New York Times.
[00:18:58.765 --> 00:18:59.846]  The revolution is here.
[00:19:00.207 --> 00:19:02.009]  They're branding this the revolution.
[00:19:03.359 --> 00:19:10.786]  They demonized the Tea Party because it isn't perfect, but it came out of Ron Paul libertarian roots, so it was the enemy, because it's anti-fed, anti-Federal Reserve.
[00:19:11.206 --> 00:19:12.047]  It got demonized.
[00:19:12.147 --> 00:19:13.148]  It got called radical.
[00:19:13.208 --> 00:19:14.169]  It got called extreme.
[00:19:14.309 --> 00:19:15.450]  It got called minority.
[00:19:15.890 --> 00:19:20.434]  It got demonized, and for a while they ignored it, but then they couldn't, so they just demonized it.
[00:19:21.095 --> 00:19:23.977]  When most polls actually show it about 65-70% popular.
[00:19:24.558 --> 00:19:34.025]  Now they're going to call the revolution a bunch of really, most of them, at least the ones I've seen as the yell leaders, totally empty-headed, zombie-like people.
[00:19:34.705 --> 00:19:41.530]  And we've got a CBS news piece linked up at InfoWars.com, just one of the ones I watched this morning, when I was 100% confirmed my worst fears.
[00:19:42.171 --> 00:19:48.435]  And it was just like a girl looking on a page going, and we 99% demand socialism!
[00:19:48.475 --> 00:19:49.116]  And then you cut to
[00:19:50.106 --> 00:19:52.627]  Warren Buffett going, it's wrong the rich don't pay anything.
[00:19:53.128 --> 00:19:54.108]  Raise my taxes!
[00:19:56.189 --> 00:19:59.151]  This is being broadcast on ABC News, CBS, CNN.
[00:19:59.451 --> 00:20:04.754]  These are all the channels that are basically exempt from taxes that get banker bailout money, your tax money.
