[00:00:22.076 --> 00:00:27.884]  Good evening and welcome to the Wednesday, December 28, 2011 edition of the InfoWars Nightly News.
[00:00:28.104 --> 00:00:28.865]  I'm Aaron Dykes.
[00:00:29.326 --> 00:00:33.111]  Now, coming up tonight, we have a powerful interview with Colonel Craig Roberts.
[00:00:33.511 --> 00:00:36.675]  He was involved in the Oklahoma City bombing investigation.
[00:00:37.076 --> 00:00:44.086]  And he's going to break down all kinds of aspects of this important case as detailed in the film A Noble Lie.
[00:00:44.486 --> 00:00:45.167]  We carry it.
[00:00:45.267 --> 00:00:45.828]  I've seen it.
[00:00:45.908 --> 00:00:46.609]  It's incredible.
[00:00:46.649 --> 00:00:48.111]  We'll talk more about that later.
[00:00:48.612 --> 00:00:52.277]  But tonight it is less than a week away from the Iowa caucuses.
[00:00:52.697 --> 00:00:53.697]  We're good to go.
[00:01:18.626 --> 00:01:18.846]  I think?
[00:01:41.135 --> 00:01:50.798]  Blasted Paul's record of systematic avoidance of reality and called him unthinkable as president, said he's a person who thinks the U.S.
[00:01:50.838 --> 00:01:58.581]  was responsible for 9-11, a person who wrote in his newsletter that the World Trade Center bombing of 93 might have been a CIA plot.
[00:01:58.601 --> 00:01:59.921]  Well, it's on tape, Gingrich.
[00:01:59.941 --> 00:02:09.044]  You're the one who can't deal with reality and says it doesn't matter if the Iranians have a nuclear program, even if it's going to raise the price of oil and drive us into World War III.
[00:02:09.784 --> 00:02:23.471]  Whatever you say, Gingrich, everyone's listening to you, even as Paul holds a slim lead over Romney in the first post-Christmas Iowa poll that's in the Hill, where they report with the Iowa caucus one week away.
[00:02:23.551 --> 00:02:25.572]  Ron Paul is standing his ground in Iowa.
[00:02:26.232 --> 00:02:32.617]  According to a public policy poll released Wednesday, leading the field with 24%, Romney closely behind at 20%.
[00:02:33.778 --> 00:02:49.711]  Then if you look at the actual public policy poll, Newt Gingrich has slid from at one time leading at 27% to 22% to 14% and then 13% over the course of four consecutive polls throughout a month.
[00:02:49.791 --> 00:02:53.795]  So he's really just drowning and he has a very unfavorable view as well.
