[00:00:00.449 --> 00:00:01.471]  Mainstream media.
[00:00:02.231 --> 00:00:03.332]  Government cover-ups.
[00:00:03.993 --> 00:00:04.794]  You want answers?
[00:00:05.575 --> 00:00:06.476]  Well, so does he.
[00:00:07.136 --> 00:00:10.760]  He's Alex Jones on the GCN Radio Network.
[00:00:11.321 --> 00:00:15.385]  And now, live from Austin, Texas, Alex Jones.
[00:00:20.583 --> 00:00:21.944]  I've got a lot on my mind.
[00:00:21.964 --> 00:00:23.445]  I know you've got a lot on your mind.
[00:00:23.465 --> 00:00:26.166]  We've got an important broadcast lined up for you today.
[00:00:26.186 --> 00:00:27.227]  Thank you for joining us.
[00:00:28.107 --> 00:00:30.549]  It is Monday, the 13th day of June, 2011.
[00:00:31.469 --> 00:00:35.812]  We're going to be live here for the next three hours today.
[00:00:37.112 --> 00:00:42.735]  Dominique Betting, the member of the Swiss Parliament, who did try to get into Bilderberg, will be joining us.
[00:00:42.775 --> 00:00:46.798]  Of course, a member of the European Union Parliament was beat up
[00:00:48.075 --> 00:00:50.076]  And we've got those reports.
[00:00:50.296 --> 00:00:53.518]  MEP assaulted by Bilderberg security to take legal action.
[00:00:53.538 --> 00:01:00.021]  And that's from the big Swiss national AP equivalent, Swiss Info.
[00:01:03.043 --> 00:01:06.685]  I'm gonna attempt to go over all this news today, and there's a lot of it, but this
[00:01:08.285 --> 00:01:16.392]  Eight years, Bilderberg was extremely historical and got more attention on it than any other Bilderberg group meeting in history.
[00:01:16.912 --> 00:01:23.778]  And people are asking, why are elected, quote, officials meeting with the Fortune 100 in secret, and what are they doing?
[00:01:24.198 --> 00:01:25.059]  Well, we know what they're doing.
[00:01:25.079 --> 00:01:31.584]  They're openly trying, through governments, to rob the wealth of the general population through, quote, bailouts.
[00:01:32.204 --> 00:01:37.469]  They are pushing monopoly capitalism or fascism, the opposite of the free market.
[00:01:38.229 --> 00:01:46.554]  And I've made a film, of course, in-game, Blueprint for Global Enslavement, detailing many of their admitted crimes, many of their own minutes, many of their own books they've written.
[00:01:46.614 --> 00:01:51.117]  Bilderberg Group members write books and brag about how they're setting up world government.
[00:01:52.698 --> 00:01:56.100]  And it's very exciting to go from the point of being made fun of
[00:01:57.549 --> 00:02:06.034]  A decade ago or more, if you talked about it, to now people knowing that it's a real situation and identifying the actual puppet masters, not the puppets.
[00:02:06.674 --> 00:02:11.357]  Bill Maher talking about it, CNN, Fox News, CNBC, Newsweek.
[00:02:17.659 --> 00:02:18.439]  They have been forced.
[00:02:18.479 --> 00:02:22.100]  Associated Press reported on it one hour after the meeting ended.
[00:02:22.660 --> 00:02:23.580]  They did leave early.
[00:02:23.600 --> 00:02:25.701]  They normally leave in the afternoon or even stay over until Monday.
[00:02:25.721 --> 00:02:28.462]  This is the earliest they've ever left, according to Jim Tucker.
[00:02:28.902 --> 00:02:30.842]  Some were helicoptering out by Saturday.
[00:02:30.902 --> 00:02:32.823]  There was a torch-lit procession.
[00:02:32.843 --> 00:02:37.724]  And they said, we're bringing candles to David Rockefeller's birthday.
[00:02:41.184 --> 00:02:52.717]  On midnight June 12th, that would be Saturday into Sunday night, we have video of that marching with their torches, like villagers coming to burn it down, but they were non-violent, it was making a point.
[00:02:54.319 --> 00:03:00.166]  Really good satire, a political satire in a way, saying, oh we're bringing you a birthday cake and we have these burning
[00:03:01.047 --> 00:03:04.070]  Tip torches as candles for you?
[00:03:04.590 --> 00:03:16.460]  And then the police backed off and weren't holding people back, you know, 300 yards like they were previously after three members of the Swiss Parliament showed up and delivered letters to the police chief and others and said, look, you will allow the demonstrators.
[00:03:16.980 --> 00:03:18.041]  You will allow the media.
[00:03:18.061 --> 00:03:19.282]  You'll stop harassing people.
[00:03:20.103 --> 00:03:21.023]  We have free speech here.
[00:03:21.904 --> 00:03:28.549]  Uh, and so the police, their body language, it wasn't that oppressive before, but it got very positive after that.
[00:03:29.029 --> 00:03:36.474]  But even I, at the point of watching villagers with their torches, I, I, I, this is some amazing stuff.
[00:03:37.175 --> 00:03:38.175]  This is some amazing stuff.
[00:03:38.195 --> 00:03:42.318]  And we'll, we'll play that video shot by We Are Change Switzerland coming up.
[00:03:42.779 --> 00:03:44.660]  Obviously, I'm not just going to cover, um,
[00:03:47.250 --> 00:03:48.971]  The whole Bilderberg situation today.
[00:03:49.411 --> 00:03:52.232]  There is just huge economic developments happening.
[00:03:53.612 --> 00:03:56.513]  Massive military developments in the Middle East.
[00:03:57.314 --> 00:04:02.215]  We also have a bizarre, bizarre report out of Texas.
[00:04:03.596 --> 00:04:09.418]  Remember that 60 Minutes piece three or four weeks ago, or a month ago, where they talked about domestic extremists?
[00:04:10.964 --> 00:04:14.325]  And now they're everywhere, and if you don't like the Federal Reserve, you're a terrorist.
[00:04:15.085 --> 00:04:17.826]  Well, here it is, KSAT Television out of Texas.
[00:04:18.307 --> 00:04:23.988]  We have domestic terrorism right here at our doorsteps at Captain Charlie Hicks of the Bandera County Sheriff's Office.
[00:04:24.729 --> 00:04:33.752]  And he went on to say, I have their press release here in my stack, he went on to say that it's terrible, they talk about liberty, they talk about freedom, these are terrorists.
[00:04:34.572 --> 00:04:36.553]  And you think you're reading a piece of satire.
[00:04:37.776 --> 00:04:38.376]  But it's not.
[00:04:38.416 --> 00:04:39.977]  They're doing it with a straight face.
[00:04:40.037 --> 00:04:50.604]  They're now all over the country, the feds are behind the closed doors training police this, but now it's shifting into the open, coming out of the closet that, man, these people are talking about freedom.
[00:04:50.624 --> 00:04:53.065]  These people are talking about, not liking the new world order.
[00:04:53.105 --> 00:04:53.926]  They're terrorists.
[00:04:54.505 --> 00:04:59.489]  You've heard Alex Jones talk about eFoods Direct and their highly nutritious, long-term, storable food.
[00:04:59.910 --> 00:05:01.171]  Believe me, it tastes great.
[00:05:01.391 --> 00:05:05.515]  Order any three of their qualified packs and you'll receive the fourth absolutely free.
[00:05:05.795 --> 00:05:08.217]  Let's say you order three of their one-week responder kits.
[00:05:08.477 --> 00:05:09.738]  You'll get the fourth week free.
[00:05:10.019 --> 00:05:12.861]  That's a $75 savings and a one-month supply.
[00:05:13.201 --> 00:05:14.142]  Are you kidding me?
[00:05:14.342 --> 00:05:20.388]  For the cost of one greasy, fast-food, supersized combo lunch, you can eat three hearty, delicious meals.
[00:05:20.828 --> 00:05:23.831]  And this offer is good for any of their quick fix supplies.
[00:05:24.171 --> 00:05:25.953]  This offer ends on June 22nd.
[00:05:26.113 --> 00:05:30.357]  eFoodsDirect is prepared for these troubled times and will ship your order within 48 hours.
[00:05:30.377 --> 00:05:30.578]  Call 800-409-5633.
[00:05:30.598 --> 00:05:32.559]  On the web, eFoodsDirect.com slash Alex.
[00:05:32.579 --> 00:05:33.741]  Your order deadline is June 22nd.
[00:05:40.547 --> 00:05:45.372]  To buy three and get one free, call 800-409-5633 on the web at efoodsdirect.com slash Alex.
[00:05:45.492 --> 00:05:49.256]  Get more food for your money at efoodsdirect.com slash Alex.
[00:05:58.351 --> 00:05:59.272]  Tyranny is here.
[00:05:59.612 --> 00:06:03.174]  The grim future foretold in 1984 has become reality.
[00:06:03.494 --> 00:06:05.796]  It really says that the state is God.
[00:06:05.956 --> 00:06:11.239]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:06:11.659 --> 00:06:17.883]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:06:18.303 --> 00:06:23.828]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:06:24.288 --> 00:06:27.971]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:06:28.471 --> 00:06:32.475]  Prepare to enter the secretive world of emergency dictatorship.
[00:06:32.755 --> 00:06:38.279]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
