[00:00:12.483 --> 00:00:15.364]  Hi, I'm Dr. Bob Bowman, Lieutenant Colonel, U.S.
[00:00:15.384 --> 00:00:15.985]  Air Force, retired.
[00:00:38.976 --> 00:00:43.399]  My PhD is in Aeronautics and Nuclear Engineering from Caltech.
[00:00:45.100 --> 00:00:54.127]  I flew 101 combat missions in Vietnam and directed all the Star Wars programs under Presidents Ford and Carter when their existence was secret.
[00:00:56.188 --> 00:01:08.617]  I'm National Commander of the Patriots, a non-profit organization devoted to a government which follows the Constitution, honors the truth, and serves the people.
[00:01:10.640 --> 00:01:23.525]  For the last couple of years of the Bush administration, one of the main goals of our organization, the Patriots, was to prevent an attack on Iran.
[00:01:25.386 --> 00:01:39.571]  I even wrote a letter to the Pentagon in September 2007, reminding the commanding generals and admirals that their oath of office
[00:01:40.709 --> 00:01:48.312]  is to protect and defend the Constitution of the United States of America against all enemies, foreign and domestic.
[00:01:49.992 --> 00:01:53.994]  Their oath is not to obey any order, no matter what.
[00:01:55.014 --> 00:02:08.499]  As a matter of fact, in the Nuremberg Principles, which the United States established at the end of World War II, we specifically state that soldiers
[00:02:09.306 --> 00:02:16.252]  of all ranks have not only the right but the duty to refuse an illegal order.
[00:02:16.813 --> 00:02:27.302]  And we executed Nazis who did the wrong thing and their defense was they were just following orders.
[00:02:30.845 --> 00:02:35.969]  In that letter to the Pentagon I told them that
[00:02:36.986 --> 00:02:55.176]  If Dick Cheney or somebody comes down to the Pentagon and says, go nuke Iran, they should not only refuse that order, they should arrest whoever gave it as a war criminal.
[00:02:56.977 --> 00:02:57.378]  Now that was 2007.
[00:02:57.418 --> 00:03:00.419]  Here we are a couple years later, and Iran
[00:03:06.047 --> 00:03:07.107]  is still on the table.
[00:03:08.688 --> 00:03:27.493]  It's true that we have perhaps folks in charge now who are less likely to go off half-copped and nuke Iran, but their threat of military action is still there.
[00:03:29.014 --> 00:03:32.755]  And what's worse, we have the Vice President of the United States
[00:03:33.840 --> 00:03:39.264]  Essentially giving Israel a green light to go do the dirty work themselves.
[00:03:40.464 --> 00:03:41.725]  And I think that's wrong.
[00:03:42.866 --> 00:03:59.537]  I think the word that we should be giving Israel, both publicly and privately, is if they initiate aggressive war against Iran or anybody else,
[00:04:01.849 --> 00:04:06.931]  That all USAID for Israel will cease immediately.
[00:04:08.592 --> 00:04:12.293]  For the last 27 years, I've been a full-time truth teller.
[00:04:14.094 --> 00:04:17.335]  And this has not endeared me to the establishment.
[00:04:19.155 --> 00:04:30.960]  I have been subject to bribes, blackmail, death threats, FBI, CIA, and IRS harassment.
[00:04:32.741 --> 00:04:34.382]  Three audits in two years.
[00:04:36.303 --> 00:04:36.964]  And what for?
[00:04:37.765 --> 00:04:38.785]  For telling the truth.
[00:04:39.646 --> 00:05:01.123]  As a matter of fact, when I blew the whistle on Reagan's Star Wars scheme, attempting to deploy offensive weapons disguised as defense for the purpose of regaining absolute military superiority and allowing the United States
[00:05:01.755 --> 00:05:06.138]  To execute a first strike against the Soviet Union.
[00:05:06.278 --> 00:05:07.199]  Aggressive war.
[00:05:07.219 --> 00:05:09.741]  A war crime.
[00:05:11.362 --> 00:05:16.746]  And only lose 20 million Americans in the process.
[00:05:16.766 --> 00:05:18.448]  That was their definition of victory.
[00:05:19.568 --> 00:05:22.671]  Well, I did speak out against it.
[00:05:23.391 --> 00:05:29.456]  And most of that was at the specific request of Reagan's own Joint Chiefs of Staff.
[00:05:31.801 --> 00:05:44.103]  I'd been speaking out on Star Wars and telling the truth in bits and pieces and briefing members of Congress and Senators on what was happening.
[00:05:44.963 --> 00:05:52.445]  And in 1982, several of my articles on Star Wars were published in the Congressional Record.
[00:05:53.025 --> 00:06:00.306]  But then in 1983, Reagan gave his infamous Star Wars speech in which he pretended to invent the whole thing.
[00:06:02.035 --> 00:06:16.104]  And shortly after that, Reagan's own Joint Chiefs of Staff called me into the Pentagon and pleaded with me to warn Congress and the American people about this military lunacy.
[00:06:16.424 --> 00:06:18.125]  And that's their words, not mine.
[00:06:20.066 --> 00:06:29.712]  You see, there was a gag order imposed by the Reagan administration on all military, all on active duty, and all those who retired
[00:06:31.172 --> 00:06:39.279]  During Reagan's administration, the only reason they had no hold on me was because I retired before Reagan took office.
[00:06:40.240 --> 00:06:53.432]  So the JCS said, you know, Bob, you directed all the Star Wars programs, you know what's going on, very few people in the world do, and you can tell folks.
[00:06:54.793 --> 00:06:57.035]  They pleaded with me also to warn
[00:06:58.312 --> 00:07:24.700]  uh... the senators about what the reagan administration was planning on doing with the shuttle and that's testing star wars weapons weapons designed to be fired from space against targets on the surface of the earth hitting them without warning destroying hard targets like missile silos and command bunkers totally without warning
[00:07:26.530 --> 00:07:37.393]  They wanted to test this out of the space shuttle, and the JCS thought this is going to confirm all the fears of the Soviet Union that the shuttle is just a weapon.
[00:07:38.494 --> 00:07:39.434]  So I did.
[00:07:39.674 --> 00:07:48.577]  I went to Congress and told the story, and I gave over 5,000 public lectures against Reagan's Star Wars speech.
[00:07:50.762 --> 00:07:53.043]  There were a lot of great adventures at that time.
[00:07:53.303 --> 00:08:00.546]  One of those speeches was in Moscow, where I debated Star Wars against U.S.
[00:08:00.806 --> 00:08:07.249]  Ambassador to the Soviet Union Jack Matlock, who had been one of Reagan's chief arms control negotiators.
[00:08:08.793 --> 00:08:25.965]  And after I devastatingly convinced everybody, including Matlock, that Star Wars would be absolutely useless as a defense against a Soviet attack, he admitted that, but said, wouldn't you like to have Star Wars if
