[00:00:20.083 --> 00:00:21.365]  Welcome ladies and gentlemen.
[00:00:21.605 --> 00:00:25.610]  I'm Aaron Dykes here with a special InfoWars.com report.
[00:00:25.990 --> 00:00:28.874]  We have breaking news from Gun Owners of America.
[00:00:29.354 --> 00:00:33.920]  Something that could mean the beginning of the end for the Second Amendment as we know it.
[00:00:34.420 --> 00:00:38.125]  It could also mean the creation of a dictatorship over Congress.
[00:00:38.525 --> 00:00:39.407]  I'm talking about
[00:00:39.847 --> 00:00:53.436]  The attempt to put gun control legislation into this new body known as the Super Congress, which would allow a committee to essentially rule on gun issues, taking away much of the power of Congress.
[00:00:53.816 --> 00:00:56.598]  The report here comes from today, August 1st, 2011.
[00:00:59.761 --> 00:01:04.382]  The title is Congress to Decide Whether Super Congress Could Impose Gun Control.
[00:01:04.802 --> 00:01:19.587]  This all comes out, of course, from the debt ceiling report where gun owner registration, bans on semi-automatic firearms, the adoption of UN gun control treaty, all these issues could well be decided in the next 24 hours.
[00:01:21.027 --> 00:01:30.509]  That's because both houses of Congress will be voting on a debt ceiling bill that establishes a legislative committee with tremendous powers.
[00:01:31.109 --> 00:01:34.689]  We're talking about an elimination of the standard checks and balances.
[00:01:35.270 --> 00:01:40.471]  The Speaker of the House would no longer be able to pull legislation and keep it from coming to the floor.
[00:01:40.851 --> 00:01:48.172]  Likewise, the Senate would no longer be able to filibuster legislation and there'd be no debates over amendments and everything else.
[00:01:48.832 --> 00:01:52.916]  Straightforward, there would be no Senate filibuster on the product, they report.
[00:01:52.996 --> 00:01:55.157]  The Speaker could not stop a vote in the House.
[00:01:55.618 --> 00:02:09.450]  Instead, a 12-member body in the super-Congress, above the Congress, but bipartisan with six Democrats and six Republicans, would bring legislation to a head, and then there would simply be a yay or nay vote.
[00:02:09.530 --> 00:02:12.913]  It's another version of the same fast-tracking legislation
[00:02:13.473 --> 00:02:23.860]  We've seen with a lot of the World Trade Organization and globalization schemes they've had going on which really gets their program, the global program, moving forward.
[00:02:23.880 --> 00:02:37.370]  Of course they've eyed gun control for a long time and now there's extremely alarming news coming out of Gun Owners of America that this new body coming out of this debt ceiling debate will be used to control our guns.
[00:02:37.810 --> 00:02:38.771]  Alex Jones will have
[00:02:39.531 --> 00:02:41.553]  Larry Pratt of Gun Owners of America on later.
[00:02:41.973 --> 00:02:43.834]  But more on this super Congress.
[00:02:43.895 --> 00:02:52.100]  It's really a seizing of the constitutional powers that have been handed to Congress, set up by the founders with intent to keep checks and balances.
[00:02:52.140 --> 00:02:55.082]  You never really want super efficient government.
[00:02:55.122 --> 00:02:56.624]  That is dictatorship.
[00:02:57.344 --> 00:03:06.893]  In its most raw form and we've already seen them talking about moving the power of the purse to the executive branch, giving the president the authority to decide how much the debt is.
[00:03:07.333 --> 00:03:15.981]  Now there's a reason that Congress has that power to decide how much money is spent and really this whole debt ceiling issue is a bait and switch.
[00:03:16.382 --> 00:03:19.665]  Number one, they're only going to cut about a trillion now.
[00:03:20.605 --> 00:03:22.066]  If they come to this agreement.
[00:03:22.126 --> 00:03:25.428]  But moreover, this joint committee is going to have all these new powers.
[00:03:25.488 --> 00:03:28.490]  It's going to be really tricky for our country.
[00:03:28.850 --> 00:03:32.292]  And further, our credit rating may be downgraded anyway.
[00:03:32.913 --> 00:03:35.434]  And again, it'll only be a paltry $1 trillion.
[00:03:36.155 --> 00:03:45.180]  The real story here is that Congress continues, just as Paul Craig Roberts has reported, in disastrous outcomes from an orchestrated economic crisis.
[00:03:46.781 --> 00:03:48.662]  They will continue to offshore jobs.
[00:03:48.702 --> 00:03:51.602]  They will continue to erode manufacturing.
[00:03:51.702 --> 00:03:58.985]  These globalization policies, that's what's really killing both the tax base and the wealth of the middle class and Americans in general.
[00:03:59.445 --> 00:04:02.486]  And more importantly, where's the cuts in military spending?
[00:04:02.786 --> 00:04:03.706]  We've geared up from
[00:04:04.326 --> 00:04:17.529]  First two wars, Iraq and Afghanistan, to now basically five wars, including Libya, the bombing of Yemen, and the bombing of Pakistan, as well as bases around the world, that's where money could really be cut.
[00:04:17.649 --> 00:04:29.972]  Instead, they've set up this unconstitutional new body known as the Super Congress, and if they don't come to the agreements to make the cuts by Thanksgiving, they're saying, it will be the entitlement programs that suffer.
[00:04:30.532 --> 00:04:32.973]  And sure, there's a lot of dependency going on,
[00:04:33.533 --> 00:04:36.756]  But really, they need to look at the military-industrial complex.
[00:04:37.136 --> 00:04:42.040]  And you've seen it being called treason by LaRouche and others.
[00:04:42.740 --> 00:04:46.984]  And what they're really going to do is just continue to de-industrialize the U.S.
[00:04:47.024 --> 00:04:47.524]  economy.
[00:04:48.305 --> 00:04:51.187]  Here they have bulldozed the new way to foreclose.
[00:04:51.247 --> 00:04:52.528]  Too many homes on the market.
[00:04:52.868 --> 00:05:00.835]  So now a lot of the banks are going to simply increase demand by cutting the production of houses, the availability of houses.
[00:05:01.495 --> 00:05:08.419]  Just shows you where the economic tyranny is going on and what a farce the moves by government are undertaking.
[00:05:08.819 --> 00:05:18.303]  But more on the gun control front, we've also had this week a special video report that Alex Jones just released last night titled, Obama Launches Gun Grab.
[00:05:18.604 --> 00:05:24.706]  And that was on the heels of a special exclusive report written by Paul Joseph Watson and myself, Aaron Dykes, on Friday.
[00:05:24.726 --> 00:05:28.188]  ATF intimidates gun owners with home visits.
[00:05:28.308 --> 00:05:29.409]  Now they've sent out a letter
[00:05:30.029 --> 00:05:47.669]  By executive decree, by fiat, through the ATF, asking gun owners, asking gun dealers to fill out reports on anyone who buys more than two guns of several kinds of guns, including rifles, handguns, you name it, all in the name of cutting down on these drug gangs who
[00:05:48.169 --> 00:05:48.649]  We're good.
[00:06:01.500 --> 00:06:14.932]  It's a false flag to shut down the free trade of guns, as I said, to clamp down on gun shops, and then to move buyers who will be placed under suspicion on no-buy lists.
[00:06:15.352 --> 00:06:16.773]  It's all unconstitutional.
[00:06:16.793 --> 00:06:20.396]  They tried to introduce these bills in the House and the Senate.
[00:06:20.877 --> 00:06:21.838]  They did not pass.
[00:06:22.398 --> 00:06:35.988]  Now they're just issuing it as a policy through the executive branch under the ATF, total tyranny, and then if the Super Congress is established and they could just push these gun control votes, it'll be very hard to stop them.
[00:06:36.128 --> 00:06:48.517]  As we mentioned earlier, a lot of the procedures that the founders put in place to help check and balance these overreaches of power will be removed and it's just simple though, it's all unconstitutional.
