[00:00:22.403 --> 00:00:23.643]  Good evening and welcome.
[00:00:23.723 --> 00:00:24.863]  It is Friday, November 18, 2011.
[00:00:25.564 --> 00:00:28.504]  This is the InfoWars Nightly News.
[00:00:28.984 --> 00:00:29.824]  I'm Aaron Dykes.
[00:00:30.004 --> 00:00:31.525]  Alex will be back next week.
[00:00:31.845 --> 00:00:39.766]  He's out on location covering an important story related to the United Nations takeover of parks and wildlife areas.
[00:00:40.306 --> 00:00:47.067]  And we have a large update tonight covering a lot of that material, and we'll cover more in the future as well.
[00:00:47.528 --> 00:00:49.608]  But first, let's get into the news.
[00:00:50.368 --> 00:00:54.390]  In Europe all things dealing with the debt crisis are coming undone.
[00:00:54.830 --> 00:01:02.253]  Kurt Nemo reports that there are ECB riots beginning in Italy as globalist Super Mario forces austerity.
[00:01:02.593 --> 00:01:07.916]  Now this is an out-and-out Bilderberg and trilateral member and he's instituted a new quote
[00:01:08.616 --> 00:01:12.137]  Uh, technocratic government to impose austerity measures.
[00:01:12.498 --> 00:01:21.961]  On his first day in office, the Bankster Prime Minister of Italy, Mario Monti, told Italians they could expect to be rolled by ECB banksters, European Central Bank.
[00:01:22.501 --> 00:01:29.664]  As we noted last week, Mario is a super globalist, a trilateralist, Bilderberger, and former Bankster Francesco San Paolo.
[00:01:30.024 --> 00:01:34.466]  His job is to bring IMF-style austerity to the people of Italy that
[00:01:34.966 --> 00:01:36.808]  Berlusconi cleared the way for.
[00:01:37.228 --> 00:01:48.857]  Specifically, this will include new taxes and quote, incentives for free traders looking to buy up Italy's public infrastructure for pennies on the dollar of the same transfer back to the private sector.
[00:01:49.297 --> 00:01:52.020]  They always do, not just anyone in the private sector.
[00:01:52.680 --> 00:02:19.149]  And so, blogger J. Brad Hicks has noted that the Deutsche Bank and German banks loaned huge sums of money to Greece and Italy, knowing for a fact that at least half of the loan money was being stolen by wealthy personal friends and business partners of government officials, not caring, of course, because they knew the European Central Bank would enforce, quote, austerity, demanding that people who didn't benefit from the loans would be the ones to pay it back, and thus
[00:02:20.249 --> 00:02:41.442]  Under the reign of Super Mario, Mario Monti, the Bilderberg insider, the IMF riot has morphed into the ECB riot and people were in Turin as well as Milan protesting against rule by bankers and this technocratic government set up by unelected Mario Monti, certainly it is rule by bankers.
