[00:00:28.151 --> 00:00:28.711]  Good evening.
[00:00:28.791 --> 00:00:30.872]  It is InfoWars Nightly News.
[00:00:30.952 --> 00:00:37.614]  The date is the 29th day of September 2011 on this Thursday night transmission.
[00:00:38.114 --> 00:00:46.036]  Coming up, we've done a boil down of an interview we did with Dr. Paul Conant on the documented dangers of fluoride in the water.
[00:00:46.656 --> 00:01:05.487]  And we have several experts in studio tomorrow night and a report we've been working on for over a week on the dangers of fluoride, including footage shot inside the Austin water treatment plant and restaurants in Austin that are putting up signs saying they have special filtration to have fluoride-free water.
[00:01:05.807 --> 00:01:06.748]  So the revolution
[00:01:07.148 --> 00:01:17.174]  Against this forced toxic waste medication that's put in our water supply that will be aired tomorrow night on the Friday edition, very special edition of InfoWars.
[00:01:17.214 --> 00:01:17.694]  Nightly News.
[00:01:17.734 --> 00:01:25.939]  It's so important for you, members of presentplanet.tv viewers, to get this report tonight and tomorrow night out to everybody you know.
[00:01:25.999 --> 00:01:27.840]  And it is you out there that are making this possible.
[00:01:28.180 --> 00:01:29.181]  Then Mike Adams,
[00:01:29.781 --> 00:01:37.926]  With some incredible revelations and a challenge, he's announcing four environmentalists coming up at the end of tonight's transmission.
[00:01:38.186 --> 00:01:41.228]  But first, some of the top stories tonight.
[00:01:42.749 --> 00:01:46.351]  I've seen this hundreds of times in just the last few years, and it happened again.
[00:01:47.557 --> 00:01:49.398]  You always hear the big news announcements.
[00:01:49.438 --> 00:01:51.818]  My God, a guy wanted to blow up the Capitol and the Pentagon.
[00:01:52.379 --> 00:02:02.622]  And then you learn, and they admit, that the government basically sawed out a nut, gave them the little airplane, gave them the plastic explosive, gave them the guns, gave them the hand grenades.
[00:02:03.442 --> 00:02:05.482]  And he was being led by the FBI.
[00:02:05.502 --> 00:02:16.044]  So the FBI has stopped their own terror plot, kind of like in 1993 with the first World Trade Center attack, where they cooked the bomb, trained the driver, and let it all go forward.
[00:02:16.084 --> 00:02:18.445]  That was all confirmed at the time.
[00:02:18.665 --> 00:02:21.245]  Absolutely amazing that that's going on.
[00:02:21.585 --> 00:02:30.287]  You know, we've been covering the Occupy Wall Street movement that's quite diverse, that's been happening now for almost two weeks there in Lower Manhattan.
[00:02:31.167 --> 00:02:41.297]  We've since seen a video of women just trying to videotape people being arrested for no reason, being pepper sprayed by Tony Bologna.
