[00:00:00.009 --> 00:00:00.189]  I think?
[00:00:19.033 --> 00:00:35.229]  Semi-automatic firearms by the thousands to Mexico in an attempt to then track the weapons back into the United States and connect them to violence in Mexico so the federal government could call for a total ban on all semi-automatic firearms as they have now done.
[00:00:35.249 --> 00:00:36.631]  This is incredible.
[00:00:37.921 --> 00:00:39.882]  Another example of staged terror.
[00:00:39.942 --> 00:00:43.863]  Another example of a frame-up, this time targeting the Second Amendment.
[00:00:44.583 --> 00:00:54.286]  And CNN, the Houston Chronicle, you name it, has now reported on the fact that over 28,000 people have been killed in Mexico in the last two years.
[00:00:54.706 --> 00:00:57.527]  That the Southwest in the United States is now
[00:00:58.587 --> 00:01:02.673]  More dangerous than the worst areas of Eastern Europe for kidnapping.
[00:01:03.074 --> 00:01:08.862]  Mass graves have been found all over Mexico and on the Texas and California-Nevada border with dead children.
[00:01:09.403 --> 00:01:14.711]  It's now been confirmed that Western-trained, US-trained Los Zetas pull over buses
[00:01:15.111 --> 00:01:17.614]  Full of Mexican civilians, men, women and children.
[00:01:18.015 --> 00:01:19.216]  Rape the women and kill them.
[00:01:19.596 --> 00:01:20.538]  Kill the old people.
[00:01:20.878 --> 00:01:25.423]  And take the teenagers and have them fight to the death in gladiatorial games.
[00:01:25.784 --> 00:01:27.326]  A form of trauma-based mind control.
[00:01:27.686 --> 00:01:31.330]  They then take the winners and train them as assassins.
[00:01:32.031 --> 00:01:39.854]  So understand, more people are dying a year on the Texas-Mexico border than died each year in Vietnam.
[00:01:39.974 --> 00:01:42.095]  A true war is going on.
[00:01:42.415 --> 00:01:49.138]  A completely collapsed society, a failed state, expanding into the United States, and it's not even on the radar.
[00:01:49.398 --> 00:01:50.698]  The media barely reports it.
[00:01:50.898 --> 00:01:52.679]  They've got their own giant armored vehicles.
[00:01:52.739 --> 00:01:56.801]  It's a full-on war financed by the criminal megabanks that are on record
[00:01:57.521 --> 00:02:12.105]  laundering more than $376 billion in just the last few years, are waging a war of drug consolidation, knocking out their competition in Mexico as the Latin American drugs are fed through Southern North America.
[00:02:13.045 --> 00:02:14.185]  World War III is here.
[00:02:14.765 --> 00:02:17.326]  The whole world is going into crises.
[00:02:17.686 --> 00:02:21.887]  The domestic police state is unfolding against the people of our Republic.
[00:02:22.984 --> 00:02:24.686]  We must take back Washington.
[00:02:24.706 --> 00:02:26.087]  We must take back our states.
[00:02:26.387 --> 00:02:40.260]  We must identify the fact that offshore private corporations have now hijacked our government and are using it as an instrument of global destabilization to bring in their world government on the ashes of our once free society.
[00:02:41.221 --> 00:02:46.945]  All of you Democrats that loved rebuking Bush for war, I certainly rebuked it as a constitutionalist.
[00:02:47.225 --> 00:03:00.574]  But all of you that thought it was trendy to be anti-war, now is the time to understand that we are at a serious crossroads and that Bush was only laying the groundwork for the next puppet that would come, Obama.
[00:03:01.194 --> 00:03:06.738]  Obama, the man of peace, the man of desolation, death, and destruction.
[00:03:07.499 --> 00:03:10.321]  This war that is about to engulf the world
[00:03:11.101 --> 00:03:17.222]  ...will be one of the most destructive, if not the most destructive, in human history, and could lead to thermonuclear war.
[00:03:17.882 --> 00:03:19.403]  Please warn everyone you know.
[00:03:19.863 --> 00:03:22.623]  World War III is now upon us.
[00:03:25.964 --> 00:03:28.685]  Ask yourselves, what are you doing in this time of great challenge?
[00:03:29.605 --> 00:03:31.165]  What are you doing to unlock mines?
[00:03:33.086 --> 00:03:40.087]  Go to InfoWars.com and PrisonPlanet.tv for the latest headlines and cutting-edge information.
[00:03:44.940 --> 00:03:49.103]  That is Alex Jones on Obama starting World War III.
[00:03:49.163 --> 00:03:50.785]  Extremely disturbing stuff.
[00:03:51.225 --> 00:03:53.667]  You can see that at the Alex Jones channel.
[00:03:53.707 --> 00:03:57.190]  YouTube.com slash the Alex Jones channel.
[00:03:57.630 --> 00:04:01.714]  And of course it's going to go out also in the InfoWars Insider newsletter.
[00:04:01.754 --> 00:04:03.995]  We're going to be back after that to break it down.
[00:04:04.136 --> 00:04:06.377]  And then coming up, Paul Joseph Watson.
[00:04:06.818 --> 00:04:08.859]  Later in the broadcast, Bob Chapman.
[00:04:09.340 --> 00:04:09.940]  Stay tuned.
[00:04:10.000 --> 00:04:11.742]  This is A Day Long Remembered.
[00:04:17.697 --> 00:04:22.658]  You've heard Alex Jones talk about eFoods Direct and their highly nutritious, long-term, storable food.
[00:04:23.078 --> 00:04:24.338]  Believe me, it tastes great.
[00:04:24.578 --> 00:04:28.679]  Order any three of their qualified packs and you'll receive the fourth absolutely free.
[00:04:28.959 --> 00:04:31.380]  Let's say you order three of their one-week responder kits.
[00:04:31.640 --> 00:04:32.900]  You'll get the fourth week free.
[00:04:33.180 --> 00:04:36.021]  That's a $75 savings and a one-month supply.
[00:04:36.381 --> 00:04:37.301]  Are you kidding me?
[00:04:37.501 --> 00:04:43.542]  For the cost of one greasy, fast-food, super-sized combo lunch, you can eat three hearty, delicious meals.
[00:04:44.002 --> 00:04:47.004]  And this offer is good for any of their quick fix supplies.
[00:04:47.344 --> 00:04:49.505]  This offer ends on June 22nd.
[00:04:49.625 --> 00:04:53.528]  eFoodsDirect is prepared for these troubled times and will ship your order within 48 hours.
[00:04:53.548 --> 00:04:55.169]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[00:04:55.269 --> 00:04:58.050]  Your order deadline is June 22nd to buy three and get one free.
[00:04:58.090 --> 00:05:00.732]  Call 800-409-5633 on the web eFoodsDirect.com slash Alex.
[00:05:12.840 --> 00:05:16.570]  Get more food for your money at efoodsdirect.com slash alex
[00:05:17.182 --> 00:05:23.886]  Iodine Protection Packs from HempUSA.org are now in stock for immediate delivery worldwide.
[00:05:24.147 --> 00:05:34.873]  Our Iodine Protection Packs include Micro Plant Powder, Green Life Kelp, Red Palm Oil, and our clear Roll-On Iodine that will feed the body the iodine it needs.
[00:05:35.154 --> 00:05:40.717]  All Iodine Protection Packs are in stock, save you money, and ship for free in all 50 states.
[00:05:40.977 --> 00:05:43.619]  Visit HempUSA.org or call 908-691-2608 today!
[00:05:46.641 --> 00:05:55.907]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, and carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:05:55.967 --> 00:05:56.708]  This capitalism?
[00:05:56.768 --> 00:06:02.912]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:06:03.032 --> 00:06:03.853]  Hi, Ted Anderson.
[00:06:03.893 --> 00:06:06.995]  I'm placing a silver dollar in a book explains our monetary system.
[00:06:07.155 --> 00:06:07.935]  Call for your copy 800-686-2237.
[00:06:07.955 --> 00:06:09.016]  It's time to understand the system.
[00:06:09.036 --> 00:06:09.296]  Call 800-686-2237.
[00:06:09.356 --> 00:06:09.696]  That's 800-686-2237.
[00:06:16.821 --> 00:06:21.064]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:06:21.385 --> 00:06:21.985]  Number 1.
[00:06:22.305 --> 00:06:25.447]  New climate legislation could easily double or triple your electric bill.
[00:06:25.728 --> 00:06:26.288]  Number 2.
[00:06:26.588 --> 00:06:31.132]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:06:31.472 --> 00:06:31.912]  It's true.
[00:06:32.212 --> 00:06:36.756]  Total government control of electricity in the name of smart grid technology is coming.
[00:06:37.076 --> 00:06:37.636]  Number 3.
[00:06:37.897 --> 00:06:41.179]  In some areas of the country, the power grid is dangerously overloaded.
[00:06:41.479 --> 00:06:45.182]  And now, new socialist legislation is only compounding the problem.
[00:06:45.382 --> 00:06:45.923]  Number 4.
[00:06:46.183 --> 00:06:48.545]  Dangerous weather is always a threat to local grids.
[00:06:48.945 --> 00:06:52.328]  Every year, thousands of families lose their power from weather-related outages.
[00:06:52.628 --> 00:06:52.829]  Number 5.
[00:06:53.409 --> 00:06:57.332]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:06:57.573 --> 00:07:02.317]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:07:02.597 --> 00:07:06.638]  You can get more information at www.mysolarbackup.com.
[00:07:06.778 --> 00:07:08.338]  That's mysolarbackup.com.
[00:07:08.558 --> 00:07:10.659]  Remember, the government doesn't own the sun.
[00:07:10.819 --> 00:07:13.080]  So go to mysolarbackup.com or call 1-877-327-0365.
