[00:00:04.989 --> 00:00:06.390]  I am absolutely honored
[00:00:30.612 --> 00:00:55.678]  To introduce to you your guest speaker who is a pioneer, let me just say this and I'm not kidding, in the pantheon, the pantheon of radio greats from Rush to Stern, people, name it, and our forebears, Alex Jones will be there because what he's doing is redefining it.
[00:00:55.678 --> 00:00:58.019]  Ladies and gentlemen, Alex Jones.
[00:00:59.462 --> 00:01:00.523]  We're good to go.
[00:01:28.260 --> 00:01:31.322]  It is, as everybody does, but I've definitely got to get him on the radio now.
[00:01:31.322 --> 00:01:33.002]  That was awesome.
[00:01:33.002 --> 00:01:37.825]  And he did steal a lot of my thunder because he's just recognizing reality.
[00:01:37.825 --> 00:01:41.347]  First off, I want to thank everybody for inviting me and the folks that run Talkers.
[00:01:41.347 --> 00:01:48.330]  I want to thank Ted Anderson for the last 14 years backing me up with my radio show as it's grown.
[00:01:48.330 --> 00:01:54.853]  And it's great to be here in New York, and I'm glad I flew in after it cooled down a bit because, you know, it's cold down there in Texas.
[00:01:54.853 --> 00:01:55.634]  We can't handle the heat.
[00:01:56.505 --> 00:02:05.413]  I think that Lionel really encapsulated at the end of his speech, where I'm going to begin, and that is there is a great transformation happening.
[00:02:05.413 --> 00:02:06.915]  I mean, everybody knows that.
[00:02:06.915 --> 00:02:12.019]  And I've been invited here because folks in talk radio realize that there's a storm going on.
[00:02:12.019 --> 00:02:13.841]  Well, actually, that's just the front edge.
[00:02:13.841 --> 00:02:21.588]  The real storm is coming and the landscape of the future is being formed right now.
[00:02:22.884 --> 00:02:25.385]  And again, all of that is a basic truth that you know.
[00:02:25.385 --> 00:02:44.210]  What's happening is, the social engineers, Edward Bernays and others, got a jump on it and realized it, and the Department of War realized it, and they all wrote books, and they said we're going to basically standardize humanity in the same way that Henry Ford was designing the assembly line.
[00:02:44.210 --> 00:02:44.790]  Okay?
[00:02:44.790 --> 00:02:48.191]  And so what's happened, because of the internet that DARPA and the NSA set up,
[00:02:48.561 --> 00:02:57.610]  They openly said in the 60s, this'll control everything, we'll track everything in reality, it'll be a total panoptagon of surveillance and control, so that we can carry out our engineering.
[00:02:57.610 --> 00:02:59.571]  And this is all public.
[00:02:59.571 --> 00:03:07.759]  And they said we'll keep people in this tiny reality while the technocracy develops a separate, breakaway civilization.
[00:03:07.759 --> 00:03:11.683]  And they call that the New World Order banking cartel.
[00:03:12.243 --> 00:03:38.772]  But what's actually happening through that system and through the claim of national security, a whole nother world of technology, black ops systems has been developed and the whole ruse of terrorism is the pretext to put the clamp down on the population and then also begin to basically come out in the open with the system where you have the
[00:03:40.267 --> 00:03:43.669]  Trusted travelers, the normal travelers, and the untrusted travelers.
[00:03:43.669 --> 00:03:46.111]  And no one knows how you get on those magical lists.
[00:03:46.111 --> 00:03:47.572]  It's a new class system.
