[00:00:26.035 --> 00:00:32.323]  Good evening and welcome to the Monday, October 17, 2011 edition of InfoWars Nightly News.
[00:00:32.343 --> 00:00:41.133]  I'm Aaron Dyk sitting in as Alex is away on assignment, but he will join us later in the program to discuss a number of issues via Skype.
[00:00:41.173 --> 00:00:43.056]  We also have Jeffrey M. Smith.
[00:00:43.516 --> 00:00:50.824]  One of the leading anti-GMO researchers and critics who will discuss the powerful new film, Scientists Under Attack.
[00:00:51.245 --> 00:00:57.051]  But first, an update on what many intelligence experts have called a bad Hollywood script.
[00:00:57.071 --> 00:01:03.077]  That is the fake assassination plot that was allegedly to be carried out against a Saudi ambassador.
[00:01:05.353 --> 00:01:09.135]  That has now led to huge maneuvers targeted against Iran.
[00:01:09.615 --> 00:01:09.895]  U.S.
[00:01:09.915 --> 00:01:12.256]  begins huge military maneuvers aimed at Iran.
[00:01:12.336 --> 00:01:27.622]  Battle-ready troops on standby as tensions rise following dubious assassination plot, drawing us closer and closer to a very dangerous war with Iran that they've been eyeing for some time and what would most likely become a larger war.
[00:01:27.802 --> 00:01:29.783]  Call it World War III or what you will.
[00:01:30.323 --> 00:01:51.735]  Meanwhile, a senior Pakistani intelligence official alleges that Arbabsher, the suspect in the foiled plot to assassinate the Saudi diplomat, was allegedly given papers from Mossad, the Israeli intelligence agency, and was due to conduct an operation called false fling for the Mossad.
[00:01:52.810 --> 00:01:56.532]  Just another indicator that it may well be completely contrived.
[00:01:56.572 --> 00:02:13.481]  We've had on various senior intelligence officials on the Alex Jones Show who've said there was no record of this sting operation carried out by the FBI and DEA in the record books at Justice and that it was mostly, most likely, just cooked up for political purposes.
[00:02:14.101 --> 00:02:16.783]  In other news, as the violence
[00:02:17.603 --> 00:02:30.470]  Continue to escalate on the border between US and Mexico and the details of Operation Fast and Furious continue to emerge showing the prior knowledge of justice and ATF officials in cooking that up.
[00:02:30.610 --> 00:02:33.472]  We'd like to remind you that the security and prosperity
[00:02:34.582 --> 00:02:34.782]  I don't
[00:02:53.624 --> 00:03:05.247]  A partnership between the US and Mexico, a subset of the larger SPP agreement, which would put troops on both sides of the border from either country specifically targeted at fighting organized crime.
[00:03:05.607 --> 00:03:22.671]  So we see this whole drug gang escalation along the border, all the outrageous incidents from beheadings to targeting journalists, really part of a larger provocation to integrate the two countries and also profit off the drug war run by the CIA and other related entities.
[00:03:23.311 --> 00:03:26.994]  Just disgusting, but that continues to brew and we'll continue to cover it.
[00:03:27.735 --> 00:03:31.299]  In other news, Obama sends 100 U.S.
[00:03:31.359 --> 00:03:35.422]  troops to Uganda to help combat Lord's Resistance Army.
[00:03:36.203 --> 00:03:39.766]  Now this would send troops in supposedly just to advise
[00:03:40.527 --> 00:03:43.248]  African troops who are already directed under U.S.
[00:03:43.428 --> 00:03:52.632]  AFRICOM, and that would include four countries, not just Uganda, but also South Sudan, Central African Republic, and the Democratic Republic of the Congo.
[00:03:53.172 --> 00:03:55.233]  Again, all being directed under U.S.
[00:03:55.293 --> 00:03:57.694]  CENTCOM, and expanding U.S.
[00:03:57.734 --> 00:03:59.835]  troop presence to even more countries.
[00:03:59.915 --> 00:04:07.058]  The man of peace, Obama, who is supposedly going to end the wars, has only escalated them, taking us into all kinds of new areas.
[00:04:07.558 --> 00:04:09.039]  We'll continue to follow that as well.
[00:04:09.479 --> 00:04:11.180]  We also want to talk about alert.
[00:04:11.300 --> 00:04:14.301]  Federal Reserve tries to censor InfoWars video.
[00:04:14.681 --> 00:04:30.708]  Now we've had a request from the Federal Reserve to take down a video Alex shot at the rally in San Antonio at the Federal Reserve branch there that he did about a week ago as he traveled to several Federal Reserve locations and people began to occupy the Federal Reserve all across the country.
[00:04:31.668 --> 00:04:41.175]  And a gentleman spoke on the camera quite willingly, knew that we were media, knew that we were filming and probably going to broadcast it, but has claimed his privacy was violated.
[00:04:41.195 --> 00:04:53.203]  That's just an ongoing tactic from the Federal Reserve, who claims you can't even film their buildings, has threatened reporters, including myself, with arrest for filming it from public property nowhere near the Federal Reserve.
[00:04:53.764 --> 00:04:57.006]  Here right now is the letter we received from YouTube.
[00:04:58.724 --> 00:05:00.465]  Uh, claiming the violation of privacy.
[00:05:00.525 --> 00:05:08.991]  The information reported as violating privacy is at I am the individual in the beige shirt and blue jeans answering the questions asked by Alex Jones.
[00:05:09.471 --> 00:05:19.398]  Again, this individual came up to the cameras and spoke to Alex willingly, but decided to file a claim afterwards, which could well put the Alex Jones Channel in jeopardy.
[00:05:19.878 --> 00:05:24.281]  Alex is going to fight that fraudulent claim, though, because he has every right to report on what's going on.
[00:05:24.842 --> 00:05:26.603]  And we'll win that battle, too, we hope.
[00:05:28.669 --> 00:05:48.047]  Meanwhile, Obama has endorsed the Occupy Wall Street movement and tried to side with the class warfare going on, while Citibank, one of the Wall Street banks who propped up Obama and was given money under the bailout, really entrapped and then arrested several dozen protesters.
[00:05:48.127 --> 00:05:54.433]  We have some of that video here, but I've seen it before, and they really even corral in a woman who had already left the premises
[00:05:55.073 --> 00:05:55.653]  I'm a customer.
[00:05:55.693 --> 00:05:56.034]  I'm a customer.
[00:05:56.074 --> 00:05:56.594]  I'm a customer.
[00:05:56.614 --> 00:05:57.154]  What are you doing?
[00:06:45.902 --> 00:06:56.936]  Well, I'm sure many of the police understand why the protesters are there, understand the outrages of the banks, but the police you see in this video guarding for the banks really give the police in New York a bad name.
[00:06:57.797 --> 00:07:04.865]  We'll hope they'll allow them to have their freedom of speech and someone has a right to go into a bank and close their account even if it makes the bank look bad.
[00:07:05.906 --> 00:07:11.672]  Now we want to move on and also cover the House bill that would criminalize satire of the TSA.
[00:07:12.052 --> 00:07:14.574]  Kurt Nimmo wrote about this on Friday.
[00:07:15.976 --> 00:07:16.316]  H.R.
[00:07:16.977 --> 00:07:31.310]  3011 introduced in the House entitled Transportation Security Administration Authorization Act of 2011, which really targets any kind of parody of the TSA, any usage of the Transportation Security Administration name,
[00:07:31.690 --> 00:07:37.014]  Or even the initials TSA in various types of media, and it names them at length here.
[00:07:37.535 --> 00:07:49.284]  A ridiculous attempt to intimidate critics of the TSA, of which there are certainly many, just as they try to tell people they're not allowed to film these unconstitutional checkpoints, and on and on.
[00:07:49.304 --> 00:07:54.048]  We have a clip here of some of the stuff that may be outlawed if this bill were to become law.
[00:07:55.108 --> 00:08:00.293]  TSA agents are ready and standing by to give you a little something extra to feel thankful about this holiday season.
[00:08:04.019 --> 00:08:05.120]  What are you waiting for?
[00:08:06.241 --> 00:08:07.702]  I want to check under your testicles.
[00:08:08.802 --> 00:08:09.823]  Full pat-downs.
[00:08:10.864 --> 00:08:11.624]  Body scans.
[00:08:12.485 --> 00:08:16.708]  How can you preserve your God-given American right to privacy?
[00:08:17.168 --> 00:08:19.870]  Introducing... Flying Pasties!
[00:08:20.251 --> 00:08:26.395]  Just put these soft, pliable panels inside your undies and keep prying eyes from spying on your privates.
[00:08:26.775 --> 00:08:30.278]  Oh, TSA, TSA, working away.
[00:08:41.741 --> 00:08:43.822]  And of course it's not just satire either.
[00:08:44.323 --> 00:08:55.150]  Some of those video clips were for actual products who were critical of the TSA and trying to appeal to consumers who don't want to be spied on and looked under their clothes and body scanners and the rest of it.
[00:08:55.771 --> 00:08:56.872]  And it's just outrageous.
[00:08:57.592 --> 00:08:59.613]  So we'll keep an eye on that issue.
[00:09:00.073 --> 00:09:19.642]  In other news, while most of the GOP candidates give lip service to conservatives and others who know that budget cuts have to take place in order to rein in the huge economic problems we face, Ron Paul has issued specifics on his economic plan, including plans to eliminate the Departments of Education, Energy and
[00:09:20.282 --> 00:09:20.782]  We're good to go.
[00:09:47.799 --> 00:09:53.945]  And that's key as well because the tax laws have driven so many of these businesses overseas further undermining the U.S.
[00:09:53.965 --> 00:09:54.185]  economy.
[00:10:05.509 --> 00:10:21.401]  So it's very hopeful that Ron Paul has put out this message, but will the media continue to ignore Ron Paul's very existence as they have already while they prop up people like Herman Cain and his fraudulent 999 plan, the former Federal Reserve Kansas City Chairman.
[00:10:23.317 --> 00:10:32.705]  Also we want to talk about, mention again what Mike Adams covered last week, the natural breakfast cereals, deceptively using the name natural but loaded with pesticides and GMOs.
[00:10:32.725 --> 00:10:44.115]  And of course many of the brands that are listed in the article up at naturalnews.com, also posted on infowars.com, are part of the big agribusinesses that are part of the GMO business anyway.
[00:10:45.096 --> 00:10:47.919]  So we wanted to bring that up and throw to a clip
[00:10:48.419 --> 00:10:56.023]  A trailer really from Scientists Under Attack, a powerful new film exposing the manipulation to hide the GMO problem from the American people.
[00:10:58.985 --> 00:11:17.516]  Our discovery that we were finding transgenic corn maybe a thousand miles from the nearest legal transgenic corn field was a huge problem for them because it really showed very simply and with real evidence that they really did not have control.
[00:11:23.291 --> 00:11:26.253]  No one gets up in the morning saying, I want to go buy a genetically engineered food.
[00:11:26.953 --> 00:11:27.974]  They offer no benefits.
[00:11:28.494 --> 00:11:30.935]  No more nutrition, no more flavor, no nothing.
[00:11:31.395 --> 00:11:32.556]  They only offer risks.
[00:11:35.378 --> 00:11:40.240]  This brilliant design showed that it wasn't the insecticide that caused the problems.
[00:11:40.720 --> 00:11:45.303]  It was somehow the process of creating the genetically engineered potato.
[00:11:47.665 --> 00:11:49.146]  They asked me, would you eat it?
[00:11:49.686 --> 00:11:54.410]  I said, no, certainly not the GM potatoes we worked on.
[00:11:54.750 --> 00:11:57.432]  If I could avoid it, I would certainly avoid it.
[00:12:04.817 --> 00:12:10.681]  The next morning, Arpad Pustai was fired after 35 years and silenced with threats of a lawsuit.
[00:12:16.550 --> 00:12:19.892]  They did not want people to have that knowledge, and not want them to have that choice.
[00:12:20.153 --> 00:12:21.874]  So this isn't just a story about science.
[00:12:22.194 --> 00:12:25.316]  It's a story about knowledge, democracy, and freedom of choice.
[00:12:26.757 --> 00:12:31.661]  They should not use our fellow citizens as human guinea pigs.
[00:12:34.603 --> 00:12:43.108]  Virtually every food that you consume, including you in Germany, has some genetically modified product in it.
[00:12:43.128 --> 00:12:43.809]  Okay?
[00:12:43.829 --> 00:12:45.110]  Whether it's soybeans or corn.
[00:12:51.892 --> 00:12:59.896]  So you remember that the animal that has been fed on GM has been changed.
[00:13:01.797 --> 00:13:09.861]  Now when you are eating that animal fed on GM, you will be eating a different animal.
[00:13:10.592 --> 00:13:20.640]  For more on Scientists Under Attack, we go now to Jeffrey M. Smith, one of the main contributors of the film, and a consummate leading GMO researcher in his own right.
[00:13:21.021 --> 00:13:22.222]  Jeffrey, thanks for joining us.
[00:13:22.964 --> 00:13:23.745]  Happy to be here.
[00:13:24.286 --> 00:13:43.728]  Well, Scientists Under Attack is an amazing, it's kind of a look at what's happening all over the country and all over the world with scientists who dare to investigate the health dangers or any aspect of genetically modified foods not ordained by big biotech companies like Monsanto.
[00:13:45.174 --> 00:13:52.669]  Right, and I've read that the film itself discusses how most of the studies are generated from Monsanto or other leading GMO producers in the first place.
[00:13:53.410 --> 00:13:57.118]  How do we get towards independent science and how important is that?
[00:13:58.032 --> 00:14:02.496]  Well, independent science for this product, genetically modified crops, is absolutely essential.
[00:14:02.536 --> 00:14:13.847]  I mean, we're feeding the products of an infant science to the entire population, and planting them outdoors where they cross-pollinate, and the self-propagating pollution of the gene pool is permanent.
[00:14:13.907 --> 00:14:16.509]  We have no technology to fully clean it up.
[00:14:16.910 --> 00:14:21.074]  So the genes we release today can outlast the effects of global warming and nuclear waste.
[00:14:21.767 --> 00:14:27.565]  But if you actually look at the research that they do, it's completely superficial.
[00:14:27.606 --> 00:14:28.488]  It's tobacco science.
[00:14:29.221 --> 00:14:46.194]  I was talking to Dr. Arpad Pustai, who's featured in this film, Scientists Under Attack, and he actually was supposed to create the testing protocol for GMOs that was going to be implemented in EU law to evaluate all GMOs approved in Europe.
[00:14:46.854 --> 00:14:53.259]  And he discovered that GMOs were inherently unsafe and was fired from his job after 35 years, silenced for threats of a lawsuit.
[00:14:53.479 --> 00:14:54.240]  We'll go into that.
[00:14:54.760 --> 00:14:57.422]  But I asked him, what was your most shocking moment?
[00:14:58.197 --> 00:15:05.841]  And it wasn't being fired from his job, it wasn't discovering the massive damage to the rats that were fed supposedly harmless genetically modified potatoes.
[00:15:06.461 --> 00:15:23.230]  The most shocking moment in his life was actually reading the superficial, flimsy studies, and these were his words, superficial, flimsy, poor, studies done by the biotech industry, including Monsanto, to get their foods on the market.
