[00:00:00.209 --> 00:00:01.469]  You've got it, brother.
[00:00:01.469 --> 00:00:07.311]  This transmission is coming to you.
[00:00:07.311 --> 00:00:09.572]  Waging war on corruption.
[00:00:09.572 --> 00:00:11.712]  Alright, you wanna go?
[00:00:11.712 --> 00:00:17.354]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:20.621 --> 00:00:22.943]  We're good.
[00:00:38.587 --> 00:00:52.239]  We are broadcasting worldwide, blasting out on the AM and FM dial, global shortwave, and of course satellite number one on the internet at InfoWars.com and PrisonPlanet.com for online streaming and podcasts.
[00:00:52.239 --> 00:00:53.620]  Thank you so much for joining us.
[00:00:53.620 --> 00:01:05.010]  You have founded the tip of the spear, the front line in the InfoWar as we attempt, in some cases with great success, to alert free humanity to the dangers of historical tyranny.
[00:01:05.811 --> 00:01:14.255]  That is now manifesting itself and coming in like a flood against free peoples all over the world, not just here in the United States.
[00:01:14.255 --> 00:01:17.957]  We're going to be live here for the next two hours, popping in for a segment or two.
[00:01:17.957 --> 00:01:20.538]  The start of the next hour is Aaron Dykes.
[00:01:21.238 --> 00:01:32.165]  Aaron and Darren McBreen, two of our great reporters, have spent the last few days during a big federal martial law takeover drill that included practicing rounding up citizens and putting them in a nearby sports stadium.
[00:01:32.165 --> 00:01:35.867]  We'll tell you the cover story the feds had for that one.
[00:01:35.867 --> 00:01:48.015]  It'll be popping up at the start of the next hour, also popping in a witness off and on the last week to the demonstrations in and around Wall Street culminating in people being beat up over the weekend and hundreds being arrested.
[00:01:48.894 --> 00:01:57.439]  That is all coming up today with Luke Rodowski joining us and reporting from fullworks.com from New York City, Lower Manhattan.
[00:01:57.439 --> 00:02:00.240]  So that is all coming up today.
[00:02:00.240 --> 00:02:03.942]  Obviously, we've got an information overload here.
[00:02:03.942 --> 00:02:10.086]  And I'm not getting a lot into politics because most of these people are horses owned by the very same stable.
[00:02:10.726 --> 00:02:15.668]  Owned by the very same operation, the Globalists, like a Don King boxing match.
[00:02:15.668 --> 00:02:24.271]  But, we have a real contender in the arena, in this rigged game, who's not rigged, and so the system is pulling out the stops.
[00:02:24.271 --> 00:02:26.051]  Of course, his name is Ron Paul.
[00:02:26.051 --> 00:02:39.316]  But I think it's important to just go over a few of the dirty tricks they've run against him, and illustrate the fact that even the corporate shill media is admitting that the Tea Party, people who actually are constitutionalists,
[00:02:40.964 --> 00:02:43.446]  The Republicans have basically failed to co-opt it.
[00:02:43.446 --> 00:02:45.328]  Rick Perry has failed to co-opt it.
[00:02:45.328 --> 00:02:48.271]  And the Tea Party is destroying Rick Perry.
[00:02:48.271 --> 00:02:55.017]  He came out of the gates and was the frontrunner instantly because of media anointing him as the leader.
[00:02:55.017 --> 00:03:01.282]  But as soon as myself and Ron Paul and others said, did you know he was Al Gore's chief of staff?
[00:03:01.282 --> 00:03:02.783]  Did you know he supported Hillary Care?
[00:03:03.504 --> 00:03:04.705]  Did you know he went to Bilderberg?
[00:03:04.705 --> 00:03:07.789]  Did you know he supports handing over 8,000 miles of Texas roads?
[00:03:07.789 --> 00:03:09.831]  Did you know he's for forced inoculation?
[00:03:09.831 --> 00:03:12.073]  He has imploded.
[00:03:12.073 --> 00:03:16.899]  The problem is we've not completely destroyed him yet.
[00:03:16.899 --> 00:03:24.166]  We've also got to take out politically the other Ken doll who's just as bad or worse and that's Mitt Twinkle Toes.
[00:03:25.188 --> 00:03:26.349]  Romney.
[00:03:26.349 --> 00:03:35.514]  He is a clone of Rick Perry, except for the fact that he's from Michigan, not from Texas, and he has not attended Bilderberg, that we know.
[00:03:37.029 --> 00:03:38.210]  And he was on a male cheerleader.
[00:03:38.210 --> 00:03:43.294]  Normally, to be a Republican contender, you've got to be a male cheerleader as of late.
[00:03:43.294 --> 00:03:46.937]  Rick Perry, of course, is a male cheerleader, like George W. Bush and others.
[00:03:46.937 --> 00:03:53.461]  And Trent Lott and the rest of them, part of the Twinkle Toes pillow-biting club, or whatever they're part of.
[00:03:53.461 --> 00:03:55.123]  So, that's all coming up.
[00:03:55.123 --> 00:03:56.243]  We're going to break this down.
[00:03:56.243 --> 00:03:58.825]  And Time Magazine trying to prop him up.
[00:03:58.825 --> 00:04:00.267]  The rise of Rick Perry.
[00:04:00.267 --> 00:04:03.249]  Remember I told you Rick Perry was going to run when he pledged he wouldn't.
[00:04:04.226 --> 00:04:06.668]  And I told you that all this stuff would come out.
[00:04:06.668 --> 00:04:16.036]  That's why he told a Fox News host a year and a half ago that he's scared of Ron Paul and Alex Jones, because he knows we're carrying the data that can bring him down.
[00:04:16.036 --> 00:04:24.824]  Same thing on Newt Gingrich, who's not really a contender, but she's still discrediting Mr. Carbon Tax, Mr. Global Government.
[00:04:25.686 --> 00:04:28.067]  In fact, guys, will you Google for me?
[00:04:28.067 --> 00:04:36.332]  Because I've always been to bring in here is actually I don't actually own the Alvin Eide Toffler book that he intro recalls for world government.
[00:04:36.332 --> 00:04:41.894]  Something like Newt Gingrich called for global government in Toffler book intro.
[00:04:41.894 --> 00:04:42.555]  That should get it.
[00:04:43.075 --> 00:04:46.579]  He's also called for implanting the entire population with microchips.
[00:04:46.579 --> 00:04:47.099]  Don't believe me?
[00:04:47.099 --> 00:04:49.422]  Just type in Newt Gingrich, microchips.
[00:04:49.422 --> 00:04:51.144]  But back to Mitt Romney.
[00:04:51.144 --> 00:04:57.931]  He, of course, is... I'll tell you about him when we get back, but Mitt Romney's a big carbon tax supporter and the author of Obamacare.
[00:05:00.498 --> 00:05:04.499]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:05:04.499 --> 00:05:07.740]  This is our last chance to not relive history.
[00:05:07.740 --> 00:05:12.922]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:05:12.922 --> 00:05:18.943]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:05:18.943 --> 00:05:21.164]  I think it's incumbent upon all of us
[00:05:21.724 --> 00:05:22.024]  Tim Geithner?
[00:05:22.024 --> 00:05:22.544]  Bernanke?
[00:05:22.544 --> 00:05:23.205]  They're arsonists!
[00:05:23.205 --> 00:05:24.485]  They're asking for more matches!
[00:05:24.485 --> 00:05:26.726]  And the Congress is saying, who do we make the check out to?
[00:05:40.612 --> 00:05:42.753]  Today, it seems like nobody does care.
[00:05:42.753 --> 00:05:47.897]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:05:47.897 --> 00:06:00.065]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:06:00.065 --> 00:06:05.489]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:06:05.489 --> 00:06:07.771]  Because there's a war on for your mind.
[00:06:17.423 --> 00:06:17.663]  Yeah.
[00:06:32.219 --> 00:06:34.961]  Okay, ladies and gentlemen, we are live.
[00:06:34.961 --> 00:06:38.043]  Thank you so much for joining us.
[00:06:38.043 --> 00:06:42.486]  It is, of course, Sunday, the 25th day of September 2011.
[00:06:42.486 --> 00:06:46.409]  We're going to be live here for the next two hours.
[00:06:46.409 --> 00:06:48.370]  We're also going to have open phones.
[00:06:48.370 --> 00:06:50.452]  I want to get into some of the news, and I'll open the phones up.
[00:06:50.452 --> 00:06:53.434]  I want to take your calls throughout the next two hours.
[00:06:53.434 --> 00:06:58.758]  And we have Aaron Dykes, Infowars.com reporter, with some breaking news, joining us at the start of the next hour.
[00:06:59.218 --> 00:07:09.964]  We're also going to talk for a few minutes with Luke Rudowsky, who's been inside of those Wall Street demonstrations, where there have now been a whole bunch of different arrests taking place.
[00:07:09.964 --> 00:07:15.347]  We have the Daily Mail, as well as Reuters reporting that the euro has six weeks to live.
[00:07:16.287 --> 00:07:29.023]  If the countries that make up the euro in Europe do not give up all of their sovereignty to a quote financial union owned and run by the very same mega banks that sold those governments the worthless derivatives.
[00:07:30.660 --> 00:07:33.482]  And they're holding Europe hostage, of course.
[00:07:33.482 --> 00:07:46.352]  If Europe gives in and waives what sovereignty it has left, even out of the euro itself, they of course will be further imploded, just like the big central banks have done in the third world over and over again.
[00:07:46.352 --> 00:07:53.137]  Here in the US, of course, the traders in both parties have transferred power to the new super congress that controls the power of the purse.
[00:07:53.137 --> 00:07:56.520]  An unprecedented event that's gotten almost no news coverage.
[00:07:56.520 --> 00:07:59.202]  We live in incredible times as the private corporate
[00:07:59.642 --> 00:08:03.185]  Criminal world government openly establishes itself.
[00:08:03.185 --> 00:08:26.364]  Now before I get into the fall of Barack Obama and what could be the political fall of Rick Perry before he ever hatched out on the national stage and break down what happened at the Republican, the latest Republican debate with Herman Cain winning and a lot more in the Miami paper has the headline here
[00:08:29.141 --> 00:08:32.163]  Let me just give it to you because it's amazing.
[00:08:32.163 --> 00:08:33.584]  Rick Perry in deep trouble.
[00:08:33.584 --> 00:08:35.926]  That's the Miami Herald headline.
[00:08:35.926 --> 00:08:52.158]  Before I get into that and the establishment dinosaur corpse zombie walking corpse media that there's a big survey out today that the mainstream media is furthering and accelerating its hemorrhaging of viewers and readers.
[00:08:52.158 --> 00:08:54.279]  We crossed the Rubicon two and a half years ago.
[00:08:55.160 --> 00:09:06.526]  According to a bunch of big university studies where the internet now has more viewers, more listeners, more readers going there for news than all the mainstream media combined, even with their internet footprint.
[00:09:06.526 --> 00:09:13.990]  Alternative is bigger than them, but that hemorrhaging has only accelerated as they continue to try to prop up people like Rick Perry.
[00:09:13.990 --> 00:09:16.972]  Here's the cover of Time Magazine, the rise of Rick Perry.
[00:09:17.955 --> 00:09:30.741]  So I'm, and quick fall if we get the word out on this guy, same thing with the other Ken Doll pretty boy, Mr. Carbon Tax, Mr. Obamacare, Mitt Romney.
[00:09:32.361 --> 00:09:35.424]  If we get the word out about what they really support, it's over for them.
[00:09:35.424 --> 00:09:48.715]  And you notice people are waking up now in a few weeks to these people, instead of taking a few years like Obama, or six, seven years with George W. Bush, or seven and a half years to wake up to Bill Clinton being a con artist.
[00:09:48.715 --> 00:09:51.158]  People are waking up to the game.
[00:09:51.778 --> 00:09:53.299]  That The Who has talked about.
[00:09:53.299 --> 00:10:16.646]  You know, I was driving in today listening to 93.7 LBJ, the local rock station, and listened to The Who song, Won't Get Fooled Again, and this was something, this was music that came out in 1971, and they're talking about the left-right paradigm, they're talking about the scams, they're talking about how it's a two-party dictatorship,
[00:10:18.769 --> 00:10:22.310]  But finally, decades and decades later, more and more people.
[00:10:22.310 --> 00:10:25.912]  Well, Congress has a 9% approval rating, the lowest in history.
[00:10:25.912 --> 00:10:28.293]  There is a political realignment happening.
[00:10:28.293 --> 00:10:29.993]  There is a great awakening.
[00:10:29.993 --> 00:10:34.715]  But just because you're awake doesn't mean you know exactly where you are.
[00:10:34.715 --> 00:10:38.656]  You ever woken up in the middle of the night in a hotel room and you wonder where you are?
[00:10:38.656 --> 00:10:41.558]  Takes you a few seconds to go, oh, I'm out of town.
[00:10:41.558 --> 00:10:46.779]  I'm in New Mexico, or I'm in California, or I'm in New York, or I'm in South Texas.
[00:10:46.779 --> 00:10:47.440]  I'm in Illinois.
[00:10:48.288 --> 00:10:50.429]  You're not at home, you know, back in Kansas anymore.
[00:10:50.429 --> 00:10:51.890]  That's the same thing.
[00:10:51.890 --> 00:10:56.972]  People are awake now, but that doesn't mean they figured out exactly what's going on.
[00:10:56.972 --> 00:11:01.734]  But at least now they'll listen and understand this global criminal takeover.
[00:11:01.734 --> 00:11:06.356]  I mean, listen to the words from Won't Get Fooled Again by The Who.
[00:11:06.356 --> 00:11:14.840]  First, maybe if you're younger or older and don't know who The Who are, I should play a clip of this song to remind you.
[00:11:14.840 --> 00:11:15.160]  Here it is.
[00:11:18.919 --> 00:11:20.880]  You've heard that before.
[00:11:20.880 --> 00:11:34.988]  All right, we're going to come back after the break and actually play some of the pertinent sections from the piece about meet the new boss, same as the old boss, won't get fooled again.
[00:11:34.988 --> 00:11:36.989]  But I wanted to remind you of the hoop.
