[00:00:23.171 --> 00:00:24.232]  And we are back!
[00:00:24.772 --> 00:00:30.175]  We had a special last night looking back over the last 30 years at Ron Paul fighting tyranny.
[00:00:30.616 --> 00:00:33.818]  Great job of the crew putting that together, but we are back.
[00:00:34.438 --> 00:00:37.560]  It is Tuesday, the 27th day of December 2011.
[00:00:38.561 --> 00:00:47.807]  Coming up later in the week, we'll look at the top 10 stories from our perspective of 2011 and our predictions and trends that we see unfolding in 2012.
[00:00:51.929 --> 00:01:08.360]  Coming up later in the evening, we're going to have Patrick Henningsen, InfoWars reporter, joining us from London, and another InfoWars reporter, Jason Burmas, joining us from New York, as we look at Iran, the unfolding police state, the latest on MF Global, and a lot more.
[00:01:08.420 --> 00:01:09.481]  That is all coming up.
[00:01:10.221 --> 00:01:21.209]  And I want to give you a bit of a prelude to a special report we're going to put out probably Thursday on the Syndicated Radio Show.
[00:01:22.670 --> 00:01:27.314]  And then posted as a video report to InfoWars.com dealing with
[00:01:28.692 --> 00:01:33.557]  More population reduction documents, and that's this stack right here.
[00:01:34.818 --> 00:01:39.302]  Today I shot about 30 minutes for the report that I want to cut down to about 10.
[00:01:39.522 --> 00:01:42.725]  That's the problem, is showing you all the proof.
[00:01:43.125 --> 00:01:44.367]  There's so much evidence, it's ridiculous.
[00:01:45.267 --> 00:01:52.894]  And the reason I'm going to cover this is there's an article in CBS News titled, Ron Paul Disavows Racist Newsletters Under His Name.
[00:01:53.815 --> 00:02:18.235]  And literally, more than 200 of these last week that I was in the middle of, and they use this talking point in the article saying that Ron Paul goes on Alex Jones' show where they believe the military is going to take over America, which is openly being announced, and that the government is adding chemicals to the water to encourage homosexuality.
[00:02:20.097 --> 00:02:20.377]  Listen.
[00:02:22.754 --> 00:02:26.097]  I've got the UN Planned Parenthood document right here, sourced.
[00:02:27.318 --> 00:02:29.580]  Okay, this is on record, Library of Congress.
[00:02:30.101 --> 00:02:32.263]  So I'm going to read this to you, CBS News.
[00:02:32.943 --> 00:02:34.205]  I don't care whether you like it or not.
[00:02:34.545 --> 00:02:36.647]  People have a right to choose their gender.
[00:02:37.167 --> 00:02:42.973]  This is an attack on the species itself, and look at how it's always these Nazis running political correctness.
